,HLT,MAR,ABNB,VICI,HST,IHG.L,H,GLPI,WTB.L,WH,AC.PA,VAC,HTHT,MGP,HGV,CHH,TNL,RHP,PK,APLE,3287.T,PEB,SHO,RLJ,XHR,DRH,8985.T,SVC,PNDX B.ST,69.HK,INN,4681.T,PLYA,DHG.IR,MEL.MC,J85.SI,CLDT,FTAL.TA,SHOT.ST,FGXXX,FXFXX,SUM
01/24/2022,10.11,9.98,8.51,7.96,5.59,4.8,4.33,4.2,3.83,3.45,3.12,3.01,2.95,2.68,2.58,2.24,2.09,2.08,1.99,1.59,1.56,1.36,1.13,1.07,0.92,0.9,0.82,0.68,0.6,0.46,0.46,0.44,0.42,0.41,0.33,0.31,0.29,0.28,0.27,0.08,0.08,99.96
01/25/2022,10.08,10.11,8.67,7.87,5.55,4.87,4.39,4.11,3.89,3.47,3.2,2.99,3.06,2.64,2.54,2.25,2.09,2.04,1.96,1.55,1.51,1.31,1.1,1.04,0.9,0.88,0.8,0.66,0.6,0.46,0.45,0.45,0.42,0.41,0.34,0.31,0.28,0.28,0.28,0.08,0.08,99.96999999999998
01/26/2022,10.15,10.2,8.66,7.82,5.51,4.82,4.35,4.1,3.84,3.48,3.21,2.97,3.15,2.63,2.51,2.25,2.1,2.04,1.94,1.55,1.54,1.3,1.1,1.04,0.9,0.87,0.82,0.65,0.59,0.47,0.45,0.46,0.44,0.42,0.34,0.32,0.28,0.28,0.27,0.08,0.08,99.98
01/27/2022,10.15,10.2,8.66,7.82,5.51,4.82,4.35,4.1,3.84,3.48,3.21,2.97,3.15,2.63,2.51,2.25,2.1,2.04,1.94,1.55,1.54,1.3,1.1,1.04,0.9,0.87,0.82,0.65,0.59,0.47,0.45,0.46,0.44,0.42,0.34,0.32,0.28,0.28,0.27,0.08,0.08,99.98
01/28/2022,10.24,10.28,8.05,8.03,5.55,4.66,4.41,4.15,3.71,3.53,3.08,3.02,3.31,2.71,2.6,2.34,2.16,2.09,1.94,1.56,1.51,1.3,1.1,1.06,0.91,0.88,0.8,0.64,0.56,0.45,0.45,0.45,0.45,0.41,0.33,0.31,0.28,0.28,0.26,0.08,0.08,100.01
01/31/2022,10.1,10.3,7.89,8.18,5.53,4.77,4.47,4.2,3.8,3.57,3.23,3.0,3.16,2.76,2.57,2.31,2.17,2.04,1.88,1.54,1.59,1.26,1.07,1.01,0.87,0.84,0.82,0.6,0.58,0.46,0.43,0.44,0.44,0.43,0.34,0.31,0.28,0.29,0.27,0.08,0.08,99.96
02/01/2022,10.1,10.3,7.89,8.18,5.53,4.77,4.47,4.2,3.8,3.57,3.23,3.0,3.16,2.76,2.57,2.31,2.17,2.04,1.88,1.54,1.59,1.26,1.07,1.01,0.87,0.84,0.82,0.6,0.58,0.46,0.43,0.44,0.44,0.43,0.34,0.31,0.28,0.29,0.27,0.08,0.08,99.96
02/02/2022,10.1,10.3,7.89,8.18,5.53,4.77,4.47,4.2,3.8,3.57,3.23,3.0,3.16,2.76,2.57,2.31,2.17,2.04,1.88,1.54,1.59,1.26,1.07,1.01,0.87,0.84,0.82,0.6,0.58,0.46,0.43,0.44,0.44,0.43,0.34,0.31,0.28,0.29,0.27,0.08,0.08,99.96
02/03/2022,10.31,10.44,7.95,8.18,5.47,4.65,4.52,4.23,3.7,3.56,3.15,2.96,3.18,2.76,2.58,2.3,2.15,2.04,1.89,1.53,1.56,1.26,1.07,1.01,0.88,0.85,0.81,0.61,0.57,0.44,0.43,0.44,0.44,0.43,0.34,0.31,0.28,0.28,0.27,0.08,0.08,99.99
02/04/2022,10.15,10.27,8.34,8.07,5.5,4.65,4.49,4.22,3.65,3.52,3.11,2.96,3.3,2.72,2.59,2.26,2.18,2.09,1.91,1.54,1.53,1.26,1.1,1.01,0.88,0.87,0.79,0.63,0.57,0.42,0.44,0.43,0.45,0.42,0.34,0.3,0.28,0.29,0.27,0.08,0.08,99.96
02/07/2022,10.17,10.41,8.17,8.05,5.46,4.73,4.57,4.16,3.72,3.53,3.16,2.96,3.21,2.72,2.51,2.26,2.14,2.02,1.88,1.54,1.57,1.27,1.09,1.02,0.87,0.85,0.83,0.62,0.62,0.43,0.43,0.45,0.45,0.41,0.35,0.31,0.29,0.31,0.31,0.08,0.08,100.01
02/08/2022,10.17,10.41,8.17,8.05,5.46,4.73,4.57,4.16,3.72,3.53,3.16,2.96,3.21,2.72,2.51,2.26,2.14,2.02,1.88,1.54,1.57,1.27,1.09,1.02,0.87,0.85,0.83,0.62,0.62,0.43,0.43,0.45,0.45,0.41,0.35,0.31,0.29,0.31,0.31,0.08,0.08,100.01
