,OMCL,SAIA,GTLS,NEO,GME,POWI,MSTR,IIPR,EXPO,ENSG,BCPC,AEIS,TRUP,LPSN,VIAV,ALRM,SHAK,SPSC,STMP,EXLS,LGIH,MTH,WDFC,ONTO,VG,DIOD,MED,LCII,EPRT,MMSI,RCII,KWR,EGHT,FELE,SFBS,LTHM,WD,DORM,MXL,REGI,BMI,AMN,FIX,MATX,FORM,PRFT,IBP,SNBR,EVTC,WTS,JBT,MDRX,AAON,IRBT,VCEL,PCRX,PRLB,GDOT,ROCK,ADC,GKOS,FWRD,CELH,VSTO,FSS,RRC,ITRI,AX,CORT,HSKA,VICR,SEM,UFPI,SSTK,AVAV,COOP,CNMD,UCTT,HI,FN,DDD,AIT,MODV,CCOI,XNCR,ROG,SHEN,BGS,BIG,SWN,VRTS,CYH,ARNC,TTEC,NMIH,CCS,TTGT,CBU,AVNS,PRAA,UNF,COHU,CWT,KLIC,FUL,MDC,PLMR,MANT,UNIT,SUPN,OMI,FLGT,PATK,MTDR,SPXC,AJRD,LMNX,TBK,AWR,CVET,THRM,EAT,DIN,KFY,BSIG,ESE,PLXS,BOOT,ACA,EHTH,ALG,HIBB,SMPL,CYTK,SCL,JOE,XPER,MLAB,RGNX,AIN,PGTI,PRGS,ADUS,SHOO,ITGR,KTB,FBC,AGYS,FCPT,ALGT,LXP,SAFE,XTSLA,PIPR,CTRE,WGO,CVCO,JYNT,TUP,RMBS,CHCT,JJSF,CENTA,TRHC,PNTG,FIZZ,LNN,CPK,UNFI,BOOM,CEVA,TCMD,LMAT,MD,FLOW,WWW,CVBF,SNEX,BRC,HZO,VIVO,MRTN,POLY,MLI,IRT,RILY,MOG.A,PSMT,CHRS,QNST,BCEI,RGR,CAKE,OSPN,INVA,LZB,RAVN,CASH,VGR,PRK,EPAY,OSIS,MYRG,CSII,ASTE,IOSP,DEA,INDB,COLL,COKE,CBB,NXRT,CRVL,AMEH,USPH,ILPT,ACLS,MSEX,RDNT,CALM,MEI,CSGS,BLFS,LGND,SLQT,CSR,SUM
07/09/2021,1.35,1.14,1.09,1.09,1.07,1.04,1.02,1.0,0.97,0.94,0.88,0.87,0.84,0.82,0.82,0.81,0.8,0.76,0.76,0.73,0.73,0.72,0.72,0.71,0.71,0.69,0.69,0.68,0.67,0.65,0.64,0.64,0.63,0.63,0.63,0.63,0.61,0.61,0.61,0.6,0.6,0.6,0.57,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.44,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.96000000000001
07/12/2021,1.37,1.12,1.1,1.11,1.05,1.03,1.01,0.99,0.98,0.94,0.88,0.86,0.8,0.82,0.81,0.81,0.8,0.75,0.76,0.75,0.75,0.72,0.75,0.7,0.7,0.67,0.69,0.68,0.67,0.66,0.64,0.65,0.61,0.64,0.64,0.62,0.6,0.62,0.59,0.61,0.6,0.6,0.58,0.57,0.56,0.56,0.54,0.53,0.54,0.54,0.54,0.54,0.54,0.52,0.53,0.52,0.52,0.52,0.51,0.51,0.48,0.51,0.49,0.49,0.49,0.51,0.47,0.49,0.48,0.48,0.47,0.46,0.47,0.47,0.46,0.48,0.47,0.45,0.45,0.44,0.42,0.43,0.43,0.42,0.41,0.41,0.37,0.42,0.41,0.42,0.4,0.41,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.32,0.35,0.33,0.34,0.34,0.33,0.31,0.35,0.32,0.33,0.34,0.34,0.33,0.34,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.31,0.3,0.32,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.0,0.23,0.23,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.18,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.18,0.0,0.18,0.0,0.18,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9
07/13/2021,1.37,1.12,1.1,1.11,1.05,1.03,1.01,0.99,0.98,0.94,0.88,0.86,0.8,0.82,0.81,0.81,0.8,0.75,0.76,0.75,0.75,0.72,0.75,0.7,0.7,0.67,0.69,0.68,0.67,0.66,0.64,0.65,0.61,0.64,0.64,0.62,0.6,0.62,0.59,0.61,0.6,0.6,0.58,0.57,0.56,0.56,0.54,0.53,0.54,0.54,0.54,0.54,0.54,0.52,0.53,0.52,0.52,0.52,0.51,0.51,0.48,0.51,0.49,0.49,0.49,0.51,0.47,0.49,0.48,0.48,0.47,0.46,0.47,0.47,0.46,0.48,0.47,0.45,0.45,0.44,0.42,0.43,0.43,0.42,0.41,0.41,0.37,0.42,0.41,0.42,0.4,0.41,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.32,0.35,0.33,0.34,0.34,0.33,0.31,0.35,0.32,0.33,0.34,0.34,0.33,0.34,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.31,0.3,0.32,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.0,0.23,0.23,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.18,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.18,0.0,0.18,0.0,0.18,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9
07/14/2021,1.34,1.11,1.12,1.09,1.02,1.02,1.0,1.0,0.96,0.93,0.87,0.84,0.78,0.81,0.8,0.81,0.79,0.74,1.22,0.74,0.74,0.72,0.72,0.7,0.69,0.66,0.68,0.69,0.67,0.64,0.65,0.64,0.61,0.64,0.65,0.65,0.61,0.61,0.59,0.63,0.6,0.59,0.58,0.6,0.56,0.56,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.5,0.51,0.52,0.52,0.51,0.51,0.46,0.5,0.48,0.49,0.5,0.51,0.47,0.49,0.47,0.48,0.47,0.46,0.47,0.46,0.46,0.48,0.45,0.46,0.45,0.43,0.41,0.43,0.43,0.41,0.41,0.4,0.36,0.42,0.42,0.41,0.41,0.41,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.36,0.35,0.36,0.33,0.35,0.33,0.33,0.33,0.33,0.31,0.36,0.32,0.34,0.34,0.34,0.32,0.33,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.18,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.2,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.0,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.0,0.18,0.0,0.18,0.18,0.18,0.0,0.19,0.18,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.89000000000001
07/15/2021,1.34,1.11,1.12,1.09,1.02,1.02,1.0,1.0,0.96,0.93,0.87,0.84,0.78,0.81,0.8,0.81,0.79,0.74,1.22,0.74,0.74,0.72,0.72,0.7,0.69,0.66,0.68,0.69,0.67,0.64,0.65,0.64,0.61,0.64,0.65,0.65,0.61,0.61,0.59,0.63,0.6,0.59,0.58,0.6,0.56,0.56,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.5,0.51,0.52,0.52,0.51,0.51,0.46,0.5,0.48,0.49,0.5,0.51,0.47,0.49,0.47,0.48,0.47,0.46,0.47,0.46,0.46,0.48,0.45,0.46,0.45,0.43,0.41,0.43,0.43,0.41,0.41,0.4,0.36,0.42,0.42,0.41,0.41,0.41,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.36,0.35,0.36,0.33,0.35,0.33,0.33,0.33,0.33,0.31,0.36,0.32,0.34,0.34,0.34,0.32,0.33,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.18,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.2,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.0,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.0,0.18,0.0,0.18,0.18,0.18,0.0,0.19,0.18,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.89000000000001
07/16/2021,1.36,1.13,1.12,1.11,0.98,1.03,0.94,1.04,0.98,0.94,0.87,0.85,0.76,0.8,0.82,0.8,0.77,0.73,1.23,0.75,0.72,0.71,0.72,0.72,0.69,0.68,0.68,0.7,0.68,0.64,0.64,0.64,0.6,0.64,0.65,0.66,0.61,0.63,0.6,0.62,0.6,0.6,0.58,0.59,0.57,0.57,0.53,0.57,0.55,0.54,0.54,0.53,0.52,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.45,0.5,0.49,0.49,0.49,0.52,0.47,0.48,0.47,0.5,0.47,0.47,0.48,0.47,0.46,0.47,0.45,0.46,0.45,0.44,0.36,0.43,0.43,0.43,0.41,0.4,0.36,0.41,0.41,0.42,0.41,0.4,0.39,0.39,0.38,0.37,0.36,0.37,0.36,0.37,0.35,0.36,0.36,0.34,0.35,0.32,0.32,0.34,0.33,0.31,0.35,0.31,0.34,0.35,0.35,0.33,0.34,0.34,0.34,0.32,0.31,0.32,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.32,0.3,0.32,0.29,0.28,0.29,0.28,0.28,0.29,0.27,0.27,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.26,0.25,0.26,0.25,0.19,0.23,0.24,0.23,0.21,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.2,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.22,0.21,0.22,0.0,0.2,0.18,0.2,0.2,0.18,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.0,0.0,0.0,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.03
07/19/2021,1.38,1.13,1.12,1.06,0.92,1.03,0.89,1.04,0.99,0.95,0.9,0.82,0.75,0.76,0.82,0.78,0.72,0.73,1.26,0.77,0.73,0.72,0.74,0.69,0.69,0.68,0.68,0.72,0.7,0.63,0.66,0.65,0.59,0.66,0.67,0.67,0.63,0.64,0.59,0.64,0.61,0.61,0.58,0.6,0.57,0.58,0.55,0.56,0.55,0.55,0.55,0.53,0.53,0.52,0.51,0.52,0.5,0.52,0.5,0.53,0.35,0.52,0.44,0.5,0.5,0.49,0.47,0.51,0.45,0.48,0.48,0.46,0.48,0.47,0.45,0.48,0.44,0.45,0.46,0.44,0.34,0.45,0.43,0.44,0.4,0.41,0.36,0.42,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.37,0.36,0.38,0.35,0.37,0.36,0.35,0.37,0.34,0.36,0.33,0.33,0.34,0.34,0.3,0.36,0.29,0.34,0.33,0.35,0.34,0.0,0.36,0.35,0.32,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.29,0.3,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.27,0.25,0.26,0.26,0.27,0.25,0.22,0.24,0.24,0.23,0.22,0.24,0.22,0.23,0.24,0.23,0.23,0.23,0.19,0.22,0.22,0.23,0.21,0.2,0.21,0.19,0.2,0.2,0.21,0.21,0.22,0.22,0.22,0.23,0.0,0.21,0.18,0.2,0.21,0.18,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.0,0.0,0.0,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.0,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.93
07/20/2021,1.38,1.13,1.12,1.06,0.92,1.03,0.89,1.04,0.99,0.95,0.9,0.82,0.75,0.76,0.82,0.78,0.72,0.73,1.26,0.77,0.73,0.72,0.74,0.69,0.69,0.68,0.68,0.72,0.7,0.63,0.66,0.65,0.59,0.66,0.67,0.67,0.63,0.64,0.59,0.64,0.61,0.61,0.58,0.6,0.57,0.58,0.55,0.56,0.55,0.55,0.55,0.53,0.53,0.52,0.51,0.52,0.5,0.52,0.5,0.53,0.35,0.52,0.44,0.5,0.5,0.49,0.47,0.51,0.45,0.48,0.48,0.46,0.48,0.47,0.45,0.48,0.44,0.45,0.46,0.44,0.34,0.45,0.43,0.44,0.4,0.41,0.36,0.42,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.37,0.36,0.38,0.35,0.37,0.36,0.35,0.37,0.34,0.36,0.33,0.33,0.34,0.34,0.3,0.36,0.29,0.34,0.33,0.35,0.34,0.0,0.36,0.35,0.32,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.29,0.3,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.27,0.25,0.26,0.26,0.27,0.25,0.22,0.24,0.24,0.23,0.22,0.24,0.22,0.23,0.24,0.23,0.23,0.23,0.19,0.22,0.22,0.23,0.21,0.2,0.21,0.19,0.2,0.2,0.21,0.21,0.22,0.22,0.22,0.23,0.0,0.21,0.18,0.2,0.21,0.18,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.0,0.0,0.0,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.0,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.93
07/21/2021,1.4,1.11,1.13,1.1,0.95,1.02,0.87,1.07,1.01,0.96,0.9,0.79,0.76,0.76,0.82,0.78,0.72,0.74,1.27,0.77,0.73,0.72,0.74,0.67,0.71,0.67,0.67,0.72,0.7,0.63,0.66,0.65,0.59,0.66,0.67,0.61,0.64,0.63,0.59,0.66,0.6,0.61,0.57,0.61,0.56,0.59,0.54,0.57,0.55,0.55,0.56,0.53,0.53,0.52,0.5,0.52,0.51,0.54,0.5,0.54,0.36,0.51,0.43,0.49,0.5,0.47,0.45,0.51,0.45,0.51,0.48,0.46,0.47,0.48,0.45,0.48,0.45,0.43,0.46,0.44,0.32,0.44,0.43,0.44,0.41,0.41,0.37,0.41,0.4,0.38,0.4,0.39,0.39,0.39,0.39,0.37,0.36,0.39,0.36,0.37,0.37,0.34,0.39,0.33,0.36,0.34,0.35,0.35,0.35,0.3,0.37,0.29,0.35,0.32,0.35,0.35,0.0,0.35,0.37,0.31,0.32,0.31,0.3,0.31,0.3,0.31,0.3,0.29,0.29,0.33,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.3,0.27,0.27,0.28,0.27,0.27,0.26,0.25,0.25,0.26,0.24,0.27,0.25,0.27,0.26,0.21,0.23,0.25,0.23,0.22,0.24,0.21,0.23,0.24,0.23,0.23,0.23,0.2,0.22,0.22,0.23,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.21,0.22,0.22,0.21,0.22,0.0,0.2,0.0,0.2,0.21,0.0,0.19,0.19,0.19,0.19,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.0,0.17,0.18,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.01
07/22/2021,1.41,1.1,1.11,1.12,0.98,1.03,0.84,1.05,1.03,0.97,0.91,0.79,0.8,0.83,0.81,0.77,0.72,0.75,1.29,0.77,0.75,0.72,0.75,0.68,0.71,0.67,0.67,0.72,0.69,0.64,0.66,0.64,0.59,0.66,0.67,0.59,0.63,0.64,0.58,0.63,0.6,0.61,0.57,0.6,0.57,0.59,0.54,0.56,0.54,0.55,0.54,0.53,0.54,0.55,0.5,0.53,0.5,0.53,0.5,0.54,0.36,0.51,0.44,0.49,0.5,0.46,0.45,0.51,0.47,0.52,0.47,0.45,0.47,0.48,0.46,0.48,0.45,0.44,0.46,0.45,0.33,0.44,0.43,0.44,0.41,0.41,0.37,0.43,0.4,0.37,0.39,0.38,0.37,0.4,0.38,0.37,0.36,0.38,0.35,0.37,0.36,0.36,0.39,0.34,0.36,0.34,0.35,0.34,0.35,0.31,0.38,0.32,0.35,0.29,0.35,0.35,0.0,0.35,0.37,0.31,0.32,0.29,0.28,0.3,0.3,0.3,0.3,0.29,0.29,0.32,0.3,0.3,0.3,0.42,0.29,0.28,0.28,0.3,0.27,0.26,0.27,0.27,0.27,0.25,0.25,0.25,0.26,0.24,0.26,0.24,0.27,0.25,0.2,0.22,0.24,0.24,0.23,0.23,0.2,0.23,0.24,0.23,0.23,0.22,0.2,0.22,0.22,0.23,0.21,0.2,0.21,0.2,0.2,0.2,0.26,0.21,0.22,0.22,0.22,0.22,0.18,0.19,0.18,0.19,0.21,0.0,0.18,0.19,0.19,0.19,0.0,0.18,0.0,0.0,0.18,0.0,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.13
