,COF,GOOG,BRK.B,AMZN,WFC,FB,D05.SI,BABA,AXP,USB,JPM,EDU,AMAT,MKL,BK,INTC,DGX,1299.HK,BAC,VTRS,DANSKE.CO,NPN.JO,RTX,VRM,CI,2318.HK,n/a,SUM
07/09/2021,12.75,11.11,7.97,7.95,6.12,5.14,4.64,4.38,4.36,3.99,3.41,3.33,3.01,2.9,2.79,2.58,2.27,2.04,2.02,1.99,1.15,1.13,1.11,1.06,0.81,0.0,0.0,100.01
07/12/2021,12.69,11.45,8.04,8.68,5.9,5.15,4.66,4.13,4.45,3.92,3.39,2.83,2.97,2.96,2.7,2.58,2.34,2.06,1.96,1.91,1.19,1.07,1.12,1.05,0.81,0.0,0.0,100.01
07/13/2021,12.69,11.45,8.04,8.68,5.9,5.15,4.66,4.13,4.45,3.92,3.39,2.83,2.97,2.96,2.7,2.58,2.34,2.06,1.96,1.91,1.19,1.07,1.12,1.05,0.81,0.0,0.0,100.01
07/14/2021,13.05,11.22,8.03,8.45,5.98,5.1,4.6,4.15,4.46,3.96,3.42,2.92,2.95,2.96,2.73,2.55,2.31,2.05,1.97,1.94,1.18,1.05,1.11,1.07,0.81,0.0,0.0,100.02
07/15/2021,13.33,11.24,7.98,8.4,5.96,5.09,4.59,4.12,4.48,3.98,3.45,2.85,2.98,2.88,2.73,2.57,2.3,2.0,1.99,1.91,1.17,1.05,1.1,1.04,0.8,0.0,0.0,99.99
07/16/2021,13.21,11.32,7.98,8.34,5.85,5.09,4.65,4.22,4.47,3.95,3.41,3.02,2.98,2.84,2.72,2.59,2.3,2.07,1.96,1.88,1.16,1.04,1.09,1.07,0.81,0.0,0.0,100.02
07/19/2021,12.96,11.3,7.97,8.2,6.07,4.96,4.57,4.31,4.46,4.06,3.39,3.0,2.9,2.86,2.64,2.53,2.28,2.04,1.9,1.87,1.15,1.09,1.08,0.99,0.8,0.62,0.0,100.0
07/20/2021,12.85,11.45,7.99,8.14,6.02,4.96,4.64,4.29,4.43,3.98,3.34,2.86,2.81,2.91,2.71,2.51,2.3,2.06,1.88,1.87,1.14,1.12,1.07,0.99,0.8,0.86,0.0,99.98
07/21/2021,12.85,11.45,7.99,8.14,6.02,4.96,4.64,4.29,4.43,3.98,3.34,2.86,2.81,2.91,2.71,2.51,2.3,2.06,1.88,1.87,1.14,1.12,1.07,0.99,0.8,0.86,0.0,99.98
07/22/2021,12.85,11.45,7.99,8.14,6.02,4.96,4.64,4.29,4.43,3.98,3.34,2.86,2.81,2.91,2.71,2.51,2.3,2.06,1.88,1.87,1.14,1.12,1.07,0.99,0.8,0.86,0.0,99.98
07/23/2021,12.83,11.34,7.92,8.11,6.07,4.94,4.54,4.24,4.38,3.89,3.28,2.73,2.89,2.9,2.7,2.51,2.32,2.0,1.86,1.88,1.11,1.08,1.09,1.01,0.79,1.6,0.0,100.01000000000002
07/26/2021,12.88,11.33,7.81,8.11,5.99,4.99,4.54,4.24,4.35,3.81,3.25,2.77,2.95,2.85,2.67,2.5,2.31,2.01,1.84,1.84,1.14,1.1,1.08,0.97,0.78,1.9,0.0,100.01
07/27/2021,12.91,11.83,7.91,8.24,6.0,5.31,4.58,4.13,4.46,3.84,3.28,1.28,3.01,2.91,2.71,2.4,2.36,2.0,1.84,1.87,1.1,1.08,1.09,0.99,0.79,2.08,0.0,100.0
07/28/2021,12.91,11.83,7.91,8.24,6.0,5.31,4.58,4.13,4.46,3.84,3.28,1.28,3.01,2.91,2.71,2.4,2.36,2.0,1.84,1.87,1.1,1.08,1.09,0.99,0.79,2.08,0.0,100.0
07/29/2021,13.17,12.06,7.97,8.39,6.09,5.38,4.59,3.86,4.47,3.89,3.32,0.6,3.02,2.89,2.74,2.47,2.36,1.98,1.88,1.87,1.15,1.01,1.1,0.98,0.78,1.99,0.0,100.01
07/30/2021,13.31,11.93,8.1,8.3,6.16,5.37,4.61,3.78,4.52,3.93,3.35,0.48,2.97,2.93,2.76,2.44,2.41,1.92,1.89,1.9,1.14,0.95,1.14,1.0,0.79,1.92,0.0,100.00000000000004
08/02/2021,13.61,11.12,8.19,7.33,6.44,5.3,4.8,4.07,4.56,4.01,3.43,0.1,3.07,2.95,2.86,2.5,2.46,2.01,1.95,1.98,1.17,1.09,1.15,1.02,0.8,2.03,0.0,100.0
08/03/2021,13.61,11.12,8.19,7.33,6.44,5.3,4.8,4.07,4.56,4.01,3.43,0.1,3.07,2.95,2.86,2.5,2.46,2.01,1.95,1.98,1.17,1.09,1.15,1.02,0.8,2.03,0.0,100.0
08/04/2021,13.61,11.12,8.19,7.33,6.44,5.3,4.8,4.07,4.56,4.01,3.43,0.1,3.07,2.95,2.86,2.5,2.46,2.01,1.95,1.98,1.17,1.09,1.15,1.02,0.8,2.03,0.0,100.0
08/05/2021,13.61,11.12,8.19,7.33,6.44,5.3,4.8,4.07,4.56,4.01,3.43,0.1,3.07,2.95,2.86,2.5,2.46,2.01,1.95,1.98,1.17,1.09,1.15,1.02,0.8,2.03,0.0,100.0
08/06/2021,13.58,10.45,8.35,6.91,6.54,5.26,4.82,4.12,4.54,4.02,3.47,0.0,3.22,2.98,2.94,2.55,2.57,2.05,1.97,1.99,1.17,1.03,1.17,1.0,0.83,2.49,0.0,100.02
08/09/2021,13.66,10.46,8.27,6.9,6.53,5.41,4.89,4.14,4.53,3.99,3.46,0.0,3.21,3.06,2.91,2.53,2.59,2.02,1.98,1.94,1.17,1.02,1.15,0.98,0.73,0.0,2.46,99.99
08/10/2021,13.67,10.3,8.29,6.73,6.67,5.34,4.83,4.02,4.51,4.01,3.5,0.0,3.17,3.05,2.94,2.49,2.54,1.99,2.01,1.96,1.16,1.01,1.14,0.98,1.31,2.4,0.0,100.02
08/11/2021,13.67,10.3,8.29,6.73,6.67,5.34,4.83,4.02,4.51,4.01,3.5,0.0,3.17,3.05,2.94,2.49,2.54,1.99,2.01,1.96,1.16,1.01,1.14,0.98,1.31,2.4,0.0,100.02
08/13/2021,13.84,10.21,8.26,6.57,6.68,5.22,4.84,3.94,4.39,4.0,3.49,0.0,3.02,3.0,2.93,2.45,2.53,1.98,2.04,2.04,1.14,1.09,1.12,0.99,1.82,2.4,0.0,99.99
08/16/2021,14.24,10.16,8.23,6.49,6.84,5.2,4.74,3.83,4.33,4.05,3.51,0.0,2.8,3.03,2.97,2.42,2.5,1.93,2.06,2.01,1.15,1.04,1.12,0.78,2.24,2.34,0.0,100.01
08/17/2021,14.33,10.18,8.18,6.48,6.74,5.22,4.72,3.77,4.27,4.01,3.48,0.0,2.82,3.02,2.92,2.42,2.51,1.96,2.04,2.01,1.16,1.03,1.11,0.77,2.54,2.31,0.0,99.99999999999999
