,"Dj Industrial Average Swap Citibank, N.A.",Dj Industrial Average Index Swap Bnp Paribas,Dj Industrial Average Swap Ubs Ag,Dj Industrial Average Swap Societe Generale,Cash,"Dj Industrial Average Swap Bank Of America, Na",Dj Industrial Average Swap Morgan Stanley & Co. International Plc,UNH,GS,E-mini Dow $5 Future Sept 21,HD,MSFT,CRM,AMGN,BA,V,MCD,HON,CAT,MMM,DIS,AXP,JNJ,JPM,NKE,TRV,IBM,WMT,AAPL,PG,CVX,MRK,DOW,INTC,VZ,KO,CSCO,WBA,Djia Mini 09/17/21 (Dmu1) - Cash Offset,Dj Industrial Average Swap Morgan Stanley & Co. International Plc - Cash Of,Dj Industrial Average Swap Bank Of America Na - Cash Offset,Dj Industrial Average Swap Societe Generale - Cash Offset,Dj Industrial Average Swap Ubs Ag - Cash Offset,Dj Industrial Average Index Swap Bnp Paribas - Cash Offset,Dj Industrial Average Swap Citibank Na - Cash Offset,SUM
07/09/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/12/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/13/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/14/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/15/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/16/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/19/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/20/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/21/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
07/22/2021,50.86,50.66,49.58,41.97,35.02,29.47,7.89,4.97,4.71,4.54,3.95,3.36,3.03,3.02,2.97,2.9,2.86,2.72,2.7,2.46,2.18,2.05,2.04,1.93,1.92,1.86,1.82,1.75,1.7,1.67,1.3,0.96,0.78,0.7,0.69,0.67,0.66,0.65,-4.54,-7.89,-29.47,-41.97,-49.58,-50.66,-50.86,100.00000000000004
