,COF,USB,BRK.B,AXP,WFC,PNC,MKL,BAC,CB,JPM,BK,BAER.SW,D05.SI,L,DNB.OL,SCHW,DANSKE.CO,Y,RKT,NTB,MTB,STT,RE,TFC,GLRE,BPFH,300888.SZ,SUM
07/09/2021,11.09,7.37,6.2,5.78,5.73,5.03,4.95,4.81,4.69,4.53,4.22,4.18,3.98,3.9,3.56,3.53,3.28,3.07,2.48,2.41,1.69,1.03,0.91,0.86,0.5,0.23,0.0,100.01
07/12/2021,11.12,7.29,6.3,5.94,5.56,4.95,5.09,4.69,4.75,4.53,4.12,4.12,4.02,3.88,3.56,3.41,3.4,3.1,2.62,2.42,1.65,1.0,0.9,0.84,0.51,0.0,0.23,100.0
07/13/2021,11.12,7.29,6.3,5.94,5.56,4.95,5.09,4.69,4.75,4.53,4.12,4.12,4.02,3.88,3.56,3.41,3.4,3.1,2.62,2.42,1.65,1.0,0.9,0.84,0.51,0.0,0.23,100.0
07/14/2021,11.36,7.32,6.26,5.92,5.6,4.97,5.05,4.7,4.75,4.54,4.13,4.05,3.95,3.89,3.55,3.44,3.35,3.07,2.53,2.42,1.66,1.03,0.9,0.85,0.5,0.0,0.22,100.01
07/15/2021,11.58,7.34,6.2,5.94,5.59,4.99,4.9,4.73,4.77,4.57,4.13,4.08,3.93,3.89,3.59,3.47,3.3,3.04,2.38,2.42,1.66,1.02,0.89,0.85,0.51,0.0,0.22,99.99
07/16/2021,11.58,7.35,6.26,5.97,5.54,4.98,4.89,4.7,4.78,4.56,4.16,4.13,4.02,3.88,3.53,3.51,3.32,3.03,2.28,2.38,1.65,1.03,0.89,0.85,0.52,0.0,0.23,100.02
07/19/2021,11.39,7.59,6.26,5.97,5.76,4.98,4.93,4.57,4.87,4.55,4.04,4.1,3.96,3.9,3.45,3.45,3.29,3.06,2.35,2.38,1.65,1.01,0.89,0.86,0.51,0.0,0.22,99.99
07/20/2021,11.34,7.47,6.3,5.96,5.75,4.89,5.05,4.52,4.95,4.5,4.16,4.09,4.03,3.91,3.42,3.41,3.29,3.1,2.34,2.35,1.62,1.05,0.91,0.85,0.51,0.0,0.23,100.0
07/21/2021,11.34,7.47,6.3,5.96,5.75,4.89,5.05,4.52,4.95,4.5,4.16,4.09,4.03,3.91,3.42,3.41,3.29,3.1,2.34,2.35,1.62,1.05,0.91,0.85,0.51,0.0,0.23,100.0
07/22/2021,11.34,7.47,6.3,5.96,5.75,4.89,5.05,4.52,4.95,4.5,4.16,4.09,4.03,3.91,3.42,3.41,3.29,3.1,2.34,2.35,1.62,1.05,0.91,0.85,0.51,0.0,0.23,100.0
07/23/2021,11.42,7.36,6.39,5.89,5.77,4.89,5.08,4.55,4.93,4.5,4.14,4.1,4.05,3.87,3.38,3.41,3.29,3.1,2.42,2.36,1.61,1.02,0.9,0.84,0.5,0.0,0.23,100.0
07/26/2021,11.63,7.3,6.3,5.99,5.85,4.84,5.05,4.53,4.97,4.48,4.2,4.2,4.04,3.88,3.31,3.33,3.34,3.04,2.38,2.31,1.53,1.06,0.89,0.85,0.49,0.0,0.21,100.0
07/27/2021,11.54,7.29,6.33,6.08,5.8,4.88,5.11,4.51,4.96,4.47,4.21,4.23,4.04,3.88,3.31,3.37,3.21,3.04,2.34,2.34,1.54,1.06,0.89,0.85,0.49,0.0,0.22,99.99
07/28/2021,11.54,7.29,6.33,6.08,5.8,4.88,5.11,4.51,4.96,4.47,4.21,4.23,4.04,3.88,3.31,3.37,3.21,3.04,2.34,2.34,1.54,1.06,0.89,0.85,0.49,0.0,0.22,99.99
07/29/2021,11.63,7.31,6.3,6.02,5.81,4.89,5.01,4.53,4.97,4.47,4.21,4.2,4.0,3.89,3.32,3.35,3.33,3.01,2.33,2.34,1.56,1.07,0.89,0.86,0.49,0.0,0.21,99.99999999999996
07/30/2021,11.66,7.32,6.35,6.04,5.84,4.89,5.03,4.52,5.01,4.48,4.21,4.13,3.98,3.88,3.3,3.33,3.27,3.04,2.32,2.29,1.58,1.06,0.9,0.86,0.49,0.0,0.22,100.0
08/02/2021,10.99,7.35,6.32,5.15,6.01,4.92,5.0,4.6,5.53,4.52,4.3,4.31,4.08,3.88,3.48,3.38,3.31,3.04,2.35,2.31,1.6,1.09,0.91,0.86,0.49,0.0,0.22,100.0
08/03/2021,10.99,7.35,6.32,5.15,6.01,4.92,5.0,4.6,5.53,4.52,4.3,4.31,4.08,3.88,3.48,3.38,3.31,3.04,2.35,2.31,1.6,1.09,0.91,0.86,0.49,0.0,0.22,100.0
08/04/2021,10.99,7.35,6.32,5.15,6.01,4.92,5.0,4.6,5.53,4.52,4.3,4.31,4.08,3.88,3.48,3.38,3.31,3.04,2.35,2.31,1.6,1.09,0.91,0.86,0.49,0.0,0.22,100.0
08/05/2021,10.99,7.35,6.32,5.15,6.01,4.92,5.0,4.6,5.53,4.52,4.3,4.31,4.08,3.88,3.48,3.38,3.31,3.04,2.35,2.31,1.6,1.09,0.91,0.86,0.49,0.0,0.22,99.99999999999999
