,ADUS,JHC.AX,SUM.NZ,6062.T,INA.AX,EXE.TO,CSH.UN.TO,OCA.NZ,VMD.TO,MDTR IT,CPINV.BR,REG.AX,KORI.PA,6099.T,EHE.AX,ARV.NZ,SIA.TO,9262.T,AMBEA.ST,ATT.ST,EUR,CASHILS,2175.T,AED.BR,USD,LIC.AX,B7S.,CTRE,DHC,ENSG,FVE,HCSG,PEAK,LHCG,LTC,RYM.NZ,WELL,NHC,NHI,SNR,2374.T,OHI,PNTG,ORP.PA,SBRA,VTR,AMED US,AMED,9262 JP,CAD,CHE,9783.T,CANO,6197.T,CMAX,CASHJPY,SUM
07/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/12/2021,1.06,0.2,1.72,0.14,1.01,0.44,1.83,0.39,0.17,0.19,0.69,0.15,2.21,0.25,0.27,0.56,0.72,0.0,0.46,0.37,0.0,0.01,1.67,3.73,0.02,0.68,1.21,1.81,0.78,3.67,0.08,1.88,10.18,4.47,1.21,2.84,19.61,0.7,2.36,0.56,0.08,4.67,0.82,4.34,3.1,11.91,0.0,4.71,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,1.06,0.2,1.72,0.14,1.01,0.44,1.83,0.39,0.17,0.19,0.69,0.15,2.21,0.25,0.27,0.56,0.72,0.0,0.46,0.37,0.0,0.01,1.67,3.73,0.02,0.68,1.21,1.81,0.78,3.67,0.08,1.88,10.18,4.47,1.21,2.84,19.61,0.7,2.36,0.56,0.08,4.67,0.82,4.34,3.1,11.91,0.0,4.71,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,1.06,0.2,1.72,0.14,1.01,0.44,1.83,0.39,0.17,0.19,0.69,0.15,2.21,0.25,0.27,0.56,0.72,0.0,0.46,0.37,0.0,0.01,1.67,3.73,0.02,0.68,1.21,1.81,0.78,3.67,0.08,1.88,10.18,4.47,1.21,2.84,19.61,0.7,2.36,0.56,0.08,4.67,0.82,4.34,3.1,11.91,0.0,4.71,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,1.07,0.2,1.73,0.14,1.01,0.44,1.83,0.39,0.17,0.19,0.69,0.14,2.21,0.26,0.26,0.54,0.71,0.0,0.47,0.36,0.0,0.01,1.7,3.76,0.02,0.67,1.23,1.81,0.79,3.71,0.08,1.88,10.14,4.39,1.2,2.86,19.67,0.71,2.35,0.56,0.08,4.66,0.83,4.32,3.09,11.96,0.0,4.64,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,1.06,0.2,1.74,0.14,1.02,0.44,1.83,0.4,0.17,0.19,0.7,0.15,2.23,0.27,0.27,0.56,0.71,0.0,0.46,0.37,0.02,0.01,1.67,3.77,0.0,0.69,1.22,1.8,0.77,3.68,0.08,1.88,10.1,4.37,1.2,2.85,19.75,0.71,2.33,0.56,0.08,4.64,0.8,4.38,3.05,11.99,0.0,4.62,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,1.03,0.2,1.73,0.14,0.98,0.44,1.8,0.4,0.17,0.19,0.68,0.15,2.13,0.26,0.27,0.55,0.7,0.0,0.45,0.36,0.0,0.01,1.63,3.71,0.01,0.68,1.21,1.79,0.79,3.64,0.08,1.86,10.35,4.35,1.21,2.86,20.16,0.72,2.35,0.57,0.08,4.65,0.75,4.21,3.04,12.09,0.0,4.49,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,1.04,0.2,1.72,0.14,0.98,0.43,1.78,0.4,0.16,0.19,0.69,0.15,2.14,0.26,0.26,0.55,0.7,0.0,0.45,0.36,0.0,0.01,1.61,3.72,0.02,0.68,1.18,1.8,0.77,3.63,0.08,1.8,10.37,4.32,1.23,2.84,20.29,0.73,2.36,0.57,0.08,4.67,0.75,4.2,3.05,12.07,0.0,4.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,1.04,0.2,1.72,0.14,0.98,0.43,1.78,0.4,0.16,0.19,0.69,0.15,2.14,0.26,0.26,0.55,0.7,0.0,0.45,0.36,0.0,0.01,1.61,3.72,0.02,0.68,1.18,1.8,0.77,3.63,0.08,1.8,10.37,4.32,1.23,2.84,20.29,0.73,2.36,0.57,0.08,4.67,0.75,4.2,3.05,12.07,0.0,4.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,1.06,0.2,1.73,0.14,0.98,0.43,1.75,0.4,0.16,0.19,0.7,0.14,2.15,0.26,0.26,0.56,0.69,0.0,0.46,0.37,0.0,0.01,1.65,3.79,0.02,0.71,1.17,1.82,0.72,3.7,0.08,1.87,10.5,4.46,1.23,2.89,19.65,0.74,2.36,0.56,0.08,4.67,0.77,4.25,3.04,12.0,0.0,4.56,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
