,IWN,IWO,EEMS,IWM,SCZ,Fidelity® Inv MM Fds Government I,OEG,n/a,SUM
07/09/2021,40.92,19.98,15.17,12.08,10.56,1.28,0.0,0.0,99.99
07/12/2021,40.39,19.88,15.52,11.98,10.91,1.31,0.0,0.0,99.99
07/13/2021,40.39,19.88,15.52,11.98,10.91,1.31,0.0,0.0,99.99
07/14/2021,40.41,19.95,15.52,12.0,10.87,1.25,0.0,0.0,100.0
07/15/2021,40.61,19.87,15.44,11.99,10.86,1.22,0.0,0.0,99.99
07/16/2021,40.61,19.87,15.44,11.99,10.86,1.22,0.0,0.0,99.99
07/19/2021,40.35,19.59,15.83,11.88,11.1,1.25,0.0,0.0,100.0
07/20/2021,40.46,19.44,15.98,11.85,11.02,1.26,0.0,0.0,100.01
07/21/2021,40.31,19.44,16.09,11.83,11.06,1.27,0.0,0.0,100.0
07/22/2021,40.31,19.44,16.09,11.83,11.06,1.27,0.0,0.0,100.0
07/23/2021,40.31,19.44,16.09,11.83,11.06,1.27,0.0,0.0,100.0
07/26/2021,40.4,19.85,15.65,11.97,10.88,1.25,0.0,0.0,100.0
07/27/2021,40.4,19.85,15.65,11.97,10.88,1.25,0.0,0.0,100.0
07/28/2021,40.09,19.86,15.77,11.93,11.09,1.26,0.0,0.0,100.0
07/29/2021,40.28,19.71,15.75,11.91,11.1,1.25,0.0,0.0,100.0
07/30/2021,40.28,19.71,15.75,11.91,11.1,1.25,0.0,0.0,100.0
08/02/2021,40.37,19.78,15.57,11.93,11.1,1.25,0.0,0.0,100.0
08/03/2021,40.37,19.78,15.57,11.93,11.1,1.25,0.0,0.0,100.0
08/04/2021,40.37,19.78,15.57,11.93,11.1,1.25,0.0,0.0,100.0
08/05/2021,40.37,19.78,15.57,11.93,11.1,1.25,0.0,0.0,100.0
08/06/2021,40.34,19.64,15.66,11.89,11.21,0.71,0.54,0.0,99.99
08/09/2021,40.07,19.8,15.63,11.9,11.14,0.0,0.5,0.96,100.0
08/10/2021,40.07,19.8,15.63,11.9,11.14,0.0,0.5,0.96,100.0
