,CNHI.MI,AGR,WCN.TO,B 0 02.10.22,ABJA.,JCI,GOOG,WY,GM,INFO,APD,XYL,ARD,NEP,HUBB,NOMD,RSG,EVA,PACK,DAN,BEPC,CCK,CMI,FLEX,BAX,REZI,BMY,AQUA,UL,AWK,JHG,DE,ING,TKR,EOSE,NEE,BBVA,VMI,AMBP,IMPX,BEN,LFG,XEL,BMRN,WLDN,ILMN,HMCO,B 0 12.09.21,BHTG,RENO,EVAUSD,n/a,ROCK,MIR,LTHM,SUM
12/06/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/07/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/08/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/09/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/10/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/13/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/14/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/15/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/16/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/17/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/20/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/21/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/22/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/23/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/24/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
12/27/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.0,0.14,0.0,0.0,0.0,0.0,0.0,100.03
12/28/2021,4.36,3.97,3.82,3.82,3.8,3.7,3.41,3.41,3.23,3.18,3.12,2.97,2.84,2.83,2.74,2.5,2.35,2.32,2.27,2.27,2.12,2.12,2.09,1.97,1.93,1.83,1.8,1.71,1.66,1.58,1.5,1.48,1.45,1.43,1.29,1.05,1.04,1.04,1.02,1.02,0.99,0.97,0.95,0.83,0.59,0.51,0.51,0.5,0.0,0.14,0.0,0.0,0.0,0.0,0.0,100.03
