,ABT,TMO,MDT,DHR,ISRG,EW,SYK,BDX,BSX,IDXX,DXCM,BAX,RMD,ZBH,WAT,STE,TFX,PODD,HOLX,NVCR,ABMD,BIO,MASI,PEN,BRKR,HRC,NVST,STAA,TNDM,GMED,SWAV,NVRO,IART,CNMD,LIVN,GKOS,ATRC,NUVA,ITGR,NSTG,CYRX,HSKA,AXNX,IRTC,CSII,OCDX,MLAB,INGN,XTSLA,TCMD,LMAT,ANGO,VREX,CRY,OM,NTUS,TMDX,SRDX,AXGN,OFIX,VRAY,NARI,USD,XENT,SPNE,VAPO,EAR,WFFUT,IXTU1,IXCU1,SUM
07/09/2021,12.79,12.32,10.35,10.27,4.66,4.4,4.32,4.23,4.12,3.73,2.83,2.71,2.4,2.25,1.47,1.37,1.28,1.26,1.17,1.06,0.98,0.96,0.86,0.62,0.53,0.51,0.46,0.45,0.42,0.41,0.41,0.36,0.33,0.27,0.26,0.25,0.24,0.23,0.2,0.19,0.19,0.15,0.15,0.12,0.11,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,99.98000000000002
07/12/2021,12.82,12.33,10.37,10.19,4.67,4.46,4.3,4.25,4.08,3.73,2.87,2.71,2.42,2.2,1.5,1.37,1.31,1.24,1.19,1.09,0.98,0.96,0.88,0.61,0.53,0.52,0.46,0.45,0.41,0.41,0.4,0.35,0.32,0.26,0.26,0.24,0.25,0.23,0.2,0.19,0.18,0.15,0.15,0.12,0.11,0.11,0.09,0.08,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.04,0.04,0.03,0.02,0.01,0.0,0.0,100.02
07/13/2021,12.82,12.33,10.37,10.19,4.67,4.46,4.3,4.25,4.08,3.73,2.87,2.71,2.42,2.2,1.5,1.37,1.31,1.24,1.19,1.09,0.98,0.96,0.88,0.61,0.53,0.52,0.46,0.45,0.41,0.41,0.4,0.35,0.32,0.26,0.26,0.24,0.25,0.23,0.2,0.19,0.18,0.15,0.15,0.12,0.11,0.11,0.09,0.08,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.04,0.04,0.03,0.02,0.01,0.0,0.0,100.02
07/14/2021,12.86,12.29,10.42,10.2,4.66,4.43,4.31,4.23,4.1,3.77,2.82,2.68,2.39,2.2,1.51,1.37,1.31,1.23,1.18,1.11,0.97,0.96,0.87,0.62,0.54,0.52,0.46,0.44,0.4,0.41,0.4,0.35,0.32,0.26,0.26,0.23,0.25,0.22,0.2,0.19,0.18,0.16,0.14,0.12,0.11,0.11,0.09,0.09,0.05,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.07,0.04,0.04,0.03,0.02,0.01,0.0,0.0,99.99000000000002
07/15/2021,12.86,12.29,10.42,10.2,4.66,4.43,4.31,4.23,4.1,3.77,2.82,2.68,2.39,2.2,1.51,1.37,1.31,1.23,1.18,1.11,0.97,0.96,0.87,0.62,0.54,0.52,0.46,0.44,0.4,0.41,0.4,0.35,0.32,0.26,0.26,0.23,0.25,0.22,0.2,0.19,0.18,0.16,0.14,0.12,0.11,0.11,0.09,0.09,0.05,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.07,0.04,0.04,0.03,0.02,0.01,0.0,0.0,99.99000000000002
07/16/2021,12.83,12.3,10.43,10.24,4.72,4.43,4.29,4.24,4.08,3.77,2.88,2.72,2.41,2.18,1.52,1.36,1.31,1.19,1.17,1.08,0.96,0.96,0.88,0.6,0.54,0.52,0.46,0.42,0.4,0.42,0.38,0.35,0.32,0.26,0.26,0.23,0.25,0.23,0.2,0.18,0.18,0.16,0.15,0.12,0.11,0.11,0.09,0.09,0.05,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.04,0.04,0.03,0.02,0.01,0.0,0.0,100.01
07/19/2021,12.75,12.44,10.38,10.51,4.76,4.46,4.26,4.25,4.04,3.78,2.88,2.75,2.45,2.15,1.55,1.36,1.19,1.16,1.18,1.06,0.95,0.97,0.91,0.57,0.54,0.51,0.45,0.41,0.4,0.41,0.35,0.34,0.32,0.25,0.26,0.17,0.24,0.22,0.2,0.17,0.17,0.15,0.14,0.11,0.1,0.11,0.09,0.08,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.11,0.04,0.04,0.03,0.02,0.01,0.0,0.0,100.0
07/20/2021,12.75,12.44,10.38,10.51,4.76,4.46,4.26,4.25,4.04,3.78,2.88,2.75,2.45,2.15,1.55,1.36,1.19,1.16,1.18,1.06,0.95,0.97,0.91,0.57,0.54,0.51,0.45,0.41,0.4,0.41,0.35,0.34,0.32,0.25,0.26,0.17,0.24,0.22,0.2,0.17,0.17,0.15,0.14,0.11,0.1,0.11,0.09,0.08,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.11,0.04,0.04,0.03,0.02,0.01,0.0,0.0,100.0
07/22/2021,13.01,12.63,10.18,10.63,4.66,4.32,4.13,4.27,3.96,3.86,2.84,2.73,2.49,2.11,1.51,1.35,1.18,1.19,1.22,1.06,0.96,0.98,0.9,0.59,0.54,0.52,0.43,0.42,0.41,0.41,0.36,0.35,0.31,0.25,0.25,0.18,0.24,0.22,0.19,0.18,0.17,0.16,0.14,0.1,0.1,0.11,0.09,0.08,0.11,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.0,0.0,100.01000000000002
07/23/2021,12.83,12.49,10.27,10.49,4.71,4.42,4.18,4.21,4.05,3.81,2.89,2.7,2.48,2.16,1.53,1.36,1.2,1.21,1.2,1.08,0.98,0.96,0.9,0.59,0.55,0.52,0.44,0.41,0.42,0.41,0.36,0.35,0.32,0.25,0.26,0.15,0.24,0.22,0.2,0.18,0.17,0.17,0.14,0.1,0.1,0.11,0.09,0.09,0.1,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.0,0.0,99.99000000000002
07/27/2021,12.65,12.41,10.3,10.58,4.76,4.39,4.2,4.21,4.08,3.84,2.88,2.67,2.47,2.18,1.54,1.37,1.21,1.19,1.21,1.08,0.97,0.96,0.9,0.6,0.55,0.52,0.44,0.41,0.43,0.42,0.36,0.35,0.31,0.26,0.26,0.15,0.24,0.22,0.2,0.18,0.18,0.16,0.15,0.1,0.1,0.11,0.09,0.09,0.1,0.06,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.0,0.0,99.96000000000002
07/29/2021,12.72,12.46,10.32,10.57,4.7,4.44,4.25,4.19,4.1,3.84,2.87,2.67,2.48,2.19,1.55,1.36,1.22,1.15,1.2,1.04,0.97,0.97,0.88,0.58,0.54,0.53,0.44,0.39,0.42,0.42,0.35,0.35,0.32,0.26,0.27,0.15,0.24,0.22,0.2,0.18,0.17,0.16,0.15,0.1,0.1,0.11,0.09,0.09,0.11,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.03,0.02,0.01,0.0,0.0,100.02
07/30/2021,12.65,12.38,10.41,10.5,4.7,4.45,4.3,4.24,4.21,3.81,2.82,2.69,2.5,2.21,1.52,1.37,1.22,1.15,1.2,1.01,0.95,0.99,0.89,0.58,0.53,0.54,0.44,0.37,0.42,0.42,0.35,0.35,0.33,0.26,0.26,0.15,0.24,0.22,0.21,0.18,0.17,0.16,0.14,0.1,0.1,0.11,0.09,0.09,0.11,0.06,0.06,0.07,0.07,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.03,0.02,0.01,0.0,0.0,100.02
08/02/2021,12.67,12.28,10.39,10.54,4.67,4.44,4.28,4.2,4.18,3.85,2.88,2.67,2.51,2.2,1.54,1.36,1.21,1.17,1.2,1.01,0.95,0.99,0.87,0.58,0.54,0.57,0.44,0.39,0.42,0.42,0.37,0.35,0.33,0.26,0.27,0.15,0.24,0.22,0.21,0.18,0.18,0.16,0.15,0.1,0.11,0.11,0.09,0.09,0.11,0.06,0.06,0.07,0.07,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.02,0.01,0.0,0.0,100.04000000000002
08/03/2021,12.57,12.41,10.33,10.58,4.71,4.47,4.27,4.19,4.15,3.71,3.2,2.49,2.54,2.18,1.54,1.36,1.19,1.19,1.23,0.85,0.95,1.02,0.88,0.58,0.54,0.59,0.44,0.38,0.44,0.41,0.37,0.35,0.33,0.26,0.27,0.15,0.25,0.21,0.21,0.18,0.18,0.15,0.15,0.1,0.1,0.12,0.09,0.1,0.13,0.06,0.06,0.07,0.07,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.05,0.04,0.04,0.02,0.01,0.0,0.0,100.0
