,ICF,MTUM,GLD,VIG,MGK,IOO,QQQ,RSP,IJH,IWD,MSFT,AAPL,VHT,IJJ,AMAT,SMH,NEAR,ICSH,MINT,STIP,V,ITB,XHB,XLF,MS,TPX,IGSB,n/a,URI,HD,HON,DE,DIS,LMT,CAT,CMI,TXN,MGM,FCX,FGXXX,VZ,PEP,JPST,PLLDA.AX,IYT,EWW,ROK,FDX,NKE,REGN,SUM
08/25/2021,7.73,7.37,7.33,5.18,5.14,5.05,5.05,5.0,4.82,3.17,2.72,2.61,2.56,2.44,2.13,1.97,1.96,1.96,1.96,1.95,1.9,1.61,1.5,1.21,1.12,1.08,1.08,1.07,1.03,1.02,1.0,0.97,0.96,0.94,0.94,0.93,0.93,0.79,0.78,0.54,0.53,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/26/2021,7.73,7.37,7.33,5.18,5.14,5.05,5.05,5.0,4.82,3.17,2.72,2.61,2.56,2.44,2.13,1.97,1.96,1.96,1.96,1.95,1.9,1.61,1.5,1.21,1.12,1.08,1.08,0.54,1.03,1.02,1.0,0.97,0.96,0.94,0.94,0.93,0.93,0.79,0.78,0.0,0.53,0.01,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/27/2021,7.55,7.48,7.33,5.12,5.15,5.05,5.08,5.0,4.85,3.16,2.67,2.6,2.53,2.46,2.18,2.0,1.94,1.94,1.93,1.93,1.9,1.61,1.5,1.21,1.13,1.1,1.06,1.06,1.06,0.99,1.0,1.0,0.97,0.94,0.96,0.93,0.93,0.83,0.83,0.53,0.52,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/30/2021,7.56,7.51,7.3,5.11,5.13,5.02,5.06,5.0,4.84,3.16,2.64,2.57,2.52,2.45,2.2,2.03,1.94,1.94,1.94,1.94,1.87,1.6,1.51,1.22,1.14,1.12,1.07,1.06,1.07,0.99,1.0,1.04,0.96,0.95,0.96,0.94,0.93,0.85,0.82,0.54,0.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/31/2021,7.56,7.51,7.3,5.11,5.13,5.02,5.06,5.0,4.84,3.16,2.64,2.57,2.52,2.45,2.2,2.03,1.94,1.94,1.94,1.94,1.87,1.6,1.51,1.22,1.14,1.12,1.07,0.54,1.07,0.99,1.0,1.04,0.96,0.95,0.96,0.94,0.93,0.85,0.82,0.0,0.51,0.01,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/01/2021,7.54,7.53,7.33,5.08,5.12,5.01,5.05,5.0,4.88,3.15,2.62,2.56,2.5,2.47,2.24,2.05,1.92,1.92,1.92,1.92,1.87,1.61,1.52,1.22,1.14,1.13,1.06,1.05,1.08,0.98,0.99,1.03,0.97,0.94,0.95,0.94,0.93,0.87,0.85,0.53,0.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,7.54,7.53,7.33,5.08,5.12,5.01,5.05,5.0,4.88,3.15,2.62,2.56,2.5,2.47,2.24,2.05,1.92,1.92,1.92,1.92,1.87,1.61,1.52,1.22,1.14,1.13,1.06,1.05,1.08,0.98,0.99,1.03,0.97,0.94,0.95,0.94,0.93,0.87,0.85,0.53,0.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,7.6,7.49,7.28,5.08,5.17,5.03,5.1,4.98,4.86,3.14,2.65,2.63,2.51,2.45,2.23,2.05,1.92,1.92,1.91,1.92,1.85,1.6,1.52,1.2,1.13,1.13,1.05,0.53,1.08,0.99,1.0,1.03,0.96,0.94,0.94,0.93,0.94,0.85,0.85,0.0,0.51,0.01,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/06/2021,7.8,7.46,7.22,5.11,5.12,5.03,5.06,4.99,4.84,3.19,2.58,2.59,2.55,2.45,2.17,2.03,1.91,1.91,1.91,1.9,1.77,1.61,1.5,1.24,1.13,1.13,1.07,1.07,1.07,0.99,0.99,1.03,0.97,0.92,0.94,0.93,0.92,0.83,0.82,0.0,0.52,0.01,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/07/2021,7.8,7.46,7.22,5.11,5.12,5.03,5.06,4.99,4.84,3.19,2.58,2.59,2.55,2.45,2.17,2.03,1.91,1.91,1.91,1.9,1.77,1.61,1.5,1.24,1.13,1.13,1.07,0.74,1.07,0.99,0.99,1.03,0.97,0.92,0.94,0.93,0.92,0.83,0.82,0.0,0.52,0.01,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
