,BRK.B,JPM,JNJ,UNH,PG,BAC,DIS,CMCSA,XOM,VZ,INTC,CSCO,PFE,T,CVX,WMT,MRK,CRM,TMO,WFC,MDT,DHR,PM,BMY,NEE,MCD,C,RTX,BLK,BA,MS,IBM,HON,GS,GE,SCHW,CVS,GOOGL,ABT,GOOG,MMM,ANTM,PLD,FIS,MDLZ,TMUS,GILD,PNC,CI,COP,GM,MU,DUK,USB,CME,CSX,TFC,ATVI,CB,BDX,COF,TGT,NSC,TXN,ICE,SO,MMC,APD,BSX,KO,D,FISV,ETN,HUM,PGR,F,GPN,EMR,UNP,SYK,ADI,REGN,BIIB,WM,ROP,NOC,NEM,TWTR,JCI,GD,MRVL,TWLO,LHX,EXC,MET,SLB,INFO,SRE,CNC,LLY,AEP,EOG,DLR,DOW,AIG,DD,PRU,BK,ALL,AXP,BAX,ALXN,FDX,EA,MPC,NXPI,MO,ACN,TRV,FCX,OTIS,WELL,AFL,KMI,XEL,CTSH,IFF,PSX,MSI,STZ,GIS,ZBH,SWK,FRC,WBA,CMI,APTV,PEP,ADM,KKR,PH,CTVA,CL,WMB,YUM,SPGI,SBAC,WLTW,PCAR,DG,AVB,VLO,AME,TROW,SIVB,LUV,VRTX,PEG,ORLY,LEN,ARE,LH,NUE,ES,STT,KR,AJG,WEC,XTSLA,AWK,EQR,MCK,O,YUMC,WY,FITB,AZO,LBRDK,CBRE,KHC,CERN,LYB,PPG,RSG,IP,TDOC,NTRS,IQV,KDP,HPQ,AMGN,VIAC,ED,OKE,TDG,MLM,DTE,PPL,VTR,DOV,USD,TT,EIX,AON,HIG,QRVO,ANSGR.IS,FTV,DLTR,VMC,HES,WDC,MKC,BBY,AEE,KMB,CARR,INVH,VRSN,SYF,ESS,EQIX,GRMN,FE,NDAQ,ALB,MAA,SUI,GE.,HBAN,TRMB,TSN,ETR,COO,SUM
07/09/2021,2.58,2.29,2.2,1.78,1.64,1.5,1.49,1.31,1.29,1.16,1.13,1.11,1.09,1.03,1.0,1.0,0.98,0.93,0.92,0.89,0.85,0.83,0.76,0.74,0.73,0.71,0.7,0.65,0.63,0.63,0.62,0.62,0.59,0.57,0.56,0.55,0.53,0.52,0.51,0.51,0.48,0.47,0.45,0.45,0.43,0.43,0.43,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.47999999999999
07/12/2021,2.57,2.27,2.23,1.8,1.67,1.46,1.49,1.33,1.28,1.16,1.12,1.13,1.1,1.01,0.99,1.0,0.99,0.92,0.93,0.88,0.86,0.83,0.77,0.75,0.74,0.72,0.69,0.65,0.63,0.63,0.61,0.63,0.6,0.56,0.56,0.53,0.53,0.52,0.52,0.51,0.49,0.47,0.45,0.44,0.44,0.43,0.43,0.39,0.4,0.4,0.39,0.37,0.39,0.37,0.37,0.35,0.36,0.36,0.35,0.36,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.26,0.26,0.26,0.28,0.25,0.25,0.26,0.25,0.23,0.25,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.11,0.11,0.13,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.59
07/13/2021,2.57,2.27,2.23,1.8,1.67,1.46,1.49,1.33,1.28,1.16,1.12,1.13,1.1,1.01,0.99,1.0,0.99,0.92,0.93,0.88,0.86,0.83,0.77,0.75,0.74,0.72,0.69,0.65,0.63,0.63,0.61,0.63,0.6,0.56,0.56,0.53,0.53,0.52,0.52,0.51,0.49,0.47,0.45,0.44,0.44,0.43,0.43,0.39,0.4,0.4,0.39,0.37,0.39,0.37,0.37,0.35,0.36,0.36,0.35,0.36,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.26,0.26,0.26,0.28,0.25,0.25,0.26,0.25,0.23,0.25,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.11,0.11,0.13,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.59
07/14/2021,2.59,2.31,2.21,1.78,1.65,1.49,1.5,1.31,1.28,1.15,1.12,1.12,1.09,1.0,0.99,0.99,0.97,0.9,0.91,0.9,0.85,0.82,0.76,0.74,0.73,0.71,0.7,0.65,0.64,0.63,0.62,0.62,0.6,0.57,0.57,0.55,0.53,0.52,0.51,0.5,0.49,0.47,0.46,0.44,0.43,0.42,0.42,0.4,0.4,0.4,0.4,0.38,0.38,0.38,0.37,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.32,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.0,0.11,0.0,0.0,0.13,0.12,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53999999999999
07/15/2021,2.59,2.31,2.21,1.78,1.65,1.49,1.5,1.31,1.28,1.15,1.12,1.12,1.09,1.0,0.99,0.99,0.97,0.9,0.91,0.9,0.85,0.82,0.76,0.74,0.73,0.71,0.7,0.65,0.64,0.63,0.62,0.62,0.6,0.57,0.57,0.55,0.53,0.52,0.51,0.5,0.49,0.47,0.46,0.44,0.43,0.42,0.42,0.4,0.4,0.4,0.4,0.38,0.38,0.38,0.37,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.32,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53999999999999
07/16/2021,2.59,2.32,2.21,1.82,1.65,1.49,1.57,1.31,1.28,1.15,1.14,1.12,1.1,1.0,1.0,1.0,0.97,0.9,0.91,0.89,0.85,0.82,0.75,0.75,0.73,0.72,0.7,0.64,0.64,0.61,0.64,0.62,0.6,0.58,0.56,0.56,0.53,0.53,0.51,0.51,0.49,0.48,0.46,0.45,0.44,0.43,0.42,0.4,0.4,0.4,0.4,0.38,0.39,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.34,0.32,0.33,0.33,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.29,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.0,0.11,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.72
07/19/2021,2.6,2.32,2.2,1.83,1.68,1.45,1.58,1.31,1.24,1.16,1.12,1.13,1.11,1.01,0.97,1.01,0.98,0.88,0.91,0.92,0.84,0.84,0.77,0.75,0.75,0.72,0.7,0.64,0.62,0.59,0.64,0.62,0.63,0.58,0.55,0.55,0.54,0.53,0.5,0.51,0.5,0.48,0.46,0.46,0.44,0.43,0.43,0.4,0.4,0.38,0.39,0.37,0.4,0.39,0.37,0.36,0.37,0.35,0.37,0.35,0.36,0.34,0.33,0.33,0.33,0.33,0.31,0.32,0.3,0.32,0.3,0.31,0.3,0.3,0.28,0.27,0.28,0.29,0.27,0.26,0.26,0.26,0.24,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.22,0.21,0.23,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.22,0.19,0.22,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.15,0.14,0.15,0.15,0.16,0.13,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.18,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71
07/20/2021,2.6,2.32,2.2,1.83,1.68,1.45,1.58,1.31,1.24,1.16,1.12,1.13,1.11,1.01,0.97,1.01,0.98,0.88,0.91,0.92,0.84,0.84,0.77,0.75,0.75,0.72,0.7,0.64,0.62,0.59,0.64,0.62,0.63,0.58,0.55,0.55,0.54,0.53,0.5,0.51,0.5,0.48,0.46,0.46,0.44,0.43,0.43,0.4,0.4,0.38,0.39,0.37,0.4,0.39,0.37,0.36,0.37,0.35,0.37,0.35,0.36,0.34,0.33,0.33,0.33,0.33,0.31,0.32,0.3,0.32,0.3,0.31,0.3,0.3,0.28,0.27,0.28,0.29,0.27,0.26,0.26,0.26,0.24,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.22,0.21,0.23,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.22,0.19,0.22,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.15,0.14,0.15,0.15,0.16,0.13,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.18,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71
07/21/2021,2.61,2.29,2.22,1.84,1.71,1.43,1.55,1.31,1.21,1.17,1.11,1.14,1.13,1.01,0.95,1.02,0.99,0.89,0.93,0.92,0.85,0.86,0.77,0.75,0.76,0.72,0.69,0.63,0.63,0.58,0.63,0.62,0.63,0.57,0.55,0.54,0.54,0.53,0.51,0.52,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.39,0.4,0.37,0.38,0.36,0.4,0.38,0.38,0.36,0.37,0.35,0.37,0.36,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.32,0.31,0.31,0.3,0.3,0.28,0.27,0.29,0.29,0.27,0.26,0.25,0.26,0.24,0.26,0.26,0.25,0.25,0.23,0.25,0.24,0.22,0.22,0.23,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.22,0.19,0.22,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.21,0.2,0.2,0.21,0.17,0.18,0.19,0.19,0.2,0.17,0.18,0.19,0.18,0.17,0.19,0.18,0.18,0.16,0.18,0.18,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.15,0.17,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.16,0.15,0.16,0.15,0.16,0.16,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.18,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.13,0.0,0.13,0.12,0.13,0.12,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.83
07/22/2021,2.61,2.25,2.24,1.83,1.74,1.42,1.52,1.32,1.2,1.18,1.13,1.14,1.14,1.01,0.95,1.03,1.0,0.9,0.95,0.91,0.84,0.87,0.78,0.76,0.77,0.72,0.69,0.63,0.62,0.57,0.63,0.63,0.61,0.56,0.53,0.53,0.54,0.53,0.53,0.52,0.5,0.48,0.48,0.45,0.46,0.43,0.44,0.38,0.4,0.37,0.38,0.37,0.41,0.37,0.38,0.36,0.36,0.36,0.37,0.36,0.35,0.35,0.32,0.33,0.33,0.34,0.32,0.32,0.3,0.32,0.31,0.3,0.3,0.3,0.28,0.26,0.28,0.29,0.27,0.25,0.25,0.27,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.21,0.19,0.22,0.21,0.21,0.21,0.22,0.18,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.21,0.2,0.21,0.21,0.17,0.18,0.2,0.2,0.19,0.17,0.18,0.18,0.18,0.17,0.19,0.18,0.18,0.16,0.18,0.18,0.19,0.16,0.17,0.17,0.17,0.17,0.17,0.19,0.16,0.16,0.16,0.15,0.17,0.15,0.16,0.15,0.15,0.14,0.15,0.16,0.16,0.13,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.13,0.14,0.14,0.14,0.15,0.14,0.16,0.14,0.15,0.19,0.16,0.16,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.12,0.13,0.12,0.13,0.12,0.13,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.92
