,ROKU,HUBS,MSFT,ORCL,CERN,EA,ATVI,RBLX,CRNC,FROG,BAND,MGNI,MCFE,APPS,INOV,MANH,ONTF,MDRX,PTC,ALTR,DSP,CVLT,FUO.,NUAN,AMWL,FICO,MAX,CHNG,CGNT,ACIW,AGPXX,Cash/Receivables/Payables,n/a,DLB,INTU,IAS,KNBE,CERT,EVCM,NABL,DOCS,IS,PLTK,BMBL,CSOD,OLO,QADA,SUM
07/09/2021,5.81,5.54,5.09,4.87,4.7,4.61,4.51,4.5,3.48,3.07,3.07,2.94,2.87,2.83,2.81,2.8,2.78,2.78,2.76,2.71,2.64,2.62,2.62,2.6,2.58,2.57,2.52,2.52,2.39,2.38,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/12/2021,5.85,5.63,5.17,5.21,4.77,4.61,4.48,4.52,3.24,3.07,2.89,2.87,2.89,2.66,2.8,2.83,3.02,2.8,2.79,2.7,2.26,2.68,2.66,2.63,2.61,2.64,2.28,2.52,2.48,2.4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,5.85,5.63,5.17,5.21,4.77,4.61,4.48,4.52,3.24,3.07,2.89,2.87,2.89,2.66,2.8,2.83,3.02,2.8,2.79,2.7,2.26,2.68,2.66,2.63,2.61,2.64,2.28,2.52,2.48,2.4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,5.91,5.52,5.2,5.21,4.83,4.65,4.54,4.57,3.27,3.02,2.89,2.75,2.88,2.69,2.87,2.78,2.99,2.85,2.76,2.71,2.18,2.69,2.65,2.66,2.58,2.63,2.27,2.53,2.47,2.41,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/16/2021,5.88,5.46,5.31,5.25,4.85,4.76,4.59,4.47,3.26,3.03,2.93,2.73,2.88,2.71,2.86,2.75,2.99,2.84,2.79,2.71,2.1,2.66,2.68,2.68,2.5,2.65,2.19,2.51,2.54,2.4,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,5.75,5.37,5.47,5.36,4.98,4.88,4.6,4.24,3.21,2.96,2.95,2.66,2.7,2.61,2.8,2.8,2.98,2.85,2.84,2.7,1.91,2.7,2.76,2.77,2.43,2.74,2.23,2.59,2.67,2.41,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,5.82,5.55,5.35,5.43,4.81,4.75,4.57,4.31,3.14,3.09,3.06,2.67,2.76,2.64,2.82,2.85,3.02,2.76,2.83,2.68,1.72,2.77,2.68,2.74,2.54,2.77,2.29,2.57,2.64,2.37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/03/2021,5.95,5.7,5.44,5.31,4.94,4.83,4.16,4.14,3.13,2.95,2.94,2.69,2.82,2.67,3.25,3.13,3.02,2.7,2.67,2.79,1.75,2.62,2.64,2.72,2.56,2.71,2.24,2.49,2.77,2.27,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,5.95,5.7,5.44,5.31,4.94,4.83,4.16,4.14,3.13,2.95,2.94,2.69,2.82,2.67,3.25,3.13,3.02,2.7,2.67,2.79,1.75,2.62,2.64,2.72,2.56,2.71,2.24,2.49,2.77,2.27,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,5.86,5.71,5.44,5.34,4.93,4.83,4.12,4.21,3.11,3.03,2.93,2.65,2.84,2.7,3.24,3.16,3.08,2.71,2.58,2.78,1.64,2.64,2.71,2.73,2.47,2.72,2.2,2.52,2.87,2.24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/09/2021,5.58,6.29,5.5,5.43,4.89,4.57,3.98,4.31,3.26,3.08,2.82,2.71,3.08,2.77,3.32,3.21,2.87,2.7,2.66,2.82,1.65,2.63,2.65,2.71,2.54,2.51,2.02,2.41,2.87,2.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,5.33,6.36,5.53,5.53,4.92,4.65,4.18,4.63,3.5,2.56,2.68,2.95,3.0,2.58,3.25,3.15,2.71,2.73,2.71,2.87,1.77,2.65,2.64,2.75,2.38,2.41,1.98,2.48,2.99,2.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/16/2021,5.22,6.48,5.63,5.57,4.98,4.74,4.31,4.52,3.53,2.64,2.62,2.83,3.44,2.47,3.34,3.11,1.83,2.75,2.68,2.94,1.87,2.7,2.72,2.76,2.41,2.39,1.86,2.49,2.98,2.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,5.18,6.57,5.88,5.78,5.15,4.91,4.36,4.47,3.45,2.6,2.56,2.59,3.31,2.34,3.4,3.25,1.83,2.8,2.68,3.02,1.56,2.75,2.89,2.83,2.42,2.42,1.74,2.56,3.1,2.18,0.0,0.0,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,5.23,6.54,5.9,5.84,5.24,4.99,4.37,4.46,3.44,2.59,2.63,2.45,3.33,2.28,3.41,3.25,1.82,2.8,2.66,3.0,1.57,2.75,2.84,2.87,2.42,2.49,1.64,2.57,3.01,2.18,0.0,0.0,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,5.1,6.64,6.06,5.78,5.24,5.04,4.43,4.68,3.38,2.58,2.52,2.31,3.33,2.17,3.71,3.25,1.77,2.68,2.66,3.12,1.49,2.72,2.83,2.91,2.24,2.48,1.57,2.62,3.08,2.17,0.0,0.0,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
