,NPN.JO,FSR.JO,IMP.JO,MTN.JO,SSW.JO,SBK.JO,CPI.JO,SOL.JO,ANG.JO,GFI.JO,SLM.JO,BID.JO,AMS.JO,ABG.JO,NHM.JO,SHP.JO,VOD.JO,BVT.JO,APN.JO,CLS.JO,OMU.JO,NED.JO,REM.JO,MRP.JO,GRT.JO,MCG.JO,DSY.JO,TFG.JO,WHL.JO,NRP.JO,REIN.,EXX.JO,KIO.JO,SPP.JO,TBS.JO,LHC.JO,HAR.JO,ARI.JO,RDF.JO,AVI.JO,PPH.JO,RMI.JO,TRU.JO,SAP.JO,NTC.JO,MTM.JO,BAW.JO,PIK.JO,RES.JO,FFA.JO,INL.JO,DGH.JO,TKG.JO,PSG.JO,CML.JO,DCP.JO,SNT.JO,LBH.JO,NY1.JO,FFB.JO,—,FFB,SUM
07/09/2021,19.68,6.13,4.51,4.33,4.1,3.76,3.19,2.82,2.73,2.72,2.49,2.49,2.33,2.16,1.82,1.79,1.76,1.48,1.42,1.42,1.39,1.39,1.36,1.22,1.21,1.19,1.17,1.14,1.07,1.05,0.96,0.96,0.84,0.81,0.79,0.72,0.69,0.63,0.56,0.55,0.55,0.54,0.54,0.53,0.49,0.45,0.45,0.42,0.41,0.39,0.36,0.31,0.3,0.29,0.29,0.26,0.24,0.16,0.15,0.06,-0.01,0.0,100.01
07/12/2021,19.39,6.33,4.35,4.34,4.01,3.84,3.15,2.74,2.71,2.63,2.47,2.52,2.31,2.22,1.75,1.84,1.78,1.52,1.48,1.49,1.4,1.41,1.37,1.25,1.24,1.12,1.18,1.18,1.1,1.05,0.96,0.99,0.85,0.82,0.81,0.74,0.68,0.63,0.53,0.57,0.57,0.54,0.56,0.53,0.5,0.45,0.46,0.43,0.42,0.39,0.36,0.31,0.3,0.29,0.29,0.26,0.24,0.17,0.15,0.06,-0.01,0.0,100.02
07/13/2021,19.39,6.33,4.35,4.34,4.01,3.84,3.15,2.74,2.71,2.63,2.47,2.52,2.31,2.22,1.75,1.84,1.78,1.52,1.48,1.49,1.4,1.41,1.37,1.25,1.24,1.12,1.18,1.18,1.1,1.05,0.96,0.99,0.85,0.82,0.81,0.74,0.68,0.63,0.53,0.57,0.57,0.54,0.56,0.53,0.5,0.45,0.46,0.43,0.42,0.39,0.36,0.31,0.3,0.29,0.29,0.26,0.24,0.17,0.15,0.06,-0.01,0.0,100.02
07/14/2021,19.13,6.37,4.32,4.4,4.05,3.96,3.14,2.87,2.69,2.61,2.45,2.49,2.29,2.27,1.73,1.79,1.76,1.5,1.48,1.47,1.39,1.44,1.36,1.26,1.23,1.13,1.18,1.2,1.11,1.04,0.95,1.03,0.87,0.81,0.78,0.74,0.66,0.66,0.54,0.56,0.58,0.54,0.58,0.54,0.5,0.46,0.46,0.42,0.42,0.39,0.36,0.31,0.3,0.29,0.29,0.25,0.23,0.17,0.15,0.06,-0.01,0.0,100.0
07/15/2021,19.23,6.33,4.35,4.39,4.11,3.87,3.07,2.87,2.72,2.69,2.42,2.53,2.28,2.21,1.74,1.79,1.78,1.49,1.51,1.47,1.39,1.42,1.36,1.23,1.21,1.17,1.17,1.17,1.08,1.04,0.97,1.03,0.86,0.81,0.79,0.74,0.68,0.64,0.52,0.57,0.55,0.55,0.58,0.55,0.5,0.46,0.46,0.42,0.41,0.38,0.37,0.3,0.31,0.28,0.29,0.26,0.23,0.17,0.15,0.06,-0.02,0.0,99.96000000000002
07/16/2021,19.71,6.05,4.59,4.28,4.13,3.72,3.01,2.89,2.82,2.77,2.39,2.48,2.37,2.12,1.84,1.74,1.78,1.43,1.52,1.46,1.37,1.36,1.33,1.17,1.17,1.15,1.15,1.15,1.05,1.04,1.0,1.05,0.88,0.79,0.79,0.73,0.72,0.68,0.51,0.57,0.53,0.55,0.55,0.57,0.5,0.47,0.45,0.41,0.4,0.38,0.37,0.31,0.3,0.28,0.3,0.25,0.23,0.17,0.15,0.06,-0.02,0.0,99.97
07/19/2021,20.29,6.01,4.59,4.32,4.14,3.65,2.97,2.74,2.79,2.78,2.37,2.46,2.38,2.13,1.83,1.74,1.77,1.42,1.5,1.46,1.37,1.33,1.31,1.18,1.12,1.15,1.13,1.15,1.06,1.01,0.99,1.05,0.9,0.79,0.8,0.72,0.72,0.68,0.49,0.56,0.52,0.55,0.55,0.54,0.5,0.46,0.46,0.41,0.38,0.37,0.36,0.3,0.3,0.28,0.28,0.25,0.22,0.22,0.15,0.06,-0.02,0.0,99.99
07/22/2021,20.76,6.05,4.29,4.37,3.86,3.57,3.01,2.69,2.79,2.79,2.39,2.42,2.25,2.14,1.72,1.81,1.81,1.44,1.51,1.48,1.36,1.33,1.3,1.21,1.16,1.18,1.14,1.16,1.09,1.01,0.97,1.01,0.88,0.8,0.79,0.76,0.73,0.67,0.51,0.57,0.54,0.54,0.56,0.53,0.52,0.47,0.46,0.42,0.39,0.38,0.35,0.31,0.3,0.28,0.29,0.26,0.23,0.22,0.15,0.06,-0.02,0.0,100.02
07/23/2021,20.76,6.05,4.29,4.37,3.86,3.57,3.01,2.69,2.79,2.79,2.39,2.42,2.25,2.14,1.72,1.81,1.81,1.44,1.51,1.48,1.36,1.33,1.3,1.21,1.16,1.18,1.14,1.16,1.09,1.01,0.97,1.01,0.88,0.8,0.79,0.76,0.73,0.67,0.51,0.57,0.54,0.54,0.56,0.53,0.52,0.47,0.46,0.42,0.39,0.38,0.35,0.31,0.3,0.28,0.29,0.26,0.23,0.22,0.15,0.06,-0.02,0.0,100.02
07/26/2021,20.88,5.98,4.32,4.35,4.03,3.6,3.03,2.76,2.73,2.72,2.35,2.4,2.32,2.14,1.74,1.75,1.78,1.49,1.49,1.48,1.35,1.34,1.28,1.25,1.12,1.2,1.13,1.14,1.09,0.99,0.95,1.01,0.88,0.79,0.77,0.76,0.72,0.67,0.5,0.55,0.54,0.54,0.57,0.52,0.5,0.47,0.47,0.41,0.38,0.38,0.35,0.31,0.3,0.27,0.29,0.26,0.23,0.21,0.15,0.06,-0.01,0.0,100.03
