,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,NVDA,TSLA,JPM,JNJ,V,UNH,BRK.B,HD,PG,MA,PYPL,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,KO,WMT,ABT,T,PEP,ABBV,NKE,TMO,CVX,MRK,ACN,AVGO,LLY,WFC,DHR,COST,TXN,MCD,MDT,QCOM,ORCL,PM,UPS,HON,LIN,UNP,BMY,NEE,LOW,C,AMGN,INTU,SBUX,BLK,BA,RTX,GS,MS,AMAT,IBM,TGT,AMT,CAT,AXP,AMD,MMM,GE,ISRG,NOW,CVS,DE,SCHW,SPGI,CHTR,SQ,LMT,ANTM,ZTS,TMUS,BKNG,PLD,MU,FIS,SYK,LRCX,MDLZ,MO,CCI,ADP,GILD,CI,ZM,TJX,COP,USB,PNC,DUK,CME,GM,FDX,CSX,MRNA,TFC,EL,EQIX,ATVI,CB,BDX,MMC,COF,ITW,SHW,MELI,ILMN,NSC,BX,EW,ICE,CL,FISV,SO,ADSK,SNAP,APD,TWLO,MCO,ADI,BSX,REGN,UBER,D,WM,ETN,HUM,HCA,NOC,EMR,PGR,GPN,F,IDXX,TWTR,NXPI,ECL,DOCU,AON,DG,BIIB,FCX,VRTX,NEM,ROP,JCI,EOG,PSA,IQV,KLAC,ROKU,CRWD,EBAY,TROW,DOW,LHX,MRVL,LULU,ALGN,MSCI,A,KMB,GD,ROST,TEL,MET,TT,SLB,VEEV,EXC,CMG,INFO,WDAY,CNC,PINS,DLR,APTV,SNPS,DXCM,AEP,SRE,SPG,APH,BK,ORLY,DD,MTCH,AIG,EA,BAX,CARR,SUM
07/09/2021,6.05,5.05,3.99,2.15,1.94,1.93,1.3,1.29,1.19,1.12,1.03,0.99,0.96,0.87,0.85,0.85,0.83,0.8,0.79,0.73,0.67,0.66,0.61,0.59,0.58,0.57,0.56,0.56,0.56,0.55,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.46,0.45,0.45,0.45,0.44,0.43,0.41,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,78.98
07/12/2021,6.15,5.02,4.02,2.13,1.93,1.9,1.25,1.27,1.2,1.13,1.02,0.99,0.97,0.87,0.85,0.83,0.84,0.81,0.79,0.73,0.67,0.65,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.55,0.54,0.51,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.48,0.46,0.45,0.46,0.44,0.44,0.44,0.41,0.42,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,78.93
07/13/2021,6.15,5.02,4.02,2.13,1.93,1.9,1.25,1.27,1.2,1.13,1.02,0.99,0.97,0.87,0.85,0.83,0.84,0.81,0.79,0.73,0.67,0.65,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.55,0.54,0.51,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.48,0.46,0.45,0.46,0.44,0.44,0.44,0.41,0.42,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,78.93
07/14/2021,6.15,5.03,4.02,2.13,1.93,1.9,1.25,1.27,1.2,1.13,1.02,0.99,0.97,0.87,0.85,0.83,0.84,0.81,0.79,0.73,0.67,0.65,0.6,0.59,0.57,0.57,0.57,0.56,0.56,0.55,0.54,0.51,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.48,0.46,0.45,0.46,0.44,0.44,0.44,0.4,0.42,0.39,0.39,0.39,0.39,0.37,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,78.87
07/15/2021,6.1,5.0,4.0,2.14,1.94,1.92,1.28,1.33,1.21,1.12,1.02,0.99,0.97,0.87,0.85,0.84,0.85,0.84,0.79,0.72,0.67,0.65,0.6,0.59,0.56,0.58,0.57,0.56,0.56,0.55,0.53,0.51,0.52,0.52,0.52,0.51,0.51,0.49,0.5,0.5,0.48,0.46,0.45,0.46,0.45,0.44,0.44,0.41,0.42,0.39,0.39,0.39,0.39,0.37,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,79.06
07/16/2021,6.18,5.09,3.98,2.14,1.95,1.94,1.27,1.3,1.2,1.13,1.04,1.0,0.97,0.86,0.85,0.86,0.85,0.84,0.78,0.73,0.67,0.65,0.61,0.59,0.57,0.58,0.57,0.56,0.57,0.55,0.53,0.51,0.53,0.53,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.45,0.45,0.46,0.45,0.45,0.43,0.41,0.42,0.39,0.38,0.39,0.38,0.37,0.38,0.37,0.36,0.36,0.36,0.35,0.36,0.35,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,79.27000000000001
07/19/2021,6.32,5.1,3.94,2.1,1.96,1.94,1.19,1.27,1.2,1.12,1.07,1.01,0.97,0.88,0.87,0.88,0.84,0.85,0.76,0.74,0.67,0.63,0.61,0.59,0.55,0.57,0.57,0.57,0.59,0.56,0.52,0.51,0.54,0.53,0.52,0.51,0.5,0.5,0.51,0.49,0.48,0.47,0.46,0.46,0.44,0.45,0.43,0.41,0.42,0.39,0.39,0.41,0.39,0.37,0.38,0.38,0.36,0.36,0.36,0.35,0.36,0.34,0.31,0.33,0.33,0.33,0.31,0.32,0.32,0.32,0.29,0.3,0.27,0.3,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.24,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.22,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.21,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,79.25
07/20/2021,6.27,5.13,3.9,2.09,1.98,1.95,1.15,1.26,1.18,1.13,1.07,1.02,0.97,0.88,0.88,0.88,0.84,0.83,0.75,0.74,0.67,0.62,0.6,0.6,0.56,0.57,0.58,0.57,0.59,0.56,0.53,0.52,0.55,0.53,0.52,0.52,0.48,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.44,0.45,0.43,0.41,0.43,0.39,0.39,0.41,0.39,0.37,0.39,0.39,0.37,0.36,0.37,0.35,0.36,0.34,0.31,0.32,0.32,0.33,0.3,0.32,0.32,0.32,0.29,0.3,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.22,0.24,0.21,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.21,0.19,0.21,0.2,0.21,0.19,0.18,0.19,0.18,0.23,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.0,79.08
07/21/2021,6.27,5.13,3.9,2.09,1.98,1.95,1.15,1.26,1.18,1.13,1.07,1.02,0.97,0.88,0.88,0.88,0.84,0.83,0.75,0.74,0.67,0.62,0.6,0.6,0.56,0.57,0.58,0.57,0.59,0.56,0.53,0.52,0.55,0.53,0.52,0.52,0.48,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.44,0.45,0.43,0.41,0.43,0.39,0.39,0.41,0.39,0.37,0.39,0.39,0.37,0.36,0.37,0.35,0.36,0.34,0.31,0.32,0.32,0.33,0.3,0.32,0.32,0.32,0.29,0.3,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.22,0.24,0.21,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.21,0.19,0.21,0.2,0.21,0.19,0.18,0.19,0.18,0.23,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.0,79.08
07/22/2021,6.27,5.13,3.9,2.09,1.98,1.95,1.15,1.26,1.18,1.13,1.07,1.02,0.97,0.88,0.88,0.88,0.84,0.83,0.75,0.74,0.67,0.62,0.6,0.6,0.56,0.57,0.58,0.57,0.59,0.56,0.53,0.52,0.55,0.53,0.52,0.52,0.48,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.44,0.45,0.43,0.41,0.43,0.39,0.39,0.41,0.39,0.37,0.39,0.39,0.37,0.36,0.37,0.35,0.36,0.34,0.31,0.32,0.32,0.33,0.3,0.32,0.32,0.32,0.29,0.3,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.22,0.24,0.21,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.21,0.19,0.21,0.2,0.21,0.19,0.18,0.19,0.18,0.23,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.0,79.08
