,9101.T,8410.T,6473.T,2768.T,5101.T,9513.T,7167.T,4202.T,8570.T,5214.T,5110.T,8804.T,8060.T,4061.T,4521.T,4208.T,5857.T,3116.T,5021.T,7988.T,4401.T,5301.T,5929.T,3941.T,8628.T,6417.T,4118.T,8253.T,5105.T,9076.T,7966.T,9104.T,1893.T,6412.T,4206.T,4631.T,4816.T,1883.T,4887.T,1961.T,4540.T,1860.T,5714.T,6361.T,8012.T,2296.T,8088.T,5463.T,7458.T,1820.T,9744.T,6856.T,8424.T,3132.T,7936.T,4980.T,7177.T,8020.T,4569.T,1942.T,5393.T,4928.T,3107.T,1959.T,6592.T,8233.T,8273.T,7282.T,7313.T,6967.T,8359.T,7327.T,6436.T,8585.T,8016.T,1911.T,9065.T,2327.T,4114.T,8133.T,4272.T,4812.T,6302.T,8050.T,4023.T,8418.T,5423.T,2607.T,4205.T,5711.T,3360.T,4471.T,8334.T,9436.T,7994.T,6995.T,9783.T,2379.T,1719.T,1973.T,6728.T,3105.T,5384.T,8385.T,1833.T,9507.T,9810.T,6406.T,8174.T,9364.T,4634.T,4626.T,4849.T,9832.T,2730.T,4186.T,9069.T,8850.T,2531.T,2264.T,8803.T,6028.T,2427.T,6674.T,4544.T,1979.T,8425.T,5471.T,6141.T,7984.T,3050.T,Kadokawa Corp Common Stock,1414.T,7240.T,5801.T,4203.T,8584.T,3863.T,9759.T,2501.T,7189.T,8096.T,6849.T,1861.T,9793.T,9412.T,9716.T,1969.T,9072.T,6670.T,8698.T,2281.T,9746.T,7180.T,7630.T,6703.T,5232.T,9301.T,7729.T,3244.T,8154.T,2337.T,4043.T,9934.T,7860.T,3880.T,4423.T,3865.T,8524.T,5901.T,1417.T,8377.T,7004.T,3738.T,9682.T,3167.T,5706.T,8382.T,2154.T,2317.T,6136.T,3191.T,9511.T,3148.T,7278.T,4041.T,5440.T,1824.T,6750.T,4681.T,3591.T,8707.T,9505.T,8511.T,2124.T,4095.T,8130.T,7716.T,6532.T,6371.T,8057.T,4708.T,9787.T,1407.T,6104.T,1419.T,2726.T,9956.T,7516.T,6486.T,6951.T,8194.T,5702.T,9110.T,7735.T,8279.T,7476.T,8919.T,2201.T,4714.T,BIDI11.SA,7593.T,n/a,5076.T,4553.T,1332.T,GVMXX,9468.T,4326.T,6890.T,SUM
07/09/2021,0.94,0.8,0.78,0.77,0.73,0.62,0.61,0.57,0.57,0.56,0.55,0.53,0.53,0.52,0.51,0.5,0.49,0.48,0.48,0.46,0.46,0.46,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.4,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.57
07/12/2021,0.94,0.79,0.75,0.77,0.72,0.62,0.6,0.57,0.58,0.55,0.54,0.54,0.53,0.52,0.51,0.5,0.5,0.47,0.48,0.45,0.46,0.45,0.45,0.43,0.43,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.38,0.39,0.37,0.37,0.38,0.36,0.35,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.26,0.24,0.24,0.25,0.25,0.24,0.25,0.23,0.24,0.24,0.25,0.23,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.0,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.2,0.18,0.18,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.17,0.16,0.17,0.16,0.16,0.0,0.21,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47999999999999
07/13/2021,0.94,0.79,0.75,0.77,0.72,0.62,0.6,0.57,0.58,0.55,0.54,0.54,0.53,0.52,0.51,0.5,0.5,0.47,0.48,0.45,0.46,0.45,0.45,0.43,0.43,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.38,0.39,0.37,0.37,0.38,0.36,0.35,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.26,0.24,0.24,0.25,0.25,0.24,0.25,0.23,0.24,0.24,0.25,0.23,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.0,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.2,0.18,0.18,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.17,0.16,0.17,0.16,0.16,0.0,0.21,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47999999999999
07/14/2021,0.93,0.81,0.75,0.78,0.71,0.64,0.61,0.58,0.59,0.54,0.54,0.55,0.52,0.52,0.5,0.49,0.5,0.47,0.47,0.44,0.47,0.44,0.44,0.43,0.44,0.44,0.42,0.41,0.4,0.4,0.4,0.4,0.38,0.39,0.37,0.38,0.37,0.36,0.34,0.36,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.31,0.29,0.29,0.29,0.3,0.29,0.29,0.3,0.29,0.28,0.29,0.28,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.29,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.27,0.24,0.24,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.2,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.0,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.18,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.2,0.18,0.18,0.17,0.19,0.18,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.2,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.55
07/15/2021,0.93,0.81,0.75,0.78,0.71,0.64,0.61,0.58,0.59,0.54,0.54,0.55,0.52,0.52,0.5,0.49,0.5,0.47,0.47,0.44,0.47,0.44,0.44,0.43,0.44,0.44,0.42,0.41,0.4,0.4,0.4,0.4,0.38,0.39,0.37,0.38,0.37,0.36,0.34,0.36,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.31,0.29,0.29,0.29,0.3,0.29,0.29,0.3,0.29,0.28,0.29,0.28,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.29,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.27,0.24,0.24,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.2,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.0,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.18,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.2,0.18,0.18,0.17,0.19,0.18,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.2,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.55
07/16/2021,0.9,0.79,0.76,0.77,0.7,0.63,0.61,0.58,0.58,0.54,0.53,0.54,0.53,0.52,0.5,0.49,0.5,0.47,0.47,0.45,0.47,0.45,0.45,0.43,0.44,0.44,0.43,0.41,0.39,0.4,0.4,0.38,0.38,0.39,0.38,0.38,0.37,0.36,0.34,0.36,0.35,0.35,0.33,0.32,0.33,0.33,0.31,0.32,0.33,0.34,0.32,0.32,0.31,0.29,0.29,0.31,0.29,0.29,0.29,0.3,0.29,0.29,0.31,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.27,0.26,0.25,0.25,0.24,0.24,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.2,0.23,0.21,0.21,0.22,0.22,0.2,0.21,0.21,0.22,0.22,0.0,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.18,0.2,0.19,0.21,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.2,0.18,0.18,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.0,0.16,0.17,0.17,0.16,0.0,0.16,0.2,0.0,0.0,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47999999999999
07/19/2021,0.88,0.81,0.75,0.77,0.67,0.64,0.62,0.57,0.59,0.53,0.51,0.55,0.52,0.52,0.5,0.49,0.5,0.47,0.48,0.44,0.49,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.37,0.4,0.39,0.37,0.38,0.38,0.38,0.39,0.36,0.36,0.34,0.36,0.35,0.36,0.33,0.32,0.33,0.33,0.31,0.32,0.32,0.33,0.32,0.32,0.31,0.3,0.28,0.3,0.28,0.3,0.29,0.31,0.29,0.29,0.33,0.3,0.29,0.27,0.28,0.27,0.27,0.27,0.28,0.28,0.29,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.26,0.26,0.25,0.24,0.24,0.24,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.24,0.2,0.23,0.21,0.22,0.22,0.23,0.2,0.21,0.21,0.22,0.22,0.0,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.22,0.21,0.2,0.2,0.17,0.21,0.19,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.19,0.18,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.0,0.16,0.16,0.0,0.16,0.17,0.16,0.0,0.16,0.17,0.17,0.0,0.0,0.16,0.2,0.0,0.0,0.19,0.16,0.2,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.38999999999999
07/20/2021,0.91,0.82,0.76,0.77,0.67,0.64,0.61,0.57,0.58,0.54,0.52,0.56,0.52,0.53,0.5,0.49,0.5,0.48,0.48,0.42,0.49,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.37,0.4,0.39,0.38,0.38,0.38,0.38,0.39,0.37,0.35,0.34,0.37,0.35,0.35,0.33,0.33,0.33,0.33,0.31,0.33,0.31,0.33,0.32,0.31,0.31,0.3,0.28,0.31,0.29,0.3,0.29,0.31,0.29,0.28,0.34,0.29,0.28,0.28,0.26,0.28,0.27,0.27,0.27,0.28,0.28,0.27,0.26,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.26,0.27,0.24,0.25,0.24,0.24,0.26,0.26,0.27,0.24,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.22,0.22,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.0,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.18,0.2,0.19,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.19,0.17,0.18,0.18,0.17,0.17,0.16,0.0,0.0,0.0,0.16,0.17,0.0,0.16,0.17,0.16,0.17,0.0,0.17,0.17,0.2,0.0,0.0,0.18,0.16,0.21,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.57
07/21/2021,0.91,0.82,0.76,0.77,0.67,0.64,0.61,0.57,0.58,0.54,0.52,0.56,0.52,0.53,0.5,0.49,0.5,0.48,0.48,0.42,0.49,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.37,0.4,0.39,0.38,0.38,0.38,0.38,0.39,0.37,0.35,0.34,0.37,0.35,0.35,0.33,0.33,0.33,0.33,0.31,0.33,0.31,0.33,0.32,0.31,0.31,0.3,0.28,0.31,0.29,0.3,0.29,0.31,0.29,0.28,0.34,0.29,0.28,0.28,0.26,0.28,0.27,0.27,0.27,0.28,0.28,0.27,0.26,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.26,0.27,0.24,0.25,0.24,0.24,0.26,0.26,0.27,0.24,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.22,0.22,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.0,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.18,0.2,0.19,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.19,0.17,0.18,0.18,0.17,0.17,0.16,0.0,0.0,0.0,0.16,0.17,0.0,0.16,0.17,0.16,0.17,0.0,0.17,0.17,0.2,0.0,0.0,0.18,0.16,0.21,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.57
07/22/2021,0.91,0.82,0.76,0.77,0.67,0.64,0.61,0.57,0.58,0.54,0.52,0.56,0.52,0.53,0.5,0.49,0.5,0.48,0.48,0.42,0.49,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.37,0.4,0.39,0.38,0.38,0.38,0.38,0.39,0.37,0.35,0.34,0.37,0.35,0.35,0.33,0.33,0.33,0.33,0.31,0.33,0.31,0.33,0.32,0.31,0.31,0.3,0.28,0.31,0.29,0.3,0.29,0.31,0.29,0.28,0.34,0.29,0.28,0.28,0.26,0.28,0.27,0.27,0.27,0.28,0.28,0.27,0.26,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.26,0.27,0.24,0.25,0.24,0.24,0.26,0.26,0.27,0.24,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.22,0.22,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.0,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.18,0.2,0.19,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.19,0.17,0.18,0.18,0.17,0.17,0.16,0.0,0.0,0.0,0.16,0.17,0.0,0.16,0.17,0.16,0.17,0.0,0.17,0.17,0.2,0.0,0.0,0.18,0.16,0.21,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.57
