,RIO.L,BHP.AX,ULVR.L,MC.PA,9434.T,GSK.L,ROG.SW,SAP.DE,LIN,ASML.AS,NOVO B.CO,RIO.AX,REL.L,RO.SW,688.HK,PGHN.SW,8035.T,388.HK,KNIN.SW,5108.T,SHL.DE,RMS.PA,NESTE.HE,KNEBV.HE,GIVN.SW,CSL.AX,ATCO A.ST,ORSTED.CO,6981.T,IFX.DE,6758.T,4519.T,AHT.L,GEBN.SW,COLO B.CO,ATCOB.ST,4503.T,688012.SS,WKL.AS,GMG.AX,6098.T,669.HK,FXPO.L,BKG.L,SIKA.SW,ASM.AS,9983.T,4452.T,HL.L,6861.T,BXB.AX,6367.T,RACE.MI,VWS.CO,MIN.AX,KBX.DE,LOGN.SW,S68.SI,SN.L,7741.T,4523.T,EVO.ST,7832.T,REC.MI,BNZL.L,VALMT.HE,ITRK.L,NZYM B.CO,IMI.L,4704.T,ASHM.L,EQT.ST,6857.T,CRDA.L,AXFO.ST,JMT.LS,ENX.PA,DSV.CO,6146.T,SCHP.SW,VRLA.PA,1093.HK,4307.T,BESI.AS,RBREW.CO,4507.T,6869.T,DMP.AX,FAE.MC,BSL.AX,4768.T,SY1.DE,SFSN.SW,4684.T,EVN.AX,GRF.MC,CHC.AX,4732.T,TRI.PA,81.HK,9435.T,JBH.AX,GTT.PA,4716.T,6383.T,FPE.,9719.T,4021.T,SPX.L,2670.T,SWEC B.ST,3092.T,DIM.PA,HLMA.L,2371.T,4922.T,6479.T,4816.T,WisdomTree International Qual Div Gr ETF,EPIB.ST,ORNBV.HE,BOY.L,FRES.L,TEMN.SW,4543.T,8113.T,1959.T,GAW.L,MONY.L,IP.MI,LUN.CO,DMP.DE,7951.T,BUCN.SW,MYCR.ST,LIFCO B.ST,HSV.L,BC8.DE,CASH.MC,9143.T,DIA.MI,MELE.BR,2427.T,STM.PA,BPT.AX,ROR.L,5334.T,9843.T,BRG.OL,HFG.L,UPONOR.HE,BEIJ B.ST,STRS.TA,OV8.SI,4849.T,AFX.DE,9744.T,7701.T,7733.T,3738.T,PSG.MC,CMCX.L,5929.T,7532.T,6506.T,7956.T,NST.AX,2412.T,2782.T,8056.T,CWK.L,KARN.SW,EKTA B.ST,4043.T,NHF.AX,6856.T,9989.T,5857.T,3038.T,ADDT B.ST,6028.T,TNE.AX,2127.T,NEM.DE,7276.T,2815.T,MTRX.TA,345.HK,AJB.L,SBM.AX,1911.T,ALSN.SW,COK.DE,7453.T,4751.T,7988.T,6055.HK,RWS.L,FDM.L,CPR.MI,2810.T,2379.T,TOKMAN.HE,n/a,IMCD.AS,SUM
07/09/2021,6.45,5.71,5.52,5.07,3.86,3.8,3.69,3.21,3.01,2.59,2.54,2.47,1.78,1.72,1.46,1.41,1.41,1.35,1.14,1.11,1.07,1.07,1.04,1.03,0.86,0.83,0.78,0.74,0.73,0.72,0.69,0.68,0.59,0.58,0.57,0.55,0.55,0.54,0.53,0.52,0.5,0.49,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.41,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.28,0.28,0.28,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,99.29
07/12/2021,6.47,5.67,5.58,4.98,3.83,3.76,3.71,3.31,2.98,2.58,2.56,2.45,1.8,1.72,1.45,1.42,1.4,1.44,1.12,1.08,1.1,1.07,1.01,1.03,0.87,0.81,0.79,0.76,0.76,0.72,0.67,0.65,0.6,0.59,0.57,0.55,0.54,0.0,0.54,0.52,0.51,0.48,0.48,0.48,0.47,0.48,0.45,0.45,0.46,0.46,0.41,0.38,0.37,0.37,0.36,0.33,0.35,0.34,0.34,0.34,0.33,0.32,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.55,0.0,0.0,0.0,0.0,99.36
07/13/2021,6.47,5.67,5.58,4.98,3.83,3.76,3.71,3.31,2.98,2.58,2.56,2.45,1.8,1.72,1.45,1.42,1.4,1.44,1.12,1.08,1.1,1.07,1.01,1.03,0.87,0.81,0.79,0.76,0.76,0.72,0.67,0.65,0.6,0.59,0.57,0.55,0.54,0.0,0.54,0.52,0.51,0.48,0.48,0.48,0.47,0.48,0.45,0.45,0.46,0.46,0.41,0.38,0.37,0.37,0.36,0.33,0.35,0.34,0.34,0.34,0.33,0.32,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.55,0.0,0.0,0.0,0.0,99.36
07/14/2021,6.57,5.75,5.51,5.02,3.86,3.77,3.72,3.33,2.99,2.58,2.59,2.43,1.8,1.72,1.43,1.41,1.38,1.44,1.12,1.07,1.09,1.07,1.03,1.03,0.86,0.79,0.8,0.74,0.76,0.72,0.67,0.63,0.6,0.6,0.57,0.55,0.54,0.0,0.54,0.53,0.5,0.47,0.49,0.47,0.48,0.47,0.45,0.44,0.46,0.45,0.41,0.38,0.37,0.36,0.36,0.36,0.35,0.34,0.33,0.34,0.33,0.32,0.27,0.28,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.54,0.0,0.0,0.0,0.0,99.32999999999998
07/15/2021,6.57,5.75,5.51,5.02,3.86,3.77,3.72,3.33,2.99,2.58,2.59,2.43,1.8,1.72,1.43,1.41,1.38,1.44,1.12,1.07,1.09,1.07,1.03,1.03,0.86,0.79,0.8,0.74,0.76,0.72,0.67,0.63,0.6,0.6,0.57,0.55,0.54,0.0,0.54,0.53,0.5,0.47,0.49,0.47,0.48,0.47,0.45,0.44,0.46,0.45,0.41,0.38,0.37,0.36,0.36,0.36,0.35,0.34,0.33,0.34,0.33,0.32,0.27,0.28,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.54,0.0,0.0,0.0,0.0,99.32999999999998
07/16/2021,6.5,5.87,5.48,4.98,3.86,3.74,3.71,3.32,2.96,2.59,2.55,2.45,1.8,1.72,1.42,1.43,1.38,1.46,1.12,1.05,1.1,1.07,1.04,1.02,0.86,0.79,0.79,0.75,0.77,0.7,0.69,0.64,0.6,0.59,0.57,0.55,0.54,0.0,0.54,0.53,0.51,0.48,0.49,0.47,0.47,0.47,0.44,0.44,0.46,0.46,0.4,0.39,0.37,0.36,0.37,0.35,0.35,0.34,0.33,0.34,0.32,0.32,0.27,0.29,0.29,0.27,0.26,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.15,0.15,0.16,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.0,0.54,0.03,0.0,0.0,0.0,99.23
07/19/2021,6.48,5.84,5.47,5.0,3.89,3.73,3.7,3.33,2.93,2.66,2.55,2.46,1.81,1.72,1.42,1.41,1.38,1.47,1.12,1.02,1.08,1.09,1.05,1.02,0.86,0.79,0.79,0.74,0.77,0.71,0.7,0.64,0.6,0.6,0.57,0.55,0.55,0.0,0.55,0.53,0.51,0.48,0.49,0.47,0.47,0.48,0.44,0.45,0.45,0.46,0.4,0.39,0.37,0.36,0.37,0.35,0.34,0.34,0.32,0.34,0.33,0.31,0.27,0.29,0.29,0.27,0.25,0.25,0.25,0.26,0.25,0.26,0.23,0.25,0.23,0.23,0.21,0.22,0.2,0.21,0.2,0.22,0.21,0.2,0.19,0.2,0.2,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.15,0.16,0.16,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.12,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.53,0.0,0.0,0.0,0.0,99.33
07/20/2021,6.33,5.95,5.55,4.91,3.87,3.71,3.75,3.32,2.96,2.59,2.62,2.5,1.83,1.76,1.48,1.44,1.36,1.53,1.11,1.01,1.09,1.08,1.04,1.02,0.87,0.79,0.81,0.73,0.77,0.68,0.67,0.62,0.6,0.6,0.59,0.56,0.54,0.0,0.56,0.53,0.51,0.48,0.48,0.46,0.48,0.47,0.43,0.45,0.45,0.45,0.4,0.39,0.37,0.33,0.37,0.35,0.33,0.35,0.32,0.33,0.28,0.31,0.27,0.28,0.29,0.28,0.25,0.25,0.25,0.26,0.23,0.26,0.23,0.25,0.23,0.24,0.21,0.21,0.2,0.21,0.2,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.17,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.54,0.0,0.0,0.0,0.0,99.23
07/21/2021,6.33,5.95,5.55,4.91,3.87,3.71,3.75,3.32,2.96,2.59,2.62,2.5,1.83,1.76,1.48,1.44,1.36,1.53,1.11,1.01,1.09,1.08,1.04,1.02,0.87,0.79,0.81,0.73,0.77,0.68,0.67,0.62,0.6,0.6,0.59,0.56,0.54,0.0,0.56,0.53,0.51,0.48,0.48,0.46,0.48,0.47,0.43,0.45,0.45,0.45,0.4,0.39,0.37,0.33,0.37,0.35,0.33,0.35,0.32,0.33,0.28,0.31,0.27,0.28,0.29,0.28,0.25,0.25,0.25,0.26,0.23,0.26,0.23,0.25,0.23,0.24,0.21,0.21,0.2,0.21,0.2,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.17,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.54,0.0,0.0,0.0,0.0,99.23
07/22/2021,6.33,5.95,5.55,4.91,3.87,3.71,3.75,3.32,2.96,2.59,2.62,2.5,1.83,1.76,1.48,1.44,1.36,1.53,1.11,1.01,1.09,1.08,1.04,1.02,0.87,0.79,0.81,0.73,0.77,0.68,0.67,0.62,0.6,0.6,0.59,0.56,0.54,0.0,0.56,0.53,0.51,0.48,0.48,0.46,0.48,0.47,0.43,0.45,0.45,0.45,0.4,0.39,0.37,0.33,0.37,0.35,0.33,0.35,0.32,0.33,0.28,0.31,0.27,0.28,0.29,0.28,0.25,0.25,0.25,0.26,0.23,0.26,0.23,0.25,0.23,0.24,0.21,0.21,0.2,0.21,0.2,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.17,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.54,0.0,0.0,0.0,0.0,99.23
