,MRVL,SNAP,UBER,TW,ZM,DOCU,CVNA,CRWD,AVTR,PINS,DOW,DELL,COIN,DT,TWLO,NET,GLW,CTVA,ABNB,YETI,FOUR,OTIS,CARR,J,ALXN,DBX,KDP,PPD,TXG,PLTR,MEDP,ALC.SW,HZNP,KEYS,LYFT,SPT,RBLX,MCFE,ELAN,BILL,DKNG,ZS,CHWY,RKT,APP,EXPE,BWA,EXK.,MRVI,RRC,KEY,BJ,BYND,FOCS,SONO,LEVI,LMND,Gates Industrial Corporation Plc,AGL,OSH,SMPL,NVST,SOFI,SFIX,TSP,EQH,SNV,WSC,PCOR,SLQT,DBRG,ASO,GOLF,ASAN,BMBL,KRTX,HQY,JLL,VRT,UPST,ACI,SAFE,REAL,ARNC,ACCD,CHX,ACA,SWAV,KTB,JCOM,BHVN,ATKR,PGNY,SWCH,OCDX,ZY,UTZ,VRNT,HCAT,US Dollar,CCCC,AZN,EXAS,GTES,n/a,HOOD,DOCN,DASH,GD,DDOG,PXD,PWSC,ZI,XM,WMG,BSY,ON,S,CFLT,ESTC,NLOK,EVRG,NTLA,ZIP,RYAN,BEAM,CERE,MGY,SKIN,GDYN,SUM
07/09/2021,8.07,7.08,5.25,3.4,3.18,3.09,3.0,2.93,2.58,2.44,2.26,2.21,2.1,1.71,1.67,1.66,1.6,1.59,1.57,1.37,1.34,1.3,1.28,1.26,1.25,1.21,1.21,1.19,1.14,1.13,1.11,1.06,1.05,1.04,0.99,0.99,0.97,0.91,0.91,0.86,0.75,0.75,0.73,0.68,0.61,0.6,0.56,0.51,0.5,0.5,0.48,0.46,0.45,0.45,0.43,0.42,0.39,0.38,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.13,0.13,0.12,0.1,0.08,0.07,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,8.05,6.78,5.1,3.48,3.07,3.11,3.09,2.94,2.58,2.35,2.31,2.26,2.28,1.73,1.67,1.67,1.63,1.58,1.59,1.38,1.34,1.33,1.29,1.29,1.25,1.23,1.22,1.19,1.13,1.08,1.14,1.06,1.05,1.06,0.97,0.95,0.97,0.9,0.91,0.88,0.72,0.77,0.74,0.7,0.59,0.61,0.56,0.51,0.49,0.54,0.48,0.49,0.44,0.46,0.43,0.42,0.37,0.39,0.34,0.35,0.35,0.35,0.32,0.32,0.28,0.31,0.32,0.31,0.3,0.28,0.28,0.27,0.28,0.27,0.25,0.27,0.24,0.25,0.24,0.23,0.23,0.22,0.2,0.19,0.18,0.18,0.17,0.16,0.17,0.16,0.19,0.16,0.13,0.13,0.12,0.09,0.08,0.07,0.06,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,8.05,6.78,5.1,3.48,3.07,3.11,3.09,2.94,2.58,2.35,2.31,2.26,2.28,1.73,1.67,1.67,1.63,1.58,1.59,1.38,1.34,1.33,1.29,1.29,1.25,1.23,1.22,1.19,1.13,1.08,1.14,1.06,1.05,1.06,0.97,0.95,0.97,0.9,0.91,0.88,0.72,0.77,0.74,0.7,0.59,0.61,0.56,0.51,0.49,0.54,0.48,0.49,0.44,0.46,0.43,0.42,0.37,0.39,0.34,0.35,0.35,0.35,0.32,0.32,0.28,0.31,0.32,0.31,0.3,0.28,0.28,0.27,0.28,0.27,0.25,0.27,0.24,0.25,0.24,0.23,0.23,0.22,0.2,0.19,0.18,0.18,0.17,0.16,0.17,0.16,0.19,0.16,0.13,0.13,0.12,0.09,0.08,0.07,0.06,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,8.19,6.5,5.02,3.58,2.99,3.31,3.14,2.95,2.74,2.31,2.24,2.22,2.1,1.72,1.71,1.71,1.66,1.57,1.49,1.4,1.3,1.41,1.37,1.31,1.29,1.25,1.31,1.26,1.09,1.05,1.16,1.09,1.08,1.11,0.89,0.94,0.94,0.87,0.95,0.92,0.69,0.8,0.76,0.67,0.57,0.58,0.56,0.51,0.51,0.49,0.47,0.51,0.41,0.45,0.42,0.41,0.34,0.39,0.35,0.35,0.36,0.34,0.31,0.31,0.25,0.31,0.31,0.31,0.32,0.29,0.27,0.25,0.28,0.29,0.23,0.26,0.24,0.25,0.24,0.23,0.25,0.22,0.19,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.21,0.16,0.13,0.13,0.13,0.1,0.08,0.07,0.06,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/03/2021,8.55,7.68,4.52,3.47,3.02,3.22,3.22,2.82,2.69,1.8,2.28,2.18,2.13,1.79,1.59,1.82,1.67,1.56,1.53,1.45,1.24,1.42,1.48,1.3,0.0,1.24,1.23,1.2,1.09,1.0,1.09,1.1,1.11,1.12,0.9,0.94,0.86,0.86,0.96,0.95,0.71,0.8,0.73,0.63,0.55,0.58,0.58,0.46,0.56,0.49,0.47,0.51,0.38,0.46,0.41,0.41,0.33,0.39,0.35,0.37,0.35,0.34,0.3,0.28,0.19,0.33,0.3,0.32,0.33,0.29,0.25,0.25,0.28,0.29,0.24,0.25,0.23,0.28,0.24,0.23,0.25,0.24,0.18,0.19,0.16,0.17,0.16,0.16,0.16,0.16,0.2,0.17,0.12,0.12,0.13,0.09,0.08,0.07,0.06,0.02,0.05,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,8.55,7.68,4.52,3.47,3.02,3.22,3.22,2.82,2.69,1.8,2.28,2.18,2.13,1.79,1.59,1.82,1.67,1.56,1.53,1.45,1.24,1.42,1.48,1.3,0.0,1.24,1.23,1.2,1.09,1.0,1.09,1.1,1.11,1.12,0.9,0.94,0.86,0.86,0.96,0.95,0.71,0.8,0.73,0.63,0.55,0.58,0.58,0.46,0.56,0.49,0.47,0.51,0.38,0.46,0.41,0.41,0.33,0.39,0.35,0.37,0.35,0.34,0.3,0.28,0.19,0.33,0.3,0.32,0.33,0.29,0.25,0.25,0.28,0.29,0.24,0.25,0.23,0.28,0.24,0.23,0.25,0.24,0.18,0.19,0.16,0.17,0.16,0.16,0.16,0.16,0.2,0.17,0.12,0.12,0.13,0.09,0.08,0.07,0.06,0.02,0.05,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,8.57,7.6,4.53,3.52,3.03,3.19,3.2,2.83,2.7,1.75,2.25,2.18,2.12,1.79,1.62,1.82,1.64,1.55,1.55,1.47,1.22,1.43,1.46,1.29,0.0,1.24,1.2,1.2,1.06,1.02,1.09,1.11,1.11,1.12,0.91,0.94,0.88,0.87,0.96,0.95,0.72,0.81,0.74,0.66,0.57,0.58,0.58,0.46,0.56,0.47,0.47,0.51,0.39,0.46,0.41,0.42,0.34,0.39,0.36,0.38,0.35,0.35,0.31,0.29,0.2,0.32,0.3,0.32,0.34,0.29,0.25,0.25,0.29,0.29,0.23,0.24,0.23,0.28,0.24,0.25,0.25,0.24,0.18,0.19,0.16,0.17,0.16,0.15,0.16,0.16,0.19,0.17,0.12,0.12,0.13,0.08,0.08,0.07,0.06,0.02,0.05,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/03/2021,8.5,7.73,4.01,3.43,2.27,3.15,3.08,3.07,2.78,1.67,2.27,2.16,2.29,1.89,1.49,1.82,1.57,1.57,1.62,1.47,1.18,1.44,1.52,1.28,0.0,1.23,1.22,1.18,1.03,1.2,1.11,1.22,1.18,1.2,0.76,1.26,0.91,0.83,0.86,1.24,0.86,0.92,0.75,0.63,0.62,0.51,0.5,0.0,0.74,0.46,0.48,0.56,0.37,0.45,0.48,0.38,0.28,0.0,0.33,0.27,0.33,0.33,0.27,0.22,0.21,0.32,0.31,0.33,0.28,0.15,0.24,0.3,0.27,0.3,0.25,0.25,0.19,0.3,0.24,0.43,0.34,0.23,0.14,0.18,0.15,0.17,0.15,0.18,0.15,0.15,0.21,0.21,0.12,0.15,0.12,0.0,0.06,0.07,0.06,0.0,0.04,1.24,0.43,0.35,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
09/07/2021,8.4,7.49,4.06,3.42,2.3,3.24,3.03,2.99,2.82,1.67,2.2,2.12,2.42,1.92,1.51,1.93,1.52,1.58,1.63,1.46,1.15,1.41,1.48,1.27,0.0,1.24,1.19,1.17,1.06,1.19,1.17,1.23,1.18,1.19,0.76,1.31,0.9,0.85,0.87,1.32,0.86,0.94,0.65,0.61,0.68,0.5,0.49,0.0,0.72,0.53,0.46,0.58,0.35,0.46,0.48,0.38,0.28,0.0,0.34,0.29,0.32,0.33,0.29,0.21,0.22,0.32,0.3,0.32,0.31,0.19,0.24,0.29,0.26,0.37,0.27,0.25,0.19,0.3,0.24,0.45,0.37,0.22,0.13,0.18,0.15,0.17,0.15,0.19,0.15,0.15,0.21,0.2,0.12,0.15,0.11,0.0,0.06,0.07,0.06,0.0,0.05,1.23,0.44,0.35,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/08/2021,8.4,7.49,4.06,3.42,2.3,3.24,3.03,2.99,2.82,1.67,2.2,2.12,2.42,1.92,1.51,1.93,1.52,1.58,1.63,1.46,1.15,1.41,1.48,1.27,0.0,1.24,1.19,1.17,1.06,1.19,1.17,1.23,1.18,1.19,0.76,1.31,0.9,0.85,0.87,1.32,0.86,0.94,0.65,0.61,0.68,0.5,0.49,0.0,0.72,0.53,0.46,0.58,0.35,0.46,0.48,0.38,0.28,0.0,0.34,0.29,0.32,0.33,0.29,0.21,0.22,0.32,0.3,0.32,0.31,0.19,0.24,0.29,0.26,0.37,0.27,0.25,0.19,0.3,0.24,0.45,0.37,0.22,0.13,0.18,0.15,0.17,0.15,0.19,0.15,0.15,0.21,0.2,0.12,0.15,0.11,0.0,0.06,0.07,0.06,0.0,0.05,1.23,0.44,0.35,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
