,GME,OMCL,M,SAIA,GTLS,NEO,POWI,MSTR,ADC,IIPR,EXPO,AMN,ENSG,DDD,PDCE,SEM,UFPI,ITRI,BCPC,JBT,AEIS,REZI,SIG,TRUP,RRC,CNMD,WTS,LPSN,VIAV,CBU,ALRM,SHAK,BKU,PPBI,GKOS,MTDR,FHB,ROG,SPSC,STMP,KFY,AJRD,EXLS,LGIH,AGO,WDFC,MTH,NSIT,KLIC,VG,SWN,AIT,FN,ONTO,HP,ABCB,ARNC,LXP,ABG,DIOD,UNF,MED,FUL,SHOO,LCII,HI,EPRT,BBBY,CCOI,MMSI,SMPL,OMI,RCII,KWR,ISBC,ITGR,FELE,SFBS,LTHM,SHEN,SFNC,EGHT,AWR,DORM,AVA,WD,MXL,REGI,BMI,SJI,ABM,CWT,ONB,FORM,ANF,EAT,ALGT,MATX,MDC,SPXC,FIX,UFS,WWW,PRFT,ACA,UCBI,FLOW,KTB,AIN,BRC,SNBR,IBP,AEL,RMBS,IBTX,SM,COLB,EVTC,CVET,MD,JJSF,ATI,PBH,MDRX,CPE,SCL,AAON,GPI,CVBF,PCRX,PLXS,OI,SITC,PRLB,GDOT,IRBT,VCEL,FBP,CADE,SANM,ROCK,UNIT,RPAI,ODP,ESE,MYGN,SBH,CAKE,FWRD,BOOT,MOG.A,CELH,INDB,VSTO,FSS,MLI,BDN,MANT,AX,B,HSKA,EPC,CTRE,CORT,THRM,HTH,VICR,HUBG,UCTT,COOP,FFBC,WGO,SSTK,BCC,AVAV,IDCC,FMBI,TSE,MGLN,XPER,BLMN,IOSP,FCPT,SKYW,RLGY,RNST,SYKE,WSFS,MNRO,CPK,ROIC,RAVN,PSMT,PRGS,SVC,MODV,PMT,XHR,TWO,BIG,BGS,UNFI,WRE,FBC,VRTS,IRT,ARI,CYTK,GMS,CVCO,CCS,INT,AAWW,KALU,PIPR,CORE,BANR,TRMK,n/a,THS,TTGT,TTEC,LGND,CNK,XNCR,ATGE,AMEH,PLMR,AAT,TBK,ARCB,MDP,WIRE,DRH,NMIH,GNW,VBTX,SBCF,GPRE,BCEI,SKT,PRAA,CIVI,NTCT,VRTV,NPO,SUM
07/09/2021,1.07,0.63,0.55,0.53,0.51,0.51,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.89
07/12/2021,1.04,0.64,0.53,0.52,0.52,0.52,0.48,0.47,0.48,0.46,0.46,0.45,0.44,0.42,0.43,0.43,0.43,0.42,0.41,0.41,0.4,0.4,0.38,0.37,0.42,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.37,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.31,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.31,0.32,0.32,0.33,0.31,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.27,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.29,0.28,0.29,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.23,0.25,0.25,0.27,0.24,0.24,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03
07/13/2021,1.04,0.64,0.53,0.52,0.52,0.52,0.48,0.47,0.48,0.46,0.46,0.45,0.44,0.42,0.43,0.43,0.43,0.42,0.41,0.41,0.4,0.4,0.38,0.37,0.42,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.37,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.31,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.31,0.32,0.32,0.33,0.31,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.27,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.29,0.28,0.29,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.23,0.25,0.25,0.27,0.24,0.24,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03
07/14/2021,1.01,0.62,0.56,0.52,0.52,0.51,0.48,0.47,0.47,0.47,0.45,0.44,0.43,0.41,0.43,0.42,0.43,0.42,0.41,0.41,0.39,0.4,0.38,0.36,0.42,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.38,0.37,0.34,0.37,0.37,0.35,0.35,0.57,0.36,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.31,0.32,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.33,0.34,0.31,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.32,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.26,0.3,0.28,0.29,0.29,0.28,0.29,0.28,0.3,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.27,0.27,0.28,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.27,0.25,0.25,0.24,0.25,0.25,0.28,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.02
07/15/2021,1.0,0.63,0.57,0.52,0.52,0.51,0.47,0.44,0.47,0.47,0.45,0.45,0.44,0.37,0.42,0.42,0.44,0.42,0.41,0.41,0.39,0.41,0.38,0.35,0.41,0.38,0.39,0.37,0.37,0.38,0.37,0.36,0.38,0.37,0.34,0.37,0.37,0.36,0.34,0.56,0.36,0.33,0.34,0.34,0.35,0.34,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.33,0.35,0.31,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.32,0.3,0.3,0.29,0.29,0.3,0.3,0.32,0.26,0.3,0.28,0.29,0.29,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.28,0.27,0.28,0.26,0.28,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.26,0.24,0.25,0.25,0.25,0.24,0.24,0.27,0.25,0.25,0.24,0.25,0.24,0.28,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.2,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.99
07/16/2021,0.97,0.63,0.56,0.53,0.52,0.52,0.48,0.44,0.48,0.48,0.46,0.45,0.44,0.36,0.42,0.43,0.44,0.42,0.41,0.41,0.4,0.4,0.38,0.36,0.42,0.37,0.39,0.37,0.38,0.38,0.38,0.36,0.37,0.36,0.33,0.38,0.36,0.36,0.34,0.57,0.36,0.34,0.35,0.33,0.35,0.33,0.33,0.33,0.33,0.32,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.36,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.32,0.3,0.32,0.3,0.3,0.32,0.3,0.3,0.29,0.29,0.3,0.3,0.31,0.26,0.29,0.28,0.3,0.29,0.28,0.28,0.28,0.29,0.28,0.28,0.29,0.29,0.27,0.27,0.26,0.28,0.27,0.28,0.26,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.27,0.25,0.26,0.25,0.26,0.24,0.24,0.26,0.25,0.24,0.24,0.26,0.25,0.25,0.24,0.25,0.24,0.28,0.24,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.2,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.21,0.19,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.06
07/19/2021,0.91,0.64,0.54,0.53,0.52,0.49,0.48,0.42,0.49,0.48,0.46,0.45,0.44,0.34,0.41,0.42,0.43,0.42,0.42,0.42,0.38,0.39,0.36,0.35,0.4,0.37,0.39,0.35,0.38,0.39,0.36,0.33,0.37,0.37,0.26,0.35,0.37,0.36,0.34,0.58,0.36,0.35,0.36,0.34,0.35,0.35,0.33,0.34,0.32,0.32,0.32,0.34,0.33,0.32,0.31,0.33,0.32,0.35,0.36,0.31,0.32,0.32,0.33,0.31,0.33,0.32,0.32,0.29,0.32,0.29,0.3,0.32,0.31,0.3,0.3,0.29,0.31,0.31,0.31,0.26,0.3,0.27,0.3,0.3,0.29,0.29,0.28,0.3,0.28,0.28,0.31,0.3,0.28,0.26,0.25,0.26,0.27,0.28,0.26,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.26,0.25,0.26,0.22,0.25,0.26,0.25,0.24,0.25,0.26,0.25,0.25,0.21,0.25,0.25,0.28,0.25,0.24,0.25,0.24,0.25,0.23,0.25,0.24,0.24,0.25,0.25,0.24,0.23,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.2,0.21,0.2,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.21,0.2,0.0,0.0,0.0,0.21,0.21,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.89
07/20/2021,0.94,0.65,0.53,0.52,0.53,0.51,0.47,0.41,0.5,0.5,0.47,0.45,0.45,0.32,0.39,0.42,0.43,0.4,0.42,0.43,0.37,0.38,0.35,0.36,0.39,0.38,0.39,0.36,0.38,0.39,0.36,0.34,0.37,0.36,0.26,0.35,0.36,0.36,0.35,0.59,0.36,0.36,0.36,0.34,0.35,0.35,0.33,0.34,0.31,0.33,0.31,0.34,0.33,0.31,0.31,0.33,0.32,0.35,0.36,0.31,0.33,0.31,0.33,0.31,0.34,0.33,0.33,0.29,0.33,0.3,0.31,0.33,0.31,0.3,0.29,0.29,0.31,0.31,0.28,0.26,0.29,0.28,0.32,0.3,0.3,0.3,0.27,0.31,0.28,0.29,0.31,0.31,0.28,0.26,0.25,0.26,0.27,0.28,0.27,0.28,0.27,0.28,0.26,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.27,0.25,0.26,0.21,0.25,0.26,0.24,0.24,0.25,0.26,0.26,0.25,0.0,0.25,0.25,0.28,0.25,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.24,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.2,0.22,0.22,0.21,0.22,0.0,0.21,0.2,0.21,0.2,0.22,0.21,0.21,0.22,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.19,0.0,0.21,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98
07/21/2021,0.94,0.65,0.53,0.52,0.53,0.51,0.47,0.41,0.5,0.5,0.47,0.45,0.45,0.32,0.39,0.42,0.43,0.4,0.42,0.43,0.37,0.38,0.35,0.36,0.39,0.38,0.39,0.36,0.38,0.39,0.36,0.34,0.37,0.36,0.26,0.35,0.36,0.36,0.35,0.59,0.36,0.36,0.36,0.34,0.35,0.35,0.33,0.34,0.31,0.33,0.31,0.34,0.33,0.31,0.31,0.33,0.32,0.35,0.36,0.31,0.33,0.31,0.33,0.31,0.34,0.33,0.33,0.29,0.33,0.3,0.31,0.33,0.31,0.3,0.29,0.29,0.31,0.31,0.28,0.26,0.29,0.28,0.32,0.3,0.3,0.3,0.27,0.31,0.28,0.29,0.31,0.31,0.28,0.26,0.25,0.26,0.27,0.28,0.27,0.28,0.27,0.28,0.26,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.27,0.25,0.26,0.21,0.25,0.26,0.24,0.24,0.25,0.26,0.26,0.25,0.0,0.25,0.25,0.28,0.25,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.24,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.2,0.22,0.22,0.21,0.22,0.0,0.21,0.2,0.21,0.2,0.22,0.21,0.21,0.22,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.19,0.0,0.21,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98
07/22/2021,0.94,0.65,0.53,0.52,0.53,0.51,0.47,0.41,0.5,0.5,0.47,0.45,0.45,0.32,0.39,0.42,0.43,0.4,0.42,0.43,0.37,0.38,0.35,0.36,0.39,0.38,0.39,0.36,0.38,0.39,0.36,0.34,0.37,0.36,0.26,0.35,0.36,0.36,0.35,0.59,0.36,0.36,0.36,0.34,0.35,0.35,0.33,0.34,0.31,0.33,0.31,0.34,0.33,0.31,0.31,0.33,0.32,0.35,0.36,0.31,0.33,0.31,0.33,0.31,0.34,0.33,0.33,0.29,0.33,0.3,0.31,0.33,0.31,0.3,0.29,0.29,0.31,0.31,0.28,0.26,0.29,0.28,0.32,0.3,0.3,0.3,0.27,0.31,0.28,0.29,0.31,0.31,0.28,0.26,0.25,0.26,0.27,0.28,0.27,0.28,0.27,0.28,0.26,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.27,0.25,0.26,0.21,0.25,0.26,0.24,0.24,0.25,0.26,0.26,0.25,0.0,0.25,0.25,0.28,0.25,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.24,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.2,0.22,0.22,0.21,0.22,0.0,0.21,0.2,0.21,0.2,0.22,0.21,0.21,0.22,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.19,0.0,0.21,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98
