,AAPL,MSFT,GOOGL,FB,JPM,BRK.B,INTC,BAC,AMZN,UNH,JNJ,VZ,ORCL,HD,WMT,CSCO,PG,MS,V,C,CMCSA,T,MRK,GS,PFE,ABBV,PM,CVS,MO,KO,IBM,MA,LOW,PEP,UPS,AMGN,ANTM,LLY,LMT,NVDA,CI,GILD,BLK,TGT,UNP,TXN,HON,TMO,MET,BIIB,GM,MCD,PGR,USB,AMAT,QCOM,MMM,XOM,HCA,ADBE,CAT,TFC,COST,BK,AXP,HUM,HPQ,ALL,NOC,TMUS,KHC,PYPL,DE,GD,ABT,MDLZ,SCHW,LRCX,AFL,NEE,NKE,DIS,MU,REGN,LEN,DHR,CHTR,SPGI,ALXN,MCK,ADP,EBAY,CSX,CRM,SO,NFLX,KR,VIAC,DHI,NEM,INTU,AMT,CL,TROW,NSC,KMB,MMC,PLD,WisdomTree US High Dividend ETF,DG,CARR,EMR,TRV,EXC,D,DOW,AZO,BMY,GIS,EOG,SPG,SHW,ATVI,ITW,VRTX,FOXA,CME,HIG,MCO,AVGO,ADM,ZTS,TSN,ORLY,ICE,FDX,SYK,LHX,APD,WM,KLAC,CTSH,EL,BBY,SYF,AMP,CMI,VMW,LH,KMI,SRE,WMB,ADI,DUK,BDX,PSA,ABC,PPL,DISCA,LUMN,SCCO,PHM,KDP,SBUX,AEP,EW,HSY,SIVB,OKE,EA,PEG,OMC,NTRS,BAX,PH,BKR,MSI,PCAR,PPG,K,BKNG,FE,AMD,MTB,IP,PAYX,CINF,DISH,APH,SWKS,ISRG,OTIS,NUE,MNST,DFS,RSG,NTAP,NOW,CBRE,XEL,ECL,DLTR,CAH,URI,n/a,CDW,ACI,DGX,FTNT,DHS,A,SUM
07/09/2021,4.73,4.69,3.8,2.49,2.36,1.98,1.87,1.79,1.65,1.62,1.48,1.38,1.19,1.19,1.09,1.08,1.07,1.05,1.0,0.97,0.92,0.91,0.86,0.77,0.75,0.74,0.73,0.72,0.66,0.64,0.63,0.61,0.61,0.6,0.6,0.6,0.54,0.54,0.52,0.5,0.5,0.49,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.34
07/12/2021,4.89,4.73,3.84,2.46,2.32,1.98,1.84,1.72,1.74,1.62,1.49,1.38,1.25,1.19,1.09,1.07,1.08,1.02,1.0,0.94,0.92,0.9,0.86,0.75,0.74,0.75,0.72,0.71,0.65,0.65,0.62,0.6,0.61,0.61,0.61,0.59,0.54,0.54,0.52,0.5,0.49,0.48,0.46,0.46,0.46,0.44,0.45,0.45,0.43,0.45,0.42,0.43,0.42,0.41,0.41,0.41,0.4,0.38,0.39,0.39,0.37,0.36,0.37,0.35,0.36,0.35,0.33,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.26
07/13/2021,4.89,4.73,3.84,2.46,2.32,1.98,1.84,1.72,1.74,1.62,1.49,1.38,1.25,1.19,1.09,1.07,1.08,1.02,1.0,0.94,0.92,0.9,0.86,0.75,0.74,0.75,0.72,0.71,0.65,0.65,0.62,0.6,0.61,0.61,0.61,0.59,0.54,0.54,0.52,0.5,0.49,0.48,0.46,0.46,0.46,0.44,0.45,0.45,0.43,0.45,0.42,0.43,0.42,0.41,0.41,0.41,0.4,0.38,0.39,0.39,0.37,0.36,0.37,0.35,0.36,0.35,0.33,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.26
07/14/2021,4.89,4.69,3.8,2.46,2.35,1.99,1.84,1.74,1.75,1.63,1.49,1.37,1.27,1.18,1.09,1.08,1.08,1.02,0.99,0.94,0.92,0.88,0.85,0.76,0.74,0.75,0.72,0.71,0.65,0.65,0.63,0.6,0.6,0.61,0.61,0.59,0.55,0.54,0.52,0.49,0.49,0.48,0.47,0.46,0.45,0.44,0.46,0.45,0.43,0.45,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.38,0.39,0.39,0.37,0.37,0.38,0.35,0.36,0.35,0.32,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.31
07/15/2021,4.89,4.69,3.8,2.46,2.35,1.99,1.84,1.74,1.75,1.63,1.49,1.37,1.27,1.18,1.09,1.08,1.08,1.02,0.99,0.94,0.92,0.88,0.85,0.76,0.74,0.75,0.72,0.71,0.65,0.65,0.63,0.6,0.6,0.61,0.61,0.59,0.55,0.54,0.52,0.49,0.49,0.48,0.47,0.46,0.45,0.44,0.46,0.45,0.43,0.45,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.38,0.39,0.39,0.37,0.37,0.38,0.35,0.36,0.35,0.32,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.31
07/16/2021,4.86,4.66,3.84,2.47,2.37,1.98,1.86,1.76,1.74,1.64,1.48,1.37,1.25,1.17,1.08,1.06,1.08,1.05,0.99,0.95,0.92,0.88,0.84,0.78,0.74,0.75,0.72,0.71,0.65,0.64,0.63,0.61,0.6,0.61,0.6,0.59,0.56,0.54,0.52,0.5,0.49,0.48,0.47,0.47,0.45,0.45,0.46,0.45,0.43,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.38,0.4,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.31,0.33,0.33,0.32,0.31,0.33,0.31,0.31,0.31,0.3,0.29,0.28,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.28
07/19/2021,5.03,4.76,3.88,2.44,2.34,1.97,1.86,1.68,1.73,1.63,1.49,1.38,1.27,1.17,1.1,1.08,1.09,1.05,1.03,0.94,0.91,0.87,0.85,0.77,0.75,0.75,0.73,0.72,0.66,0.67,0.62,0.63,0.59,0.63,0.6,0.59,0.56,0.54,0.52,0.48,0.5,0.48,0.45,0.47,0.44,0.45,0.46,0.45,0.42,0.44,0.43,0.44,0.41,0.41,0.41,0.42,0.41,0.37,0.39,0.39,0.36,0.36,0.38,0.35,0.36,0.35,0.31,0.32,0.32,0.32,0.3,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.22,0.23,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.16,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.41000000000001
07/20/2021,4.98,4.77,3.88,2.41,2.31,1.98,1.82,1.66,1.69,1.67,1.48,1.39,1.27,1.19,1.11,1.08,1.11,1.04,1.04,0.93,0.92,0.88,0.86,0.75,0.76,0.76,0.73,0.72,0.66,0.67,0.62,0.63,0.61,0.64,0.6,0.6,0.56,0.53,0.52,0.45,0.49,0.49,0.46,0.47,0.45,0.44,0.47,0.46,0.42,0.41,0.42,0.44,0.41,0.42,0.39,0.41,0.4,0.36,0.4,0.39,0.36,0.37,0.38,0.35,0.36,0.36,0.3,0.32,0.32,0.33,0.31,0.32,0.31,0.31,0.31,0.31,0.28,0.27,0.26,0.27,0.26,0.26,0.24,0.25,0.24,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.2,0.21,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.2,0.19,0.18,0.16,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.16,0.18,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.42
07/21/2021,4.98,4.77,3.88,2.41,2.31,1.98,1.82,1.66,1.69,1.67,1.48,1.39,1.27,1.19,1.11,1.08,1.11,1.04,1.04,0.93,0.92,0.88,0.86,0.75,0.76,0.76,0.73,0.72,0.66,0.67,0.62,0.63,0.61,0.64,0.6,0.6,0.56,0.53,0.52,0.45,0.49,0.49,0.46,0.47,0.45,0.44,0.47,0.46,0.42,0.41,0.42,0.44,0.41,0.42,0.39,0.41,0.4,0.36,0.4,0.39,0.36,0.37,0.38,0.35,0.36,0.36,0.3,0.32,0.32,0.33,0.31,0.32,0.31,0.31,0.31,0.31,0.28,0.27,0.26,0.27,0.26,0.26,0.24,0.25,0.24,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.2,0.21,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.2,0.19,0.18,0.16,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.16,0.18,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.42
07/22/2021,4.98,4.77,3.88,2.41,2.31,1.98,1.82,1.66,1.69,1.67,1.48,1.39,1.27,1.19,1.11,1.08,1.11,1.04,1.04,0.93,0.92,0.88,0.86,0.75,0.76,0.76,0.73,0.72,0.66,0.67,0.62,0.63,0.61,0.64,0.6,0.6,0.56,0.53,0.52,0.45,0.49,0.49,0.46,0.47,0.45,0.44,0.47,0.46,0.42,0.41,0.42,0.44,0.41,0.42,0.39,0.41,0.4,0.36,0.4,0.39,0.36,0.37,0.38,0.35,0.36,0.36,0.3,0.32,0.32,0.33,0.31,0.32,0.31,0.31,0.31,0.31,0.28,0.27,0.26,0.27,0.26,0.26,0.24,0.25,0.24,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.2,0.21,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.2,0.19,0.18,0.16,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.16,0.18,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.42
