,SSPY,SMDY,n/a,002960.SZ,SSLY,SUM
08/27/2021,85.66,9.59,4.71,0.05,0.0,100.01
08/30/2021,85.62,9.64,4.7,0.05,0.0,100.01
08/31/2021,85.47,9.71,4.77,0.05,0.0,100.0
09/01/2021,85.47,9.71,4.77,0.05,0.0,100.0
09/02/2021,85.47,9.71,4.77,0.05,0.0,100.0
09/03/2021,85.5,9.7,4.75,0.05,0.0,100.0
09/06/2021,85.46,9.72,4.77,0.05,0.0,100.0
09/07/2021,85.51,9.7,0.05,0.0,4.75,100.01
09/08/2021,85.51,9.7,0.05,0.0,4.75,100.01
09/09/2021,85.51,9.7,0.05,0.0,4.75,100.01
09/10/2021,85.53,9.68,0.05,0.0,4.75,100.01
09/13/2021,85.59,9.65,0.05,0.0,4.72,100.01
09/14/2021,85.61,9.64,0.04,0.0,4.7,99.99
09/15/2021,85.61,9.64,0.04,0.0,4.7,99.99
09/16/2021,85.61,9.64,0.04,0.0,4.7,99.99
09/17/2021,85.63,9.63,0.04,0.0,4.69,99.99
09/20/2021,85.63,9.64,0.04,0.0,4.69,100.0
09/21/2021,85.53,9.68,0.04,0.0,4.75,100.0
09/22/2021,85.53,9.68,0.04,0.0,4.75,100.0
09/23/2021,85.53,9.68,0.04,0.0,4.75,100.0
09/24/2021,84.91,10.02,0.05,0.0,5.03,100.01
09/27/2021,84.85,10.05,0.05,0.0,5.06,100.01
09/28/2021,84.86,10.03,0.05,0.0,5.06,100.0
09/29/2021,84.86,10.03,0.05,0.0,5.06,100.0
09/30/2021,84.77,10.06,0.05,0.0,5.12,100.0
10/01/2021,84.79,10.05,0.05,0.0,5.11,100.0
10/04/2021,84.81,10.03,0.05,0.0,5.12,100.01
10/05/2021,84.69,10.11,0.05,0.0,5.15,100.0
10/06/2021,84.69,10.11,0.05,0.0,5.15,100.0
10/07/2021,84.72,10.08,0.05,0.0,5.15,100.0
10/08/2021,84.72,10.08,0.05,0.0,5.15,100.0
10/11/2021,84.77,10.06,0.05,0.0,5.13,100.01
10/12/2021,84.82,10.02,0.04,0.0,5.12,100.0
10/13/2021,84.82,10.02,0.04,0.0,5.12,100.0
10/14/2021,84.82,10.02,0.04,0.0,5.12,100.0
10/15/2021,84.82,10.02,0.04,0.0,5.12,100.0
10/18/2021,84.77,10.07,0.04,0.0,5.12,100.0
10/19/2021,84.82,10.06,0.04,0.0,5.08,100.0
10/20/2021,84.82,10.06,0.04,0.0,5.08,100.0
10/21/2021,84.82,10.06,0.04,0.0,5.08,100.0
10/22/2021,84.87,10.04,0.04,0.0,5.05,100.0
10/25/2021,84.89,10.03,0.04,0.0,5.04,100.0
10/26/2021,84.88,10.04,0.04,0.0,5.04,100.0
