,SPMB,SPLB,SPIB,SPTI,SPTL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,GVMXX,U.S. Dollar,BIL,State Street Instl US Govt MMkt Premier,n/a,SUM
07/09/2021,30.28,24.4,22.46,11.46,7.03,4.37,0.16,-0.15,0.0,0.0,0.0,100.01
07/12/2021,30.15,24.44,22.38,11.43,7.08,4.35,0.17,0.0,0.0,0.0,0.0,100.0
07/13/2021,30.15,24.44,22.38,11.43,7.08,4.35,0.17,0.0,0.0,0.0,0.0,100.0
07/14/2021,30.21,24.34,22.44,11.45,7.02,4.37,0.17,0.0,0.0,0.0,0.0,100.0
07/15/2021,30.21,24.36,22.44,11.45,7.01,4.37,0.17,0.0,0.0,0.0,0.0,100.01000000000002
07/16/2021,27.49,26.6,19.76,11.46,6.97,7.48,0.17,0.06,0.0,0.0,0.0,99.99
07/19/2021,27.39,26.77,19.68,11.43,7.07,7.44,0.22,0.0,0.0,0.0,0.0,100.0
07/20/2021,27.38,26.72,19.71,11.44,7.07,0.0,0.0,0.0,7.45,0.22,0.0,99.99
07/21/2021,27.38,26.72,19.71,11.44,7.07,7.45,0.22,0.0,0.0,0.0,0.0,99.99
07/22/2021,27.38,26.72,19.71,11.44,7.07,0.0,0.0,0.0,7.45,0.22,0.0,99.99
07/23/2021,27.33,26.82,19.67,11.44,7.12,7.41,0.19,0.0,0.0,0.0,0.0,99.98
07/26/2021,27.34,26.85,19.67,11.43,7.1,7.42,0.19,0.0,0.0,0.0,0.0,100.0
07/27/2021,27.38,26.83,19.68,11.43,7.06,0.0,0.0,0.0,7.42,0.2,0.0,100.0
07/28/2021,27.38,26.83,19.68,11.43,7.06,0.0,0.0,0.0,7.42,0.2,0.0,100.0
07/29/2021,27.4,26.79,19.7,11.44,7.05,7.43,0.19,0.0,0.0,0.0,0.0,100.0
07/30/2021,27.32,26.89,19.66,11.43,7.1,0.0,0.0,0.0,7.41,0.2,0.0,100.01
08/02/2021,27.32,26.91,19.66,11.42,7.09,0.0,0.0,0.0,7.4,0.2,0.0,100.0
08/03/2021,27.36,26.85,19.68,11.42,7.07,7.42,0.2,0.0,0.0,0.0,0.0,100.0
08/04/2021,27.38,26.89,19.7,11.45,7.1,7.42,0.21,-0.15,0.0,0.0,0.0,100.0
08/05/2021,27.34,26.9,19.67,11.46,7.14,7.41,0.21,-0.14,0.0,0.0,0.0,99.99
08/06/2021,27.33,26.93,19.68,11.45,7.14,7.4,0.21,-0.14,0.0,0.0,0.0,100.0
08/10/2021,27.43,26.64,19.71,11.46,7.06,0.0,0.0,0.0,7.46,0.0,0.24,100.0
08/11/2021,27.43,26.65,19.71,11.46,7.06,0.0,0.23,0.0,0.0,0.0,7.46,100.0
08/16/2021,27.3,24.82,19.61,11.43,6.96,0.0,0.0,0.0,9.61,0.0,0.27,100.0
08/17/2021,27.21,24.97,19.56,11.41,7.02,0.0,0.0,0.0,9.57,0.0,0.27,100.01
08/18/2021,27.21,24.97,19.56,11.41,0.0,0.0,0.27,0.0,9.57,0.0,7.02,100.01
08/23/2021,27.17,25.0,19.53,11.41,7.1,0.0,0.22,0.0,0.0,0.0,9.56,99.99
08/24/2021,27.14,25.05,19.52,11.4,7.1,0.0,0.0,0.0,9.55,0.0,0.23,99.99
08/25/2021,27.14,25.05,19.52,11.4,7.1,0.0,0.22,0.0,0.0,0.0,9.55,99.98
08/27/2021,27.2,24.99,19.56,11.4,7.06,0.0,0.23,0.0,0.0,0.0,9.57,100.01
08/30/2021,27.24,24.95,19.57,11.4,7.03,0.0,0.0,0.0,9.59,0.0,0.23,100.01
08/31/2021,27.19,25.05,19.54,11.39,7.05,0.0,0.0,0.0,9.55,0.0,0.23,100.0
09/01/2021,27.19,25.05,19.54,11.39,7.05,0.0,0.22,0.0,0.0,0.0,9.56,100.0
09/02/2021,27.16,25.07,19.54,11.39,7.07,0.0,0.22,0.0,0.0,0.0,9.55,100.0
09/07/2021,27.22,24.95,19.59,11.42,7.02,0.0,0.24,0.0,9.58,0.0,0.0,100.02
09/08/2021,27.25,24.98,19.61,11.43,7.03,0.0,0.23,0.0,9.59,0.0,-0.13,99.99
09/09/2021,27.25,24.98,19.61,11.43,7.03,0.0,0.23,0.0,9.59,0.0,-0.13,99.99
09/10/2021,27.33,24.88,19.63,11.44,6.99,0.0,0.23,0.0,9.62,0.0,-0.13,99.99
09/13/2021,27.12,25.1,19.54,11.38,7.06,0.0,0.26,0.0,9.54,0.0,0.0,100.0
09/14/2021,27.16,25.04,19.56,11.39,7.02,0.0,0.27,0.0,9.57,0.0,0.0,100.01
09/15/2021,25.23,24.74,19.62,11.41,6.96,0.0,0.26,0.0,11.79,0.0,0.0,100.01
09/16/2021,25.2,24.8,19.6,11.39,6.99,0.0,0.27,0.0,11.76,0.0,0.0,100.01
09/17/2021,25.15,24.86,19.57,11.38,7.05,0.0,0.26,0.0,11.73,0.0,0.0,100.0
09/20/2021,25.18,24.84,19.59,11.38,7.01,0.0,0.23,0.0,11.76,0.0,0.0,99.99
09/21/2021,25.2,24.81,19.61,11.38,6.98,0.0,0.23,0.0,11.78,0.0,0.0,99.99
09/22/2021,25.2,24.81,19.61,11.38,6.98,0.0,0.23,0.0,11.78,0.0,0.0,99.99
09/23/2021,25.16,24.87,19.57,11.37,7.05,0.0,0.23,0.0,11.75,0.0,0.0,100.0
09/24/2021,25.15,24.86,19.57,11.38,7.04,0.0,0.23,0.0,11.75,0.0,0.0,99.98
09/27/2021,25.19,24.84,19.61,11.36,6.96,0.0,0.23,0.0,11.8,0.0,0.0,99.99
