,AAPL,MSFT,NVDA,FB,GOOGL,LLY,NKE,IDXX,INTU,TMO,ACN,DHR,EBAY,TGT,TECH,JNJ,PG,UNH,ETN,MDT,MRNA,VZ,SC,PEP,ABT,EL,ZTS,DVN,LEN,NEE,MS,LH,CMCSA,TMUS,WST,LOW,TSCO,WM,CSCO,GRMN,DUK,AMAT,EQT,HCA,UTHR,SYF,DKS,WMB,ANTM,LRCX,NRG,ENPH,LUMN,EXC,TXN,FAST,CF,SWKS,AVY,CCI,RSG,SO,PPG,RUN,PM,ROKU,WSM,ABBV,MSI,PGR,KO,IP,EVRG,T,AWK,DOW,WHR,ANET,AMGN,PLD,PFE,PSA,PWR,HAL,EOG,KLAC,MDLZ,HSY,STLD,CI,EMN,BBY,AES,LYB,VICI,BMY,CHTR,TER,CDNS,CVS,PEG,ADI,ALLY,AEE,CE,NUE,CNP,HUN,HRC,CMI,STT,NUAN,GWW,WELL,GIS,RPM,XEL,NEM,PNW,D,RS,WEC,VST,AVGO,GNTX,ORCL,DGX,EXR,HUM,BR,PKI,UGI,VER,BIO,DVA,COG,SPG,RHI,SCCO,NFG,KDP,JNPR,ITW,AM,TT,DLR,CL,PPL,SHW,SRE,KR,PXD,UHS,MO,ITT,ES,PEAK,ED,LITE,MCK,DTE,CBRE,ABC,CLX,SJM,SMG,OGE,STWD,MPW,BKR,TSN,LNT,FSLR,CMS,MXIM,INTC,F,IDA,CHD,ROK,KHC,K,UNP,STZ,AGR,KMB,CAG,MAS,STE,DISH,MKC,ALB,HRL,WU,MNST,HIG,BF.B,IRM,XLNX,NI,ADM,VTR,ESI,JLL,CTVA,OLN,ATUS,CC,WY,AOS,CSGP,ETR,FLO,CPB,SAM,WPC,AON,SYY,LSI,APH,KIM,FITB,HBAN,WBA,TFC,FNF,MMC,n/a,MRO,COF,XEC,MOS,TRGP,DAR,NTAP,FCX,WLK,TAP,ACI,IPG,BG,LAMR,KSS,CTRA,BUWA.,BAC,CIEN,SUM
07/09/2021,0.65,0.63,0.56,0.5,0.5,0.49,0.49,0.47,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.52
07/12/2021,0.66,0.63,0.53,0.49,0.49,0.48,0.48,0.47,0.47,0.45,0.46,0.44,0.45,0.44,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.43,0.42,0.42,0.42,0.43,0.43,0.4,0.4,0.4,0.41,0.41,0.4,0.41,0.41,0.41,0.41,0.41,0.42,0.4,0.39,0.41,0.41,0.4,0.41,0.41,0.4,0.39,0.38,0.39,0.38,0.39,0.38,0.37,0.38,0.38,0.37,0.38,0.38,0.38,0.37,0.38,0.35,0.38,0.37,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.36,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.38,0.37,0.39,0.37,0.36,0.35,0.35,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.36,0.37,0.36,0.37,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.36,0.34,0.35,0.34,0.33,0.35,0.34,0.35,0.34,0.34,0.32,0.33,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.33,0.33,0.33,0.31,0.31,0.31,0.3,0.31,0.32,0.31,0.31,0.31,0.32,0.31,0.31,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.29,0.0,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.29,0.3,0.0,0.0,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49
07/13/2021,0.66,0.63,0.53,0.49,0.49,0.48,0.48,0.47,0.47,0.45,0.46,0.44,0.45,0.44,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.43,0.42,0.42,0.42,0.43,0.43,0.4,0.4,0.4,0.41,0.41,0.4,0.41,0.41,0.41,0.41,0.41,0.42,0.4,0.39,0.41,0.41,0.4,0.41,0.41,0.4,0.39,0.38,0.39,0.38,0.39,0.38,0.37,0.38,0.38,0.37,0.38,0.38,0.38,0.37,0.38,0.35,0.38,0.37,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.36,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.38,0.37,0.39,0.37,0.36,0.35,0.35,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.36,0.37,0.36,0.37,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.36,0.34,0.35,0.34,0.33,0.35,0.34,0.35,0.34,0.34,0.32,0.33,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.33,0.33,0.33,0.31,0.31,0.31,0.3,0.31,0.32,0.31,0.31,0.31,0.32,0.31,0.31,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.29,0.0,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.29,0.3,0.0,0.0,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49
07/14/2021,0.66,0.63,0.53,0.49,0.49,0.48,0.48,0.47,0.47,0.45,0.46,0.44,0.45,0.44,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.43,0.42,0.42,0.42,0.43,0.43,0.4,0.4,0.4,0.41,0.41,0.4,0.41,0.41,0.41,0.41,0.41,0.42,0.4,0.39,0.41,0.41,0.4,0.41,0.41,0.4,0.39,0.38,0.39,0.38,0.39,0.38,0.37,0.38,0.38,0.37,0.38,0.38,0.38,0.37,0.38,0.35,0.38,0.37,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.36,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.38,0.37,0.39,0.37,0.36,0.35,0.35,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.36,0.37,0.36,0.37,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.36,0.34,0.35,0.34,0.33,0.35,0.34,0.35,0.34,0.34,0.32,0.33,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.33,0.33,0.33,0.31,0.31,0.31,0.3,0.31,0.32,0.31,0.31,0.31,0.32,0.31,0.31,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.29,0.0,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.29,0.3,0.0,0.0,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49
07/15/2021,0.66,0.62,0.54,0.5,0.49,0.49,0.48,0.47,0.47,0.45,0.45,0.44,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.41,0.42,0.41,0.43,0.42,0.42,0.42,0.43,0.43,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.4,0.39,0.41,0.41,0.39,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.39,0.39,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.38,0.36,0.37,0.37,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.36,0.37,0.37,0.38,0.36,0.36,0.38,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.4,0.37,0.36,0.35,0.35,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.38,0.37,0.37,0.38,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.36,0.34,0.35,0.35,0.34,0.35,0.35,0.36,0.34,0.35,0.34,0.33,0.35,0.34,0.35,0.34,0.34,0.32,0.33,0.33,0.33,0.33,0.34,0.32,0.32,0.32,0.31,0.31,0.31,0.32,0.32,0.33,0.33,0.32,0.32,0.32,0.32,0.33,0.31,0.33,0.32,0.33,0.31,0.31,0.31,0.3,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.0,0.0,0.3,0.3,0.29,0.29,0.0,0.0,0.0,0.32,0.0,0.29,0.29,0.3,0.29,0.3,0.0,0.0,0.0,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.53999999999999
07/16/2021,0.67,0.64,0.54,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.41,0.43,0.43,0.42,0.42,0.43,0.44,0.39,0.4,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.4,0.39,0.41,0.41,0.39,0.41,0.41,0.4,0.41,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.36,0.37,0.37,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.36,0.37,0.37,0.37,0.36,0.37,0.38,0.37,0.37,0.38,0.37,0.37,0.37,0.38,0.37,0.39,0.37,0.36,0.35,0.34,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.38,0.37,0.37,0.37,0.34,0.35,0.35,0.35,0.35,0.34,0.35,0.36,0.34,0.35,0.35,0.35,0.35,0.35,0.36,0.34,0.35,0.35,0.33,0.35,0.34,0.34,0.35,0.35,0.32,0.32,0.33,0.33,0.33,0.34,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.33,0.33,0.32,0.32,0.33,0.32,0.33,0.31,0.33,0.32,0.33,0.31,0.31,0.31,0.3,0.31,0.32,0.3,0.31,0.31,0.32,0.3,0.31,0.29,0.29,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.29,0.29,0.31,0.3,0.0,0.29,0.0,0.0,0.0,0.32,0.0,0.3,0.29,0.3,0.0,0.3,0.0,0.29,0.29,0.3,0.29,0.0,0.29,0.0,0.28,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.69
07/19/2021,0.68,0.64,0.51,0.49,0.5,0.48,0.49,0.47,0.47,0.45,0.46,0.45,0.45,0.46,0.43,0.43,0.44,0.44,0.43,0.41,0.46,0.42,0.43,0.44,0.42,0.43,0.44,0.41,0.39,0.42,0.42,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.41,0.4,0.41,0.41,0.39,0.41,0.38,0.38,0.34,0.38,0.4,0.37,0.38,0.37,0.38,0.38,0.38,0.39,0.38,0.38,0.32,0.38,0.35,0.37,0.39,0.38,0.37,0.4,0.38,0.39,0.36,0.38,0.37,0.38,0.36,0.37,0.38,0.37,0.38,0.37,0.35,0.34,0.37,0.39,0.38,0.4,0.37,0.36,0.36,0.34,0.36,0.36,0.36,0.35,0.35,0.36,0.37,0.37,0.35,0.37,0.38,0.38,0.37,0.35,0.35,0.34,0.36,0.35,0.35,0.36,0.36,0.35,0.35,0.36,0.35,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.35,0.34,0.35,0.36,0.35,0.32,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.31,0.33,0.33,0.33,0.32,0.33,0.32,0.33,0.29,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.31,0.32,0.31,0.31,0.31,0.32,0.3,0.31,0.29,0.3,0.0,0.29,0.3,0.0,0.31,0.29,0.29,0.29,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.32,0.3,0.0,0.29,0.0,0.0,0.29,0.32,0.29,0.3,0.3,0.3,0.29,0.3,0.0,0.3,0.29,0.3,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.83
07/20/2021,0.68,0.64,0.49,0.49,0.5,0.49,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.46,0.45,0.44,0.45,0.44,0.43,0.41,0.51,0.42,0.43,0.44,0.42,0.43,0.44,0.39,0.39,0.42,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.37,0.36,0.41,0.4,0.4,0.39,0.39,0.4,0.37,0.39,0.34,0.37,0.4,0.37,0.38,0.36,0.37,0.37,0.38,0.39,0.39,0.38,0.31,0.38,0.35,0.37,0.39,0.38,0.38,0.4,0.38,0.4,0.36,0.39,0.36,0.37,0.36,0.38,0.38,0.38,0.38,0.37,0.34,0.33,0.36,0.39,0.39,0.39,0.37,0.35,0.36,0.33,0.34,0.36,0.37,0.35,0.34,0.37,0.37,0.37,0.35,0.37,0.38,0.37,0.36,0.36,0.34,0.34,0.36,0.36,0.35,0.35,0.37,0.36,0.35,0.37,0.34,0.37,0.36,0.36,0.36,0.35,0.34,0.32,0.36,0.35,0.35,0.36,0.35,0.33,0.33,0.34,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.33,0.32,0.33,0.3,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.0,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.31,0.33,0.31,0.31,0.32,0.33,0.31,0.32,0.29,0.3,0.0,0.29,0.31,0.0,0.31,0.0,0.29,0.0,0.33,0.31,0.31,0.3,0.31,0.3,0.29,0.32,0.31,0.0,0.29,0.0,0.0,0.29,0.31,0.29,0.3,0.3,0.3,0.0,0.3,0.0,0.3,0.29,0.31,0.0,0.29,0.28,0.28,0.28,0.0,0.0,0.29,0.3,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.92
07/21/2021,0.68,0.64,0.49,0.49,0.5,0.49,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.46,0.45,0.44,0.45,0.44,0.43,0.41,0.51,0.42,0.43,0.44,0.42,0.43,0.44,0.39,0.39,0.42,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.37,0.36,0.41,0.4,0.4,0.39,0.39,0.4,0.37,0.39,0.34,0.37,0.4,0.37,0.38,0.36,0.37,0.37,0.38,0.39,0.39,0.38,0.31,0.38,0.35,0.37,0.39,0.38,0.38,0.4,0.38,0.4,0.36,0.39,0.36,0.37,0.36,0.38,0.38,0.38,0.38,0.37,0.34,0.33,0.36,0.39,0.39,0.39,0.37,0.35,0.36,0.33,0.34,0.36,0.37,0.35,0.34,0.37,0.37,0.37,0.35,0.37,0.38,0.37,0.36,0.36,0.34,0.34,0.36,0.36,0.35,0.35,0.37,0.36,0.35,0.37,0.34,0.37,0.36,0.36,0.36,0.35,0.34,0.32,0.36,0.35,0.35,0.36,0.35,0.33,0.33,0.34,0.33,0.33,0.32,0.31,0.32,0.31,0.31,0.33,0.32,0.33,0.3,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.0,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.31,0.33,0.31,0.31,0.32,0.33,0.31,0.32,0.29,0.3,0.0,0.29,0.31,0.0,0.31,0.0,0.29,0.0,0.33,0.31,0.31,0.3,0.31,0.3,0.29,0.32,0.31,0.0,0.29,0.0,0.0,0.29,0.31,0.29,0.3,0.3,0.3,0.0,0.3,0.0,0.3,0.29,0.31,0.0,0.29,0.28,0.28,0.28,0.0,0.0,0.29,0.3,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.92
07/22/2021,0.67,0.64,0.51,0.49,0.5,0.5,0.49,0.49,0.47,0.47,0.46,0.47,0.46,0.46,0.45,0.44,0.45,0.44,0.42,0.41,0.57,0.42,0.43,0.45,0.43,0.43,0.44,0.39,0.4,0.42,0.41,0.41,0.41,0.41,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.38,0.37,0.42,0.4,0.39,0.4,0.39,0.4,0.38,0.38,0.35,0.37,0.4,0.38,0.39,0.35,0.38,0.37,0.39,0.39,0.39,0.38,0.32,0.38,0.36,0.37,0.39,0.38,0.38,0.41,0.37,0.41,0.36,0.39,0.35,0.37,0.36,0.38,0.39,0.38,0.38,0.37,0.33,0.32,0.36,0.39,0.39,0.38,0.36,0.34,0.36,0.33,0.33,0.36,0.37,0.36,0.35,0.37,0.37,0.37,0.35,0.36,0.38,0.36,0.36,0.35,0.34,0.35,0.35,0.34,0.35,0.36,0.35,0.37,0.35,0.37,0.34,0.36,0.36,0.35,0.36,0.34,0.34,0.32,0.36,0.36,0.35,0.36,0.35,0.33,0.33,0.34,0.34,0.33,0.31,0.3,0.31,0.31,0.31,0.33,0.32,0.33,0.3,0.33,0.33,0.33,0.33,0.34,0.32,0.36,0.0,0.32,0.33,0.33,0.33,0.32,0.32,0.3,0.32,0.32,0.3,0.31,0.33,0.33,0.31,0.31,0.29,0.3,0.0,0.29,0.31,0.28,0.31,0.0,0.29,0.28,0.33,0.31,0.31,0.31,0.31,0.29,0.3,0.31,0.32,0.29,0.3,0.0,0.0,0.3,0.31,0.3,0.29,0.3,0.3,0.29,0.3,0.0,0.3,0.29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.3,0.0,0.0,0.29,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05
