,PLUG,BLDP.TO,NEL.OL,BE,ITM.L,336260.KS,CWR.L,PCELL.ST,FCEL,CI B.ST,AFC.L,HPUR.OL,LIN,HTOO,ACH.OL,F3C.DE,ADN,XBC.TO,MCPHY.PA,288620.KQ,GNCL.TA,PHE.L,EFUEL.OL,PPS.L,FGXXX,DynaCERT Inc,4308.T,First American Government Obligs X,DYA.TO,APGN.SW,SUM
07/09/2021,10.19,6.45,6.29,5.76,5.71,4.98,4.75,4.66,4.47,4.3,4.21,4.05,3.97,3.91,3.88,3.74,3.64,3.53,3.23,2.37,1.49,1.38,1.33,0.81,0.6,0.24,0.05,0.0,0.0,0.0,99.98999999999998
07/12/2021,9.62,6.13,6.24,5.3,5.74,5.14,4.74,4.6,4.37,4.41,4.44,4.11,4.16,3.54,3.69,4.0,3.45,4.0,3.06,2.55,2.04,1.5,1.35,0.87,0.0,0.0,0.0,0.63,0.26,0.05,99.99
07/13/2021,9.62,6.13,6.24,5.3,5.74,5.14,4.74,4.6,4.37,4.41,4.44,4.11,4.16,3.54,3.69,4.0,3.45,4.0,3.06,2.55,2.04,1.5,1.35,0.87,0.0,0.0,0.0,0.63,0.26,0.05,99.99
07/14/2021,9.67,6.47,6.19,5.37,5.56,4.84,4.63,4.53,4.5,4.21,4.3,4.15,4.3,3.78,3.71,3.96,3.51,3.94,3.17,2.5,1.98,1.49,1.42,0.88,0.0,0.0,0.0,0.63,0.27,0.05,100.01
07/15/2021,9.49,6.42,6.33,5.27,5.78,4.94,4.72,4.48,4.45,4.23,4.34,4.49,4.27,3.74,3.68,3.95,3.47,3.92,2.79,2.55,1.97,1.52,1.41,0.87,0.0,0.0,0.0,0.62,0.27,0.05,100.02
07/16/2021,9.49,6.42,6.33,5.27,5.78,4.94,4.72,4.48,4.45,4.23,4.34,4.49,4.27,3.74,3.68,3.95,3.47,3.92,2.79,2.55,1.97,1.52,1.41,0.87,0.0,0.0,0.0,0.62,0.27,0.05,100.02
07/19/2021,9.1,6.13,6.66,5.11,5.7,5.22,4.85,4.45,4.12,4.35,4.23,4.3,4.45,3.86,4.01,3.97,3.32,3.94,2.89,2.68,1.98,1.38,1.46,0.84,0.0,0.0,0.0,0.66,0.29,0.05,100.0
07/20/2021,9.29,6.1,6.41,5.06,5.57,5.43,4.73,4.46,4.09,4.41,3.99,4.12,4.52,4.1,4.07,3.97,3.42,4.02,2.91,2.75,1.93,1.34,1.45,0.87,0.0,0.0,0.0,0.67,0.29,0.05,100.02
07/21/2021,9.22,6.21,6.16,5.07,5.59,5.49,4.8,4.45,3.94,4.29,4.13,4.05,4.59,4.08,4.07,4.01,3.36,4.0,2.98,2.78,1.96,1.37,1.49,0.88,0.0,0.0,0.0,0.68,0.29,0.05,99.99
07/22/2021,9.22,6.21,6.16,5.07,5.59,5.49,4.8,4.45,3.94,4.29,4.13,4.05,4.59,4.08,4.07,4.01,3.36,4.0,2.98,2.78,1.96,1.37,1.49,0.88,0.0,0.0,0.0,0.68,0.29,0.05,99.99
07/23/2021,9.22,6.21,6.16,5.07,5.59,5.49,4.8,4.45,3.94,4.29,4.13,4.05,4.59,4.08,4.07,4.01,3.36,4.0,2.98,2.78,1.96,1.37,1.49,0.88,0.0,0.0,0.0,0.68,0.29,0.05,99.99
07/26/2021,9.56,6.53,6.09,5.43,5.55,5.79,4.67,4.28,4.05,4.17,4.0,3.77,4.47,4.34,3.56,3.95,3.56,4.04,2.76,2.85,2.01,1.33,1.44,0.78,0.0,0.0,0.0,0.66,0.28,0.05,99.97
07/27/2021,9.56,6.53,6.09,5.43,5.55,5.79,4.67,4.28,4.05,4.17,4.0,3.77,4.47,4.34,3.56,3.95,3.56,4.04,2.76,2.85,2.01,1.33,1.44,0.78,0.0,0.0,0.0,0.66,0.28,0.05,99.97
07/28/2021,9.29,6.32,6.14,5.26,5.7,5.5,4.92,4.43,3.77,4.18,4.14,3.76,4.62,4.53,3.67,4.08,3.41,3.88,2.85,2.85,2.01,1.42,1.46,0.83,0.0,0.0,0.0,0.67,0.27,0.05,100.01
07/29/2021,9.52,6.34,6.04,5.26,5.56,5.46,4.82,4.43,3.86,4.16,4.09,3.68,4.68,4.65,3.75,4.0,3.4,3.9,2.9,2.79,2.08,1.35,1.42,0.86,0.0,0.0,0.0,0.68,0.27,0.05,100.0
07/30/2021,9.52,6.34,6.04,5.26,5.56,5.46,4.82,4.43,3.86,4.16,4.09,3.68,4.68,4.65,3.75,4.0,3.4,3.9,2.9,2.79,2.08,1.35,1.42,0.86,0.0,0.0,0.0,0.68,0.27,0.05,100.0
08/02/2021,9.63,6.57,5.88,5.41,5.79,5.38,5.2,4.41,3.85,4.11,4.08,3.65,4.58,4.48,3.67,4.07,3.43,3.9,2.57,2.76,2.02,1.41,1.36,0.8,0.0,0.0,0.0,0.67,0.26,0.05,99.99
08/03/2021,9.63,6.57,5.88,5.41,5.79,5.38,5.2,4.41,3.85,4.11,4.08,3.65,4.58,4.48,3.67,4.07,3.43,3.9,2.57,2.76,2.02,1.41,1.36,0.8,0.0,0.0,0.0,0.67,0.26,0.05,99.99
