,NEA,NVG,NAD,MYI,IQI,MUI,MQY,NMCO,MHD,NZF,NUV,MNP,VGM,VKQ,NMZ,NDMO,BLE,BTT,MQT,HYD,BFK,EVN,BTA,MFL,SBI,NEV,MUE,ETX,EIM,MMD,VPV,NBH,DTF,US Dollar,NIQ,EOT,NID,MHF,IIM,688101.SS,n/a,688001.SS,SUM
07/09/2021,5.02,4.99,4.56,4.01,4.01,3.96,3.85,3.6,3.52,3.44,3.4,3.27,3.25,3.24,3.2,3.07,3.03,2.95,2.88,2.69,2.53,2.27,2.21,2.2,2.16,1.94,1.76,1.5,1.41,1.39,1.21,1.19,1.05,1.03,1.02,0.99,0.97,0.73,0.5,0.0,0.0,0.0,100.0
07/12/2021,5.02,4.99,4.54,4.02,4.01,3.97,3.87,3.65,3.52,3.44,3.38,3.3,3.24,3.23,3.22,3.06,3.04,2.92,2.86,2.69,2.54,2.26,2.2,2.21,2.16,1.94,1.77,1.48,1.4,1.39,1.2,1.18,1.04,1.05,1.02,0.5,0.97,0.74,1.0,0.0,0.0,0.0,100.01999999999998
07/13/2021,5.02,4.99,4.54,4.02,4.01,3.97,3.87,3.65,3.52,3.44,3.38,3.3,3.24,3.23,3.22,3.06,3.04,2.92,2.86,2.69,2.54,2.26,2.2,2.21,2.16,1.94,1.77,1.48,1.4,1.39,1.2,1.18,1.04,1.05,1.02,0.5,0.97,0.74,1.0,0.0,0.0,0.0,100.01999999999998
08/03/2021,5.03,4.98,4.58,4.04,4.05,3.98,3.79,3.61,3.57,3.45,3.24,3.3,3.23,3.21,3.16,3.08,2.99,2.92,2.92,2.69,2.5,2.28,2.51,2.2,2.14,1.89,1.78,1.51,1.41,1.41,1.21,1.17,1.03,1.2,1.02,0.0,0.97,0.71,1.25,0.0,0.0,0.0,100.01
08/04/2021,5.03,4.98,4.58,4.04,4.05,3.98,3.79,3.61,3.57,3.45,3.24,3.3,3.23,3.21,3.16,3.08,2.99,2.92,2.92,2.69,2.5,2.28,2.51,2.2,2.14,1.89,1.78,1.51,1.41,1.41,1.21,1.17,1.03,1.2,1.02,0.0,0.97,0.71,1.25,0.0,0.0,0.0,100.01
08/05/2021,5.05,4.99,4.6,4.04,4.03,3.95,3.79,3.61,3.57,3.43,3.24,3.29,3.22,3.21,3.16,3.09,2.99,2.92,2.92,2.69,2.49,2.29,2.52,2.2,2.14,1.89,1.78,1.31,1.41,1.39,1.21,1.17,1.04,1.39,1.02,0.0,0.98,0.71,1.26,0.0,0.0,0.0,99.99
08/31/2021,5.02,5.07,4.56,4.03,3.97,3.93,4.05,3.56,3.54,3.42,3.23,3.28,3.25,3.27,3.15,2.98,3.04,2.92,2.86,2.67,2.52,2.27,2.67,2.17,2.13,1.89,1.79,1.32,1.41,1.4,1.2,1.27,1.04,0.0,1.02,0.0,0.97,0.0,1.26,1.14,0.7,0.0,99.97
09/01/2021,5.02,5.07,4.56,4.03,3.97,3.93,4.05,3.56,3.54,3.42,3.23,3.28,3.25,3.27,3.15,2.98,3.04,2.92,2.86,2.67,2.52,2.27,2.67,2.17,2.13,1.89,1.79,1.32,1.41,1.4,1.2,1.27,1.04,0.0,1.02,0.0,0.97,0.0,1.26,0.0,0.7,1.14,99.97
09/02/2021,5.01,5.08,4.56,4.0,3.97,3.91,4.03,3.59,3.75,3.43,3.24,3.25,3.25,3.25,3.14,2.94,3.05,2.92,2.85,2.67,2.52,2.26,2.65,2.18,2.13,1.89,1.79,1.33,1.41,1.4,1.21,1.24,1.04,0.0,1.01,0.0,0.97,0.0,1.26,0.0,0.71,1.14,100.03
09/03/2021,5.02,5.09,4.57,4.0,3.97,3.91,4.03,3.57,3.77,3.42,3.24,3.28,3.27,3.27,3.15,2.94,3.06,2.92,2.85,2.68,2.52,2.28,2.66,2.18,2.13,1.91,1.78,1.32,1.41,1.4,1.21,1.24,1.04,0.0,1.02,0.0,0.97,0.71,1.26,0.0,0.96,0.0,100.00999999999998
09/06/2021,5.04,5.08,4.59,4.01,4.01,3.93,4.01,3.58,3.75,3.42,3.18,3.28,3.28,3.27,3.14,2.95,3.07,2.93,2.88,2.67,2.51,2.28,2.65,2.2,2.13,1.9,1.79,1.31,1.41,1.4,1.2,1.22,1.04,0.0,1.02,0.0,0.97,0.0,1.27,0.0,0.71,0.9,99.98
