,PTT-R.BK,CPALL-R.BK,SCVUF,AOT-R.BK,BDMS-R.BK,NVAA.,DELTA-R.BK,PTTEP-R.BK,PTTGC-R.BK,NVAM.,CPN-R.BK,CPF-R.BK,GULF-R.BK,MINT-R.BK,EA-R.BK,OR-R.BK,HMPRO-R.BK,SCB-R.BK,SCGP-R.BK,BTS-R.BK,IVL-R.BK,LDHUF,BBL/F.BK,CRC-R.BK,BEM-R.BK,KTC-R.BK,TOP-R.BK,BH-R.BK,KCE-R.BK,TU-R.BK,BANPU-R.BK,GPSC-R.BK,SAWAD-R.BK,OSP-R.BK,EGCO-R.BK,CBG-R.BK,IRPC-R.BK,MTC-R.BK,BJC-R.BK,HANA-R.BK,STGT-R.BK,COM7-R.BK,KTB-R.BK,TRUE-R.BK,NVA4.,STA-R.BK,AWC-R.BK,BGRIM-R.BK,BAM-R.BK,BCH-R.BK,NYVL.,BCP-R.BK,WHA-R.BK,CK-R.BK,NYVU.,VGI-R.BK,TOA-R.BK,CHG-R.BK,AP-R.BK,GUNKUL-R.BK,TISCO-R.BK,NYVT.,AEONTS-R.BK,QH-R.BK,JMT-R.BK,F1P2.,M-R.BK,SPRC-R.BK,DOHOME-R.BK,TQM-R.BK,AMATA-R.BK,XTSLA,SIRI-R.BK,SUPER-R.BK,SCCC-R.BK,PTG-R.BK,NYVS.,THG-R.BK,STEC-R.BK,THVUF,BLA-R.BK,JMART-R.BK,MEGA-R.BK,BPP-R.BK,CENTEL-R.BK,TASCO-R.BK,BLAND-R.BK,NVAY.,SF-R.BK,EPG-R.BK,DCC-R.BK,MAJOR-R.BK,KKP-R.BK,PLANB-R.BK,MBK-R.BK,BCPG-R.BK,THANI-R.BK,CKP-R.BK,RS-R.BK,RBF-R.BK,TPIPP-R.BK,PSH-R.BK,TCAP-R.BK,TPIPL-R.BK,SINGER-R.BK,BA-R.BK,VNT-R.BK,ESSO-R.BK,SPCG-R.BK,AAV-R.BK,ACE-R.BK,PTL-R.BK,PRM-R.BK,SYNEX-R.BK,SGP-R.BK,KSL-R.BK,ORI-R.BK,ICHI-R.BK,S-R.BK,EASTW-R.BK,GFPT-R.BK,TFG-R.BK,BAFS-R.BK,WHAUP-R.BK,SC-R.BK,TKN-R.BK,HBCFT,THB,TFG-R3,MESU1,USD,SC.R,-,JMT.R,RCL.R,DOHOME.R,AEONTS.R,M.R,TQM.R,PSL.R,JMART.R,SCCC.R,TASCO.R,SIRI.R,PTG.R,BPP.R,STEC.R,EPG.R,SINGER.R,SF.R,DCC.R,BCPG.R,THANI.R,RBF.R,RS.R,TPIPL.R,VNT.R,ACE.R,SPCG.R,BA.R,PRM.R,PTL.R,AAV.R,ORI.R,ICHI.R,S.R,SYNEX.R,WHAUP.R,BAFS.R,TKN.R,BTS-W7,BTS-W6,BTS-W8,BTS-R6.BK,BTS-R7.BK,HANA.R,BCH.R,COM7.R,TFG.R,SUM
07/09/2021,6.83,6.14,5.74,4.68,3.91,3.58,3.12,2.96,2.38,2.17,1.88,1.78,1.75,1.64,1.59,1.58,1.56,1.43,1.43,1.28,1.23,1.18,1.12,1.11,1.08,1.08,1.07,1.07,1.06,1.02,0.97,0.94,0.93,0.81,0.79,0.79,0.77,0.76,0.73,0.7,0.7,0.66,0.65,0.65,0.63,0.63,0.59,0.57,0.57,0.57,0.47,0.46,0.46,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.32,0.32,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,6.69,6.27,5.89,4.66,4.11,3.61,3.14,2.86,2.36,2.23,1.84,1.79,1.75,1.64,1.6,1.56,1.51,1.4,1.45,1.26,1.17,1.2,1.08,1.07,1.09,1.04,1.04,1.08,1.09,1.08,0.95,0.93,0.91,0.82,0.8,0.8,0.74,0.76,0.74,0.72,0.72,0.67,0.63,0.63,0.63,0.65,0.57,0.58,0.57,0.61,0.47,0.45,0.45,0.36,0.37,0.35,0.36,0.38,0.34,0.33,0.32,0.33,0.29,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.25,0.27,0.26,0.26,0.28,0.26,0.25,0.26,0.24,0.25,0.23,0.24,0.23,0.24,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.2,0.19,0.18,0.17,0.17,0.18,0.15,0.16,0.14,0.15,0.13,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,6.69,6.27,5.89,4.66,4.11,3.61,3.14,2.86,2.36,2.23,1.84,1.79,1.75,1.64,1.6,1.56,1.51,1.4,1.45,1.26,1.17,1.2,1.08,1.07,1.09,1.04,1.04,1.08,1.09,1.08,0.95,0.93,0.91,0.82,0.8,0.8,0.74,0.76,0.74,0.72,0.72,0.67,0.63,0.63,0.63,0.65,0.57,0.58,0.57,0.61,0.47,0.45,0.45,0.36,0.37,0.35,0.36,0.38,0.34,0.33,0.32,0.33,0.29,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.25,0.27,0.26,0.26,0.28,0.26,0.25,0.26,0.24,0.25,0.23,0.24,0.23,0.24,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.2,0.19,0.18,0.17,0.17,0.18,0.15,0.16,0.14,0.15,0.13,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,6.67,6.3,5.86,4.62,4.1,3.61,3.28,2.81,2.36,2.22,1.83,1.82,1.75,1.63,1.58,1.56,1.47,1.4,1.42,1.24,1.19,1.18,1.08,1.09,1.09,1.07,1.03,1.08,1.09,1.13,0.96,0.92,0.93,0.81,0.8,0.8,0.74,0.77,0.73,0.71,0.71,0.64,0.64,0.64,0.63,0.64,0.57,0.57,0.56,0.62,0.47,0.45,0.45,0.36,0.36,0.35,0.35,0.38,0.34,0.34,0.32,0.32,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.27,0.27,0.26,0.28,0.26,0.25,0.25,0.24,0.25,0.23,0.23,0.24,0.24,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.18,0.2,0.19,0.18,0.17,0.18,0.18,0.16,0.16,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,6.67,6.3,5.86,4.62,4.1,3.61,3.28,2.81,2.36,2.22,1.83,1.82,1.75,1.63,1.58,1.56,1.47,1.4,1.42,1.24,1.19,1.18,1.08,1.09,1.09,1.07,1.03,1.08,1.09,1.13,0.96,0.92,0.93,0.81,0.8,0.8,0.74,0.77,0.73,0.71,0.71,0.64,0.64,0.64,0.63,0.64,0.57,0.57,0.56,0.62,0.47,0.45,0.45,0.36,0.36,0.35,0.35,0.38,0.34,0.34,0.32,0.32,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.27,0.27,0.26,0.28,0.26,0.25,0.25,0.24,0.25,0.23,0.23,0.24,0.24,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.18,0.2,0.19,0.18,0.17,0.18,0.18,0.16,0.16,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,6.68,6.26,5.94,4.73,3.94,3.59,3.24,2.81,2.32,2.21,1.83,1.8,1.74,1.63,1.58,1.54,1.48,1.42,1.44,1.26,1.19,1.19,1.08,1.07,1.1,1.09,1.03,1.05,1.09,1.15,0.99,0.93,0.95,0.81,0.81,0.79,0.74,0.8,0.72,0.73,0.67,0.65,0.64,0.63,0.63,0.61,0.59,0.56,0.57,0.57,0.47,0.45,0.45,0.36,0.37,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.3,0.3,0.32,0.29,0.3,0.27,0.28,0.28,0.27,0.23,0.25,0.26,0.26,0.26,0.28,0.26,0.25,0.25,0.24,0.27,0.24,0.24,0.24,0.24,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.18,0.2,0.19,0.18,0.17,0.17,0.2,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.0,0.06,0.02,0.02,0.0,0.0,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/19/2021,6.62,6.2,5.85,4.59,3.9,3.61,3.62,2.73,2.28,2.21,1.8,1.81,1.73,1.62,1.56,1.53,1.45,1.41,1.45,1.26,1.21,1.2,1.08,1.05,1.09,1.11,0.99,1.05,1.09,1.17,0.98,0.99,0.94,0.83,0.8,0.81,0.74,0.82,0.73,0.75,0.67,0.65,0.64,0.63,0.63,0.61,0.57,0.57,0.57,0.59,0.48,0.44,0.46,0.36,0.35,0.35,0.37,0.36,0.35,0.34,0.33,0.32,0.3,0.3,0.32,0.29,0.3,0.28,0.28,0.28,0.28,0.23,0.25,0.27,0.26,0.26,0.26,0.28,0.25,0.26,0.24,0.27,0.23,0.24,0.24,0.25,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.18,0.19,0.19,0.18,0.17,0.18,0.21,0.15,0.16,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.11,0.09,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.0,0.06,0.02,0.02,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,6.62,6.2,5.85,4.59,3.9,3.61,3.62,2.73,2.28,2.21,1.8,1.81,1.73,1.62,1.56,1.53,1.45,1.41,1.45,1.26,1.21,1.2,1.08,1.05,1.09,1.11,0.99,1.05,1.09,1.17,0.98,0.99,0.94,0.83,0.8,0.81,0.74,0.82,0.73,0.75,0.67,0.65,0.64,0.63,0.63,0.61,0.57,0.57,0.57,0.59,0.48,0.44,0.46,0.36,0.35,0.35,0.37,0.36,0.35,0.34,0.33,0.32,0.3,0.3,0.32,0.29,0.3,0.28,0.28,0.28,0.28,0.23,0.25,0.27,0.26,0.26,0.26,0.28,0.25,0.26,0.24,0.27,0.23,0.24,0.24,0.25,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.18,0.19,0.19,0.18,0.17,0.18,0.21,0.15,0.16,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.11,0.09,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.0,0.06,0.02,0.02,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,6.64,6.23,5.85,4.59,3.93,3.59,3.23,2.75,2.31,2.2,1.82,1.8,1.74,1.65,1.58,1.53,1.47,1.42,1.45,1.28,1.21,1.21,1.08,1.05,1.09,1.11,0.99,1.05,1.09,1.15,1.01,0.99,0.95,0.81,0.8,0.82,0.74,0.83,0.72,0.76,0.7,0.66,0.64,0.64,0.63,0.64,0.57,0.58,0.56,0.61,0.48,0.45,0.47,0.36,0.36,0.35,0.37,0.36,0.35,0.34,0.32,0.33,0.3,0.3,0.32,0.29,0.29,0.28,0.28,0.28,0.29,0.28,0.26,0.27,0.26,0.26,0.26,0.29,0.25,0.26,0.24,0.27,0.23,0.24,0.23,0.24,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.19,0.19,0.18,0.17,0.18,0.21,0.15,0.16,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.11,0.09,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.0,0.06,0.02,0.02,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/22/2021,6.53,6.27,5.92,4.58,3.93,3.65,3.16,2.72,2.31,2.22,1.81,1.82,1.73,1.62,1.58,1.54,1.47,1.42,1.48,1.29,1.17,1.21,1.08,1.04,1.09,1.06,0.97,1.05,1.12,1.16,1.04,1.01,0.95,0.82,0.8,0.81,0.74,0.85,0.72,0.76,0.7,0.66,0.64,0.64,0.63,0.64,0.57,0.58,0.56,0.64,0.48,0.44,0.46,0.36,0.35,0.35,0.36,0.37,0.35,0.36,0.32,0.32,0.3,0.3,0.32,0.29,0.29,0.28,0.28,0.28,0.29,0.29,0.25,0.27,0.26,0.25,0.27,0.29,0.25,0.26,0.23,0.27,0.24,0.24,0.23,0.25,0.22,0.22,0.22,0.23,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.19,0.19,0.18,0.17,0.18,0.22,0.14,0.16,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.11,0.09,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.0,0.06,0.02,0.02,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
