,EC,CIB,ISA.BC,BCOLOMBIA.BC,NUTRESA.BC,GEB.BC,PFDAVVNDA.BC,CEMARGOS.BC,CORFICOLCF.BC,GRUPOSURA.BC,AVAL,TGLS,CELSIA.BC,GRUPOARGOS.BC,BOGOTA.BC,CNE.TO,PXT.TO,COPEC.SN,TIGO SS,ENELAM.SN,PFGRUPOA CB,PFAVAL CB,MINEROS.BC,PFCORCOL CB,PFGRUPSU CB,CASH,n/a,SUM
07/09/2021,15.01,13.25,11.1,7.08,4.41,4.26,3.9,3.83,3.61,3.49,3.26,3.18,3.18,2.85,2.63,2.62,1.99,1.89,1.76,1.66,1.41,1.08,0.92,0.74,0.74,0.15,0.0,100.0
07/12/2021,14.7,13.58,11.16,7.15,4.31,4.22,4.02,3.86,3.57,3.54,3.25,3.1,3.13,2.8,2.68,2.65,2.05,1.85,1.78,1.64,1.38,1.07,0.9,0.7,0.74,0.15,0.0,99.98
07/13/2021,14.7,13.58,11.16,7.15,4.31,4.22,4.02,3.86,3.57,3.54,3.25,3.1,3.13,2.8,2.68,2.65,2.05,1.85,1.78,1.64,1.38,1.07,0.9,0.7,0.74,0.15,0.0,99.98
07/14/2021,14.66,13.77,11.06,7.22,4.29,4.2,4.01,3.88,3.53,3.57,3.23,3.16,3.09,2.76,2.66,2.62,2.09,1.82,1.78,1.64,1.37,1.08,0.89,0.72,0.75,0.14,0.0,99.99
07/15/2021,14.44,13.65,11.26,7.23,4.26,4.19,4.05,3.88,3.59,3.62,3.27,3.16,3.12,2.79,2.65,2.6,2.06,1.8,1.78,1.64,1.36,1.09,0.89,0.73,0.75,0.14,0.0,100.0
07/16/2021,14.39,13.59,11.32,7.24,4.26,4.22,4.07,3.9,3.58,3.61,3.28,3.1,3.14,2.77,2.69,2.59,2.07,1.79,1.78,1.64,1.36,1.09,0.89,0.73,0.75,0.14,0.0,99.99
07/19/2021,13.75,13.91,11.09,7.33,4.34,4.26,4.11,3.94,3.61,3.63,3.23,3.04,3.14,2.83,2.72,2.56,2.04,1.7,1.8,1.64,1.37,1.07,0.91,0.71,0.75,0.51,0.0,99.99
07/20/2021,13.75,13.91,11.09,7.33,4.34,4.26,4.11,3.94,3.61,3.63,3.23,3.04,3.14,2.83,2.72,2.56,2.04,1.7,1.8,1.64,1.37,1.07,0.91,0.71,0.75,0.51,0.0,99.99
07/21/2021,13.71,13.95,11.29,7.4,4.38,4.3,4.13,3.97,3.64,3.62,3.23,3.01,3.18,2.84,2.73,2.52,1.97,1.69,1.84,1.64,1.4,1.08,0.91,0.72,0.76,0.09,0.0,100.0
07/22/2021,13.65,14.0,11.12,7.36,4.43,4.3,4.15,4.03,3.61,3.58,3.26,2.96,3.18,2.85,2.75,2.54,1.88,1.83,1.84,1.67,1.44,1.09,0.91,0.73,0.76,0.09,0.0,100.01
07/23/2021,13.51,14.32,11.07,7.33,4.41,4.29,4.13,4.01,3.6,3.57,3.28,3.0,3.16,2.84,2.73,2.54,1.86,1.85,1.84,1.66,1.43,1.08,0.9,0.73,0.76,0.08,0.0,99.98000000000002
07/26/2021,13.96,13.81,11.21,7.51,4.22,4.3,4.17,4.01,3.64,3.51,3.17,3.08,3.16,2.85,2.73,2.53,1.9,1.84,1.88,1.67,1.36,1.04,0.89,0.72,0.75,0.08,0.0,99.99
07/27/2021,13.96,13.81,11.21,7.51,4.22,4.3,4.17,4.01,3.64,3.51,3.17,3.08,3.16,2.85,2.73,2.53,1.9,1.84,1.88,1.67,1.36,1.04,0.89,0.72,0.75,0.08,0.0,99.99
07/29/2021,14.23,13.9,10.98,7.53,4.21,4.3,4.05,4.07,3.6,3.49,3.22,3.11,3.16,2.85,2.69,2.58,1.96,1.72,1.95,1.61,1.34,1.06,0.88,0.71,0.75,0.04,0.0,99.99
07/30/2021,14.24,14.0,10.85,7.5,4.21,4.34,4.11,4.07,3.62,3.43,3.17,3.1,3.16,2.84,2.64,2.6,1.96,1.74,1.97,1.66,1.37,1.05,0.87,0.74,0.74,0.04,0.0,100.02
08/02/2021,14.49,13.8,11.0,7.43,4.16,4.37,4.08,4.0,3.63,3.41,3.15,3.25,3.17,2.74,2.71,2.58,2.0,1.81,1.83,1.64,1.33,1.06,0.85,0.71,0.74,0.05,0.0,99.98999999999998
08/03/2021,14.49,13.8,11.0,7.43,4.16,4.37,4.08,4.0,3.63,3.41,3.15,3.25,3.17,2.74,2.71,2.58,2.0,1.81,1.83,1.64,1.33,1.06,0.85,0.71,0.74,0.05,0.0,99.98999999999998
08/04/2021,14.48,13.69,10.87,7.33,4.22,4.44,4.1,4.07,3.64,3.34,3.15,3.26,3.17,2.79,2.68,2.61,2.02,1.85,1.85,1.66,1.37,1.05,0.86,0.74,0.73,0.05,0.0,100.02
08/05/2021,14.23,13.73,10.98,7.52,4.19,4.46,4.09,3.99,3.59,3.44,3.14,3.25,3.23,2.75,2.67,2.61,2.02,1.8,1.85,1.65,1.37,1.05,0.86,0.74,0.74,0.05,0.0,100.0
08/06/2021,14.54,13.85,10.88,7.46,4.15,4.43,4.04,3.89,3.53,3.46,3.15,3.29,3.19,2.73,2.73,2.62,2.01,1.78,1.87,1.65,1.34,1.05,0.86,0.71,0.74,0.04,0.0,99.99
08/10/2021,14.05,13.89,11.0,7.47,4.21,4.55,4.07,3.88,3.56,3.43,3.18,3.41,3.21,2.76,2.72,2.62,1.94,1.79,1.88,1.63,1.33,1.06,0.88,0.71,0.74,0.0,0.04,100.01
08/11/2021,14.04,13.77,10.79,7.39,4.24,4.51,4.07,3.92,3.55,3.43,3.16,3.91,3.21,2.75,2.73,2.63,1.87,1.79,1.86,1.61,1.34,1.06,0.87,0.72,0.74,0.0,0.04,100.0
08/12/2021,14.24,13.86,10.6,7.44,4.18,4.47,4.09,3.94,3.54,3.37,3.2,4.02,3.18,2.75,2.67,2.61,1.88,1.75,1.85,1.61,1.34,1.05,0.87,0.71,0.73,0.0,0.04,99.99
08/13/2021,14.33,14.04,10.47,7.41,4.22,4.43,4.06,3.98,3.45,3.33,3.17,4.23,3.1,2.73,2.63,2.57,1.92,1.85,1.81,1.6,1.31,1.03,0.86,0.7,0.72,0.0,0.04,99.99
08/16/2021,14.26,14.38,10.58,7.64,4.23,4.36,4.18,3.99,3.43,3.33,3.14,3.82,3.16,2.79,2.6,2.45,1.84,1.79,1.77,1.59,1.34,1.03,0.85,0.71,0.72,0.0,0.04,100.02000000000001
