,MSFT,GOOG,AMZN,AAPL,FB,SE,NVDA,TMUS,UNH,CRM,GOOGL,CVNA,TSLA,NFLX,NXPI,ROKU,UBER,MU,PDD,REGN,HUM,WIX,ADBE,AMAT,DT,BABA,BSX,GDDY,LRCX,SNAP,LYFT,ZI,LSPD.TO,HUBS,FCX,SQ,ONEM,MGNI,TWLO,PYPL,WFC,INTU,COST,NBIX,CNC,TREE,NVAX,ZM,NVCR,NOW,APPS,CMCSA,ON,PRPL,CI,V,MRVL,NVEI.TO,MA,PTON,OSH,RUN,APPH,GPN,ALNY,WDAY,ABBV,ADSK,DXCM,DHR,EIX,COF,DV,SEDG,CDAY,ABNB,MDB,GLBE,LITE,ESTC,PLAN,AGIO,ENPH,BJ,MRNA,TMDX,TTGT,FUBO,AGL,YY,DIS,AES,SRPT,PEN,ARGX,NKTR,DSP,NEE,AZEK,ACVA,COUP,HOLX,TTD,FLEX,MTCH,EPAM,RPAY,NET,FE,INSP,GDRX,HZNP,GSHD,XP,SFT,ALKT,MRTX,LULU,MRVI,SPOT,ALHC,TSM,AUP.TO,RNG,ARCE,EXEL,BEPC,IAC,RLAY,DOCU,TGTX,PRCH,ZEN,FM.TO,TBIO,KROS,TSP,RVMD,BYND,PLMR,TRUP,PTGX,SNOW,JBL,TIL,MAX,PRLD,CYTK,CPRI,IMRA,FTCH,EVBG,BARK,ASO,SMTC,APLT,VMEO,GRTS,PENN,TERN,FLYW,ASND,DASH,PAY,LOVE,CRNX,ITCI,LTCH,KURA,FMTX,PCVX,TPR,ATVI,VEEV,Oatly Group AB ADR,ZUO,TXG,CLOV,ZNTL,PASG,AFRM,COIN,OM,DECK,PINS,CRUS,BILL,GBT,RLX,AYX,BDTX,AZN,TPTX,KYMR,OTLY,Coinbase Global Inc Ordinary Shares - Class A,AstraZeneca PLC ADR,SUM
07/09/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,100.0
07/13/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,100.0
07/14/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,100.0
07/15/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.01,100.0
07/16/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.01,100.0
07/19/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.01,100.0
07/20/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.01,100.0
07/21/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.01,100.0
07/22/2021,7.5,5.44,5.19,4.16,3.88,2.81,2.71,2.0,1.95,1.95,1.91,1.89,1.72,1.65,1.64,1.55,1.44,1.34,1.31,1.23,1.22,1.1,1.03,1.01,0.98,0.97,0.96,0.95,0.83,0.81,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.69,0.68,0.65,0.65,0.65,0.62,0.62,0.6,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.01,99.99999999999999
