,SLB,HAL,BKR,RIG,TS,CHX,HP,WHD,NOV,FTI,PTEN,LBRT,OII,CLB,NBR,DRQ,SLCA,HLX,PUMP,RES,BOOM,WTTR,FI,NEX,OIS,Nabors Inds ([Wts/Rts]) 0%,Us Dollar,NBRWF,PTBL.TA,SUM
07/09/2021,19.16,13.21,6.76,5.74,5.01,4.94,4.74,4.39,4.24,4.17,3.77,2.96,2.82,2.72,2.35,1.71,1.69,1.59,1.55,1.4,1.18,1.04,0.95,0.95,0.94,0.01,0.0,0.0,0.0,99.99
07/12/2021,19.37,12.99,6.93,5.51,5.14,4.96,4.83,4.51,4.23,4.15,3.59,2.82,2.83,2.8,2.31,1.71,1.64,1.59,1.49,1.41,1.39,1.02,0.93,0.93,0.92,0.0,0.0,0.01,0.0,100.01
07/13/2021,19.37,12.99,6.93,5.51,5.14,4.96,4.83,4.51,4.23,4.15,3.59,2.82,2.83,2.8,2.31,1.71,1.64,1.59,1.49,1.41,1.39,1.02,0.93,0.93,0.92,0.0,0.0,0.01,0.0,100.01
07/14/2021,19.17,13.08,6.89,5.36,5.12,5.11,4.84,4.57,4.34,4.08,3.68,2.91,2.82,2.68,2.27,1.7,1.63,1.54,1.58,1.42,1.4,1.01,0.92,0.95,0.91,0.0,0.0,0.01,0.0,99.99
07/15/2021,19.18,13.1,6.97,5.33,5.09,5.08,4.81,4.6,4.35,3.98,3.72,2.87,2.81,2.69,2.28,1.72,1.63,1.54,1.55,1.43,1.41,1.05,0.94,0.95,0.91,0.0,0.0,0.01,0.0,100.0
07/16/2021,19.18,13.1,6.97,5.33,5.09,5.08,4.81,4.6,4.35,3.98,3.72,2.87,2.81,2.69,2.28,1.72,1.63,1.54,1.55,1.43,1.41,1.05,0.94,0.95,0.91,0.0,0.0,0.01,0.0,100.0
07/19/2021,19.38,13.28,7.06,4.78,5.3,5.23,4.87,4.72,4.39,4.01,3.68,2.77,2.7,2.85,2.18,1.7,1.53,1.52,1.51,1.36,1.38,1.12,0.91,0.9,0.87,0.0,0.0,0.01,0.0,100.01
07/20/2021,19.36,13.25,7.06,4.72,5.37,5.19,4.91,4.8,4.44,4.04,3.66,2.76,2.71,2.83,2.13,1.7,1.51,1.49,1.5,1.37,1.41,1.11,0.93,0.88,0.86,0.0,0.0,0.01,0.0,100.0
07/21/2021,19.36,13.25,7.06,4.72,5.37,5.19,4.91,4.8,4.44,4.04,3.66,2.76,2.71,2.83,2.13,1.7,1.51,1.49,1.5,1.37,1.41,1.11,0.93,0.88,0.86,0.0,0.0,0.01,0.0,100.0
07/22/2021,19.36,13.25,7.06,4.72,5.37,5.19,4.91,4.8,4.44,4.04,3.66,2.76,2.71,2.83,2.13,1.7,1.51,1.49,1.5,1.37,1.41,1.11,0.93,0.88,0.86,0.0,0.0,0.01,0.0,100.0
07/23/2021,19.29,13.33,7.02,4.71,5.44,5.17,4.95,4.77,4.5,4.01,3.62,2.81,2.64,2.86,2.11,1.72,1.51,1.45,1.47,1.36,1.4,1.14,0.99,0.85,0.86,0.0,0.0,0.01,0.0,99.99
07/26/2021,19.3,13.48,6.77,5.02,5.32,5.07,4.98,4.9,4.45,3.83,3.58,2.78,2.74,2.87,2.11,1.68,1.53,1.51,1.56,1.38,1.3,1.15,0.95,0.87,0.86,0.0,0.0,0.01,0.0,100.0
07/27/2021,19.84,13.36,6.96,4.85,5.45,5.15,4.95,4.93,4.45,3.72,3.5,2.67,2.72,2.79,2.09,1.71,1.52,1.48,1.53,1.36,1.17,1.15,0.94,0.86,0.85,0.0,0.0,0.01,0.0,100.01
07/28/2021,19.84,13.36,6.96,4.85,5.45,5.15,4.95,4.93,4.45,3.72,3.5,2.67,2.72,2.79,2.09,1.71,1.52,1.48,1.53,1.36,1.17,1.15,0.94,0.86,0.85,0.0,0.0,0.01,0.0,100.01
