,STLD,OC,EWBC,JLL,UGI,RS,LEA,Y,FHN,ACM,SBNY,OHI,KSS,AFG,OSK,NNN,ARW,CPRI,AIRC,TRGP,RGA,JBL,KRC,MPW,THC,CPT,ORI,HOG,NVST,AMG,MOH,FAF,XPO,OGE,SKX,JEF,SON,BRX,VAC,JHG,EME,PNFP,PB,POST,DKS,OLN,FL,SNV,MDU,MAN,BJ,INGR,CFR,NCR,AYI,X,THO,MTZ,CIEN,SRC,SLG,STOR,CUZ,DEI,AEO,VNT,CFX,CDAY,KBR,WTRG,VLY,AN,FLS,HXL,NYCB,JBLU,NVT,ADS,OZK,IDA,LII,THG,CIT,SNX,UTHR,UBSI,MTG,GT,CR,NFG,HIW,HFC,SIGI,HE,AGCO,PK,LAMR,STL,WBS,CASY,RPM,HRC,CRI,BLDR,ITT,NDSN,KMPR,HRB,CSL,WTFC,HPP,AVNT,COHR,BKH,LSI,ACC,PII,UNVR,DCI,ADNT,SRCL,CAR,R,EPR,SF,JWN,OGS,LIVN,CBSH,SBRA,DOC,HUBB,WRI,MIDD,FNB,XEC,XRX,NJR,SWX,UMBF,AVT,SR,HWC,SAFM,WEX,SCI,CMC,EQT,KEX,KBH,SEIC,EHC,WSO,HOMB,ATR,ALE,TOL,JBGS,ACHC,CBRL,NUVA,DTM WI,BC,CACI,WWD,CNXC,BOH,TDC,DAN,MUSA,PACW,NAVI,MUR,TMHC,FR,GNTX,VSAT,CBT,OFC,REXR,RNR,G,TCBI,RGLD,SAIC,ASB,NWE,TNL,RYN,GATX,WH,CW,FCFS,CNO,NATI,AZPN,CC,ASH,CDK,PEB,SFM,MAC,VSH,EGP,FLO,MLHR,KMT,VMI,RBC,GME,GXO WI,CLH,SYNA,CATY,DTM,GXO,LPX,PFGC,SUM
07/09/2021,0.94,0.82,0.8,0.79,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.71,0.68,0.68,0.68,0.67,0.67,0.67,0.63,0.63,0.62,0.62,0.59,0.59,0.59,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.57
07/12/2021,0.98,0.81,0.8,0.8,0.79,0.77,0.75,0.75,0.73,0.74,0.74,0.7,0.66,0.68,0.67,0.67,0.67,0.65,0.63,0.62,0.61,0.62,0.59,0.59,0.59,0.59,0.56,0.56,0.56,0.58,0.56,0.55,0.55,0.56,0.53,0.51,0.55,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.51,0.51,0.51,0.51,0.51,0.54,0.51,0.49,0.5,0.5,0.5,0.49,0.47,0.45,0.45,0.44,0.44,0.45,0.45,0.43,0.44,0.44,0.43,0.45,0.44,0.42,0.43,0.44,0.41,0.42,0.42,0.42,0.41,0.4,0.41,0.39,0.4,0.38,0.4,0.39,0.38,0.37,0.37,0.38,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.36,0.36,0.36,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.32,0.31,0.32,0.3,0.32,0.33,0.32,0.32,0.32,0.33,0.31,0.3,0.3,0.32,0.31,0.31,0.32,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.32,0.27,0.28,0.27,0.28,0.27,0.27,0.26,0.28,0.26,0.28,0.27,0.26,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.25,0.0,0.26,0.25,0.25,0.25,0.26,0.0,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.66
07/13/2021,0.98,0.81,0.8,0.8,0.79,0.77,0.75,0.75,0.73,0.74,0.74,0.7,0.66,0.68,0.67,0.67,0.67,0.65,0.63,0.62,0.61,0.62,0.59,0.59,0.59,0.59,0.56,0.56,0.56,0.58,0.56,0.55,0.55,0.56,0.53,0.51,0.55,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.51,0.51,0.51,0.51,0.51,0.54,0.51,0.49,0.5,0.5,0.5,0.49,0.47,0.45,0.45,0.44,0.44,0.45,0.45,0.43,0.44,0.44,0.43,0.45,0.44,0.42,0.43,0.44,0.41,0.42,0.42,0.42,0.41,0.4,0.41,0.39,0.4,0.38,0.4,0.39,0.38,0.37,0.37,0.38,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.36,0.36,0.36,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.32,0.31,0.32,0.3,0.32,0.33,0.32,0.32,0.32,0.33,0.31,0.3,0.3,0.32,0.31,0.31,0.32,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.32,0.27,0.28,0.27,0.28,0.27,0.27,0.26,0.28,0.26,0.28,0.27,0.26,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.25,0.0,0.26,0.25,0.25,0.25,0.26,0.0,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.66
07/14/2021,0.98,0.8,0.82,0.79,0.78,0.77,0.76,0.75,0.74,0.74,0.76,0.7,0.67,0.68,0.68,0.67,0.67,0.66,0.63,0.63,0.61,0.62,0.6,0.59,0.59,0.58,0.57,0.56,0.56,0.59,0.55,0.56,0.55,0.54,0.53,0.51,0.54,0.55,0.54,0.53,0.53,0.54,0.53,0.52,0.53,0.51,0.52,0.52,0.5,0.51,0.53,0.5,0.49,0.49,0.49,0.53,0.49,0.47,0.45,0.45,0.44,0.44,0.45,0.45,0.44,0.44,0.44,0.43,0.44,0.43,0.43,0.44,0.45,0.41,0.42,0.42,0.42,0.42,0.41,0.4,0.39,0.39,0.38,0.4,0.39,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.38,0.36,0.37,0.36,0.36,0.36,0.37,0.36,0.36,0.35,0.34,0.35,0.34,0.34,0.34,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.32,0.31,0.31,0.32,0.32,0.32,0.32,0.33,0.31,0.3,0.31,0.32,0.31,0.31,0.32,0.32,0.31,0.3,0.31,0.29,0.29,0.3,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.31,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.28,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.24,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.72
07/15/2021,0.98,0.8,0.82,0.79,0.78,0.77,0.76,0.75,0.74,0.74,0.76,0.7,0.67,0.68,0.68,0.67,0.67,0.66,0.63,0.63,0.61,0.62,0.6,0.59,0.59,0.58,0.57,0.56,0.56,0.59,0.55,0.56,0.55,0.54,0.53,0.51,0.54,0.55,0.54,0.53,0.53,0.54,0.53,0.52,0.53,0.51,0.52,0.52,0.5,0.51,0.53,0.5,0.49,0.49,0.49,0.53,0.49,0.47,0.45,0.45,0.44,0.44,0.45,0.45,0.44,0.44,0.44,0.43,0.44,0.43,0.43,0.44,0.45,0.41,0.42,0.42,0.42,0.42,0.41,0.4,0.39,0.39,0.38,0.4,0.39,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.38,0.36,0.37,0.36,0.36,0.36,0.37,0.36,0.36,0.35,0.34,0.35,0.34,0.34,0.34,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.32,0.31,0.31,0.32,0.32,0.32,0.32,0.33,0.31,0.3,0.31,0.32,0.31,0.31,0.32,0.32,0.31,0.3,0.31,0.29,0.29,0.3,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.31,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.28,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.72
07/16/2021,0.99,0.79,0.82,0.79,0.77,0.77,0.75,0.75,0.74,0.74,0.77,0.7,0.66,0.69,0.68,0.67,0.67,0.65,0.63,0.63,0.63,0.62,0.6,0.58,0.59,0.59,0.56,0.56,0.56,0.59,0.56,0.55,0.56,0.54,0.53,0.52,0.54,0.55,0.54,0.55,0.54,0.54,0.53,0.51,0.53,0.51,0.51,0.52,0.51,0.51,0.53,0.48,0.49,0.47,0.49,0.53,0.48,0.47,0.45,0.45,0.43,0.44,0.46,0.45,0.45,0.43,0.44,0.42,0.45,0.43,0.43,0.46,0.45,0.4,0.42,0.41,0.42,0.42,0.4,0.4,0.38,0.4,0.38,0.39,0.39,0.38,0.37,0.37,0.37,0.38,0.39,0.38,0.38,0.37,0.37,0.36,0.37,0.36,0.37,0.36,0.35,0.36,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.33,0.32,0.34,0.34,0.31,0.32,0.3,0.32,0.32,0.33,0.31,0.32,0.31,0.32,0.32,0.32,0.33,0.31,0.32,0.3,0.32,0.31,0.31,0.32,0.31,0.32,0.3,0.31,0.29,0.29,0.3,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.32,0.28,0.28,0.27,0.29,0.28,0.27,0.27,0.28,0.27,0.29,0.27,0.25,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.72
07/19/2021,1.0,0.79,0.82,0.8,0.78,0.78,0.75,0.76,0.74,0.72,0.76,0.71,0.65,0.7,0.67,0.69,0.67,0.62,0.65,0.6,0.63,0.61,0.61,0.59,0.58,0.6,0.57,0.55,0.55,0.57,0.57,0.56,0.56,0.55,0.53,0.55,0.55,0.55,0.54,0.55,0.54,0.55,0.54,0.51,0.53,0.5,0.48,0.53,0.51,0.51,0.53,0.48,0.5,0.48,0.49,0.51,0.48,0.47,0.45,0.45,0.44,0.45,0.47,0.46,0.42,0.43,0.43,0.42,0.45,0.43,0.44,0.45,0.44,0.39,0.43,0.4,0.41,0.41,0.41,0.42,0.36,0.4,0.39,0.39,0.39,0.39,0.38,0.37,0.37,0.38,0.4,0.36,0.38,0.38,0.37,0.36,0.37,0.35,0.37,0.36,0.36,0.36,0.36,0.36,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.35,0.34,0.34,0.32,0.33,0.34,0.3,0.31,0.31,0.32,0.33,0.32,0.29,0.32,0.31,0.33,0.32,0.32,0.34,0.32,0.33,0.31,0.3,0.31,0.31,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.31,0.3,0.28,0.28,0.28,0.29,0.28,0.29,0.29,0.29,0.3,0.28,0.29,0.27,0.27,0.27,0.33,0.28,0.29,0.27,0.28,0.28,0.26,0.27,0.29,0.27,0.29,0.25,0.25,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.24,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.80000000000001
07/20/2021,1.0,0.79,0.82,0.8,0.78,0.78,0.75,0.76,0.74,0.72,0.76,0.71,0.65,0.7,0.67,0.69,0.67,0.62,0.65,0.6,0.63,0.61,0.61,0.59,0.58,0.6,0.57,0.55,0.55,0.57,0.57,0.56,0.56,0.55,0.53,0.55,0.55,0.55,0.54,0.55,0.54,0.55,0.54,0.51,0.53,0.5,0.48,0.53,0.51,0.51,0.53,0.48,0.5,0.48,0.49,0.51,0.48,0.47,0.45,0.45,0.44,0.45,0.47,0.46,0.42,0.43,0.43,0.42,0.45,0.43,0.44,0.45,0.44,0.39,0.43,0.4,0.41,0.41,0.41,0.42,0.36,0.4,0.39,0.39,0.39,0.39,0.38,0.37,0.37,0.38,0.4,0.36,0.38,0.38,0.37,0.36,0.37,0.35,0.37,0.36,0.36,0.36,0.36,0.36,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.35,0.34,0.34,0.32,0.33,0.34,0.3,0.31,0.31,0.32,0.33,0.32,0.29,0.32,0.31,0.33,0.32,0.32,0.34,0.32,0.33,0.31,0.3,0.31,0.31,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.31,0.3,0.28,0.28,0.28,0.29,0.28,0.29,0.29,0.29,0.3,0.28,0.29,0.27,0.27,0.27,0.33,0.28,0.29,0.27,0.28,0.28,0.26,0.27,0.29,0.27,0.29,0.25,0.25,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.24,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.80000000000001
07/21/2021,0.99,0.79,0.81,0.81,0.79,0.78,0.74,0.77,0.71,0.73,0.73,0.72,0.64,0.72,0.66,0.7,0.67,0.6,0.67,0.6,0.62,0.61,0.62,0.61,0.59,0.62,0.57,0.55,0.54,0.57,0.57,0.57,0.56,0.57,0.52,0.55,0.55,0.55,0.52,0.55,0.54,0.55,0.53,0.52,0.51,0.5,0.48,0.52,0.52,0.51,0.53,0.48,0.49,0.47,0.49,0.49,0.48,0.46,0.44,0.46,0.43,0.46,0.48,0.46,0.42,0.43,0.43,0.42,0.45,0.45,0.43,0.46,0.44,0.39,0.43,0.39,0.41,0.4,0.4,0.43,0.37,0.41,0.39,0.38,0.4,0.39,0.38,0.36,0.37,0.38,0.4,0.36,0.39,0.39,0.37,0.36,0.37,0.34,0.36,0.37,0.36,0.37,0.35,0.36,0.37,0.37,0.35,0.35,0.35,0.34,0.35,0.35,0.34,0.36,0.35,0.35,0.32,0.33,0.34,0.3,0.32,0.3,0.32,0.33,0.32,0.29,0.33,0.31,0.33,0.33,0.33,0.34,0.32,0.33,0.3,0.29,0.3,0.31,0.34,0.31,0.32,0.31,0.3,0.3,0.3,0.31,0.3,0.27,0.28,0.29,0.3,0.29,0.29,0.28,0.29,0.31,0.28,0.3,0.27,0.28,0.27,0.33,0.27,0.29,0.27,0.28,0.28,0.25,0.27,0.29,0.26,0.3,0.0,0.25,0.28,0.26,0.27,0.25,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.26,0.0,0.26,0.26,0.24,0.25,0.26,0.25,0.25,0.25,0.0,0.25,0.24,0.24,0.25,0.0,0.0,0.0,0.24,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.89
07/22/2021,0.98,0.8,0.79,0.8,0.79,0.78,0.75,0.76,0.7,0.73,0.72,0.72,0.63,0.72,0.66,0.7,0.68,0.6,0.66,0.6,0.61,0.61,0.61,0.61,0.58,0.63,0.56,0.54,0.54,0.57,0.57,0.57,0.56,0.56,0.52,0.54,0.56,0.54,0.53,0.56,0.54,0.54,0.53,0.52,0.53,0.5,0.48,0.51,0.52,0.51,0.55,0.49,0.48,0.47,0.49,0.49,0.49,0.46,0.45,0.46,0.43,0.46,0.48,0.46,0.43,0.44,0.43,0.44,0.46,0.45,0.42,0.48,0.44,0.38,0.43,0.39,0.41,0.39,0.4,0.44,0.38,0.4,0.38,0.39,0.4,0.38,0.38,0.36,0.37,0.38,0.4,0.35,0.39,0.39,0.36,0.35,0.37,0.34,0.35,0.37,0.36,0.38,0.35,0.36,0.37,0.37,0.35,0.36,0.35,0.34,0.34,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.34,0.3,0.32,0.3,0.31,0.31,0.32,0.29,0.33,0.31,0.33,0.32,0.34,0.34,0.31,0.33,0.29,0.29,0.3,0.31,0.34,0.31,0.32,0.31,0.3,0.3,0.29,0.32,0.3,0.28,0.28,0.29,0.29,0.29,0.29,0.28,0.3,0.3,0.28,0.3,0.27,0.27,0.27,0.33,0.28,0.3,0.27,0.28,0.28,0.26,0.27,0.3,0.26,0.29,0.0,0.25,0.29,0.27,0.28,0.25,0.27,0.27,0.27,0.27,0.25,0.27,0.26,0.0,0.26,0.0,0.25,0.26,0.24,0.24,0.25,0.25,0.25,0.25,0.0,0.25,0.24,0.24,0.26,0.0,0.0,0.24,0.25,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.83
