,IUSB,IVV,IAGG,IDEV,IEMG,IJH,IJR,XTSLA,SUM
07/09/2021,59.25,15.67,10.41,9.67,3.37,0.99,0.46,0.37,100.19
07/12/2021,59.42,15.61,10.46,9.58,3.31,0.98,0.45,0.44,100.25
07/13/2021,59.42,15.61,10.46,9.58,3.31,0.98,0.45,0.44,100.25
07/14/2021,59.12,15.74,10.42,9.73,3.36,1.0,0.46,0.18,100.01
07/15/2021,59.12,15.74,10.42,9.73,3.36,1.0,0.46,0.18,100.01
07/16/2021,59.08,15.77,10.43,9.73,3.37,0.99,0.45,0.18,100.0
07/19/2021,59.23,15.71,10.45,9.64,3.38,0.98,0.45,0.18,100.02
07/20/2021,59.23,15.71,10.45,9.64,3.38,0.98,0.45,0.18,100.02
07/21/2021,59.36,15.63,10.48,9.58,3.37,0.97,0.44,0.18,100.01
07/22/2021,59.75,15.43,10.53,9.42,3.32,0.95,0.43,0.18,100.01
07/23/2021,59.51,15.6,10.51,9.47,3.32,0.98,0.44,0.18,100.01
07/27/2021,59.3,15.72,10.45,9.61,3.34,0.98,0.44,0.18,100.02
07/29/2021,59.14,15.9,10.45,9.68,3.24,0.98,0.45,0.18,100.02
07/30/2021,59.28,15.83,10.47,9.65,3.18,0.98,0.45,0.18,100.02
08/02/2021,59.11,15.85,10.43,9.73,3.26,0.99,0.45,0.18,100.0
08/03/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,100.02
08/04/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,100.02
08/05/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,100.02
08/06/2021,59.08,15.83,10.44,9.77,3.26,0.99,0.45,0.18,100.0
08/09/2021,59.0,15.87,10.46,9.79,3.27,0.99,0.45,0.18,100.01
08/10/2021,58.93,15.94,10.46,9.78,3.26,1.0,0.46,0.23,100.06000000000002
08/11/2021,58.93,15.94,10.46,9.78,3.26,1.0,0.46,0.23,100.06000000000002
08/13/2021,58.83,15.97,10.48,9.81,3.27,1.0,0.46,0.18,100.0
08/16/2021,58.79,16.02,10.46,9.85,3.25,1.01,0.46,0.18,100.02
08/17/2021,58.82,16.01,10.44,9.87,3.23,1.0,0.45,0.18,100.0
08/18/2021,58.82,16.01,10.44,9.87,3.23,1.0,0.45,0.18,100.0
08/19/2021,58.87,16.06,10.44,9.82,3.2,1.0,0.45,0.18,100.02
08/20/2021,59.01,15.99,10.49,9.75,3.15,0.99,0.45,0.18,100.01
08/23/2021,59.25,15.89,10.52,9.65,3.11,0.98,0.44,0.18,100.02
08/24/2021,59.15,15.99,10.5,9.66,3.1,0.99,0.45,0.18,100.02
08/25/2021,59.15,15.99,10.5,9.66,3.1,0.99,0.45,0.18,100.02
08/26/2021,58.98,16.08,10.46,9.73,3.14,0.99,0.45,0.18,100.01
08/27/2021,58.87,16.09,10.44,9.77,3.21,1.0,0.45,0.17,100.0
08/30/2021,58.94,16.07,10.44,9.74,3.19,1.0,0.45,0.17,100.0
08/31/2021,58.82,16.14,10.4,9.79,3.22,1.01,0.46,0.18,100.02
09/01/2021,58.82,16.14,10.4,9.79,3.22,1.01,0.46,0.18,100.02
09/02/2021,58.79,16.18,10.4,9.78,3.22,1.01,0.46,0.17,100.01
09/03/2021,58.77,16.18,10.39,9.78,3.26,1.01,0.46,0.17,100.02
09/06/2021,58.63,16.2,10.36,9.89,3.28,1.01,0.46,0.17,100.0
09/07/2021,58.58,16.2,10.35,9.94,3.3,1.01,0.46,0.17,100.01
09/08/2021,58.58,16.2,10.35,9.94,3.3,1.01,0.46,0.17,100.01
09/09/2021,58.57,16.2,10.35,9.94,3.3,1.01,0.46,0.17,100.0
09/10/2021,58.57,16.19,10.35,9.96,3.33,1.0,0.46,0.17,100.03
09/13/2021,58.8,16.09,10.37,9.87,3.27,0.99,0.45,0.24,100.08
09/14/2021,58.86,16.01,10.38,9.88,3.28,0.99,0.45,0.16,100.01
09/15/2021,58.86,16.01,10.38,9.88,3.28,0.99,0.45,0.16,100.01
09/16/2021,58.82,16.01,10.37,9.93,3.28,0.99,0.45,0.16,100.01
09/17/2021,58.97,15.93,10.38,9.88,3.26,0.98,0.44,0.16,100.0
09/20/2021,58.87,16.05,10.36,9.91,3.23,0.99,0.45,0.16,100.02
09/21/2021,59.03,15.95,10.39,9.82,3.23,0.99,0.45,0.16,100.02
09/22/2021,59.03,15.95,10.39,9.82,3.23,0.99,0.45,0.16,100.02
09/23/2021,59.39,15.75,10.45,9.68,3.16,0.97,0.44,0.16,100.0
09/24/2021,59.32,15.73,10.45,9.76,3.17,0.97,0.44,0.16,100.0
09/27/2021,58.9,16.02,10.37,9.89,3.23,1.0,0.46,0.16,100.03
09/28/2021,58.92,16.03,10.37,9.82,3.2,0.99,0.45,0.16,99.94
09/29/2021,58.92,16.03,10.37,9.82,3.2,0.99,0.45,0.16,99.94
