,DOCU,APT.AX,SQ,PYPL,ADYEN.AS,MA,AXP,WLN.PA,V,GPN,FIS,FISV,DFS,FLT,STNE,JKHY,PAGS,NEXI.MI,WU,WEX,EEFT,NCR,QTWO,3769.T,NVEI.TO,ACIW,AFRM,EVTC,8083.HK,NETW.L,BIGC,GDOT,ZUO,8253.T,EPAY,LC,IRE.AX,CSGS,SZL.AX,EVOP,8570.T,PPH.NZ,OSPN,PFG.L,MITK,327.HK,8585.T,FGXXX,CTLP,BOKU.L,QIWI,CASS,Yiren Digital Ltd ADR,GSKY,SPT.AX,QIWI PLC ADR,YRD,688101.SS,SUM
07/09/2021,5.08,5.05,5.0,4.77,4.49,4.44,4.42,4.4,4.4,4.35,4.3,4.24,4.23,4.11,3.74,3.17,3.01,2.91,2.45,2.27,1.82,1.56,1.44,1.43,1.18,1.13,0.97,0.83,0.71,0.68,0.66,0.64,0.49,0.47,0.44,0.43,0.42,0.39,0.35,0.34,0.33,0.32,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.16,0.15,0.14,0.12,0.1,0.03,0.0,0.0,0.0,99.99
07/12/2021,5.23,5.06,5.01,4.86,4.58,4.43,4.49,4.5,4.45,4.31,4.32,4.23,4.14,4.08,3.62,3.19,2.93,2.98,2.45,2.25,1.81,1.54,1.44,1.43,1.2,1.12,0.9,0.81,0.64,0.67,0.71,0.61,0.49,0.47,0.44,0.42,0.4,0.38,0.35,0.35,0.34,0.3,0.22,0.22,0.21,0.21,0.19,0.16,0.17,0.17,0.0,0.14,0.0,0.1,0.03,0.14,0.11,0.0,100.0
07/13/2021,5.23,5.06,5.01,4.86,4.58,4.43,4.49,4.5,4.45,4.31,4.32,4.23,4.14,4.08,3.62,3.19,2.93,2.98,2.45,2.25,1.81,1.54,1.44,1.43,1.2,1.12,0.9,0.81,0.64,0.67,0.71,0.61,0.49,0.47,0.44,0.42,0.4,0.38,0.35,0.35,0.34,0.3,0.22,0.22,0.21,0.21,0.19,0.16,0.17,0.17,0.0,0.14,0.0,0.1,0.03,0.14,0.11,0.0,100.0
07/14/2021,5.25,4.99,4.99,4.94,4.65,4.45,4.54,4.44,4.45,4.3,4.31,4.25,4.31,4.04,3.51,3.22,2.81,2.88,2.47,2.24,1.83,1.57,1.43,1.42,1.2,1.11,0.95,0.82,0.64,0.66,0.71,0.63,0.5,0.47,0.44,0.43,0.4,0.38,0.35,0.35,0.34,0.3,0.23,0.22,0.21,0.21,0.19,0.16,0.17,0.16,0.0,0.14,0.0,0.1,0.03,0.14,0.11,0.0,100.04
07/15/2021,5.23,5.02,5.0,4.97,4.71,4.47,4.57,4.49,4.42,4.27,4.32,4.23,4.44,4.03,3.44,3.2,2.71,2.91,2.45,2.25,1.83,1.54,1.42,1.44,1.2,1.11,0.91,0.82,0.64,0.67,0.67,0.62,0.49,0.47,0.44,0.43,0.4,0.38,0.33,0.35,0.34,0.3,0.22,0.22,0.2,0.23,0.19,0.16,0.16,0.16,0.0,0.14,0.0,0.11,0.03,0.14,0.11,0.0,100.0
07/16/2021,5.17,5.0,4.98,4.95,4.73,4.58,4.56,4.49,4.52,4.31,4.37,4.29,4.41,4.02,3.41,3.21,2.73,2.9,2.49,2.2,1.8,1.5,1.42,1.42,1.19,1.1,0.82,0.82,0.65,0.67,0.63,0.61,0.49,0.48,0.45,0.41,0.41,0.38,0.34,0.35,0.35,0.31,0.22,0.22,0.21,0.23,0.19,0.16,0.16,0.16,0.0,0.14,0.0,0.1,0.02,0.14,0.11,0.0,99.98
07/19/2021,5.11,4.46,4.91,4.94,4.82,4.71,4.62,4.5,4.7,4.46,4.49,4.38,4.41,4.16,3.22,3.32,2.7,2.85,2.52,2.23,1.77,1.52,1.37,1.46,1.16,1.09,0.82,0.82,0.57,0.65,0.62,0.62,0.46,0.48,0.46,0.4,0.41,0.39,0.32,0.36,0.35,0.33,0.22,0.23,0.21,0.23,0.19,0.16,0.15,0.16,0.0,0.14,0.0,0.1,0.02,0.14,0.11,0.0,100.0
07/20/2021,5.11,4.46,4.91,4.94,4.82,4.71,4.62,4.5,4.7,4.46,4.49,4.38,4.41,4.16,3.22,3.32,2.7,2.85,2.52,2.23,1.77,1.52,1.37,1.46,1.16,1.09,0.82,0.82,0.57,0.65,0.62,0.62,0.46,0.48,0.46,0.4,0.41,0.39,0.32,0.36,0.35,0.33,0.22,0.23,0.21,0.23,0.19,0.16,0.15,0.16,0.14,0.14,0.0,0.1,0.0,0.0,0.11,0.02,100.0
07/21/2021,5.22,4.4,4.98,4.92,4.87,4.69,4.56,4.51,4.7,4.47,4.5,4.4,4.31,4.14,3.16,3.35,2.75,2.88,2.53,2.24,1.76,1.49,1.4,1.45,1.14,1.08,0.82,0.81,0.57,0.66,0.62,0.63,0.46,0.49,0.45,0.39,0.41,0.39,0.32,0.35,0.35,0.32,0.22,0.24,0.2,0.23,0.2,0.13,0.15,0.16,0.0,0.14,0.0,0.1,0.03,0.14,0.11,0.0,99.99
07/22/2021,5.22,4.4,4.98,4.92,4.87,4.69,4.56,4.51,4.7,4.47,4.5,4.4,4.31,4.14,3.16,3.35,2.75,2.88,2.53,2.24,1.76,1.49,1.4,1.45,1.14,1.08,0.82,0.81,0.57,0.66,0.62,0.63,0.46,0.49,0.45,0.39,0.41,0.39,0.32,0.35,0.35,0.32,0.22,0.24,0.2,0.23,0.2,0.13,0.15,0.16,0.0,0.14,0.0,0.1,0.03,0.14,0.11,0.0,99.99
07/23/2021,5.49,4.54,5.01,5.04,4.87,4.53,4.47,4.53,4.66,4.37,4.42,4.33,4.28,4.08,3.17,3.41,2.79,2.87,2.5,2.18,1.73,1.49,1.44,1.47,1.14,1.09,0.82,0.81,0.52,0.67,0.65,0.63,0.47,0.49,0.45,0.39,0.42,0.39,0.32,0.35,0.35,0.32,0.22,0.23,0.21,0.23,0.2,0.14,0.15,0.16,0.0,0.14,0.0,0.1,0.02,0.14,0.11,0.0,100.0
07/26/2021,5.51,4.43,5.3,4.96,4.74,4.53,4.55,4.5,4.54,4.33,4.34,4.29,4.42,4.07,3.23,3.33,3.0,2.83,2.44,2.24,1.76,1.52,1.46,1.42,1.15,1.07,0.85,0.78,0.51,0.63,0.68,0.62,0.49,0.46,0.46,0.41,0.4,0.38,0.31,0.35,0.34,0.31,0.22,0.24,0.21,0.22,0.19,0.13,0.15,0.16,0.0,0.14,0.0,0.11,0.02,0.14,0.11,0.0,99.98
