,ENB.TO,KMI,WMB,TRP.TO,EPD,OKE,TRGP,LNG,ET,PPL.TO,NI,ATO,IPL.TO,KEY.TO,ALA.TO,NFG,MMP,MPLX,OGS,NJR,SWX,SR,ETRN,AM,GEI.TO,SJI,PAA,CPK,NFE,WES,ENLC,NWN,DCP,AROC,CQP,PSXP,PAGP,SUN,NS,SHLX,CEQP,GEL,HEP,USAC,ENBL,GLP,BPMP,HESM,RTLR,ALTM,PBFX,DKL,CAPL,SRLP,Oasis Midstream Partners LP Common Units Representing LP Interest,AGPXX,Canadian Dollar,OMP,Invesco Shrt-Trm Inv Gov&Agcy Instl,SAR.AX,n/a,DTM,SUM
07/09/2021,7.79,7.51,7.31,7.18,6.28,5.74,4.04,4.03,4.01,4.01,3.95,3.92,2.84,2.4,2.37,1.95,1.9,1.82,1.61,1.58,1.57,1.53,1.45,1.22,1.13,1.09,0.93,0.88,0.8,0.71,0.69,0.67,0.5,0.49,0.46,0.42,0.42,0.36,0.33,0.32,0.27,0.24,0.18,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/12/2021,7.85,7.55,7.26,7.27,6.29,5.67,3.94,4.11,3.98,4.02,4.04,4.01,2.86,2.39,2.41,1.95,1.9,1.78,1.62,1.59,1.61,1.53,1.43,1.2,1.15,1.1,0.87,0.87,0.74,0.69,0.65,0.67,0.49,0.45,0.47,0.42,0.39,0.37,0.32,0.32,0.27,0.23,0.18,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.07,0.06,0.06,0.05,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,99.99
07/13/2021,7.85,7.55,7.26,7.27,6.29,5.67,3.94,4.11,3.98,4.02,4.04,4.01,2.86,2.39,2.41,1.95,1.9,1.78,1.62,1.59,1.61,1.53,1.43,1.2,1.15,1.1,0.87,0.87,0.74,0.69,0.65,0.67,0.49,0.45,0.47,0.42,0.39,0.37,0.32,0.32,0.27,0.23,0.18,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.07,0.06,0.06,0.05,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,99.99
07/14/2021,7.76,7.61,7.28,7.24,6.27,5.8,4.06,4.08,3.97,4.06,4.0,3.99,2.83,2.38,2.42,1.93,1.88,1.82,1.57,1.57,1.61,1.51,1.45,1.22,1.1,1.09,0.89,0.86,0.72,0.7,0.68,0.66,0.49,0.46,0.46,0.41,0.4,0.36,0.31,0.32,0.27,0.22,0.18,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,99.96
07/15/2021,7.76,7.56,7.24,7.24,6.33,5.76,4.04,4.03,3.93,4.09,4.03,4.03,2.85,2.4,2.41,1.94,1.87,1.81,1.59,1.58,1.63,1.52,1.48,1.2,1.12,1.1,0.86,0.87,0.72,0.7,0.69,0.66,0.49,0.47,0.46,0.41,0.39,0.36,0.31,0.32,0.27,0.22,0.18,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,99.98
07/16/2021,7.76,7.56,7.24,7.24,6.33,5.76,4.04,4.03,3.93,4.09,4.03,4.03,2.85,2.4,2.41,1.94,1.87,1.81,1.59,1.58,1.63,1.52,1.48,1.2,1.12,1.1,0.86,0.87,0.72,0.7,0.69,0.66,0.49,0.47,0.46,0.41,0.39,0.36,0.31,0.32,0.27,0.22,0.18,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,99.98
07/19/2021,7.79,7.49,7.18,7.28,6.33,5.66,3.9,3.97,3.78,4.06,4.19,4.2,2.99,2.42,2.44,1.95,1.86,1.75,1.65,1.6,1.71,1.59,1.43,1.19,1.14,1.1,0.84,0.9,0.66,0.67,0.64,0.69,0.47,0.46,0.45,0.41,0.38,0.36,0.31,0.31,0.26,0.22,0.17,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.08,0.04,0.0,0.0,100.0
07/20/2021,7.79,7.49,7.18,7.28,6.33,5.66,3.9,3.97,3.78,4.06,4.19,4.2,2.99,2.42,2.44,1.95,1.86,1.75,1.65,1.6,1.71,1.59,1.43,1.19,1.14,1.1,0.84,0.9,0.66,0.67,0.64,0.69,0.47,0.46,0.45,0.41,0.38,0.36,0.31,0.31,0.26,0.22,0.17,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.08,0.04,0.0,0.0,100.0
07/21/2021,7.82,7.45,7.15,7.31,6.37,5.58,3.88,4.02,3.78,4.04,4.27,4.25,3.02,2.41,2.47,1.95,1.88,1.73,1.67,1.59,1.73,1.6,1.39,1.16,1.12,1.1,0.83,0.91,0.67,0.67,0.62,0.69,0.46,0.45,0.46,0.41,0.37,0.36,0.31,0.31,0.26,0.22,0.17,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.1,-0.03,0.0,0.0,100.01
07/22/2021,7.82,7.45,7.15,7.31,6.37,5.58,3.88,4.02,3.78,4.04,4.27,4.25,3.02,2.41,2.47,1.95,1.88,1.73,1.67,1.59,1.73,1.6,1.39,1.16,1.12,1.1,0.83,0.91,0.67,0.67,0.62,0.69,0.46,0.45,0.46,0.41,0.37,0.36,0.31,0.31,0.26,0.22,0.17,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.1,-0.03,0.0,0.0,100.01
