,MSFT,AAPL,JNJ,FB,V,UNH,MA,NVDA,GOOG,ADBE,LLY,WMT,ACN,MRK,GOOGL,INTC,CSCO,TXN,PYPL,TGT,JPM,BRK.B,VZ,COST,T,BAC,REGN,AMGN,AMZN,PEP,TMUS,ADP,KR,PG,PAYX,INTU,LMT,NEE,CMCSA,PSA,GILD,HSY,WM,BLK,HD,ORCL,PFE,C,DIS,AMAT,MDT,DHR,MMM,WFC,ZTS,MCD,NEM,RSG,EA,PGR,AON,VRTX,WCN.TO,DUK,XOM,ATVI,TYL,SO,APH,MSI,LRCX,ALL,ISRG,XEL,CVX,MMC,ANTM,ED,KEYS,SBUX,ODFL,CVS,HRL,TTWO,GNRC,IBM,FISV,CTSH,ITW,BIIB,EXPD,DG,CME,CHRW,GM,AJG,JKHY,IDXX,ICE,MDLZ,CCI,CTXS,FIS,SHW,STATE STREET INSTITUTIONAL LIQ STATE STR,CLX,GS,EBAY,HON,NKE,EW,WEC,EMR,CHTR,ILMN,AKAM,ZM,AZO,BMY,MCO,ABT,BAX,TROW,AVGO,ADSK,KLAC,GRMN,CHD,AEP,BR,F,MS,BKI,D,COO,LBRDK,AFL,ALGN,CI,RTX,WU,VEEV,EPAM,MRNA,FTNT,BRO,MU,LULU,DE,EXR,PM,ALXN,NWSA,A,K,PNC,UPS,CL,TFC,BDX,ORLY,HZNP,CMI,USB,ROK,BIO,WST,APD,AMT,MNST,CDNS,TRV,DHI,KMB,MCK,ABBV,BBY,NFLX,COF,INCY,PTON,XLNX,LIN,SWKS,KO,MPC,VRSN,CB,CTAS,RMD,AMP,TMO,GE,HUM,ANET,FAST,DLTR,SAM,VRSK,COP,CBOE,State Street Instl Liquid Reserves Prem,SIVB,ES,ZS,CPRT,NET,MO,GEN.,UHAL,GE.,MET,n/a,SUM
07/09/2021,3.09,2.93,2.27,2.25,1.96,1.85,1.72,1.71,1.69,1.61,1.34,1.33,1.3,1.3,1.25,1.2,1.19,1.1,1.07,0.9,0.86,0.85,0.84,0.77,0.75,0.71,0.71,0.69,0.65,0.62,0.61,0.58,0.57,0.57,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.41,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.75
07/12/2021,3.1,2.97,2.29,2.21,1.94,1.86,1.7,1.65,1.69,1.64,1.36,1.34,1.32,1.3,1.24,1.19,1.21,1.09,1.09,0.92,0.85,0.85,0.83,0.79,0.73,0.69,0.71,0.7,0.66,0.62,0.62,0.58,0.58,0.58,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.51,0.52,0.53,0.51,0.49,0.49,0.48,0.49,0.48,0.48,0.46,0.47,0.46,0.45,0.45,0.44,0.45,0.44,0.43,0.44,0.44,0.42,0.4,0.39,0.38,0.38,0.37,0.35,0.36,0.35,0.35,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.91
07/13/2021,3.1,2.97,2.29,2.21,1.94,1.86,1.7,1.65,1.69,1.64,1.36,1.34,1.32,1.3,1.24,1.19,1.21,1.09,1.09,0.92,0.85,0.85,0.83,0.79,0.73,0.69,0.71,0.7,0.66,0.62,0.62,0.58,0.58,0.58,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.51,0.52,0.53,0.51,0.49,0.49,0.48,0.49,0.48,0.48,0.46,0.47,0.46,0.45,0.45,0.44,0.45,0.44,0.43,0.44,0.44,0.42,0.4,0.39,0.38,0.38,0.37,0.35,0.36,0.35,0.35,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.91
07/14/2021,3.08,2.98,2.28,2.22,1.94,1.85,1.7,1.65,1.68,1.62,1.33,1.33,1.32,1.29,1.24,1.19,1.21,1.09,1.09,0.91,0.87,0.86,0.83,0.79,0.73,0.71,0.71,0.69,0.65,0.62,0.61,0.58,0.58,0.57,0.57,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.53,0.51,0.5,0.5,0.48,0.49,0.47,0.48,0.47,0.47,0.46,0.46,0.45,0.44,0.45,0.43,0.43,0.44,0.43,0.42,0.4,0.39,0.38,0.38,0.37,0.35,0.36,0.35,0.35,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.0,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.27,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.85999999999999
07/15/2021,3.06,2.96,2.27,2.23,1.93,1.86,1.71,1.68,1.69,1.6,1.33,1.33,1.32,1.28,1.25,1.2,1.19,1.09,1.1,0.92,0.88,0.85,0.83,0.78,0.73,0.72,0.7,0.69,0.65,0.62,0.61,0.58,0.58,0.57,0.57,0.55,0.54,0.54,0.54,0.55,0.53,0.53,0.52,0.53,0.52,0.53,0.51,0.5,0.52,0.49,0.49,0.47,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.45,0.43,0.43,0.44,0.44,0.42,0.4,0.39,0.38,0.38,0.36,0.36,0.36,0.35,0.35,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.24,0.25,0.0,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.21,0.2,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.27,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.85999999999999
07/16/2021,3.11,2.99,2.27,2.23,1.97,1.88,1.75,1.66,1.7,1.62,1.33,1.33,1.32,1.28,1.25,1.21,1.2,1.09,1.1,0.92,0.87,0.85,0.83,0.78,0.73,0.7,0.7,0.69,0.64,0.63,0.61,0.58,0.58,0.57,0.57,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.51,0.53,0.51,0.5,0.52,0.49,0.48,0.47,0.48,0.46,0.47,0.46,0.45,0.45,0.45,0.44,0.43,0.43,0.44,0.44,0.42,0.4,0.39,0.38,0.38,0.36,0.36,0.36,0.35,0.35,0.33,0.32,0.32,0.31,0.31,0.32,0.31,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.27,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.93
07/19/2021,3.12,3.06,2.27,2.19,2.03,1.89,1.78,1.56,1.71,1.63,1.32,1.35,1.34,1.29,1.26,1.19,1.21,1.08,1.09,0.93,0.87,0.86,0.84,0.79,0.73,0.69,0.72,0.7,0.64,0.64,0.62,0.59,0.59,0.58,0.57,0.55,0.54,0.56,0.55,0.55,0.54,0.54,0.54,0.51,0.52,0.53,0.52,0.5,0.52,0.48,0.48,0.48,0.49,0.48,0.47,0.47,0.46,0.46,0.45,0.43,0.43,0.44,0.44,0.45,0.41,0.39,0.39,0.39,0.38,0.36,0.35,0.35,0.35,0.36,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.28,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.23,0.21,0.21,0.21,0.19,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.19,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.31
07/20/2021,3.12,3.02,2.27,2.17,2.03,1.9,1.77,1.5,1.72,1.63,1.33,1.35,1.33,1.29,1.26,1.18,1.21,1.07,1.08,0.93,0.85,0.85,0.84,0.79,0.73,0.68,0.71,0.71,0.63,0.65,0.62,0.59,0.6,0.59,0.57,0.55,0.54,0.56,0.54,0.55,0.54,0.55,0.54,0.51,0.52,0.54,0.52,0.49,0.51,0.46,0.48,0.49,0.48,0.48,0.47,0.46,0.44,0.46,0.45,0.43,0.43,0.44,0.44,0.45,0.4,0.4,0.39,0.39,0.37,0.36,0.34,0.35,0.35,0.36,0.31,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.28,0.26,0.27,0.27,0.27,0.27,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.0,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.21,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.28,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.01
07/21/2021,3.12,3.02,2.27,2.17,2.03,1.9,1.77,1.5,1.72,1.63,1.33,1.35,1.33,1.29,1.26,1.18,1.21,1.07,1.08,0.93,0.85,0.85,0.84,0.79,0.73,0.68,0.71,0.71,0.63,0.65,0.62,0.59,0.6,0.59,0.57,0.55,0.54,0.56,0.54,0.55,0.54,0.55,0.54,0.51,0.52,0.54,0.52,0.49,0.51,0.46,0.48,0.49,0.48,0.48,0.47,0.46,0.44,0.46,0.45,0.43,0.43,0.44,0.44,0.45,0.4,0.4,0.39,0.39,0.37,0.36,0.34,0.35,0.35,0.36,0.31,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.28,0.26,0.27,0.27,0.27,0.27,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.0,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.21,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.28,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.01
07/22/2021,3.12,3.02,2.27,2.17,2.03,1.9,1.77,1.5,1.72,1.63,1.33,1.35,1.33,1.29,1.26,1.18,1.21,1.07,1.08,0.93,0.85,0.85,0.84,0.79,0.73,0.68,0.71,0.71,0.63,0.65,0.62,0.59,0.6,0.59,0.57,0.55,0.54,0.56,0.54,0.55,0.54,0.55,0.54,0.51,0.52,0.54,0.52,0.49,0.51,0.46,0.48,0.49,0.48,0.48,0.47,0.46,0.44,0.46,0.45,0.43,0.43,0.44,0.44,0.45,0.4,0.4,0.39,0.39,0.37,0.36,0.34,0.35,0.35,0.36,0.31,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.28,0.26,0.27,0.27,0.27,0.27,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.0,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.21,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.28,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.01
