,XLP,IJH,IJR,IVV,SSO,MVV,ProShares Ultra Russell2000,Us Dollars,UWM,n/a,SHY,SUM
07/09/2021,25.17,23.76,23.19,12.26,5.16,4.64,4.35,1.47,0.0,0.0,0.0,100.0
07/12/2021,25.61,23.7,22.89,12.43,5.19,4.53,4.16,1.48,0.0,0.0,0.0,99.99
07/13/2021,25.61,23.7,22.89,12.43,5.19,4.53,4.16,1.48,0.0,0.0,0.0,99.99
07/14/2021,25.3,23.77,23.05,12.34,5.2,4.63,4.25,1.45,0.0,0.0,0.0,99.99
07/15/2021,25.19,23.77,23.1,12.35,5.23,4.65,4.25,1.45,0.0,0.0,0.0,99.99
07/16/2021,25.49,23.69,22.94,12.46,5.26,4.56,4.14,1.47,0.0,0.0,0.0,100.01000000000002
07/19/2021,25.26,23.96,23.8,11.71,4.79,4.73,4.59,1.16,0.0,0.0,0.0,100.0
07/20/2021,25.55,23.9,23.69,11.74,4.76,4.66,4.52,1.17,0.0,0.0,0.0,99.99
07/21/2021,25.55,23.9,23.69,11.74,4.76,4.66,4.52,1.17,0.0,0.0,0.0,99.99
07/22/2021,25.55,23.9,23.69,11.74,4.76,4.66,4.52,1.17,0.0,0.0,0.0,99.99
07/23/2021,25.34,24.02,23.8,11.66,4.73,4.72,4.62,1.1,0.0,0.0,0.0,99.99
07/26/2021,25.2,24.04,23.71,11.76,4.82,4.74,4.63,1.1,0.0,0.0,0.0,100.0
07/27/2021,25.24,24.0,23.66,11.76,4.86,4.77,4.62,1.09,0.0,0.0,0.0,100.0
07/28/2021,25.24,24.0,23.66,11.76,4.86,4.77,4.62,1.09,0.0,0.0,0.0,100.0
07/29/2021,25.18,23.94,23.78,11.74,4.87,4.77,4.63,1.09,0.0,0.0,0.0,100.0
07/30/2021,25.39,23.93,23.69,11.76,4.85,4.74,4.56,1.08,0.0,0.0,0.0,100.0
08/02/2021,24.97,24.05,23.89,11.66,4.83,4.84,4.7,1.07,0.0,0.0,0.0,100.01
08/03/2021,24.97,24.05,23.89,11.66,4.83,4.84,4.7,1.07,0.0,0.0,0.0,100.01
08/04/2021,24.97,24.05,23.89,11.66,4.83,4.84,4.7,1.07,0.0,0.0,0.0,100.01
08/05/2021,24.97,24.05,23.89,11.66,4.83,4.84,4.7,1.07,0.0,0.0,0.0,100.01
08/06/2021,25.01,24.06,23.88,11.67,4.84,4.85,4.63,1.07,0.0,0.0,0.0,100.01
09/07/2021,24.56,23.97,24.3,11.71,4.8,4.78,0.0,0.0,4.87,1.01,0.0,100.0
09/08/2021,24.56,23.97,24.3,11.71,4.8,4.78,0.0,0.0,4.87,1.01,0.0,100.0
09/09/2021,24.56,23.97,24.3,11.71,4.8,4.78,0.0,0.0,4.87,1.01,0.0,100.0
09/10/2021,24.54,23.94,24.33,11.79,4.82,4.72,0.0,0.0,4.85,1.01,0.0,100.0
09/13/2021,24.81,23.92,24.18,11.8,4.82,4.69,0.0,0.0,4.76,1.02,0.0,100.0
09/14/2021,0.0,23.92,24.16,11.8,4.76,4.64,0.0,0.0,4.72,1.05,24.96,100.01
09/15/2021,0.0,23.92,24.16,11.8,4.76,4.64,0.0,0.0,4.72,1.05,24.96,100.01
09/16/2021,0.0,23.94,24.22,11.77,4.75,4.67,0.0,0.0,4.75,1.04,24.85,99.99
09/17/2021,0.0,23.91,24.13,11.81,4.75,4.61,0.0,0.0,4.67,1.05,25.07,100.0
09/20/2021,0.0,23.95,24.17,11.8,4.78,4.67,0.0,0.0,4.72,1.04,24.85,99.98000000000002
09/21/2021,0.0,23.89,24.24,11.75,4.71,4.62,0.0,0.0,4.75,1.05,25.01,100.02
09/22/2021,0.0,23.89,24.24,11.75,4.71,4.62,0.0,0.0,4.75,1.05,25.01,100.02
09/23/2021,0.0,23.89,24.24,11.75,4.71,4.62,0.0,0.0,4.75,1.05,25.01,100.02
09/24/2021,0.0,23.87,24.16,11.73,4.61,4.53,0.0,0.0,4.62,1.07,25.42,100.01
09/27/2021,0.0,23.9,24.27,11.71,4.65,4.6,0.0,0.0,4.71,1.05,25.11,100.0
09/28/2021,0.0,23.88,24.31,11.72,4.73,4.67,0.0,0.0,4.79,1.04,24.86,100.0
