,A,NDAQ,TGT,ICE,AJG,SHW,GRMN,GGG,GWW,TTC,IQV,ITW,STE,MORN,IEX,ACN,AME,BLK,MNST,NKE,CSX,GNTX,MSFT,TMUS,TROW,APH,ROK,SBUX,GOOGL,JBHT,ODFL,BX,TSCO,NSC,EL,HON,KEYS,JCI,CMI,XYL,TXN,EXR,CCK,ISRG,SCI,ARES,TYL,J,WSO,UHAL,US Dollar,Us Dollars,YUM,ADP,DPZ,LH,MSA,EGP,EQIX,CG,TT,WST,CSL,KKR,FRC,LOW,FWONA,SUM
07/09/2021,3.06,3.04,2.96,2.92,2.88,2.82,2.78,2.78,2.74,2.72,2.7,2.69,2.68,2.65,2.63,2.61,2.55,2.55,2.44,2.44,2.4,2.37,2.32,2.21,1.96,1.92,1.91,1.86,1.77,1.59,1.59,1.56,1.56,1.44,1.43,1.29,1.27,1.27,1.27,1.25,1.24,1.23,1.16,1.16,1.12,1.06,1.05,1.03,0.98,0.96,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,3.06,3.0,2.97,2.92,2.85,2.83,2.79,2.8,2.77,2.76,2.68,2.73,2.66,2.59,2.66,2.65,2.57,2.55,2.41,2.43,2.33,2.35,2.3,2.18,1.95,1.93,1.94,1.88,1.75,1.6,1.61,1.58,1.55,1.4,1.42,1.32,1.27,1.3,1.3,1.25,1.22,1.24,1.19,1.16,1.14,1.05,1.05,1.05,0.98,0.95,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/13/2021,3.06,3.0,2.97,2.92,2.85,2.83,2.79,2.8,2.77,2.76,2.68,2.73,2.66,2.59,2.66,2.65,2.57,2.55,2.41,2.43,2.33,2.35,2.3,2.18,1.95,1.93,1.94,1.88,1.75,1.6,1.61,1.58,1.55,1.4,1.42,1.32,1.27,1.3,1.3,1.25,1.22,1.24,1.19,1.16,1.14,1.05,1.05,1.05,0.98,0.95,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/14/2021,3.06,3.0,2.97,2.92,2.85,2.83,2.79,2.8,2.77,2.76,2.68,2.73,2.66,2.59,2.66,2.65,2.57,2.55,2.41,2.43,2.33,2.35,2.3,2.18,1.95,1.93,1.94,1.88,1.75,1.6,1.61,1.58,1.55,1.4,1.42,1.32,1.27,1.3,1.3,1.25,1.22,1.24,1.19,1.16,1.14,1.05,1.05,1.05,0.98,0.95,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/15/2021,3.04,3.06,3.0,2.91,2.84,2.83,2.8,2.79,2.76,2.75,2.64,2.72,2.65,2.58,2.65,2.63,2.58,2.58,2.42,2.43,2.32,2.32,2.29,2.19,2.0,1.93,1.95,1.88,1.76,1.59,1.59,1.61,1.54,1.38,1.42,1.32,1.28,1.3,1.3,1.25,1.23,1.24,1.19,1.16,1.15,1.05,1.05,1.05,0.98,0.94,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,3.04,3.06,3.01,2.92,2.82,2.84,2.8,2.79,2.76,2.7,2.66,2.73,2.63,2.57,2.65,2.65,2.56,2.57,2.45,2.44,2.32,2.32,2.33,2.21,1.96,1.92,1.94,1.91,1.77,1.62,1.59,1.58,1.55,1.39,1.43,1.32,1.29,1.29,1.29,1.24,1.23,1.23,1.19,1.16,1.14,1.04,1.05,1.03,0.97,0.94,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,3.04,3.05,3.02,2.9,2.84,2.86,2.8,2.76,2.77,2.73,2.63,2.75,2.6,2.53,2.67,2.67,2.58,2.49,2.5,2.44,2.33,2.31,2.33,2.22,1.95,1.9,1.96,1.9,1.77,1.62,1.6,1.62,1.57,1.4,1.46,1.37,1.28,1.3,1.28,1.24,1.21,1.23,1.18,1.16,1.15,1.02,1.05,1.03,0.97,0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/20/2021,3.05,3.06,3.01,2.91,2.84,2.9,2.81,2.77,2.76,2.73,2.65,2.75,2.63,2.56,2.7,2.65,2.6,2.48,2.49,2.42,2.32,2.25,2.33,2.24,1.94,1.88,1.97,1.9,1.79,1.6,1.58,1.63,1.57,1.38,1.45,1.36,1.27,1.29,1.28,1.23,1.2,1.23,1.17,1.16,1.15,1.01,1.04,1.03,0.96,0.94,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,3.05,3.06,3.01,2.91,2.84,2.9,2.81,2.77,2.76,2.73,2.65,2.75,2.63,2.56,2.7,2.65,2.6,2.48,2.49,2.42,2.32,2.25,2.33,2.24,1.94,1.88,1.97,1.9,1.79,1.6,1.58,1.63,1.57,1.38,1.45,1.36,1.27,1.29,1.28,1.23,1.2,1.23,1.17,1.16,1.15,1.01,1.04,1.03,0.96,0.94,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,2.82,2.88,1.51,0.0,3.1,2.98,2.89,2.78,0.0,2.88,1.66,0.0,0.0,1.22,2.72,2.79,2.74,2.53,0.0,0.0,0.0,0.0,1.12,1.93,2.09,2.64,1.85,2.61,0.97,1.16,1.37,2.67,0.0,2.37,1.08,2.63,1.77,2.25,0.0,2.0,0.0,2.55,1.06,0.0,1.4,1.48,0.0,1.12,0.0,0.0,0.12,0.0,2.94,2.68,2.67,2.45,2.14,1.92,1.61,1.53,1.47,1.32,1.28,1.2,1.03,1.0,0.99,99.96999999999998
07/23/2021,2.82,2.88,1.51,0.0,3.11,2.99,2.89,2.79,0.0,2.88,1.66,0.0,0.0,1.22,2.72,2.79,2.74,2.53,0.0,0.0,0.0,0.0,1.12,1.93,2.09,2.64,1.85,2.61,0.97,1.16,1.37,2.67,0.0,2.37,1.08,2.63,1.77,2.25,0.0,2.0,0.0,2.55,1.06,0.0,1.4,1.48,0.0,1.12,0.0,0.0,0.0,0.08,2.94,2.68,2.67,2.45,2.15,1.92,1.61,1.53,1.47,1.32,1.28,1.2,1.03,1.0,0.99,99.96999999999998
07/26/2021,2.79,2.92,1.5,0.0,3.13,2.88,2.87,2.72,0.0,2.8,1.63,0.0,0.0,1.19,2.69,2.75,2.74,2.52,0.0,0.0,0.0,0.0,1.12,1.88,2.11,2.67,1.84,2.7,0.97,1.16,1.36,2.86,0.0,2.39,1.08,2.69,1.76,2.25,0.0,2.02,0.0,2.48,1.02,0.0,1.39,1.52,0.0,1.12,0.0,0.0,0.0,0.07,3.03,2.62,2.92,2.43,2.1,1.9,1.53,1.57,1.49,1.29,1.28,1.23,1.03,0.99,0.99,99.98999999999998
07/27/2021,2.8,2.93,1.51,0.0,3.12,2.9,2.89,2.71,0.0,2.83,1.64,0.0,0.0,1.19,2.68,2.76,2.72,2.5,0.0,0.0,0.0,0.0,1.13,1.85,2.11,2.67,1.83,2.74,1.0,1.17,1.37,2.86,0.0,2.38,1.09,2.62,1.76,2.25,0.0,2.02,0.0,2.49,0.98,0.0,1.39,1.54,0.0,1.12,0.0,0.0,0.0,0.07,3.06,2.63,2.81,2.43,2.1,1.91,1.54,1.57,1.5,1.3,1.29,1.24,1.03,1.0,0.98,100.01
07/28/2021,2.8,2.93,1.51,0.0,3.12,2.9,2.89,2.71,0.0,2.83,1.64,0.0,0.0,1.19,2.68,2.76,2.72,2.5,0.0,0.0,0.0,0.0,1.13,1.85,2.11,2.67,1.83,2.74,1.0,1.17,1.37,2.86,0.0,2.38,1.09,2.62,1.76,2.25,0.0,2.02,0.0,2.49,0.98,0.0,1.39,1.54,0.0,1.12,0.0,0.0,0.0,0.07,3.06,2.63,2.81,2.43,2.1,1.91,1.54,1.57,1.5,1.3,1.29,1.24,1.03,1.0,0.98,100.01
07/29/2021,2.76,2.91,1.51,0.0,3.06,2.9,2.88,2.7,0.0,2.82,1.63,0.0,0.0,1.18,2.66,2.76,2.72,2.51,0.0,0.0,0.0,0.0,1.13,1.87,2.1,2.67,1.82,2.75,1.01,1.16,1.36,2.92,0.0,2.39,1.09,2.63,1.76,2.25,0.0,2.04,0.0,2.49,1.0,0.0,1.39,1.55,0.0,1.12,0.0,0.0,0.0,0.08,3.08,2.64,2.86,2.41,2.09,1.9,1.54,1.58,1.49,1.29,1.29,1.25,1.03,0.98,0.98,99.99
