,JEPI,EMLC,SMLF,VCLT,NFRA,DGRO,SCHP,SPHY,TLH,BCI,MXI,VSS,JQUA,DFAI,DFAE,BAR,VO,LDEM,GQRE,EMQQ,VNQ,VNQI,RYT,AMZN,F,GOOG,ORCL,BA,CRM,MSFT,NEM,SPGI,BLK,n/a,GBTC,ETHE,SUM
10/15/2021,7.95,6.89,5.95,5.94,5.78,5.25,5.12,5.09,4.9,4.39,3.88,3.86,3.45,2.47,2.46,2.0,1.99,1.99,1.95,1.92,1.92,1.92,1.91,1.34,1.2,1.15,1.06,1.03,1.02,0.97,0.94,0.89,0.7,0.53,0.11,0.08,100.0
10/18/2021,7.91,6.84,5.95,5.97,5.79,5.23,5.06,5.04,4.92,4.38,3.92,3.88,3.46,2.47,2.45,2.01,2.0,1.97,1.98,1.91,1.94,1.92,1.92,1.34,1.2,1.15,1.04,0.97,1.06,0.98,0.98,0.9,0.72,0.52,0.11,0.09,99.98
10/19/2021,7.93,6.83,5.92,5.94,5.79,5.25,5.04,5.02,4.88,4.38,3.92,3.9,3.47,2.48,2.46,1.97,2.0,1.99,1.97,1.93,1.94,1.93,1.93,1.38,1.22,1.15,1.04,0.97,1.06,0.99,0.97,0.9,0.73,0.52,0.12,0.09,100.01000000000002
10/20/2021,7.93,6.83,5.92,5.94,5.79,5.25,5.04,5.02,4.88,4.38,3.92,3.9,3.47,2.48,2.46,1.97,2.0,1.99,1.97,1.93,1.94,1.93,1.93,1.38,1.22,1.15,1.04,0.97,1.06,0.99,0.97,0.9,0.73,0.52,0.12,0.09,100.01000000000002
10/21/2021,7.93,6.8,5.95,5.94,5.77,5.24,5.03,5.02,4.89,4.33,3.91,3.9,3.48,2.47,2.47,1.97,2.01,1.99,1.97,1.95,1.94,1.93,1.94,1.4,1.21,1.16,1.06,0.97,1.06,1.0,0.96,0.91,0.73,0.52,0.11,0.08,100.0
10/22/2021,7.94,6.79,5.95,5.87,5.81,5.27,5.0,5.0,4.82,4.33,3.91,3.92,3.49,2.48,2.48,1.97,2.02,2.01,1.96,1.99,1.94,1.93,1.95,1.39,1.2,1.16,1.06,0.96,1.06,1.0,0.97,0.91,0.73,0.52,0.12,0.09,100.0
10/25/2021,7.96,6.72,6.01,5.82,5.86,5.31,5.01,4.99,4.78,4.31,3.87,3.9,3.51,2.47,2.45,1.98,2.03,2.0,1.98,1.99,1.97,1.93,1.96,1.38,1.28,1.15,1.05,0.95,1.05,1.0,0.97,0.9,0.73,0.52,0.12,0.09,100.0
10/26/2021,7.98,6.71,6.01,5.85,5.88,5.31,5.01,4.97,4.81,4.32,3.87,3.89,3.51,2.48,2.45,1.99,2.03,1.98,1.98,1.96,1.97,1.94,1.96,1.34,1.26,1.11,1.07,0.94,1.06,0.99,0.97,0.91,0.74,0.52,0.12,0.09,99.98
10/27/2021,7.98,6.71,6.01,5.85,5.88,5.31,5.01,4.97,4.81,4.32,3.87,3.89,3.51,2.48,2.45,1.99,2.03,1.98,1.98,1.96,1.97,1.94,1.96,1.34,1.26,1.11,1.07,0.94,1.06,0.99,0.97,0.91,0.74,0.52,0.12,0.09,99.98
10/28/2021,7.97,6.71,6.03,5.84,5.84,5.31,5.02,4.97,4.8,4.38,3.9,3.9,3.51,2.47,2.45,2.0,2.03,1.99,1.98,1.96,1.98,1.93,1.96,1.33,1.23,1.11,1.06,0.94,1.06,0.99,0.98,0.9,0.74,0.52,0.12,0.1,100.01
10/29/2021,7.97,6.71,6.03,5.84,5.84,5.31,5.02,4.97,4.8,4.38,3.9,3.9,3.51,2.47,2.45,2.0,2.03,1.99,1.98,1.96,1.98,1.93,1.96,1.33,1.23,1.11,1.06,0.94,1.06,0.99,0.98,0.9,0.74,0.52,0.12,0.1,100.01
11/01/2021,7.95,6.67,5.96,5.92,5.85,5.3,5.0,0.0,4.85,4.32,3.88,6.35,3.5,2.48,2.42,1.99,2.02,1.96,2.0,1.89,1.99,1.93,4.51,1.38,1.3,1.17,1.04,0.92,1.08,1.04,0.92,0.94,0.75,0.52,0.12,0.1,100.02
11/02/2021,7.97,6.66,6.01,5.94,5.82,5.32,5.01,0.0,4.87,4.29,3.86,6.32,3.53,2.47,2.4,1.98,2.03,1.94,1.99,1.85,1.97,1.92,4.53,1.36,1.32,1.19,1.04,0.92,1.08,1.07,0.91,0.95,0.76,0.49,0.12,0.1,99.99
11/03/2021,7.97,6.66,6.01,5.94,5.82,5.32,5.01,0.0,4.87,4.29,3.86,6.32,3.53,2.47,2.4,1.98,2.03,1.94,1.99,1.85,1.97,1.92,4.53,1.36,1.32,1.19,1.04,0.92,1.08,1.07,0.91,0.95,0.76,0.49,0.12,0.1,99.99
11/04/2021,7.97,6.66,6.01,5.94,5.82,5.32,5.01,0.0,4.87,4.29,3.86,6.32,3.53,2.47,2.4,1.98,2.03,1.94,1.99,1.85,1.97,1.92,4.53,1.36,1.32,1.19,1.04,0.92,1.08,1.07,0.91,0.95,0.76,0.49,0.12,0.1,99.99
11/05/2021,7.83,6.53,6.07,5.87,5.79,5.29,4.93,0.0,4.81,4.26,3.81,6.25,3.51,2.46,2.37,1.96,2.02,1.91,1.98,1.84,1.97,1.88,4.55,1.32,1.37,1.16,1.03,0.93,1.08,1.06,0.91,0.92,0.75,1.36,0.12,0.11,100.01
11/08/2021,7.82,6.54,6.18,5.83,5.78,5.3,4.91,0.0,4.76,4.22,3.84,6.28,3.52,2.47,2.38,1.94,2.03,1.96,1.99,1.86,1.97,1.9,4.56,1.34,1.42,1.16,1.03,0.93,1.08,1.06,0.92,0.9,0.75,1.17,0.12,0.11,100.03
11/09/2021,7.74,6.53,6.21,5.89,5.74,5.28,4.93,0.0,4.82,4.17,3.8,6.26,3.53,2.45,2.35,1.97,2.02,1.89,1.98,1.8,1.94,1.89,4.6,1.38,1.46,1.17,1.01,0.97,1.09,1.06,0.93,0.9,0.75,1.27,0.11,0.1,99.99
11/10/2021,7.74,6.53,6.21,5.89,5.74,5.28,4.93,0.0,4.82,4.17,3.8,6.26,3.53,2.45,2.35,1.97,2.02,1.89,1.98,1.8,1.94,1.89,4.6,1.38,1.46,1.17,1.01,0.97,1.09,1.06,0.93,0.9,0.75,1.27,0.11,0.1,99.99
11/11/2021,7.7,6.52,6.2,5.86,5.72,5.26,4.93,0.0,4.8,4.16,3.83,6.26,3.52,2.45,2.37,1.97,2.03,1.92,1.97,1.81,1.94,1.89,4.62,1.37,1.52,1.17,1.01,0.96,1.09,1.06,0.92,0.9,0.76,1.27,0.12,0.11,99.99
11/12/2021,7.7,6.52,6.2,5.86,5.72,5.26,4.93,0.0,4.8,4.16,3.83,6.26,3.52,2.45,2.37,1.97,2.03,1.92,1.97,1.81,1.94,1.89,4.62,1.37,1.52,1.17,1.01,0.96,1.09,1.06,0.92,0.9,0.76,1.27,0.12,0.11,99.99
