,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,CSCO,INTC,PFE,ABT,KO,PEP,T,CVX,NKE,MRK,ABBV,TMO,AVGO,ACN,LLY,WMT,COST,WFC,DHR,TXN,MCD,MDT,UPS,QCOM,PM,HON,ORCL,LIN,BMY,UNP,NEE,INTU,C,LOW,AMGN,MS,SBUX,RTX,BA,IBM,AMAT,GS,BLK,AMT,TGT,CAT,ISRG,AMD,NOW,MMM,GE,AXP,DE,CVS,SCHW,CHTR,BKNG,SPGI,FIS,ANTM,LMT,ZTS,SYK,TMUS,COP,MO,MDLZ,CCI,LRCX,PLD,MU,ADP,GILD,PNC,CI,TJX,USB,DUK,CME,CSX,TFC,BDX,ATVI,FDX,CASH,MMC,EL,GM,ILMN,CB,EQIX,CL,EW,ICE,ADSK,NSC,COF,ITW,ADI,D,FISV,BSX,SO,APD,SHW,MCO,HUM,PGR,HCA,VRTX,NXPI,F,REGN,ETN,GPN,DG,ECL,BIIB,EMR,TWTR,NOC,AON,IDXX,WM,NEM,FCX,EOG,JCI,PSA,A,CMG,TT,CNC,MSCI,EXC,SLB,KLAC,KMB,ROP,IQV,LHX,DOW,TROW,PPG,CARR,EBAY,SNPS,MCHP,DD,ROST,PH,APTV,INFO,TEL,SPG,ALGN,DXCM,HPQ,ORLY,BAX,APH,TRV,EA,SBAC,PRU,SYY,SRE,GD,AEP,ALL,DLR,AIG,ALXN,MPC,MET,CDNS,AFL,CMI,DFS,TDG,BK,SIVB,ROK,OTIS,XEL,GIS,IFF,AVB,MRNA,ZBH,Cash,HLT,MAR,YUM,RMD,CTSH,GENERAL ELECTRIC CO,GEN.,FTNT,n/a,NUE,GE.,WELL,MTCH,WST,PXD,XLNX,SUM
07/09/2021,6.32,5.93,4.47,2.38,2.15,2.1,1.48,1.46,1.43,1.31,1.24,1.14,1.09,0.96,0.96,0.94,0.92,0.9,0.86,0.81,0.76,0.73,0.69,0.67,0.66,0.64,0.63,0.62,0.61,0.6,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.54,0.53,0.51,0.49,0.49,0.49,0.48,0.48,0.44,0.44,0.44,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.52
07/12/2021,6.38,5.94,4.55,2.34,2.13,2.1,1.47,1.41,1.42,1.29,1.25,1.13,1.09,0.97,0.96,0.95,0.91,0.9,0.83,0.82,0.76,0.72,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.6,0.59,0.58,0.56,0.58,0.57,0.58,0.56,0.55,0.55,0.54,0.53,0.52,0.48,0.49,0.48,0.48,0.49,0.44,0.44,0.44,0.43,0.44,0.42,0.41,0.4,0.41,0.4,0.38,0.39,0.39,0.36,0.37,0.36,0.37,0.36,0.34,0.35,0.34,0.35,0.34,0.33,0.34,0.3,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.25,0.26,0.25,0.25,0.23,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.18,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.35000000000001
07/13/2021,6.38,5.94,4.55,2.34,2.13,2.1,1.47,1.41,1.42,1.29,1.25,1.13,1.09,0.97,0.96,0.95,0.91,0.9,0.83,0.82,0.76,0.72,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.6,0.59,0.58,0.56,0.58,0.57,0.58,0.56,0.55,0.55,0.54,0.53,0.52,0.48,0.49,0.48,0.48,0.49,0.44,0.44,0.44,0.43,0.44,0.42,0.41,0.4,0.41,0.4,0.38,0.39,0.39,0.36,0.37,0.36,0.37,0.36,0.34,0.35,0.34,0.35,0.34,0.33,0.34,0.3,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.25,0.26,0.25,0.25,0.23,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.18,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.35000000000001
07/14/2021,6.45,5.93,4.52,2.36,2.13,2.1,1.5,1.41,1.43,1.33,1.25,1.14,1.09,0.98,0.97,0.95,0.92,0.92,0.85,0.82,0.76,0.73,0.68,0.66,0.65,0.65,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.58,0.56,0.58,0.56,0.56,0.55,0.54,0.53,0.52,0.5,0.49,0.49,0.49,0.49,0.44,0.45,0.45,0.44,0.44,0.43,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.37,0.38,0.36,0.37,0.36,0.34,0.36,0.35,0.35,0.34,0.34,0.33,0.3,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.18,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.12,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95
07/15/2021,6.42,5.92,4.52,2.38,2.16,2.12,1.49,1.45,1.49,1.35,1.25,1.13,1.1,0.99,0.97,0.95,0.92,0.95,0.87,0.82,0.76,0.73,0.68,0.66,0.64,0.64,0.64,0.62,0.6,0.6,0.59,0.58,0.57,0.58,0.56,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.5,0.49,0.49,0.49,0.49,0.44,0.45,0.44,0.44,0.44,0.43,0.42,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.36,0.37,0.36,0.35,0.37,0.36,0.35,0.35,0.34,0.34,0.3,0.31,0.32,0.31,0.31,0.31,0.29,0.29,0.28,0.29,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.11,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2
07/16/2021,6.47,6.0,4.47,2.37,2.16,2.12,1.49,1.43,1.45,1.33,1.25,1.16,1.11,0.99,0.95,0.95,0.94,0.95,0.85,0.82,0.76,0.72,0.68,0.66,0.65,0.64,0.64,0.62,0.6,0.61,0.6,0.58,0.57,0.58,0.56,0.58,0.56,0.56,0.55,0.54,0.54,0.51,0.49,0.49,0.49,0.49,0.48,0.44,0.45,0.44,0.44,0.44,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.36,0.35,0.36,0.35,0.36,0.36,0.35,0.35,0.34,0.34,0.3,0.31,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.29,0.27,0.26,0.27,0.25,0.26,0.25,0.25,0.23,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.18,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.2,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.12,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.17
07/19/2021,6.59,6.0,4.41,2.32,2.15,2.13,1.49,1.34,1.41,1.33,1.24,1.18,1.11,0.97,0.97,0.96,0.96,0.95,0.83,0.82,0.76,0.7,0.68,0.67,0.63,0.65,0.63,0.63,0.59,0.63,0.61,0.58,0.55,0.58,0.56,0.58,0.56,0.55,0.56,0.53,0.54,0.52,0.51,0.5,0.48,0.49,0.48,0.44,0.45,0.44,0.45,0.44,0.42,0.42,0.4,0.41,0.4,0.39,0.39,0.39,0.38,0.38,0.35,0.34,0.36,0.34,0.36,0.34,0.35,0.35,0.33,0.34,0.29,0.31,0.32,0.31,0.31,0.3,0.29,0.29,0.27,0.29,0.27,0.27,0.26,0.25,0.26,0.24,0.25,0.22,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.19,0.19,0.2,0.18,0.2,0.21,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.18,0.18,0.17,0.19,0.18,0.18,0.17,0.18,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.15,0.15,0.14,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.12,0.11,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.88
07/20/2021,6.59,6.0,4.41,2.32,2.15,2.13,1.49,1.34,1.41,1.33,1.24,1.18,1.11,0.97,0.97,0.96,0.96,0.95,0.83,0.82,0.76,0.7,0.68,0.67,0.63,0.65,0.63,0.63,0.59,0.63,0.61,0.58,0.55,0.58,0.56,0.58,0.56,0.55,0.56,0.53,0.54,0.52,0.51,0.5,0.48,0.49,0.48,0.44,0.45,0.44,0.45,0.44,0.42,0.42,0.4,0.41,0.4,0.39,0.39,0.39,0.38,0.38,0.35,0.34,0.36,0.34,0.36,0.34,0.35,0.35,0.33,0.34,0.29,0.31,0.32,0.31,0.31,0.3,0.29,0.29,0.27,0.29,0.27,0.27,0.26,0.25,0.26,0.24,0.25,0.22,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.19,0.19,0.2,0.18,0.2,0.21,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.18,0.18,0.17,0.19,0.18,0.18,0.17,0.18,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.15,0.15,0.14,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.12,0.11,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.88
07/21/2021,6.34,5.84,4.22,2.25,2.1,2.06,1.44,1.24,1.36,1.26,1.21,1.15,1.08,0.94,0.93,0.94,0.92,0.89,0.78,0.79,0.72,0.66,0.64,0.63,0.6,0.61,0.6,0.61,0.56,0.59,0.58,0.55,0.51,0.55,0.53,0.56,0.57,0.51,0.53,0.5,0.55,0.49,0.51,0.51,0.48,0.5,0.45,0.41,0.42,0.41,0.43,0.45,0.4,0.42,0.4,0.43,0.37,0.39,0.37,0.4,0.38,0.39,0.35,0.34,0.33,0.33,0.33,0.35,0.36,0.35,0.3,0.3,0.29,0.29,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.23,0.28,0.24,0.27,0.25,0.26,0.22,0.23,0.19,0.24,0.25,0.25,0.23,0.26,0.23,0.24,0.24,0.2,0.23,0.22,0.2,0.21,0.19,0.18,0.21,0.2,0.2,0.2,0.22,0.2,0.21,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.17,0.17,0.18,0.18,0.18,0.19,0.18,0.19,0.18,0.15,0.16,0.16,0.13,0.16,0.15,0.16,0.17,0.17,0.15,0.15,0.14,0.16,0.14,0.15,0.15,0.16,0.15,0.14,0.13,0.12,0.14,0.13,0.13,0.11,0.13,0.13,0.13,0.13,0.12,0.12,0.14,0.13,0.13,0.11,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.13,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.33
07/22/2021,6.24,5.82,4.25,2.24,2.08,2.05,1.43,1.29,1.38,1.23,1.22,1.12,1.07,0.96,0.93,0.95,0.88,0.87,0.77,0.79,0.71,0.64,0.65,0.63,0.6,0.61,0.6,0.61,0.58,0.59,0.59,0.54,0.51,0.55,0.53,0.56,0.58,0.52,0.54,0.51,0.55,0.5,0.5,0.51,0.49,0.49,0.45,0.41,0.42,0.41,0.42,0.45,0.4,0.42,0.4,0.43,0.37,0.38,0.37,0.4,0.38,0.38,0.35,0.33,0.33,0.34,0.33,0.34,0.36,0.35,0.3,0.3,0.3,0.29,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.23,0.28,0.23,0.26,0.25,0.26,0.21,0.22,0.19,0.24,0.25,0.25,0.24,0.26,0.23,0.24,0.24,0.2,0.23,0.22,0.19,0.21,0.19,0.18,0.2,0.2,0.2,0.2,0.18,0.2,0.21,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.17,0.17,0.18,0.18,0.17,0.19,0.18,0.19,0.18,0.15,0.16,0.16,0.13,0.16,0.15,0.16,0.17,0.16,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.16,0.15,0.14,0.13,0.12,0.14,0.13,0.13,0.11,0.13,0.13,0.13,0.13,0.11,0.12,0.14,0.13,0.13,0.11,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.94
