,VALE3.SA,PETR4.SA,ITUB4.SA,AMXL.MX,BBDC4.SA,PETR3.SA,B3SA3.SA,GFNORTEO.MX,WALMEX.MX,FEMSAUBD.MX,GMEXICOB.MX,ABEV3.SA,CEMEXCPO.MX,MGLU3.SA,NTCO3.SA,WEGE3.SA,ITSA4.SA,GNDI3.SA,SUZB3.SA,RENT3.SA,TLEVISACPO.MX,CSAN3.SA,LREN3.SA,GGBR4.SA,BPAC11.SA,BBDC3.SA,CSNA3.SA,JBSS3.SA,BBAS3.SA,ELEKTRA.MX,RADL3.SA,ELET3.SA,BIMBOA.MX,RAIL3.SA,COPEC.SN,VVAR3.SA,EQTL3.SA,KLBN11.SA,BRFS3.SA,BRDT3.SA,CHILE.SN,BIDI4.SA,GAPB.MX,ASURB.MX,SQM/B.SN,LAME4.SA,TOTS3.SA,VIVT3.SA,HAPV3.SA,ECOPETROL.BC,BRAP4.SA,PFBCOLO.BC,FALABELLA.SN,FUNO11.MX,ENEV3.SA,BBSE3.SA,UGPA3.SA,ENELAM.SN,RDOR3.SA,BSANTANDER.SN,—,CCRO3.SA,SANB11.SA,KOFUBL.MX,CMPC.SN,ISA.BC,ORBIA.MX,ASAI3.SA,SULA11.SA,HYPE3.SA,AC.MX,CENCOSUD.SN,BTOW3.SA,ELET6.SA,ITUB3.SA,CMIG4.SA,SBSP3.SA,ENGI11.SA,GRUMAB.MX,OMAB.MX,AZUL4.SA,GFINBURO.MX,BRKM5.SA,LWSA3.SA,BCOLOMBIA.BC,YDUQ3.SA,BCI.SN,GOAU4.SA,LCAM3.SA,PINFRA.MX,PE&OLES.MX,TIMS3.SA,USIM5.SA,ALPA4.SA,BIDI3.SA,TAEE11.SA,BRML3.SA,CCU.SN,ALFAA.MX,KIMBERA.MX,COGN3.SA,GCARSOA1.MX,VAPORES.SN,CUERVO.MX,ENELCHILE.SN,MRFG3.SA,GCC.MX,CAP.SN,CYRE3.SA,EGIE3.SA,GRUPOSURA.BC,MULT3.SA,PFAVAL.BC,SITESB-1.MX,SMTO3.SA,DTEX3.SA,IRBR3.SA,CPLE6.SA,FLRY3.SA,LAME3.SA,PCAR3.SA,CPFE3.SA,MEGACPO.MX,CRFB3.SA,CORFICOLCF.BC,COLBUN.SN,SAPR11.SA,PARAUCO.SN,QUAL3.SA,ENBR3.SA,LIVEPOLC-1.MX,Q.MX,ANDINA-B.SN,TRPL4.SA,PSSA3.SA,GRUPOARGOS.BC,CESP6.SA,CIEL3.SA,NEOE3.SA,BSMXB.MX,GRND3.SA,CEMARGOS.BC,CMIG3.SA,ENTEL.SN,MDIA3.SA,CENCOSHOPP.SN,BACHOCOB.MX,ODPV3.SA,CPLE3.SA,USIM3.SA,ALSO3.SA,GMAT3.SA,EZTC3.SA,LALAB.MX,ITAUCORP.SN,AGUAS-A.SN,AESGENER.SN,MALLPLAZA.SN,ALPEKA.MX,GUAR3.SA,ECL.SN,PFGRUPSU.BC,DANHOS13.MX,UGPA1.SA,XBQ1,AMER3.SA,SUM
07/09/2021,12.54,4.25,3.86,3.23,3.2,2.9,2.68,2.65,2.34,2.19,2.11,2.11,1.72,1.69,1.58,1.4,1.37,1.2,1.18,1.03,1.03,0.97,0.94,0.88,0.81,0.8,0.8,0.74,0.74,0.73,0.73,0.73,0.69,0.66,0.64,0.64,0.61,0.58,0.58,0.58,0.57,0.56,0.54,0.53,0.53,0.52,0.51,0.51,0.51,0.49,0.47,0.46,0.46,0.45,0.45,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.0,-0.01,0.0,100.02
07/12/2021,12.44,4.19,3.85,3.2,3.15,2.84,2.7,2.59,2.36,2.19,2.09,2.06,1.72,1.74,1.59,1.4,1.37,1.2,1.21,1.07,0.96,0.98,0.96,0.86,0.78,0.79,0.79,0.74,0.74,0.74,0.76,0.73,0.71,0.68,0.63,0.63,0.6,0.59,0.57,0.92,0.57,0.55,0.57,0.54,0.53,0.52,0.51,0.5,0.51,0.49,0.47,0.48,0.48,0.46,0.46,0.42,0.42,0.41,0.41,0.41,0.35,0.4,0.4,0.39,0.37,0.38,0.39,0.37,0.36,0.37,0.37,0.35,0.35,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.0,0.0,0.0,99.96999999999998
07/13/2021,12.44,4.19,3.85,3.2,3.15,2.84,2.7,2.59,2.36,2.19,2.09,2.06,1.72,1.74,1.59,1.4,1.37,1.2,1.21,1.07,0.96,0.98,0.96,0.86,0.78,0.79,0.79,0.74,0.74,0.74,0.76,0.73,0.71,0.68,0.63,0.63,0.6,0.59,0.57,0.92,0.57,0.55,0.57,0.54,0.53,0.52,0.51,0.5,0.51,0.49,0.47,0.48,0.48,0.46,0.46,0.42,0.42,0.41,0.41,0.41,0.35,0.4,0.4,0.39,0.37,0.38,0.39,0.37,0.36,0.37,0.37,0.35,0.35,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.0,0.0,0.0,99.96999999999998
07/14/2021,12.41,4.17,3.83,3.22,3.14,2.84,2.69,2.64,2.34,2.17,2.08,2.06,1.77,1.73,1.58,1.4,1.37,1.2,1.2,1.07,0.99,0.98,0.96,0.86,0.78,0.79,0.79,0.74,0.74,0.74,0.75,0.73,0.72,0.68,0.63,0.63,0.6,0.59,0.57,0.91,0.59,0.55,0.57,0.54,0.56,0.52,0.51,0.5,0.51,0.49,0.47,0.48,0.48,0.46,0.46,0.42,0.42,0.41,0.41,0.42,0.35,0.4,0.4,0.39,0.38,0.38,0.39,0.37,0.36,0.37,0.37,0.36,0.35,0.33,0.33,0.32,0.33,0.31,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.27,0.28,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.2,0.22,0.21,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.16,0.14,0.16,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.0,0.0,0.0,100.01000000000002
07/15/2021,12.44,4.17,3.85,3.2,3.19,2.84,2.76,2.6,2.29,2.15,2.04,2.07,1.72,1.73,1.59,1.42,1.38,1.2,1.18,1.07,0.98,1.02,0.96,0.89,0.78,0.8,0.83,0.74,0.75,0.73,0.75,0.74,0.7,0.68,0.61,0.62,0.6,0.58,0.57,0.92,0.57,0.56,0.56,0.52,0.58,0.53,0.51,0.5,0.52,0.48,0.47,0.48,0.47,0.45,0.46,0.43,0.43,0.4,0.4,0.4,0.35,0.41,0.41,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.35,0.36,0.33,0.33,0.33,0.34,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.27,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.23,0.24,0.23,0.24,0.19,0.22,0.2,0.21,0.2,0.18,0.21,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.16,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.0,0.0,0.0,100.01
07/16/2021,12.57,4.21,3.89,3.18,3.2,2.86,2.81,2.54,2.28,2.12,2.0,2.1,1.64,1.77,1.59,1.41,1.38,1.21,1.17,1.07,0.94,1.04,0.97,0.89,0.79,0.8,0.84,0.75,0.75,0.72,0.77,0.73,0.69,0.69,0.6,0.63,0.6,0.58,0.57,0.92,0.56,0.55,0.54,0.51,0.57,0.54,0.51,0.5,0.52,0.47,0.49,0.47,0.46,0.45,0.47,0.42,0.43,0.4,0.4,0.4,0.35,0.41,0.41,0.38,0.38,0.38,0.37,0.37,0.38,0.39,0.36,0.34,0.37,0.33,0.33,0.32,0.33,0.31,0.31,0.29,0.31,0.29,0.3,0.3,0.28,0.27,0.26,0.27,0.26,0.24,0.24,0.25,0.25,0.23,0.24,0.23,0.24,0.19,0.21,0.2,0.22,0.19,0.18,0.2,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.16,0.14,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.09,0.1,0.11,0.08,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.0,0.0,0.0,99.91
07/19/2021,12.62,4.12,3.86,3.35,3.2,2.78,2.82,2.55,2.36,2.15,2.08,2.08,1.64,1.89,1.56,1.4,1.38,1.22,1.13,1.12,0.93,1.06,0.97,0.88,0.82,0.81,0.82,0.74,0.75,0.71,0.78,0.75,0.7,0.7,0.56,0.63,0.6,0.57,0.56,0.92,0.54,0.59,0.54,0.5,0.56,0.52,0.52,0.49,0.53,0.44,0.48,0.47,0.45,0.45,0.47,0.42,0.43,0.39,0.4,0.38,0.28,0.42,0.41,0.39,0.36,0.37,0.37,0.37,0.37,0.38,0.37,0.34,0.35,0.34,0.33,0.32,0.34,0.31,0.32,0.24,0.31,0.29,0.31,0.3,0.28,0.27,0.26,0.27,0.27,0.24,0.24,0.26,0.24,0.23,0.26,0.23,0.25,0.18,0.21,0.19,0.21,0.2,0.17,0.2,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.0,0.0,0.0,99.99
07/22/2021,12.46,4.06,3.84,3.43,3.13,2.74,2.77,2.56,2.39,2.18,2.06,2.04,1.63,1.87,1.59,1.4,1.38,1.22,1.12,1.11,0.94,1.05,0.96,0.88,0.81,0.8,0.8,0.74,0.74,0.74,0.79,0.75,0.72,0.72,0.6,0.61,0.6,0.57,0.57,0.91,0.57,0.61,0.55,0.51,0.55,0.2,0.51,0.5,0.54,0.43,0.47,0.47,0.47,0.46,0.46,0.42,0.42,0.4,0.39,0.4,0.28,0.43,0.41,0.4,0.38,0.37,0.38,0.38,0.37,0.38,0.38,0.37,0.0,0.34,0.32,0.33,0.34,0.31,0.33,0.23,0.29,0.29,0.3,0.31,0.28,0.28,0.29,0.27,0.27,0.24,0.24,0.26,0.24,0.24,0.26,0.24,0.24,0.19,0.21,0.19,0.21,0.2,0.17,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.06,0.16,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.0,-0.01,0.71,99.98000000000002
07/23/2021,12.46,4.06,3.84,3.43,3.13,2.74,2.77,2.56,2.39,2.18,2.06,2.04,1.63,1.87,1.59,1.4,1.38,1.22,1.12,1.11,0.94,1.05,0.96,0.88,0.81,0.8,0.8,0.74,0.74,0.74,0.79,0.75,0.72,0.72,0.6,0.61,0.6,0.57,0.57,0.91,0.57,0.61,0.55,0.51,0.55,0.2,0.51,0.5,0.54,0.43,0.47,0.47,0.47,0.46,0.46,0.42,0.42,0.4,0.39,0.4,0.28,0.43,0.41,0.4,0.38,0.37,0.38,0.38,0.37,0.38,0.38,0.37,0.0,0.34,0.32,0.33,0.34,0.31,0.33,0.23,0.29,0.29,0.3,0.31,0.28,0.28,0.29,0.27,0.27,0.24,0.24,0.26,0.24,0.24,0.26,0.24,0.24,0.19,0.21,0.19,0.21,0.2,0.17,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.06,0.16,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.0,-0.01,0.71,99.98000000000002
07/26/2021,12.57,4.11,3.81,3.38,3.11,2.8,2.75,2.59,2.36,2.12,2.09,2.02,1.69,1.86,1.6,1.41,1.37,1.16,1.13,1.11,0.99,1.08,0.94,0.9,0.81,0.79,0.82,0.78,0.74,0.72,0.79,0.74,0.7,0.73,0.6,0.61,0.62,0.56,0.57,0.92,0.58,0.6,0.55,0.51,0.58,0.2,0.52,0.49,0.51,0.44,0.48,0.47,0.45,0.45,0.45,0.41,0.41,0.4,0.41,0.42,0.28,0.42,0.4,0.39,0.37,0.37,0.38,0.37,0.36,0.38,0.37,0.36,0.0,0.33,0.32,0.33,0.34,0.32,0.31,0.23,0.3,0.29,0.31,0.32,0.28,0.27,0.28,0.27,0.27,0.23,0.24,0.26,0.25,0.23,0.25,0.24,0.25,0.19,0.22,0.19,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.18,0.17,0.18,0.17,0.19,0.16,0.15,0.16,0.16,0.18,0.17,0.15,0.06,0.15,0.14,0.15,0.14,0.14,0.15,0.13,0.13,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.11,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.0,0.0,0.65,99.95
07/29/2021,12.78,4.19,3.87,3.44,3.11,2.82,2.73,2.63,2.4,2.14,2.15,2.03,1.71,1.76,1.58,1.4,1.38,1.15,1.12,1.11,1.01,1.05,0.92,0.94,0.83,0.79,0.84,0.8,0.75,0.72,0.77,0.72,0.71,0.73,0.55,0.59,0.61,0.56,0.56,0.92,0.54,0.58,0.56,0.51,0.54,0.19,0.51,0.49,0.5,0.44,0.49,0.46,0.42,0.45,0.44,0.41,0.4,0.38,0.39,0.41,0.28,0.41,0.41,0.4,0.35,0.36,0.38,0.38,0.36,0.39,0.38,0.35,0.0,0.32,0.33,0.33,0.33,0.31,0.32,0.23,0.3,0.29,0.3,0.32,0.28,0.26,0.26,0.28,0.27,0.23,0.25,0.25,0.26,0.23,0.25,0.23,0.24,0.19,0.22,0.2,0.19,0.2,0.19,0.2,0.18,0.21,0.19,0.18,0.17,0.18,0.17,0.18,0.16,0.15,0.16,0.17,0.18,0.17,0.15,0.06,0.15,0.14,0.15,0.14,0.13,0.14,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.08,0.09,0.09,0.1,0.09,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.0,0.0,0.6,100.0
07/30/2021,12.61,4.18,3.94,3.52,3.16,2.83,2.7,2.67,2.4,2.15,2.2,2.02,1.68,1.73,1.56,1.4,1.4,1.16,1.12,1.1,1.01,1.05,0.91,0.91,0.82,0.8,0.84,0.81,0.76,0.73,0.77,0.73,0.73,0.71,0.56,0.57,0.62,0.56,0.56,0.92,0.55,0.56,0.57,0.5,0.54,0.19,0.5,0.49,0.5,0.44,0.48,0.46,0.43,0.45,0.44,0.4,0.4,0.39,0.39,0.41,0.28,0.41,0.42,0.41,0.35,0.35,0.39,0.38,0.35,0.39,0.38,0.35,0.0,0.33,0.33,0.33,0.33,0.31,0.32,0.23,0.29,0.3,0.29,0.31,0.28,0.26,0.26,0.28,0.27,0.24,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.2,0.21,0.2,0.19,0.21,0.18,0.2,0.19,0.2,0.19,0.18,0.17,0.18,0.16,0.18,0.15,0.15,0.16,0.17,0.18,0.17,0.15,0.06,0.15,0.14,0.16,0.14,0.13,0.15,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.09,0.1,0.11,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.04,0.05,0.05,0.04,0.0,-0.01,0.59,100.02
