,2330.TW,700.HK,005930.KS,9988.HK,3690.HK,INFY.NS,VALE3.SA,005935.KQ,2603.TW,USD,939.HK,000660.KS,2454.TW,JD,2318.HK,TCS.NS,RELIANCE.NS,NTES,2317.TW,YUMC,EWM,2331.HK,SBER.ME,BIDU,HCLTECH.NS,HDFC.NS,NPN.JO,035720.KS,2303.TW,LKOH.ME,1120.SR,051900.KS,066570.KS,M4B.,035420.KS,1180.SR,PDD,AMXL.MX,1398.HK,2308.TW,600519.SS,017670.KS,000270.KS,2020.HK,1216.TW,2379.TW,TECHM.NS,WALMEX.MX,GAZP.ME,QNBK.QA,3034.TW,YNDX,DRREDDY.NS,GMKN.ME,WIPRO.NS,2269.HK,DNP.WA,2222.SR,051905.KQ,005490.KS,IMP.JO,HKD,3988.HK,090430.KS,2912.TW,1810.HK,2357.TW,ICICIBANK.NS,036570.KS,BBDC4.SA,ITUB4.SA,2319.HK,HTO.AT,601888.SS,2002.TW,NIO,2881.TW,867.HK,FEMSAUBD.MX,PETR4.SA,1093.HK,3711.TW,006400.KS,051910.KS,7010.SR,MCG.JO,ASIANPAINT.NS,CHMF.ME,RADL3.SA,HINDUNILVR.NS,PETR3.SA,2310.SR,LTI.NS,NESTLEIND.NS,COLPAL.NS,WEGE3.SA,960.HK,VIPS,DIVISLAB.NS,139480.KS,MARICO.NS,TATAMOTORS.NS,005380.KS,JBSS3.SA,2882.TW,DELTA-R.BK,BBSE3.SA,2345.TW,9910.TW,CCU.SN,5871.TW,CEMEXCPO.MX,2350.SR,CSNA3.SA,2377.TW,BIMBOA.MX,992.HK,MARK.QA,2885.TW,BRITANNIA.NS,SHP.JO,6488,2688.HK,2010.SR,105560.KS,600276.SS,000858.SZ,002790.KS,ABEV3.SA,032640.KS,2301.TW,GMEXICOB.MX,KFH.,TCS.L,6415.TW,008770.KS,603486.SS,2395.TW,MGLU3.SA,PIDILITIND.NS,2353.TW,2883.TW,PHOR.L,MOEX.ME,BRAP4.SA,1177.HK,FIVE.L,086790.KS,NLMK.ME,322.HK,271560.KS,PAGEIND.NS,ETISALAT.,GFNORTEO.MX,601857.SS,SSW.JO,2891.TW,TATASTEEL.NS,BIMAS.IS,PLZL.ME,8464.TW,857.HK,NBK.,009150.KS,CIPLA.NS,COMI.CA,291.HK,AUROPHARMA.NS,MRP.JO,NTCO3.SA,FSR.JO,055550.KS,030000.KS,096530.KQ,000810.KS,GRUMAB.MX,148.HK,TU-R.BK,KIO.JO,035760.KQ,097950.KS,4001.SR,1101.TW,IOC.NS,021240.KS,MTN.JO,1102.TW,078930.KS,IRAO.ME,600132.SS,018260.KS,LUPIN.NS,9904.TW,2474.TW,TATACONSUM.NS,B3SA3.SA,BID.JO,881.HK,HDFCLIFE.NS,MTC-R.BK,TLKM.JK,2250.SR,SPP.JO,CPF-R.BK,012750.KS,ULTRACEMCO.NS,6239.TW,SBK.JO,GFI.JO,FAB.,KLBN11.SA,HAVELLS.NS,JUBLFOOD.NS,ICBP.JK,2333.HK,APN.JO,NVAA.,SUM
07/09/2021,5.56,4.17,3.74,3.74,1.1,0.95,0.92,0.79,0.77,0.72,0.72,0.66,0.63,0.61,0.61,0.59,0.54,0.54,0.53,0.52,0.5,0.5,0.47,0.47,0.45,0.45,0.44,0.42,0.39,0.39,0.39,0.38,0.37,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.92999999999999
07/12/2021,5.6,4.01,3.7,3.59,1.04,0.97,0.92,0.78,0.73,0.78,0.67,0.65,0.64,0.61,0.6,0.6,0.54,0.53,0.53,0.52,0.5,0.51,0.47,0.45,0.46,0.46,0.44,0.44,0.39,0.39,0.38,0.39,0.35,0.34,0.37,0.35,0.34,0.35,0.34,0.33,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.3,0.28,0.29,0.29,0.29,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.3,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.21,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.22,0.2,0.2,0.21,0.21,0.19,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.2,0.17,0.18,0.19,0.18,0.19,0.18,0.2,0.18,0.18,0.18,0.18,0.16,0.16,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.18,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.15,0.15,0.16,0.16,0.0,0.0,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.85
07/13/2021,5.6,4.01,3.7,3.59,1.04,0.97,0.92,0.78,0.73,0.78,0.67,0.65,0.64,0.61,0.6,0.6,0.54,0.53,0.53,0.52,0.5,0.51,0.47,0.45,0.46,0.46,0.44,0.44,0.39,0.39,0.38,0.39,0.35,0.34,0.37,0.35,0.34,0.35,0.34,0.33,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.3,0.28,0.29,0.29,0.29,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.3,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.21,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.22,0.2,0.2,0.21,0.21,0.19,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.2,0.17,0.18,0.19,0.18,0.19,0.18,0.2,0.18,0.18,0.18,0.18,0.16,0.16,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.18,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.15,0.15,0.16,0.16,0.0,0.0,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.85
07/14/2021,5.55,4.09,3.66,3.56,1.08,0.97,0.92,0.77,0.65,0.86,0.66,0.63,0.64,0.64,0.59,0.59,0.54,0.54,0.52,0.52,0.51,0.52,0.48,0.46,0.46,0.46,0.44,0.43,0.38,0.39,0.38,0.38,0.35,0.34,0.36,0.35,0.35,0.35,0.34,0.32,0.33,0.32,0.31,0.34,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.27,0.28,0.27,0.29,0.26,0.27,0.27,0.26,0.26,0.23,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.26,0.25,0.24,0.23,0.24,0.22,0.24,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.23,0.21,0.23,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.2,0.22,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.19,0.18,0.19,0.2,0.18,0.19,0.19,0.18,0.2,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.18,0.15,0.16,0.18,0.0,0.16,0.0,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.16,0.0,0.0,0.15,0.15,0.0,0.15,0.15,0.16,0.16,0.15,0.15,0.16,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.73
07/15/2021,5.62,4.04,3.66,3.57,1.1,0.96,0.94,0.77,0.64,0.86,0.66,0.63,0.64,0.63,0.59,0.58,0.54,0.54,0.53,0.52,0.5,0.5,0.48,0.46,0.46,0.45,0.44,0.43,0.39,0.38,0.38,0.38,0.35,0.34,0.36,0.34,0.34,0.36,0.33,0.33,0.33,0.33,0.31,0.33,0.3,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.27,0.28,0.27,0.29,0.27,0.26,0.27,0.26,0.26,0.23,0.26,0.26,0.26,0.26,0.26,0.25,0.23,0.26,0.26,0.25,0.24,0.25,0.23,0.22,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.2,0.22,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.21,0.19,0.21,0.21,0.19,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.17,0.19,0.18,0.18,0.18,0.18,0.19,0.2,0.17,0.17,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.18,0.17,0.16,0.19,0.17,0.17,0.16,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.18,0.15,0.16,0.16,0.17,0.16,0.15,0.16,0.0,0.16,0.16,0.16,0.16,0.15,0.0,0.16,0.0,0.0,0.15,0.15,0.0,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,68.82
07/16/2021,5.62,4.04,3.66,3.57,1.1,0.96,0.94,0.77,0.64,0.86,0.66,0.63,0.64,0.63,0.59,0.58,0.54,0.54,0.53,0.52,0.5,0.5,0.48,0.46,0.46,0.45,0.44,0.43,0.39,0.38,0.38,0.38,0.35,0.34,0.36,0.34,0.34,0.36,0.33,0.33,0.33,0.33,0.31,0.33,0.3,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.27,0.28,0.27,0.29,0.27,0.26,0.27,0.26,0.26,0.23,0.26,0.26,0.26,0.26,0.26,0.25,0.23,0.26,0.26,0.25,0.24,0.25,0.23,0.22,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.2,0.22,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.21,0.19,0.21,0.21,0.19,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.17,0.19,0.18,0.18,0.18,0.18,0.19,0.2,0.17,0.17,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.18,0.17,0.16,0.19,0.17,0.17,0.16,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.18,0.15,0.16,0.16,0.17,0.16,0.15,0.16,0.0,0.16,0.16,0.16,0.16,0.15,0.0,0.16,0.0,0.0,0.15,0.15,0.0,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,68.82
07/19/2021,5.74,4.19,3.65,3.74,1.1,0.96,0.94,0.77,0.56,0.91,0.65,0.64,0.65,0.65,0.59,0.58,0.53,0.56,0.54,0.51,0.5,0.53,0.46,0.46,0.48,0.45,0.45,0.42,0.4,0.37,0.37,0.36,0.35,0.35,0.38,0.34,0.34,0.37,0.33,0.34,0.33,0.32,0.31,0.34,0.3,0.3,0.31,0.3,0.27,0.28,0.28,0.28,0.26,0.28,0.29,0.29,0.26,0.26,0.26,0.26,0.26,0.23,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.26,0.26,0.25,0.24,0.24,0.23,0.2,0.25,0.23,0.23,0.23,0.25,0.24,0.22,0.21,0.22,0.21,0.22,0.24,0.25,0.22,0.22,0.21,0.23,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.22,0.22,0.21,0.21,0.19,0.19,0.21,0.19,0.19,0.21,0.19,0.21,0.19,0.18,0.17,0.18,0.19,0.19,0.21,0.19,0.18,0.19,0.19,0.17,0.19,0.18,0.18,0.19,0.18,0.17,0.19,0.17,0.19,0.19,0.2,0.18,0.18,0.2,0.17,0.18,0.19,0.18,0.16,0.16,0.19,0.17,0.16,0.19,0.17,0.16,0.16,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.18,0.16,0.15,0.16,0.16,0.15,0.17,0.16,0.16,0.16,0.17,0.18,0.17,0.15,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17999999999999
07/21/2021,5.52,4.21,3.64,3.74,1.11,0.95,0.95,0.77,0.62,0.94,0.65,0.64,0.65,0.64,0.6,0.58,0.54,0.55,0.54,0.5,0.5,0.52,0.46,0.45,0.46,0.46,0.46,0.42,0.39,0.37,0.37,0.37,0.35,0.35,0.38,0.34,0.33,0.38,0.33,0.34,0.32,0.32,0.31,0.33,0.3,0.3,0.31,0.3,0.27,0.28,0.28,0.28,0.26,0.28,0.3,0.3,0.26,0.26,0.27,0.26,0.25,0.23,0.26,0.26,0.26,0.27,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.23,0.22,0.2,0.27,0.23,0.23,0.23,0.25,0.24,0.23,0.21,0.22,0.21,0.22,0.24,0.25,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.23,0.21,0.21,0.2,0.2,0.21,0.23,0.2,0.21,0.21,0.2,0.19,0.21,0.19,0.2,0.21,0.19,0.21,0.19,0.18,0.18,0.18,0.19,0.18,0.2,0.19,0.19,0.19,0.19,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.19,0.2,0.18,0.18,0.2,0.17,0.18,0.19,0.17,0.16,0.16,0.19,0.17,0.16,0.19,0.17,0.17,0.16,0.17,0.18,0.19,0.17,0.17,0.18,0.15,0.17,0.17,0.17,0.18,0.18,0.17,0.0,0.16,0.16,0.15,0.17,0.15,0.16,0.16,0.17,0.17,0.16,0.15,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.16,0.0,0.16,0.15,0.16,0.15,0.16,0.16,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.11
07/22/2021,5.52,4.17,3.64,3.68,1.07,0.95,0.92,0.77,0.65,0.99,0.66,0.63,0.64,0.64,0.6,0.58,0.54,0.56,0.53,0.51,0.5,0.52,0.45,0.45,0.47,0.45,0.46,0.41,0.39,0.36,0.38,0.37,0.35,0.35,0.38,0.34,0.32,0.38,0.33,0.34,0.33,0.33,0.31,0.34,0.3,0.32,0.31,0.3,0.27,0.28,0.29,0.28,0.27,0.28,0.3,0.3,0.26,0.27,0.27,0.25,0.24,0.23,0.26,0.26,0.26,0.28,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.23,0.21,0.27,0.23,0.23,0.23,0.25,0.24,0.23,0.21,0.23,0.21,0.22,0.24,0.25,0.22,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.23,0.21,0.21,0.21,0.2,0.21,0.23,0.19,0.2,0.21,0.19,0.2,0.21,0.19,0.2,0.2,0.19,0.21,0.19,0.19,0.18,0.19,0.19,0.19,0.21,0.19,0.19,0.19,0.2,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.2,0.17,0.17,0.2,0.2,0.19,0.18,0.2,0.17,0.18,0.18,0.18,0.15,0.16,0.18,0.17,0.16,0.19,0.17,0.16,0.16,0.16,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.17,0.18,0.19,0.18,0.17,0.0,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.18,0.16,0.0,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.0,0.16,0.0,0.16,0.15,0.16,0.15,0.16,0.0,0.17,0.17,0.0,0.0,0.15,0.0,0.16,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16
07/23/2021,5.54,4.13,3.64,3.69,1.07,0.97,0.92,0.77,0.59,1.0,0.65,0.63,0.64,0.64,0.6,0.59,0.54,0.57,0.53,0.51,0.5,0.54,0.46,0.45,0.46,0.45,0.46,0.41,0.39,0.37,0.38,0.37,0.36,0.35,0.38,0.34,0.32,0.37,0.33,0.33,0.33,0.33,0.31,0.33,0.3,0.31,0.31,0.3,0.27,0.28,0.28,0.28,0.26,0.28,0.3,0.3,0.27,0.27,0.26,0.25,0.25,0.23,0.26,0.26,0.26,0.27,0.25,0.25,0.24,0.25,0.26,0.25,0.24,0.25,0.22,0.21,0.27,0.23,0.22,0.23,0.25,0.24,0.22,0.21,0.23,0.22,0.24,0.24,0.24,0.22,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.23,0.21,0.22,0.2,0.2,0.22,0.23,0.19,0.2,0.21,0.19,0.2,0.21,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.19,0.19,0.18,0.21,0.19,0.18,0.2,0.2,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.17,0.17,0.19,0.2,0.19,0.18,0.2,0.17,0.18,0.18,0.18,0.16,0.16,0.19,0.17,0.16,0.19,0.18,0.16,0.16,0.16,0.18,0.18,0.17,0.17,0.17,0.0,0.17,0.17,0.17,0.19,0.18,0.17,0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.0,0.17,0.15,0.16,0.16,0.17,0.16,0.15,0.0,0.15,0.16,0.0,0.16,0.0,0.16,0.0,0.16,0.15,0.16,0.15,0.16,0.17,0.15,0.0,0.15,0.0,0.17,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,69.07000000000001
