,COP,EOG,MPC,PSX,LNG,PXD,HES,VLO,DVN,FANG,TPL,MRO,TRGP,OVV,APA,XEC,COG,EQT,HFC,PDCE,RRC,AR,MTDR,DEN,SWN,MUR,CNX,SM,CPE,CLR,MGY,WLL,OAS,INT,NFE,DK,PBF,KOS,CDEV,CLNE,NOG,TELL,BCEI,LPI,MNRL,XTSLA,PARR,CVI,SGAFT,IXPU1,USD,SUM
07/09/2021,16.84,10.11,7.78,7.65,4.63,4.45,4.45,4.23,3.99,3.97,2.89,2.51,2.42,1.9,1.87,1.75,1.63,1.39,1.12,1.08,0.98,0.94,0.9,0.88,0.83,0.8,0.7,0.63,0.62,0.56,0.53,0.52,0.49,0.46,0.45,0.34,0.32,0.31,0.3,0.26,0.23,0.22,0.22,0.2,0.19,0.17,0.17,0.12,0.01,0.0,0.0,100.01
07/12/2021,16.94,9.88,7.76,7.5,4.71,4.46,4.42,4.08,4.08,3.93,2.79,2.52,2.44,1.91,1.87,1.82,1.71,1.47,1.14,1.08,1.05,0.99,0.92,0.88,0.86,0.81,0.73,0.61,0.59,0.58,0.54,0.53,0.5,0.46,0.43,0.34,0.31,0.3,0.3,0.26,0.22,0.23,0.22,0.18,0.19,0.14,0.17,0.12,0.01,0.0,0.03,100.01000000000002
07/13/2021,16.94,9.88,7.76,7.5,4.71,4.46,4.42,4.08,4.08,3.93,2.79,2.52,2.44,1.91,1.87,1.82,1.71,1.47,1.14,1.08,1.05,0.99,0.92,0.88,0.86,0.81,0.73,0.61,0.59,0.58,0.54,0.53,0.5,0.46,0.43,0.34,0.31,0.3,0.3,0.26,0.22,0.23,0.22,0.18,0.19,0.14,0.17,0.12,0.01,0.0,0.03,100.01000000000002
07/14/2021,16.82,9.99,7.75,7.51,4.64,4.38,4.4,4.1,4.11,3.9,2.82,2.52,2.48,1.92,1.87,1.84,1.7,1.46,1.14,1.07,1.06,1.02,0.94,0.87,0.85,0.82,0.73,0.62,0.61,0.58,0.54,0.52,0.49,0.46,0.42,0.34,0.31,0.3,0.3,0.26,0.22,0.23,0.21,0.19,0.19,0.14,0.18,0.12,0.01,0.0,0.03,99.98000000000002
07/16/2021,16.84,10.13,7.67,7.5,4.48,4.41,4.44,4.05,4.21,3.98,2.89,2.52,2.48,1.92,1.86,1.85,1.72,1.46,1.14,1.07,1.06,0.99,0.95,0.89,0.86,0.8,0.73,0.6,0.6,0.58,0.55,0.52,0.49,0.47,0.4,0.32,0.29,0.28,0.3,0.24,0.22,0.21,0.21,0.17,0.19,0.14,0.17,0.11,0.01,0.0,0.02,99.99
07/19/2021,17.18,9.92,7.71,7.54,4.71,4.39,4.41,4.08,4.12,3.84,2.92,2.5,2.49,1.87,1.81,1.81,1.71,1.44,1.15,1.07,1.04,1.01,0.93,0.88,0.85,0.79,0.74,0.58,0.55,0.57,0.54,0.49,0.47,0.5,0.41,0.32,0.27,0.26,0.28,0.23,0.21,0.22,0.2,0.16,0.19,0.16,0.17,0.11,0.03,0.0,0.17,100.0
07/20/2021,17.18,9.92,7.71,7.54,4.71,4.39,4.41,4.08,4.12,3.84,2.92,2.5,2.49,1.87,1.81,1.81,1.71,1.44,1.15,1.07,1.04,1.01,0.93,0.88,0.85,0.79,0.74,0.58,0.55,0.57,0.54,0.49,0.47,0.5,0.41,0.32,0.27,0.26,0.28,0.23,0.21,0.22,0.2,0.16,0.19,0.16,0.17,0.11,0.03,0.0,0.17,100.0
07/22/2021,17.38,9.85,7.78,7.41,4.93,4.38,4.46,4.07,4.14,3.69,3.02,2.44,2.55,1.81,1.81,1.82,1.74,1.46,1.15,1.0,1.04,0.97,0.88,0.88,0.83,0.77,0.76,0.55,0.5,0.56,0.53,0.49,0.46,0.5,0.43,0.32,0.25,0.26,0.27,0.24,0.2,0.2,0.2,0.15,0.19,0.14,0.17,0.11,0.03,0.0,0.19,99.96
07/23/2021,17.28,9.81,7.8,7.32,5.0,4.37,4.4,4.03,4.12,3.71,3.16,2.44,2.59,1.82,1.81,1.76,1.7,1.49,1.13,1.01,1.05,0.99,0.9,0.88,0.84,0.78,0.76,0.56,0.51,0.56,0.54,0.5,0.49,0.5,0.44,0.32,0.25,0.25,0.27,0.25,0.21,0.22,0.2,0.15,0.19,0.13,0.17,0.1,0.03,0.0,0.2,99.99
07/27/2021,17.48,9.83,7.78,7.24,4.9,4.4,4.33,3.97,4.11,3.78,3.11,2.45,2.6,1.91,1.83,1.76,1.67,1.52,1.11,1.02,1.05,1.01,0.92,0.85,0.83,0.8,0.72,0.55,0.52,0.57,0.54,0.5,0.49,0.49,0.42,0.32,0.24,0.25,0.27,0.24,0.21,0.21,0.19,0.15,0.19,0.15,0.18,0.1,0.03,0.0,0.18,99.97
07/29/2021,17.25,9.73,7.83,7.31,4.88,4.35,4.3,4.03,4.15,3.79,3.03,2.44,2.6,1.93,1.86,1.78,1.69,1.52,1.13,1.06,1.08,1.06,0.91,0.84,0.88,0.83,0.73,0.55,0.51,0.58,0.55,0.5,0.49,0.5,0.39,0.33,0.24,0.24,0.27,0.23,0.21,0.2,0.2,0.15,0.19,0.15,0.19,0.11,0.03,0.0,0.22,100.02
07/30/2021,17.4,9.72,7.93,7.47,4.93,4.37,4.28,4.11,4.11,3.78,2.98,2.38,2.56,1.89,1.87,1.77,1.69,1.51,1.16,1.04,1.03,1.03,0.89,0.83,0.86,0.82,0.73,0.53,0.48,0.57,0.54,0.48,0.48,0.51,0.4,0.33,0.23,0.24,0.26,0.23,0.2,0.19,0.19,0.14,0.19,0.07,0.18,0.11,0.04,0.0,0.3,100.03
08/02/2021,17.35,9.69,8.03,7.38,4.97,4.43,4.42,4.17,4.15,3.77,2.97,2.44,2.57,1.78,1.89,1.74,1.66,1.37,1.16,1.03,1.03,0.99,0.89,0.86,0.83,0.85,0.7,0.53,0.49,0.56,0.54,0.49,0.48,0.54,0.39,0.33,0.23,0.25,0.26,0.23,0.21,0.22,0.2,0.14,0.19,0.09,0.19,0.11,0.02,0.0,0.16,99.96999999999998
08/03/2021,17.28,9.71,8.04,7.34,4.93,4.44,4.41,4.19,4.09,3.71,3.07,2.43,2.56,1.78,1.88,1.78,1.7,1.36,1.17,1.04,1.05,1.0,0.9,0.87,0.81,0.84,0.71,0.54,0.48,0.57,0.54,0.49,0.49,0.58,0.4,0.33,0.23,0.25,0.26,0.23,0.21,0.21,0.2,0.14,0.19,0.01,0.19,0.11,0.02,0.0,0.24,100.0
08/04/2021,17.28,9.71,8.04,7.34,4.93,4.44,4.41,4.19,4.09,3.71,3.07,2.43,2.56,1.78,1.88,1.78,1.7,1.36,1.17,1.04,1.05,1.0,0.9,0.87,0.81,0.84,0.71,0.54,0.48,0.57,0.54,0.49,0.49,0.58,0.4,0.33,0.23,0.25,0.26,0.23,0.21,0.21,0.2,0.14,0.19,0.01,0.19,0.11,0.02,0.0,0.24,100.0
08/05/2021,17.28,9.71,8.04,7.34,4.93,4.44,4.41,4.19,4.09,3.71,3.07,2.43,2.56,1.78,1.88,1.78,1.7,1.36,1.17,1.04,1.05,1.0,0.9,0.87,0.81,0.84,0.71,0.54,0.48,0.57,0.54,0.49,0.49,0.58,0.4,0.33,0.23,0.25,0.26,0.23,0.21,0.21,0.2,0.14,0.19,0.01,0.19,0.11,0.02,0.0,0.24,100.0
08/06/2021,17.27,9.71,8.05,7.52,4.95,4.64,4.27,4.27,4.1,3.83,3.02,2.39,2.53,1.76,1.86,1.77,1.72,1.31,1.16,1.05,1.02,0.98,0.85,0.87,0.81,0.81,0.7,0.55,0.46,0.57,0.54,0.47,0.47,0.56,0.4,0.33,0.24,0.24,0.24,0.22,0.2,0.2,0.19,0.13,0.19,0.14,0.2,0.11,0.02,0.0,0.11,99.99999999999997
