,AMXL.MX,GFNORTEO.MX,WALMEX.MX,FEMSAUBD.MX,GMEXICOB.MX,CEMEXCPO.MX,TLEVISACPO.MX,ELEKTRA.MX,BIMBOA.MX,ASURB.MX,GAPB.MX,FUNO11.MX,KOFUBL.MX,ORBIA.MX,AC.MX,GRUMAB.MX,OMAB.MX,GFINBURO.MX,PE&OLES.MX,PINFRA.MX,ALFAA.MX,KIMBERA.MX,GCARSOA1.MX,CUERVO.MX,GCC.MX,SITESB-1.MX,MEGACPO.MX,LIVEPOLC-1.MX,Q.MX,BSMXB.MX,BACHOCOB.MX,LALAB.MX,ALPEKA.MX,DANHOS13.MX,—,DANHOS13,SUM
07/09/2021,11.96,10.06,8.98,8.5,8.26,4.54,3.63,3.26,3.17,2.94,2.87,2.67,2.54,2.48,2.38,2.08,1.99,1.9,1.59,1.58,1.38,1.34,1.33,1.32,1.21,1.08,0.97,0.8,0.74,0.64,0.58,0.45,0.42,0.24,0.13,0.0,100.01
07/12/2021,11.82,9.85,9.1,8.49,8.17,4.56,3.41,3.28,3.25,3.0,3.0,2.73,2.54,2.49,2.41,2.1,2.05,1.91,1.61,1.59,1.37,1.36,1.31,1.34,1.21,1.06,0.99,0.81,0.75,0.64,0.57,0.45,0.43,0.24,0.13,0.0,100.02
07/13/2021,11.82,9.85,9.1,8.49,8.17,4.56,3.41,3.28,3.25,3.0,3.0,2.73,2.54,2.49,2.41,2.1,2.05,1.91,1.61,1.59,1.37,1.36,1.31,1.34,1.21,1.06,0.99,0.81,0.75,0.64,0.57,0.45,0.43,0.24,0.13,0.0,100.02
07/14/2021,11.85,10.01,8.97,8.39,8.1,4.66,3.48,3.28,3.3,2.98,2.98,2.74,2.53,2.5,2.4,2.09,1.54,1.93,1.59,1.58,1.4,1.32,1.31,1.32,1.21,1.05,1.0,0.82,0.75,0.63,0.57,0.45,0.43,0.0,0.62,0.24,100.02
07/15/2021,11.96,10.0,8.92,8.46,8.09,4.62,3.52,3.28,3.26,2.96,2.98,2.75,2.55,2.48,2.4,2.1,1.51,1.93,1.56,1.58,1.4,1.3,1.29,1.35,1.2,1.04,0.99,0.82,0.74,0.63,0.57,0.45,0.43,0.0,0.66,0.24,100.02
07/16/2021,12.16,9.98,9.09,8.49,8.07,4.48,3.45,3.3,3.26,2.91,2.95,2.75,2.56,2.43,2.42,2.08,1.6,1.95,1.59,1.58,1.39,1.29,1.25,1.34,1.19,1.05,1.0,0.8,0.75,0.63,0.58,0.45,0.42,0.0,0.55,0.24,100.03
07/19/2021,12.67,9.88,9.27,8.53,8.31,4.43,3.39,3.24,3.27,2.88,2.91,2.75,2.55,2.45,2.45,2.08,1.55,1.89,1.59,1.55,1.39,1.27,1.3,1.33,1.16,1.02,0.97,0.81,0.73,0.62,0.56,0.44,0.43,0.24,0.09,0.0,100.0
07/22/2021,12.82,9.81,9.28,8.53,8.11,4.35,3.38,3.31,3.32,2.86,2.93,2.75,2.6,2.47,2.46,2.1,1.51,1.88,1.57,1.55,1.37,1.26,1.3,1.31,1.17,1.05,1.0,0.81,0.73,0.62,0.56,0.45,0.44,0.24,0.1,0.0,100.0
07/23/2021,12.82,9.81,9.28,8.53,8.11,4.35,3.38,3.31,3.32,2.86,2.93,2.75,2.6,2.47,2.46,2.1,1.51,1.88,1.57,1.55,1.37,1.26,1.3,1.31,1.17,1.05,1.0,0.81,0.73,0.62,0.56,0.45,0.44,0.24,0.1,0.0,100.0
07/26/2021,12.71,9.96,9.19,8.32,8.29,4.54,3.57,3.26,3.26,2.87,2.97,2.74,2.56,2.48,2.45,2.01,1.5,1.9,1.59,1.52,1.4,1.25,1.29,1.3,1.2,1.0,0.95,0.81,0.74,0.61,0.55,0.44,0.43,0.25,0.09,0.0,100.0
07/29/2021,12.73,10.0,9.23,8.31,8.41,4.52,3.58,3.21,3.26,2.84,2.97,2.72,2.56,2.45,2.45,2.02,1.49,1.88,1.57,1.49,1.38,1.27,1.31,1.28,1.18,0.97,0.99,0.83,0.74,0.61,0.55,0.44,0.43,0.25,0.09,0.0,100.01000000000002
07/30/2021,12.92,10.02,9.15,8.23,8.54,4.41,3.56,3.22,3.28,2.77,2.97,2.67,2.61,2.49,2.42,2.03,1.48,1.88,1.55,1.5,1.35,1.24,1.34,1.27,1.19,0.97,0.99,0.82,0.75,0.61,0.55,0.43,0.43,0.25,0.09,0.0,99.98000000000002
