,9988 HK,700.HK,3690.HK,600519 C1,939 HK,NIO,300750 C2,JD,2318 HK,000858 C2,BIDU,NTES,2269.HK,1810.HK,PDD,1398 HK,3968 HK,YUMC,3988 HK,2020.HK,2382.HK,2319.HK,2313.HK,601888 C1,300760 C2,603288 C1,000001,601166 C1,TCOM,600900 C1,600276 C1,175.HK,2331.HK,2628 HK,002594 C2,600309 C1,601012 C1,002714 C2,EDU,600809 C1,000568 C2,BILI,603259 C1,CASH,ZTO,300015 C2,BEKE,BGNE,002352 C2,300122 C2,TAL,000001 C2,9988.HK,600519.SS,300750.SZ,939.HK,2318.HK,000858.SZ,M4B.,1398.HK,3988.HK,601888.SS,300760.SZ,603288.SS,600900.SS,000001.SZ,601166.SS,600276.SS,002594.SZ,CHL.,601012.SS,600309.SS,600809.SS,603259.SS,000568.SZ,300015.SZ,002714.SZ,002352.SZ,300122.SZ,7342.T,Cash,n/a,LI,XPEV,2688.HK,300059 C2,600000 C1,1093.HK,002475 C2,SUM
07/09/2021,9.03,8.27,6.13,5.44,3.59,3.4,3.24,3.2,3.05,2.7,2.59,2.54,2.54,2.39,2.08,2.02,1.99,1.87,1.78,1.7,1.68,1.54,1.54,1.39,1.37,1.31,1.3,1.24,1.23,1.23,1.13,1.09,1.08,1.04,1.02,0.86,0.85,0.82,0.81,0.77,0.75,0.74,0.73,0.71,0.69,0.66,0.63,0.63,0.58,0.55,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
07/12/2021,8.86,8.06,5.87,5.77,3.63,3.18,3.63,3.24,3.06,2.68,2.51,2.53,2.68,2.44,2.07,2.04,1.96,1.89,1.82,1.71,1.71,1.57,1.51,1.37,1.45,1.34,1.27,1.24,1.18,1.29,1.16,1.12,1.11,1.05,1.06,0.89,0.96,0.81,0.68,0.83,0.76,0.71,0.78,0.17,0.69,0.7,0.6,0.64,0.6,0.59,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/13/2021,8.86,8.06,5.87,5.77,3.63,3.18,3.63,3.24,3.06,2.68,2.51,2.53,2.68,2.44,2.07,2.04,1.96,1.89,1.82,1.71,1.71,1.57,1.51,1.37,1.45,1.34,1.27,1.24,1.18,1.29,1.16,1.12,1.11,1.05,1.06,0.89,0.96,0.81,0.68,0.83,0.76,0.71,0.78,0.17,0.69,0.7,0.6,0.64,0.6,0.59,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/14/2021,8.69,8.14,6.07,5.69,3.56,3.15,3.51,3.32,3.01,2.66,2.56,2.58,2.79,2.54,2.09,2.02,1.95,1.87,1.79,1.81,1.7,1.57,1.55,1.34,1.43,1.29,1.24,1.2,1.18,1.28,1.16,1.09,1.14,1.04,1.04,0.92,0.96,0.8,0.71,0.77,0.74,0.74,0.77,0.16,0.7,0.68,0.63,0.65,0.6,0.57,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,8.73,8.04,6.17,5.63,3.54,3.18,3.63,3.29,3.0,2.68,2.54,2.58,2.8,2.52,2.07,1.99,1.96,1.87,1.79,1.79,1.65,1.55,1.51,1.44,1.47,1.32,1.23,1.21,1.16,1.25,1.17,1.1,1.09,1.02,1.11,0.93,0.95,0.81,0.69,0.76,0.76,0.74,0.81,0.16,0.69,0.7,0.58,0.65,0.58,0.57,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/16/2021,8.94,8.23,6.28,5.61,3.49,3.04,3.55,3.39,2.98,2.69,2.56,2.62,2.67,2.52,2.06,1.96,1.94,1.83,1.78,1.77,1.62,1.53,1.5,1.43,1.41,1.37,1.21,1.19,1.15,1.24,1.14,1.14,1.1,1.02,1.09,0.91,0.92,0.8,0.72,0.82,0.75,0.75,0.79,0.15,0.7,0.69,0.59,0.64,0.58,0.58,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/19/2021,9.1,8.29,6.13,5.61,3.48,2.93,3.56,3.37,3.0,2.72,2.55,2.65,2.77,2.49,2.02,1.95,1.99,1.82,1.76,1.79,1.62,1.51,1.45,1.4,1.43,1.42,1.23,1.2,1.12,1.23,1.1,1.09,1.15,1.01,0.96,0.93,0.95,0.78,0.72,0.89,0.76,0.75,0.82,0.16,0.68,0.7,0.58,0.64,0.58,0.59,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,9.1,8.29,6.13,5.61,3.48,2.93,3.56,3.37,3.0,2.72,2.55,2.65,2.77,2.49,2.02,1.95,1.99,1.82,1.76,1.79,1.62,1.51,1.45,1.4,1.43,1.42,0.0,1.2,1.12,1.23,1.1,1.09,1.15,1.01,0.96,0.93,0.95,0.78,0.72,0.89,0.76,0.75,0.82,0.16,0.68,0.7,0.58,0.64,0.58,0.59,0.55,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,9.18,8.4,6.23,5.56,3.53,2.91,3.37,3.36,3.06,2.72,2.5,2.63,2.86,2.65,1.99,1.98,2.02,1.83,1.78,1.8,1.65,1.53,1.4,1.37,1.38,1.38,1.23,1.19,1.09,1.19,1.11,1.1,1.14,1.03,0.92,0.91,0.92,0.76,0.69,0.89,0.75,0.75,0.83,0.19,0.69,0.68,0.59,0.64,0.59,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/22/2021,8.99,8.29,5.99,5.68,3.54,2.99,3.36,3.35,3.06,2.78,2.49,2.67,2.89,2.67,1.97,1.99,2.02,1.83,1.79,1.8,1.64,1.53,1.41,1.46,1.47,1.39,1.23,1.2,1.05,1.21,1.14,1.09,1.14,1.02,0.93,0.91,0.92,0.73,0.63,0.91,0.78,0.76,0.85,0.19,0.69,0.71,0.57,0.63,0.57,0.62,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
