,UNH,HD,BAC,VZ,T,WFC,UNP,NEE,LOW,INTU,TGT,SCHW,CVS,SQ,CHTR,ANTM,MO,TMUS,CCI,CI,PNC,MRNA,DUK,USB,CME,CSX,TFC,COF,NSC,SO,FISV,D,WM,HUM,REGN,PGR,DG,ROKU,EOG,CMG,TROW,PSA,LHX,ROST,EXC,CNC,AEP,SPG,ORLY,ALL,MPC,TRV,STZ,XEL,KMI,DFS,PAYX,PXD,AZO,TDG,CTAS,FRC,TTD,PTON,CSGP,WMB,LUV,PEG,DHI,FAST,SIVB,AVB,WEC,EQR,AMP,AWK,KR,ES,SYF,NUE,BBY,ARE,LEN,FITB,OKE,O,ED,ODFL,CDW,RNG,CVNA,CERN,RSG,MLM,USD,BURL,EXR,VMC,DLTR,URI,W,DTE,EIX,INVH,KMX,HIG,VTR,AEE,HBAN,FE,ETR,EXAS,HZNP,TSN,TSCO,ESS,SGEN,PAYC,TYL,MAA,SUI,Z,DVN,BR,DRI,RF,CFG,KEY,ALLY,POOL,PEAK,ULTA,BXP,DRE,MTB,ABC,LYFT,CMS,LB,CINF,DGX,CAG,PFG,VICI,CAH,FANG,MOH,RJF,INCY,PCG,UDR,LUMN,CNP,CABO,LDOS,PHM,LNT,RPRX,JBHT,ELS,WRK,AVLR,HRL,SJM,AAP,BILL,EVRG,ATO,NLY,CBOE,BRO,PKG,NVR,FIVN,CPT,SBNY,FOXA,APO,EQH,UHS,STLD,TREX,HST,MPW,LNC,BAH,FNF,WSM,L,CHGG,CHRW,BKI,JKHY,LPLA,WRB,REG,VER,WTRG,JAZZ,GH,FND,FIVE,AMH,ANSGR.IS,SUM
07/09/2021,4.26,3.79,3.33,2.58,2.29,1.98,1.64,1.63,1.54,1.42,1.35,1.23,1.18,1.06,1.05,1.04,0.95,0.95,0.95,0.89,0.88,0.87,0.85,0.83,0.82,0.81,0.81,0.77,0.74,0.72,0.72,0.67,0.67,0.66,0.65,0.63,0.58,0.56,0.54,0.51,0.51,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.44,0.43,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,87.59
07/12/2021,4.3,3.81,3.26,2.57,2.24,1.95,1.62,1.64,1.54,1.45,1.38,1.19,1.17,1.03,1.08,1.05,0.96,0.96,0.96,0.88,0.87,0.88,0.86,0.82,0.83,0.78,0.79,0.76,0.71,0.73,0.72,0.68,0.67,0.66,0.65,0.64,0.59,0.54,0.52,0.52,0.5,0.51,0.51,0.48,0.49,0.47,0.47,0.45,0.45,0.43,0.42,0.42,0.41,0.41,0.39,0.39,0.39,0.38,0.38,0.37,0.38,0.36,0.36,0.37,0.37,0.36,0.34,0.34,0.33,0.34,0.33,0.33,0.32,0.33,0.31,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.27,0.28,0.28,0.29,0.28,0.27,0.28,0.27,0.26,0.25,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.24,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.0,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,87.54999999999998
07/13/2021,4.3,3.81,3.26,2.57,2.24,1.95,1.62,1.64,1.54,1.45,1.38,1.19,1.17,1.03,1.08,1.05,0.96,0.96,0.96,0.88,0.87,0.88,0.86,0.82,0.83,0.78,0.79,0.76,0.71,0.73,0.72,0.68,0.67,0.66,0.65,0.64,0.59,0.54,0.52,0.52,0.5,0.51,0.51,0.48,0.49,0.47,0.47,0.45,0.45,0.43,0.42,0.42,0.41,0.41,0.39,0.39,0.39,0.38,0.38,0.37,0.38,0.36,0.36,0.37,0.37,0.36,0.34,0.34,0.33,0.34,0.33,0.33,0.32,0.33,0.31,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.27,0.28,0.28,0.29,0.28,0.27,0.28,0.27,0.26,0.25,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.24,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.0,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,87.54999999999998
07/14/2021,4.25,3.79,3.31,2.55,2.23,1.99,1.61,1.61,1.53,1.42,1.35,1.21,1.17,1.03,1.06,1.04,0.96,0.94,0.95,0.88,0.88,0.86,0.85,0.84,0.82,0.79,0.81,0.79,0.72,0.71,0.71,0.67,0.66,0.65,0.64,0.64,0.58,0.55,0.53,0.52,0.51,0.51,0.5,0.48,0.48,0.47,0.47,0.46,0.45,0.44,0.42,0.42,0.4,0.4,0.4,0.41,0.39,0.37,0.38,0.38,0.38,0.37,0.37,0.34,0.37,0.36,0.34,0.33,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.32,0.31,0.31,0.31,0.32,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.13,0.0,87.41
07/15/2021,4.25,3.79,3.31,2.55,2.23,1.99,1.61,1.61,1.53,1.42,1.35,1.21,1.17,1.03,1.06,1.04,0.96,0.94,0.95,0.88,0.88,0.86,0.85,0.84,0.82,0.79,0.81,0.79,0.72,0.71,0.71,0.67,0.66,0.65,0.64,0.64,0.58,0.55,0.53,0.52,0.51,0.51,0.5,0.48,0.48,0.47,0.47,0.46,0.45,0.44,0.42,0.42,0.4,0.4,0.4,0.41,0.39,0.37,0.38,0.38,0.38,0.37,0.37,0.34,0.37,0.36,0.34,0.33,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.32,0.31,0.31,0.31,0.32,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.13,0.0,87.41
07/16/2021,4.34,3.76,3.31,2.56,2.23,1.97,1.61,1.62,1.54,1.44,1.38,1.24,1.18,1.04,1.03,1.07,0.96,0.96,0.95,0.89,0.89,0.88,0.86,0.84,0.83,0.79,0.81,0.8,0.72,0.72,0.73,0.66,0.66,0.66,0.64,0.63,0.58,0.55,0.53,0.53,0.51,0.51,0.51,0.47,0.48,0.48,0.47,0.46,0.45,0.44,0.41,0.43,0.4,0.4,0.39,0.42,0.4,0.37,0.38,0.37,0.37,0.38,0.36,0.35,0.37,0.35,0.34,0.33,0.32,0.34,0.35,0.34,0.32,0.33,0.32,0.32,0.31,0.31,0.31,0.32,0.3,0.3,0.29,0.29,0.27,0.28,0.28,0.29,0.27,0.25,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.23,0.24,0.21,0.21,0.22,0.23,0.22,0.2,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.2,0.2,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.12,0.0,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,87.62
07/19/2021,4.35,3.82,3.22,2.58,2.24,2.05,1.61,1.66,1.54,1.42,1.38,1.22,1.19,1.01,1.02,1.07,0.97,0.96,0.96,0.88,0.89,0.97,0.88,0.87,0.83,0.79,0.83,0.79,0.72,0.73,0.73,0.68,0.68,0.67,0.66,0.61,0.59,0.52,0.49,0.52,0.51,0.51,0.51,0.48,0.49,0.47,0.48,0.45,0.45,0.43,0.39,0.43,0.4,0.41,0.38,0.41,0.4,0.35,0.39,0.36,0.36,0.39,0.34,0.32,0.38,0.34,0.34,0.34,0.32,0.34,0.35,0.34,0.33,0.34,0.32,0.33,0.32,0.33,0.31,0.32,0.31,0.31,0.29,0.29,0.27,0.28,0.28,0.29,0.27,0.24,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.25,0.25,0.26,0.23,0.25,0.24,0.25,0.24,0.25,0.25,0.24,0.23,0.22,0.23,0.21,0.23,0.23,0.24,0.24,0.21,0.21,0.22,0.23,0.22,0.19,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.21,0.2,0.18,0.17,0.2,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.16,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.15,0.15,0.13,0.12,0.0,0.13,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.13,0.0,87.75
07/20/2021,4.35,3.82,3.22,2.58,2.24,2.05,1.61,1.66,1.54,1.42,1.38,1.22,1.19,1.01,1.02,1.07,0.97,0.96,0.96,0.88,0.89,0.97,0.88,0.87,0.83,0.79,0.83,0.79,0.72,0.73,0.73,0.68,0.68,0.67,0.66,0.61,0.59,0.52,0.49,0.52,0.51,0.51,0.51,0.48,0.49,0.47,0.48,0.45,0.45,0.43,0.39,0.43,0.4,0.41,0.38,0.41,0.4,0.35,0.39,0.36,0.36,0.39,0.34,0.32,0.38,0.34,0.34,0.34,0.32,0.34,0.35,0.34,0.33,0.34,0.32,0.33,0.32,0.33,0.31,0.32,0.31,0.31,0.29,0.29,0.27,0.28,0.28,0.29,0.27,0.24,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.25,0.25,0.26,0.23,0.25,0.24,0.25,0.24,0.25,0.25,0.24,0.23,0.22,0.23,0.21,0.23,0.23,0.24,0.24,0.21,0.21,0.22,0.23,0.22,0.19,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.21,0.2,0.18,0.17,0.2,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.16,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.15,0.15,0.13,0.12,0.0,0.13,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.13,0.0,87.75
07/21/2021,4.37,3.82,3.16,2.59,2.24,2.03,1.61,1.69,1.55,1.43,1.38,1.2,1.19,1.03,1.03,1.07,0.97,0.97,0.97,0.88,0.86,1.07,0.89,0.85,0.83,0.79,0.81,0.78,0.72,0.74,0.74,0.69,0.68,0.68,0.65,0.62,0.59,0.51,0.48,0.51,0.51,0.51,0.51,0.46,0.5,0.46,0.48,0.45,0.46,0.43,0.39,0.44,0.4,0.41,0.38,0.4,0.4,0.34,0.39,0.36,0.38,0.38,0.33,0.32,0.38,0.34,0.33,0.34,0.32,0.34,0.34,0.35,0.33,0.34,0.32,0.34,0.32,0.33,0.3,0.31,0.31,0.31,0.29,0.28,0.26,0.29,0.28,0.28,0.27,0.25,0.27,0.26,0.27,0.25,0.0,0.24,0.25,0.25,0.25,0.25,0.23,0.25,0.24,0.25,0.24,0.25,0.25,0.24,0.22,0.23,0.23,0.22,0.22,0.23,0.24,0.24,0.22,0.21,0.22,0.23,0.23,0.19,0.19,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.19,0.2,0.21,0.19,0.18,0.16,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.15,0.17,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.15,0.15,0.16,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.15,0.14,0.13,0.0,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.13,0.26,87.72
07/22/2021,4.34,3.86,3.14,2.61,2.24,2.01,1.6,1.7,1.56,1.44,1.4,1.18,1.19,1.03,1.05,1.06,0.98,0.96,0.98,0.87,0.85,1.2,0.9,0.82,0.83,0.78,0.79,0.77,0.71,0.75,0.72,0.69,0.68,0.68,0.67,0.62,0.61,0.53,0.46,0.52,0.5,0.52,0.5,0.46,0.5,0.46,0.48,0.43,0.46,0.43,0.38,0.43,0.4,0.41,0.38,0.4,0.4,0.33,0.4,0.36,0.38,0.37,0.34,0.35,0.38,0.34,0.32,0.34,0.32,0.35,0.33,0.35,0.34,0.34,0.31,0.34,0.35,0.33,0.29,0.31,0.3,0.32,0.29,0.27,0.25,0.29,0.29,0.29,0.27,0.24,0.27,0.26,0.27,0.25,0.27,0.23,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.22,0.23,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.21,0.23,0.23,0.23,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.19,0.21,0.19,0.18,0.16,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.15,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.15,0.16,0.16,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.13,0.0,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.0,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.13,0.0,87.82
