,CRTO,FUTR.L,HUBS,GOOGL,SFOR.L,ROKU,FB,TTGT,PERI,ADBE,TEAM,ZI,APPS,CRM,PEGA,YNDX,PUBM,ICLK,4751.T,MDLA,2013.HK,TTD,MGNI,BIDU,700.HK,QNST,4689.T,2491.T,RAMP,AcuityAds Holdings Inc,Us Dollars,iClick Interactive Asia Group Ltd ADR,AT.TO,TRMR,n/a,SUM
07/09/2021,6.29,5.36,4.57,4.4,3.95,3.93,3.86,3.84,3.77,3.54,3.41,3.37,3.36,3.31,3.24,3.21,3.2,3.07,3.02,2.98,2.88,2.69,2.63,2.63,2.6,2.52,2.43,2.03,1.87,1.63,0.42,0.0,0.0,0.0,0.0,100.01
07/12/2021,6.48,5.42,4.79,4.53,3.97,3.96,3.88,3.9,3.63,3.73,3.58,3.48,3.15,3.39,3.29,3.33,3.23,0.0,3.03,2.95,2.66,2.76,2.71,2.42,2.46,2.51,2.58,2.05,1.85,0.0,0.36,2.4,1.52,0.0,0.0,100.0
07/13/2021,6.48,5.42,4.79,4.53,3.97,3.96,3.88,3.9,3.63,3.73,3.58,3.48,3.15,3.39,3.29,3.33,3.23,0.0,3.03,2.95,2.66,2.76,2.71,2.42,2.46,2.51,2.58,2.05,1.85,0.0,0.36,2.4,1.52,0.0,0.0,100.0
07/14/2021,6.43,5.39,4.76,4.5,4.01,4.02,3.9,3.92,3.66,3.68,3.56,3.49,3.23,3.34,3.25,3.23,3.24,0.0,2.96,2.95,2.73,2.79,2.65,2.47,2.49,2.55,2.48,1.99,1.86,0.0,0.56,2.41,1.49,0.0,0.0,99.99
07/15/2021,6.29,5.49,4.65,4.57,4.08,4.05,3.94,3.84,3.67,3.67,3.48,3.53,3.25,3.32,3.23,3.26,3.19,0.0,3.04,2.92,2.77,2.8,2.53,2.47,2.47,2.57,2.55,2.03,1.82,0.0,0.56,2.45,1.51,0.0,0.0,100.0
07/16/2021,6.38,5.63,4.57,4.59,4.22,4.0,3.93,3.86,3.56,3.71,3.48,3.53,3.26,3.34,3.23,3.26,3.01,0.0,3.06,2.93,2.71,2.76,2.49,2.53,2.58,2.53,2.56,2.02,1.75,0.0,0.56,2.49,1.47,0.0,0.0,100.0
07/19/2021,6.19,5.75,4.5,4.72,4.19,3.92,3.97,3.83,3.49,3.83,3.57,3.42,3.14,3.36,3.22,3.32,2.89,0.0,3.08,2.89,2.55,2.68,2.44,2.62,2.7,2.57,2.8,2.25,1.74,0.0,0.58,2.34,1.45,0.0,0.0,100.0
07/20/2021,6.08,5.73,4.62,4.76,4.16,3.9,3.97,3.8,3.48,3.86,3.62,3.45,3.13,3.4,3.28,3.34,3.03,0.0,3.05,2.93,2.46,2.65,2.39,2.56,2.72,2.6,2.74,2.24,1.76,0.0,0.59,2.36,1.36,0.0,0.0,100.02
07/21/2021,6.08,5.73,4.62,4.76,4.16,3.9,3.97,3.8,3.48,3.86,3.62,3.45,3.13,3.4,3.28,3.34,3.03,0.0,3.05,2.93,2.46,2.65,2.39,2.56,2.72,2.6,2.74,2.24,1.76,0.0,0.59,2.36,1.36,0.0,0.0,100.02
07/22/2021,6.08,5.73,4.62,4.76,4.16,3.9,3.97,3.8,3.48,3.86,3.62,3.45,3.13,3.4,3.28,3.34,3.03,0.0,3.05,2.93,2.46,2.65,2.39,2.56,2.72,2.6,2.74,2.24,1.76,0.0,0.59,2.36,1.36,0.0,0.0,100.02
