,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,JNJ,NVDA,HD,BRK.B,UNH,JPM,TGT,ADBE,WMT,ACN,V,INTC,NKE,TSLA,PG,F,MA,COST,CMCSA,LOW,PYPL,IDXX,LLY,TXN,TMO,ORCL,PEP,CVS,EL,ABBV,CSCO,LRCX,BAC,INTU,KR,DIS,VZ,CDNS,CRM,VIAC,AVGO,BMY,T,AMD,MRK,MTD,AZO,PFE,AMGN,MCO,AMAT,CI,ORLY,WBA,PM,IBM,SNPS,ABT,EW,NOW,NFLX,DPZ,BBY,VTRS,LEN,MS,DHR,CHTR,QCOM,SPGI,FAST,CBRE,URI,C,ANTM,DG,KHC,CNC,BIIB,OMC,ZTS,GWW,UPS,TSN,ROKU,CL,ADSK,CLX,POOL,MMM,TSCO,KO,MTCH,WAB,TROW,HSY,GILD,FTNT,FDX,EBAY,SYF,PINS,LDOS,SWKS,PHM,NEE,WRK,YUM,VRSN,DOCU,FIS,HON,QRVO,CAT,BKNG,CHRW,CDW,CTAS,ITW,RMD,LUMN,ZM,TJX,W,SHW,ALGN,EA,DE,GPC,MMC,ATVI,MRNA,CARR,MCD,ALXN,KMB,SSNC,MU,ULTA,CMI,CTXS,ALLY,CERN,MO,XOM,JCI,MNST,MSI,BLK,ETSY,HPQ,HUM,TT,CVX,RNG,GE,LH,BK,MET,PGR,WAT,SJM,ETN,VRTX,EMR,NOC,SYY,LB,ROK,UNP,DELL,TER,BURL,A,SQ,WST,STX,CFG,IT,CRWD,AJG,ISRG,PH,J,GNRC,AON,BF.B,SYK,MASI,AAP,BX,SNAP,FISV,COF,IP,LMT,MDT,DLR,GRMN,SUI,USD,PANW,SBUX,1164.HK,CTSH,GE.,NUE,KLAC,HPE,WFC,DLTR,ADP,PSA,SCHW,ALL,n/a,DRI,SGEN,PAYX,BBWI WI,STLA.MI,PNC,REGN,ADI,HUBS,NTAP,ESZ1,PKI,SUM
07/09/2021,5.07,4.87,3.73,2.05,1.74,1.74,1.06,1.04,0.99,0.92,0.83,0.83,0.78,0.75,0.75,0.7,0.7,0.68,0.68,0.67,0.63,0.59,0.59,0.55,0.55,0.55,0.52,0.52,0.52,0.52,0.51,0.51,0.49,0.49,0.48,0.48,0.48,0.46,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.52000000000001
07/12/2021,5.14,4.89,3.8,2.02,1.74,1.74,1.07,1.01,0.99,0.92,0.83,0.82,0.79,0.77,0.75,0.71,0.7,0.68,0.68,0.67,0.63,0.58,0.58,0.57,0.56,0.54,0.53,0.53,0.53,0.51,0.51,0.53,0.5,0.49,0.48,0.49,0.48,0.45,0.43,0.44,0.44,0.43,0.42,0.42,0.42,0.4,0.4,0.42,0.4,0.4,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.37,0.35,0.34,0.35,0.34,0.34,0.35,0.35,0.33,0.32,0.33,0.31,0.31,0.32,0.31,0.32,0.33,0.3,0.31,0.31,0.3,0.29,0.29,0.3,0.3,0.29,0.29,0.31,0.27,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.15,0.0,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6
07/13/2021,5.14,4.89,3.8,2.02,1.74,1.74,1.07,1.01,0.99,0.92,0.83,0.82,0.79,0.77,0.75,0.71,0.7,0.68,0.68,0.67,0.63,0.58,0.58,0.57,0.56,0.54,0.53,0.53,0.53,0.51,0.51,0.53,0.5,0.49,0.48,0.49,0.48,0.45,0.43,0.44,0.44,0.43,0.42,0.42,0.42,0.4,0.4,0.42,0.4,0.4,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.37,0.35,0.34,0.35,0.34,0.34,0.35,0.35,0.33,0.32,0.33,0.31,0.31,0.32,0.31,0.32,0.33,0.3,0.31,0.31,0.3,0.29,0.29,0.3,0.3,0.29,0.29,0.31,0.27,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.15,0.0,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6
07/14/2021,5.15,4.85,3.75,2.03,1.72,1.73,1.07,1.0,0.99,0.93,0.83,0.84,0.79,0.76,0.75,0.71,0.69,0.68,0.68,0.67,0.63,0.59,0.58,0.57,0.55,0.55,0.53,0.53,0.52,0.51,0.51,0.54,0.49,0.49,0.48,0.48,0.48,0.45,0.44,0.44,0.44,0.44,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.4,0.4,0.41,0.4,0.39,0.39,0.38,0.37,0.37,0.35,0.34,0.35,0.34,0.34,0.34,0.35,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.3,0.28,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54999999999998
07/15/2021,5.12,4.82,3.74,2.04,1.74,1.74,1.06,1.02,0.99,0.93,0.84,0.85,0.8,0.75,0.75,0.71,0.69,0.68,0.68,0.69,0.63,0.59,0.59,0.56,0.55,0.55,0.54,0.52,0.52,0.52,0.5,0.53,0.49,0.49,0.48,0.49,0.47,0.45,0.45,0.44,0.44,0.45,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.4,0.4,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.33,0.32,0.32,0.31,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.24,0.21,0.24,0.23,0.23,0.23,0.23,0.24,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.19,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.0,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.15,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.58999999999999
07/16/2021,5.18,4.91,3.72,2.04,1.75,1.75,1.06,1.01,0.98,0.93,0.84,0.84,0.8,0.76,0.75,0.71,0.71,0.69,0.68,0.68,0.63,0.59,0.6,0.56,0.55,0.54,0.53,0.52,0.52,0.52,0.5,0.53,0.5,0.49,0.48,0.49,0.48,0.46,0.44,0.44,0.44,0.45,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.39,0.4,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.31,0.31,0.31,0.33,0.31,0.31,0.31,0.3,0.31,0.29,0.3,0.3,0.31,0.29,0.29,0.29,0.29,0.27,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.21,0.24,0.23,0.22,0.23,0.23,0.24,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.19,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6
07/19/2021,5.31,4.94,3.69,2.01,1.76,1.77,1.07,0.96,1.0,0.93,0.85,0.84,0.81,0.76,0.76,0.72,0.73,0.68,0.69,0.66,0.64,0.57,0.61,0.57,0.56,0.55,0.53,0.52,0.52,0.51,0.51,0.53,0.51,0.5,0.49,0.49,0.48,0.45,0.43,0.44,0.45,0.46,0.43,0.42,0.4,0.4,0.41,0.42,0.4,0.38,0.41,0.41,0.41,0.0,0.39,0.38,0.37,0.37,0.36,0.34,0.35,0.34,0.34,0.34,0.35,0.33,0.33,0.33,0.32,0.32,0.31,0.33,0.32,0.31,0.31,0.31,0.31,0.29,0.3,0.3,0.31,0.3,0.29,0.29,0.27,0.27,0.29,0.29,0.28,0.27,0.26,0.28,0.27,0.27,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.23,0.23,0.21,0.24,0.23,0.22,0.23,0.23,0.24,0.22,0.21,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.2,0.22,0.22,0.21,0.19,0.21,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.22,0.21,0.19,0.18,0.19,0.2,0.18,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.16,0.17,0.19,0.19,0.17,0.15,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.15,0.15,0.0,0.15,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.66999999999999
07/20/2021,5.25,4.95,3.64,1.99,1.76,1.78,1.07,0.92,1.0,0.93,0.85,0.83,0.8,0.77,0.76,0.72,0.73,0.67,0.68,0.66,0.65,0.56,0.61,0.57,0.55,0.55,0.53,0.53,0.52,0.51,0.51,0.54,0.52,0.5,0.49,0.49,0.48,0.43,0.42,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.4,0.42,0.4,0.38,0.41,0.42,0.41,0.4,0.4,0.39,0.36,0.37,0.36,0.34,0.35,0.34,0.34,0.34,0.35,0.33,0.32,0.33,0.32,0.31,0.31,0.32,0.33,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.31,0.3,0.29,0.29,0.27,0.27,0.29,0.29,0.28,0.27,0.25,0.28,0.27,0.27,0.25,0.25,0.26,0.27,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.2,0.24,0.23,0.22,0.24,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.21,0.22,0.22,0.2,0.19,0.21,0.19,0.22,0.21,0.21,0.19,0.2,0.2,0.19,0.25,0.21,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.18,0.19,0.17,0.19,0.18,0.18,0.17,0.17,0.16,0.19,0.19,0.17,0.15,0.16,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.15,0.16,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.15,0.15,0.0,0.15,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.69999999999999
07/21/2021,5.27,4.96,3.66,2.0,1.77,1.78,1.07,0.92,1.0,0.93,0.86,0.83,0.81,0.77,0.77,0.72,0.73,0.67,0.68,0.66,0.65,0.56,0.61,0.57,0.56,0.56,0.53,0.53,0.52,0.51,0.52,0.54,0.52,0.5,0.49,0.49,0.49,0.43,0.42,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.4,0.42,0.4,0.38,0.41,0.42,0.42,0.0,0.4,0.39,0.36,0.37,0.36,0.34,0.35,0.34,0.34,0.34,0.35,0.33,0.32,0.33,0.32,0.31,0.31,0.33,0.33,0.32,0.31,0.31,0.32,0.29,0.29,0.29,0.31,0.3,0.29,0.29,0.27,0.27,0.29,0.29,0.28,0.27,0.25,0.28,0.27,0.27,0.25,0.25,0.26,0.27,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.2,0.24,0.23,0.22,0.24,0.22,0.24,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.21,0.19,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.25,0.21,0.19,0.18,0.19,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.19,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.19,0.19,0.17,0.15,0.16,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.15,0.16,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.16,0.15,0.0,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.72
07/22/2021,5.17,4.94,3.66,1.99,1.75,1.76,1.07,0.96,1.0,0.92,0.84,0.81,0.81,0.77,0.77,0.72,0.71,0.67,0.68,0.67,0.66,0.55,0.58,0.58,0.55,0.55,0.53,0.54,0.53,0.51,0.52,0.54,0.52,0.5,0.48,0.49,0.48,0.44,0.42,0.44,0.49,0.44,0.43,0.43,0.41,0.39,0.41,0.42,0.4,0.39,0.41,0.42,0.41,0.41,0.4,0.38,0.36,0.36,0.36,0.34,0.35,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.32,0.33,0.32,0.31,0.31,0.32,0.29,0.29,0.29,0.3,0.3,0.3,0.29,0.27,0.27,0.29,0.29,0.29,0.27,0.26,0.28,0.27,0.28,0.25,0.25,0.25,0.27,0.24,0.24,0.24,0.25,0.24,0.25,0.25,0.24,0.22,0.21,0.24,0.23,0.22,0.24,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.22,0.21,0.19,0.2,0.2,0.22,0.2,0.21,0.19,0.2,0.2,0.19,0.28,0.21,0.19,0.18,0.2,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.19,0.18,0.17,0.17,0.17,0.19,0.19,0.17,0.15,0.16,0.17,0.17,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.15,0.16,0.17,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.0,0.15,0.0,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.68999999999998
