,4SPX  210730C01962770,4XSP  210730C00196290,4SPX  210730P03925530,4SPX  210730P03107700,4XSP  210730P00392570,4SPX  210730P01962770,4SPX  210730P02126320,4XSP  210730P00196290,4XSP  210730P00212630,4XSP  210730P00310770,Cash&Other,4XSP  210730C00392570,4XSP  210730C00350520,4SPX  210730C03925530,4SPX  210730C03505160,2SPY  220729C00003490,2SPY  220729P00416580,2SPY  220729P00285030,2SPY  220729C00465260,SUM
07/09/2021,130.56,5.09,0.19,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.09,-0.45,-0.89,-11.51,-22.93,0.0,0.0,0.0,0.0,100.00000000000004
07/12/2021,132.13,5.15,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.92,-12.25,-23.71,0.0,0.0,0.0,0.0,100.0
07/13/2021,132.13,5.15,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.92,-12.25,-23.71,0.0,0.0,0.0,0.0,100.0
07/14/2021,132.13,5.15,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.92,-12.25,-23.71,0.0,0.0,0.0,0.0,100.0
07/15/2021,133.07,5.19,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.49,-0.94,-12.68,-24.16,0.0,0.0,0.0,0.0,100.0
07/16/2021,132.22,5.15,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.93,-12.26,-23.74,0.0,0.0,0.0,0.0,99.99
07/19/2021,131.52,5.13,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.46,-0.91,-11.88,-23.38,0.0,0.0,0.0,0.0,100.0
07/20/2021,131.71,2.95,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.25,-0.51,-11.12,-22.7,0.0,0.0,0.0,0.0,100.01
07/21/2021,131.71,2.95,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.25,-0.51,-11.12,-22.7,0.0,0.0,0.0,0.0,100.01
07/22/2021,128.57,2.88,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.21,-0.47,-9.58,-21.19,0.0,0.0,0.0,0.0,100.0
07/23/2021,132.2,2.96,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.25,-0.52,-11.28,-22.98,0.0,0.0,0.0,0.0,100.0
07/26/2021,134.63,3.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.28,-0.54,-12.45,-24.19,0.0,0.0,0.0,0.0,100.01000000000003
07/27/2021,136.75,3.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.3,-0.57,-13.5,-25.25,0.0,0.0,0.0,0.0,99.99999999999996
07/28/2021,136.75,3.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.3,-0.57,-13.5,-25.25,0.0,0.0,0.0,0.0,99.99999999999996
07/29/2021,137.58,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.31,-0.58,-13.91,-25.66,0.0,0.0,0.0,0.0,99.99
07/30/2021,136.4,3.06,0.01,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.24,-0.3,-0.56,-13.3,-25.06,0.0,0.0,0.0,0.0,100.0
08/02/2021,137.07,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,-0.31,-0.57,-13.64,-25.4,0.0,0.0,0.0,0.0,99.98
08/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,97.85,5.97,-1.2,-3.48,99.95999999999998
08/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,97.85,5.97,-1.2,-3.48,99.95999999999998
08/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,97.9,6.03,-1.17,-3.56,100.0
08/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,98.05,5.78,-1.16,-3.72,100.01
08/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,98.51,5.53,-1.08,-3.76,100.0
08/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,98.51,5.53,-1.08,-3.76,100.0
08/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,98.41,5.61,-1.11,-3.77,99.99
08/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,98.46,5.63,-1.11,-3.84,100.0
08/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,98.86,5.37,-1.05,-4.04,99.99
08/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,98.82,5.33,-0.9,-4.03,99.98999999999998
08/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,98.82,5.33,-0.9,-4.03,99.98999999999998
08/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,99.22,5.25,-1.03,-4.27,100.0
08/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,98.67,5.58,-1.1,-3.99,99.99
08/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,98.15,6.03,-1.23,-3.79,99.99
08/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,98.64,5.66,-1.14,-3.99,99.99
08/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,98.64,5.66,-1.14,-3.99,99.99
08/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,99.33,5.23,-1.07,-4.31,100.0
08/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,99.34,5.29,-1.08,-4.37,100.0
08/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,99.14,5.38,-1.09,-4.27,100.0
08/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,99.69,5.01,-1.0,-4.54,100.0
09/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,99.69,5.01,-1.0,-4.54,100.0
09/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,100.02,4.89,-0.98,-4.77,99.99
09/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,100.06,4.93,-1.0,-4.82,100.0
09/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,100.13,4.87,-0.98,-4.88,99.99
09/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,100.18,4.89,-0.99,-4.93,100.0
09/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,100.18,4.89,-0.99,-4.93,100.0
09/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,100.18,4.89,-0.99,-4.93,100.0
09/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,99.92,5.1,-1.07,-4.8,100.0
09/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,99.55,5.34,-1.1,-4.64,99.99
09/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,99.07,5.57,-1.16,-4.33,99.99
09/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,99.07,5.57,-1.16,-4.33,99.99
09/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,99.19,5.43,-1.11,-4.35,100.00000000000001
