,4SPX  210730C01962770,4XSP  210730C00196290,4SPX  210730P03925530,4SPX  210730P03107700,4XSP  210730P00392570,4SPX  210730P01962770,4SPX  210730P02126320,4XSP  210730P00196290,4XSP  210730P00212630,4XSP  210730P00310770,Cash&Other,4XSP  210730C00392570,4XSP  210730C00350520,4SPX  210730C03925530,4SPX  210730C03505160,SUM
07/09/2021,130.56,5.09,0.19,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.09,-0.45,-0.89,-11.51,-22.93,100.00000000000004
07/12/2021,132.13,5.15,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.92,-12.25,-23.71,100.0
07/13/2021,132.13,5.15,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.92,-12.25,-23.71,100.0
07/14/2021,132.13,5.15,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.92,-12.25,-23.71,100.0
07/15/2021,133.07,5.19,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.49,-0.94,-12.68,-24.16,100.0
07/16/2021,132.22,5.15,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.48,-0.93,-12.26,-23.74,99.99
07/19/2021,131.52,5.13,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.46,-0.91,-11.88,-23.38,100.0
07/20/2021,131.71,2.95,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.25,-0.51,-11.12,-22.7,100.01
07/21/2021,131.71,2.95,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.25,-0.51,-11.12,-22.7,100.01
07/22/2021,128.57,2.88,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.21,-0.47,-9.58,-21.19,100.0
07/23/2021,132.2,2.96,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.25,-0.52,-11.28,-22.98,100.0
07/26/2021,134.63,3.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.28,-0.54,-12.45,-24.19,100.01000000000003
07/27/2021,136.75,3.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.3,-0.57,-13.5,-25.25,99.99999999999997
