,2QQQ  220630C00002850,2QQQ  220630C00354450,Cash&Other,2QQQ  220630C00377310,SUM
08/27/2021,99.31,22.31,0.6,-22.23,99.99
08/30/2021,99.0,21.57,0.59,-21.17,99.99
08/31/2021,99.4,22.57,0.59,-22.56,100.0
09/01/2021,99.4,22.57,0.59,-22.56,100.0
09/02/2021,99.71,24.11,0.58,-24.41,99.99
09/03/2021,99.67,24.23,0.58,-24.49,99.99
09/06/2021,99.69,24.28,0.57,-24.55,99.99
09/07/2021,99.79,24.82,0.56,-25.18,99.99
09/08/2021,99.79,24.82,0.56,-25.18,99.99
09/09/2021,99.79,24.82,0.56,-25.18,99.99
09/10/2021,100.1,25.3,0.56,-25.96,100.0
09/13/2021,99.95,24.65,0.56,-25.16,100.0
