,TSLA,AMZN,GOOG,SAM,SQ,FB,BILL,DOCU,CHGG,OKTA,WORK,V,CRM,MA,ISRG,STZ,CGNX,SPGI,NFLX,WAB,ICE,REGN,CMG,RNG,LMT,ALNY,NKE,BPMC,BIIB,ARGX,ADBE,ROST,VRSK,DKNG,SILK,BIGC,SBAC,WHD,Ascendis Pharma A/S ADR,CTRA.JK,Ssc Government Mm Gvmxx,ASND,MPWR,Paylocity Holding Corp,PCTY,n/a,SUM
07/09/2021,7.43,6.93,5.82,4.94,4.85,4.28,4.05,3.88,3.79,3.75,3.48,3.41,3.15,3.0,2.93,2.77,2.63,2.6,2.17,2.04,1.85,1.7,1.61,1.55,1.54,1.49,1.31,1.21,1.2,1.15,1.02,1.0,0.99,0.9,0.8,0.79,0.76,0.74,0.32,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,7.43,6.93,5.82,4.94,4.85,4.28,4.05,3.88,3.79,3.75,3.48,3.41,3.15,3.0,2.93,2.77,2.63,2.6,2.17,2.04,1.85,1.7,1.61,1.55,1.54,1.49,1.31,1.21,1.2,1.15,1.02,1.0,0.99,0.9,0.8,0.79,0.76,0.74,0.32,0.0,0.2,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,7.43,6.93,5.82,4.94,4.85,4.28,4.05,3.88,3.79,3.75,3.48,3.41,3.15,3.0,2.93,2.77,2.63,2.6,2.17,2.04,1.85,1.7,1.61,1.55,1.54,1.49,1.31,1.21,1.2,1.15,1.02,1.0,0.99,0.9,0.8,0.79,0.76,0.74,0.32,0.0,0.2,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,7.43,6.93,5.82,4.94,4.85,4.28,4.05,3.88,3.79,3.75,3.48,3.41,3.15,3.0,2.93,2.77,2.63,2.6,2.17,2.04,1.85,1.7,1.61,1.55,1.54,1.49,1.31,1.21,1.2,1.15,1.02,1.0,0.99,0.9,0.8,0.79,0.76,0.74,0.32,0.0,0.2,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,7.43,6.93,5.82,4.94,4.85,4.28,4.05,3.88,3.79,3.75,3.48,3.41,3.15,3.0,2.93,2.77,2.63,2.6,2.17,2.04,1.85,1.7,1.61,1.55,1.54,1.49,1.31,1.21,1.2,1.15,1.02,1.0,0.99,0.9,0.8,0.79,0.76,0.74,0.32,0.0,0.2,0.0,0.0,0.0,0.0,0.0,100.03
07/16/2021,7.43,6.93,5.82,4.94,4.85,4.28,4.05,3.88,3.79,3.75,3.48,3.41,3.15,3.0,2.93,2.77,2.63,2.6,2.17,2.04,1.85,1.7,1.61,1.55,1.54,1.49,1.31,1.21,1.2,1.15,1.02,1.0,0.99,0.9,0.8,0.79,0.76,0.74,0.32,0.0,0.2,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
07/20/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
07/21/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
07/22/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
07/23/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
07/26/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
07/27/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
07/28/2021,5.85,7.55,5.8,3.65,4.1,4.85,5.02,5.4,3.04,4.2,2.87,3.23,2.44,2.81,2.85,3.11,2.06,2.75,2.43,2.0,1.52,2.43,1.37,1.77,1.55,1.6,1.18,0.95,1.49,0.98,1.0,0.0,0.77,1.01,0.58,1.43,1.08,1.03,0.0,0.0,0.43,0.7,0.62,0.52,0.0,0.0,100.02
