,NYMEX Light Sweet Crude Oil Future,AGPXX,B 0 08/05/21,CLTL,XIB 0 10/07/21,Cash/Receivables/Payables,B 0 10/07/21,1257.HK,B 0 11/12/21,B 0 12/09/21,United States Treasury Bill,United States Treasury Bills 0%,018000.KQ,B 0 01/13/22,B 0 02/03/22,B 0 12/02/21,B 0 01/06/22,n/a,688008.SS,XIB 0 12/09/21,SUM
07/09/2021,100.02,49.99,31.04,11.7,9.76,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.84
07/12/2021,100.03,46.47,30.51,11.51,0.0,0.0,9.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.11
07/13/2021,100.03,46.47,30.51,11.51,0.0,0.0,9.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.11
07/14/2021,0.0,23.46,15.4,5.81,0.0,0.0,4.84,50.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,100.26,46.59,30.59,11.54,0.0,2.01,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.61
07/16/2021,100.01,47.52,29.96,11.3,0.0,0.06,9.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.27
07/19/2021,100.01,48.88,31.1,11.73,0.0,0.0,9.78,0.0,3.91,3.91,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.23
07/20/2021,0.0,17.8,15.51,5.85,0.0,0.0,4.88,50.1,1.95,1.95,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,0.0,17.8,15.51,5.85,0.0,0.0,4.88,50.1,1.95,1.95,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,100.02,38.64,33.28,12.55,0.0,0.0,10.47,0.0,4.19,4.19,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.53
07/23/2021,100.03,30.84,32.9,12.41,0.0,0.0,10.35,0.0,4.14,4.14,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.95
07/26/2021,100.0,31.83,32.09,12.11,0.0,0.0,10.09,0.0,4.04,4.04,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.24
07/27/2021,100.01,33.53,31.98,12.06,0.0,0.0,10.06,0.0,4.02,4.02,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.7
07/28/2021,0.0,16.79,16.01,6.04,0.0,0.0,5.04,50.08,2.01,2.01,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,0.0,17.0,15.98,6.03,0.0,0.0,5.02,0.0,2.01,2.01,0.0,2.01,49.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,100.0,34.94,31.36,11.83,0.0,0.0,9.86,0.0,3.94,3.94,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,199.81
08/04/2021,100.0,34.94,31.36,11.83,0.0,0.0,9.86,0.0,3.94,3.94,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,199.81
08/05/2021,99.74,36.39,32.43,12.23,0.0,0.0,10.2,0.0,4.08,4.08,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,203.23
08/10/2021,0.0,21.62,0.0,6.49,0.0,0.0,5.41,0.0,2.16,2.16,0.0,0.0,49.84,0.0,3.46,3.35,3.35,2.16,0.0,0.0,100.0
08/11/2021,0.0,21.62,0.0,6.49,0.0,0.0,5.41,0.0,2.16,2.16,0.0,0.0,49.84,0.0,3.46,3.35,3.35,2.16,0.0,0.0,100.0
08/17/2021,0.0,21.23,0.0,6.6,0.0,0.0,5.5,0.0,2.2,2.2,0.0,0.0,49.74,0.0,3.52,3.41,3.41,2.2,0.0,0.0,100.01
08/18/2021,0.0,21.23,0.0,6.6,0.0,0.0,5.5,49.74,2.2,2.2,0.0,0.0,0.0,0.0,3.52,3.41,3.41,2.2,0.0,0.0,100.01
08/30/2021,0.0,22.09,0.0,5.02,0.0,0.0,5.7,0.0,2.28,2.28,0.0,0.0,0.0,0.0,3.65,3.54,3.54,2.28,49.63,0.0,100.01
08/31/2021,0.0,20.9,0.0,5.07,0.0,0.0,5.76,0.0,2.31,2.31,0.0,0.0,0.0,0.0,3.69,3.57,3.57,2.31,50.52,0.0,100.01
09/01/2021,0.0,20.9,0.0,5.07,0.0,0.0,5.76,0.0,2.31,2.31,0.0,0.0,0.0,0.0,3.69,3.57,3.57,2.31,50.52,0.0,100.01
09/08/2021,0.0,44.64,0.0,9.98,0.0,0.0,11.35,0.0,4.54,4.54,0.0,0.0,0.0,4.54,7.27,7.04,7.04,100.01,0.0,0.0,200.95
09/09/2021,0.0,22.22,0.0,4.97,0.0,0.0,5.65,0.0,2.26,2.26,0.0,0.0,0.0,2.26,3.62,3.5,3.5,49.77,0.0,0.0,100.01000000000002
09/10/2021,0.0,44.38,0.0,10.12,0.0,0.0,11.51,0.0,4.6,0.0,0.0,0.0,0.0,4.6,7.37,7.14,7.14,100.01,0.0,4.6,201.47
09/13/2021,0.0,21.99,0.0,5.04,0.0,0.0,5.73,0.0,2.29,2.29,0.0,0.0,0.0,2.29,3.67,3.55,3.55,49.59,0.0,0.0,99.99
09/14/2021,0.0,41.84,0.0,9.95,0.0,0.0,11.31,0.0,4.52,4.52,0.0,0.0,0.0,4.52,7.24,7.01,7.01,100.02,0.0,0.0,197.94000000000003
09/15/2021,0.0,21.14,0.0,5.02,0.0,0.0,5.71,0.0,2.29,2.29,0.0,0.0,0.0,2.29,3.66,3.54,3.54,50.53,0.0,0.0,100.01000000000002
