,ROG.SW,NOVN.SW,ULVR.L,SIE.DE,SAN.PA,BHP.AX,ALV.DE,GSK.L,RIO.L,BATS.L,ENEL.MI,IBE.MC,7974.T,ZURN.SW,9433.T,WES.AX,BN.PA,NG.L,9434.T,RIO.AX,8001.T,9432.T,AD.AS,HOLN.SW,O39.SI,FMG.AX,8766.T,5108.T,TSCO.L,BA.L,U11.SI,2914.T,G.MI,UPM.HE,IMB.L,16.HK,Cash & Cash Equivalents,1925.T,2.HK,2503.T,III.L,SLHN.SW,11.HK,SCMN.SW,1113.HK,3407.T,8725.T,PSN.L,NN.AS,1928.T,2388.HK,8630.T,FORTUM.HE,SRG.MI,STJ.L,ASX.AX,ADEN.SW,TRN.MI,1997.HK,YAR.OL,TRYG.CO,MRW.L,ELISA.HE,SVT.L,6.HK,EN.PA,ADM.L,MNG.L,REE.MC,ELE.MC,HL.L,ORK.OL,BALN.SW,TEL2 B.ST,8795.T,LUNE.ST,EVK.DE,12.HK,S68.SI,CPU.AX,MPL.AX,ELUX B.ST,SPK.NZ,1801.T,G1A.DE,SDR.L,EVN.AX,1812.T,MFG.AX,ENG.MC,DLG.L,AZJ.AX,1802.T,83.HK,SECU B.ST,6823.HK,101.HK,ICA.ST,4042.T,ORNBV.HE,S63.SI,GJF.OL,7186.T,V03.SI,1038.HK,4732.T,4182.T,HOT.DE,MFSU1,IBE/D.MC,IBEDE.,1902025,n/a,SUM
07/09/2021,5.72,5.2,4.91,4.37,4.25,3.94,3.77,3.64,3.34,3.09,2.8,2.64,2.46,2.16,1.83,1.8,1.7,1.66,1.37,1.27,1.26,1.22,1.13,1.12,1.1,1.08,1.07,0.97,0.91,0.85,0.84,0.84,0.81,0.76,0.74,0.71,0.66,0.64,0.6,0.59,0.59,0.58,0.57,0.55,0.52,0.51,0.5,0.48,0.48,0.46,0.45,0.45,0.45,0.43,0.41,0.4,0.39,0.39,0.35,0.35,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,5.75,5.26,4.91,4.39,4.27,3.97,3.79,3.64,3.46,3.05,2.79,2.57,2.34,2.18,1.85,1.8,1.67,1.68,1.38,1.27,1.25,1.22,1.14,1.12,1.08,1.1,1.06,0.94,0.92,0.87,0.82,0.83,0.81,0.77,0.75,0.7,0.69,0.62,0.59,0.57,0.59,0.59,0.55,0.56,0.5,0.49,0.49,0.48,0.49,0.45,0.44,0.45,0.45,0.43,0.41,0.39,0.39,0.39,0.34,0.36,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.3,0.29,0.27,0.26,0.24,0.25,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.24,0.23,0.22,0.22,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.14,0.14,0.14,0.14,0.12,0.0,0.0,0.06,0.0,0.0,0.0,100.01000000000002
07/13/2021,5.75,5.26,4.91,4.39,4.27,3.97,3.79,3.64,3.46,3.05,2.79,2.57,2.34,2.18,1.85,1.8,1.67,1.68,1.38,1.27,1.25,1.22,1.14,1.12,1.08,1.1,1.06,0.94,0.92,0.87,0.82,0.83,0.81,0.77,0.75,0.7,0.69,0.62,0.59,0.57,0.59,0.59,0.55,0.56,0.5,0.49,0.49,0.48,0.49,0.45,0.44,0.45,0.45,0.43,0.41,0.39,0.39,0.39,0.34,0.36,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.3,0.29,0.27,0.26,0.24,0.25,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.24,0.23,0.22,0.22,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.14,0.14,0.14,0.14,0.12,0.0,0.0,0.06,0.0,0.0,0.0,100.01000000000002
07/15/2021,5.75,5.23,4.9,4.37,4.31,4.06,3.75,3.63,3.44,3.03,2.81,2.58,2.32,2.18,1.85,1.79,1.66,1.68,1.38,1.28,1.26,1.22,1.14,1.11,1.08,1.13,1.06,0.93,0.91,0.86,0.82,0.84,0.81,0.77,0.75,0.7,0.69,0.63,0.59,0.58,0.58,0.58,0.54,0.56,0.51,0.5,0.49,0.47,0.48,0.46,0.44,0.45,0.44,0.43,0.41,0.39,0.39,0.4,0.34,0.35,0.33,0.32,0.32,0.32,0.3,0.32,0.32,0.3,0.3,0.29,0.3,0.29,0.27,0.26,0.25,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.13,0.0,0.0,0.06,0.0,0.0,0.0,100.02
07/16/2021,5.74,5.2,4.92,4.39,4.29,4.02,3.74,3.63,3.41,3.03,2.8,2.56,2.3,2.17,1.86,1.79,1.66,1.67,1.38,1.28,1.27,1.23,1.13,1.11,1.09,1.15,1.08,0.94,0.91,0.86,0.83,0.85,0.81,0.76,0.75,0.71,0.68,0.63,0.59,0.59,0.58,0.58,0.55,0.56,0.51,0.51,0.5,0.47,0.49,0.47,0.44,0.47,0.44,0.43,0.42,0.39,0.39,0.4,0.35,0.35,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.3,0.29,0.27,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.13,0.0,0.0,0.06,0.0,0.0,0.0,100.06
07/19/2021,5.75,5.15,4.9,4.28,4.24,4.1,3.74,3.57,3.48,3.07,2.77,2.54,2.32,2.16,1.88,1.8,1.64,1.66,1.4,1.31,1.28,1.23,1.13,1.11,1.09,1.18,1.09,0.89,0.9,0.86,0.82,0.86,0.8,0.76,0.75,0.72,0.68,0.64,0.6,0.58,0.57,0.58,0.55,0.56,0.51,0.5,0.51,0.47,0.49,0.47,0.45,0.47,0.44,0.43,0.42,0.39,0.38,0.4,0.35,0.36,0.33,0.32,0.33,0.32,0.32,0.31,0.32,0.29,0.3,0.28,0.29,0.27,0.27,0.28,0.25,0.24,0.26,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.15,0.13,0.0,0.0,0.06,0.0,0.0,0.0,100.0
07/22/2021,5.89,5.21,4.99,4.22,4.3,4.04,3.63,3.6,3.27,3.04,2.71,2.56,2.3,2.15,1.9,1.84,1.66,1.67,1.43,1.29,1.31,1.25,1.14,1.08,1.09,1.17,1.11,0.91,0.9,0.85,0.82,0.88,0.79,0.76,0.74,0.72,0.73,0.65,0.61,0.58,0.56,0.57,0.55,0.57,0.51,0.5,0.52,0.46,0.48,0.47,0.45,0.48,0.44,0.43,0.4,0.4,0.37,0.4,0.35,0.34,0.32,0.32,0.34,0.33,0.32,0.32,0.32,0.28,0.3,0.29,0.29,0.26,0.26,0.28,0.25,0.23,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.25,0.23,0.22,0.2,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.15,0.13,0.0,0.0,0.06,0.0,0.0,0.0,99.99
07/23/2021,5.85,5.23,4.98,4.26,4.32,3.95,3.68,3.6,3.32,3.01,2.72,2.57,2.24,2.18,1.9,1.85,1.67,1.66,1.42,1.26,1.29,1.25,1.15,1.1,1.09,1.16,1.11,0.91,0.89,0.87,0.83,0.88,0.8,0.77,0.73,0.71,0.71,0.64,0.61,0.58,0.57,0.58,0.55,0.57,0.51,0.49,0.51,0.47,0.49,0.47,0.44,0.48,0.44,0.44,0.41,0.4,0.38,0.4,0.35,0.35,0.33,0.32,0.34,0.33,0.32,0.32,0.32,0.29,0.3,0.29,0.29,0.26,0.27,0.28,0.25,0.23,0.27,0.25,0.25,0.23,0.25,0.22,0.24,0.24,0.24,0.22,0.2,0.23,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.12,0.0,0.0,0.06,0.0,0.0,0.0,100.0
07/26/2021,5.61,5.21,4.66,4.44,4.3,4.12,3.74,3.59,3.32,3.02,2.81,2.6,2.23,2.21,1.87,1.89,1.63,1.62,1.4,1.28,1.28,1.22,1.16,1.11,1.1,1.16,1.1,0.9,0.9,0.88,0.83,0.87,0.81,0.79,0.74,0.72,0.71,0.64,0.61,0.57,0.62,0.6,0.55,0.57,0.51,0.49,0.51,0.46,0.49,0.46,0.44,0.48,0.45,0.43,0.41,0.4,0.39,0.4,0.36,0.35,0.33,0.33,0.34,0.33,0.32,0.32,0.32,0.3,0.31,0.3,0.29,0.26,0.27,0.28,0.25,0.23,0.26,0.25,0.26,0.24,0.25,0.22,0.23,0.24,0.24,0.23,0.19,0.23,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.14,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.06,0.0,0.0,99.99
07/29/2021,5.61,5.16,4.62,4.43,4.27,4.13,3.75,3.55,3.46,3.04,2.83,2.58,2.22,2.21,1.86,1.91,1.62,1.63,1.4,1.3,1.29,1.21,1.16,1.12,1.08,1.16,1.1,0.91,0.9,0.89,0.82,0.87,0.81,0.8,0.75,0.7,0.71,0.64,0.61,0.57,0.63,0.61,0.54,0.57,0.5,0.49,0.51,0.46,0.5,0.46,0.43,0.48,0.45,0.44,0.41,0.4,0.4,0.41,0.35,0.35,0.33,0.32,0.33,0.33,0.32,0.32,0.33,0.3,0.31,0.29,0.29,0.26,0.27,0.27,0.25,0.24,0.26,0.24,0.26,0.24,0.25,0.22,0.23,0.24,0.24,0.23,0.2,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.14,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.06,0.0,0.0,99.99
