,AAPL,FB,MTB,IBM,NVDA,DHR,SBUX,COST,MCO,DIS,APH,LRCX,AVY,ADBE,NFLX,AMT,SYK,ED,CRM,CL,PGR,PLD,XYL,INFO,IFF,CARR,KMB,ROST,ALXN,KLAC,KMX,RE,FLT,EXPD,IQV,IT,WLTW,WU,CDW,NLSN,A,EA,ALLE,PAYX,CTLT,PVH,VTR,AMD,HAS,LYV,MKC,NTAP,OMC,INCY,NLOK,WDC,HSIC,DISCA,UAA,HRL,Cash & Cash Equivalents,Cash,Discovery Inc Class A,Under Armour Inc A,SUM
07/09/2021,4.93,4.68,4.43,3.81,3.63,3.56,3.45,3.43,3.24,3.11,2.99,2.78,2.69,2.64,2.37,2.35,2.27,2.22,2.18,2.12,2.12,2.08,2.07,2.01,1.95,1.92,1.74,1.64,1.6,1.38,1.16,1.11,1.11,1.1,1.08,1.07,1.0,0.9,0.77,0.65,0.65,0.63,0.59,0.5,0.5,0.49,0.48,0.45,0.44,0.4,0.38,0.38,0.38,0.37,0.37,0.33,0.33,0.25,0.25,0.24,0.14,0.1,0.0,0.0,99.99
07/12/2021,5.16,4.6,4.24,3.61,3.64,3.62,3.54,3.5,3.32,3.01,3.01,2.68,2.67,2.72,2.37,2.4,2.28,2.23,2.2,2.13,2.12,2.12,2.06,2.04,1.93,1.91,1.75,1.62,1.58,1.35,1.21,1.08,1.1,1.11,1.1,1.1,0.99,0.9,0.78,0.63,0.65,0.63,0.59,0.51,0.51,0.46,0.48,0.43,0.44,0.37,0.38,0.38,0.37,0.36,0.38,0.32,0.33,0.0,0.24,0.24,0.14,0.11,0.24,0.0,99.96999999999998
07/13/2021,5.16,4.6,4.24,3.61,3.64,3.62,3.54,3.5,3.32,3.01,3.01,2.68,2.67,2.72,2.37,2.4,2.28,2.23,2.2,2.13,2.12,2.12,2.06,2.04,1.93,1.91,1.75,1.62,1.58,1.35,1.21,1.08,1.1,1.11,1.1,1.1,0.99,0.9,0.78,0.63,0.65,0.63,0.59,0.51,0.51,0.46,0.48,0.43,0.44,0.37,0.38,0.38,0.37,0.36,0.38,0.32,0.33,0.0,0.24,0.24,0.14,0.11,0.24,0.0,99.96999999999998
07/14/2021,5.17,4.58,4.16,3.67,3.59,3.64,3.54,3.56,3.33,3.04,3.01,2.68,2.67,2.75,2.37,2.42,2.29,2.26,2.2,2.15,2.12,2.14,2.06,2.04,1.93,1.9,1.77,1.61,1.59,1.35,1.19,1.06,1.09,1.1,1.09,1.1,0.97,0.9,0.78,0.62,0.65,0.62,0.58,0.51,0.51,0.46,0.49,0.43,0.44,0.37,0.38,0.38,0.37,0.36,0.37,0.32,0.33,0.0,0.24,0.24,0.14,0.08,0.23,0.0,99.98999999999998
07/15/2021,5.18,4.59,4.26,3.65,3.58,3.6,3.55,3.57,3.31,3.08,3.03,2.68,2.68,2.71,2.37,2.4,2.27,2.23,2.17,2.13,2.13,2.16,2.07,2.0,1.91,1.89,1.74,1.63,1.58,1.36,1.19,1.07,1.09,1.1,1.09,1.1,0.98,0.9,0.78,0.63,0.65,0.62,0.58,0.52,0.5,0.48,0.49,0.43,0.44,0.37,0.38,0.38,0.37,0.36,0.37,0.32,0.33,0.0,0.24,0.24,0.14,0.08,0.24,0.0,99.96999999999998
07/16/2021,5.14,4.61,4.27,3.62,3.65,3.6,3.57,3.51,3.29,3.2,3.02,2.72,2.67,2.69,2.37,2.41,2.27,2.23,2.14,2.13,2.12,2.19,2.07,1.98,1.92,1.92,1.73,1.62,1.59,1.38,1.2,1.07,1.08,1.1,1.08,1.09,0.96,0.9,0.77,0.63,0.65,0.62,0.58,0.51,0.5,0.48,0.5,0.43,0.44,0.37,0.37,0.38,0.37,0.36,0.37,0.33,0.33,0.0,0.24,0.23,0.14,0.08,0.24,0.0,100.03
07/19/2021,5.33,4.56,4.19,3.61,3.55,3.59,3.62,3.55,3.31,3.2,3.01,2.7,2.65,2.74,2.42,2.43,2.25,2.23,2.14,2.15,2.08,2.17,2.07,1.98,1.87,1.92,1.75,1.63,1.61,1.36,1.19,1.05,1.1,1.1,1.07,1.09,0.96,0.91,0.77,0.62,0.65,0.63,0.57,0.52,0.49,0.46,0.5,0.42,0.44,0.36,0.37,0.37,0.37,0.35,0.36,0.32,0.33,0.0,0.24,0.23,0.14,0.09,0.23,0.0,99.97
07/20/2021,5.33,4.54,4.25,3.64,3.41,3.67,3.62,3.58,3.32,3.22,3.0,2.68,2.66,2.74,2.41,2.44,2.22,2.28,2.11,2.17,2.04,2.2,2.06,2.01,1.87,1.95,1.77,1.62,1.56,1.34,1.17,1.06,1.11,1.1,1.08,1.09,0.96,0.91,0.77,0.62,0.65,0.63,0.58,0.52,0.49,0.45,0.5,0.42,0.43,0.36,0.38,0.37,0.37,0.36,0.35,0.31,0.33,0.0,0.23,0.24,0.14,0.09,0.23,0.0,100.01
07/21/2021,5.33,4.54,4.25,3.64,3.41,3.67,3.62,3.58,3.32,3.22,3.0,2.68,2.66,2.74,2.41,2.44,2.22,2.28,2.11,2.17,2.04,2.2,2.06,2.01,1.87,1.95,1.77,1.62,1.56,1.34,1.17,1.06,1.11,1.1,1.08,1.09,0.96,0.91,0.77,0.62,0.65,0.63,0.58,0.52,0.49,0.45,0.5,0.42,0.43,0.36,0.38,0.37,0.37,0.36,0.35,0.31,0.33,0.0,0.23,0.24,0.14,0.09,0.23,0.0,100.01
07/22/2021,5.29,4.53,4.15,3.63,3.29,3.75,3.64,3.6,3.38,3.16,2.97,2.61,2.62,2.76,2.38,2.47,2.24,2.31,2.14,2.21,2.08,2.22,2.07,2.04,1.88,1.94,1.81,1.58,1.57,1.31,1.18,1.08,1.11,1.1,1.09,1.1,0.97,0.92,0.77,0.63,0.66,0.64,0.59,0.52,0.49,0.44,0.51,0.41,0.43,0.35,0.39,0.36,0.37,0.35,0.36,0.3,0.33,0.23,0.0,0.24,0.14,0.09,0.0,0.22,100.0
