,TLRY,FAF.TO,VFF.TO,OGI.TO,WEED.TO,CRON.TO,GRWG,VLNS.TO,HYFM,RIV.TO,AMRS,XLY.TO,YCBD,SMG,LABS.TO,CLVR,HEXO.TO,AAK.ST,CWEB.TO,ENW.V,WAT,FIRE.TO,PKI,GNLN,HITI.V,CRDL.TO,NBEV,NEPT.TO,CREE,AGFY,AH.TO,WLLW.TO,Nova Cannabis Inc Ordinary Shares,ALTR.LS,n/a,SUM
07/09/2021,6.2,5.59,5.17,5.15,5.13,4.96,4.88,4.0,3.98,3.88,3.7,3.25,3.2,3.14,2.78,2.61,2.61,2.53,2.46,2.35,2.16,2.05,2.04,2.0,1.96,1.83,1.83,1.79,1.73,1.7,1.7,0.98,0.65,0.0,0.0,99.99
07/12/2021,6.2,5.59,5.17,5.15,5.13,4.96,4.88,4.0,3.98,3.88,3.7,3.25,3.2,3.14,2.78,2.61,2.61,0.0,2.46,2.35,2.16,2.05,2.04,2.0,1.96,1.83,1.83,1.79,1.73,1.7,1.7,0.98,0.65,2.53,0.0,99.99
07/13/2021,6.2,5.59,5.17,5.15,5.13,4.96,4.88,4.0,3.98,3.88,3.7,3.25,3.2,3.14,2.78,2.61,2.61,0.0,2.46,2.35,2.16,2.05,2.04,2.0,1.96,1.83,1.83,1.79,1.73,1.7,1.7,0.98,0.65,2.53,0.0,99.99
07/14/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/15/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/16/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/19/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/20/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/21/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/22/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/23/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/26/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/27/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/28/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/29/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
07/30/2021,6.89,4.5,5.93,4.5,6.53,4.88,5.52,3.42,4.63,4.41,4.69,2.44,3.22,2.92,2.49,2.4,2.29,0.0,2.02,1.96,2.44,0.0,2.2,2.37,2.07,1.66,1.89,1.8,1.85,2.36,1.63,0.87,0.64,2.57,0.0,99.99
