,NVDA,MSFT,TSLA,PYPL,V,MA,UNH,CMCSA,GOOG,GOOGL,ADBE,INTC,VZ,CRM,CSCO,T,ACN,AVGO,TXN,QCOM,UPS,UNP,ORCL,IBM,INTU,AMAT,AMT,AMD,NOW,AXP,DE,SPGI,ANTM,SQ,CHTR,LRCX,BKNG,MU,FIS,PLD,FGXXX,ADP,TMUS,CCI,CI,PNC,ZM,CME,TFC,SNAP,FDX,CSX,ATVI,MMC,COF,EQIX,NSC,ICE,ADSK,UBER,CB,FISV,TWLO,ETN,MCO,SNOW,PGR,HUM,GPN,HCA,TWTR,AON,DOCU,JCI,ROKU,CRWD,KLAC,IQV,EBAY,MRVL,PSA,TT,PINS,SPG,VEEV,MSCI,WDAY,CARR,SNPS,CNC,INFO,AIG,MET,BK,PRU,EA,MTCH,ORLY,PH,MCHP,ALL,PLTR,TRV,CDNS,MSI,CTSH,DFS,OTIS,PANW,CMI,PAYX,WELL,SBAC,AFL,FTNT,FRC,SWK,AZO,KKR,ROK,TTD,CSGP,MTD,DHI,PTON,SWKS,MCK,SIVB,PCAR,ANSS,FAST,WLTW,EFX,OKTA,AVB,AMP,EQR,VRSK,KEYS,CPRT,AWK,ZBRA,CBRE,EPAM,LEN,MXIM,FITB,SYF,LBRDK,AJG,ODFL,BBY,KSU,HUBS,DELL,O,CDW,CVNA,CERN,URI,EXPE,SPLK,RNG,NET,TDOC,VRSN,ENPH,HIG,QRVO,WAT,DDOG,DOV,WORK,EXR,TER,EXPD,VTR,INVH,KMX,WDC,TRU,IT,FLT,TRMB,ANET,TTWO,MDB,KEY,NDAQ,ESS,CFG,Z,RF,RBLX,MAA,COUP,PAYC,MTB,SUI,AKAM,BR,TYL,ALLY,DRE,CINF,GPC,NVR,MPWR,ON,ZS,STX,POOL,SUM
07/09/2021,4.8,4.63,4.17,3.81,3.63,3.4,3.34,3.13,2.27,2.24,1.59,1.3,1.28,1.24,1.19,1.18,1.09,1.05,1.0,0.91,0.87,0.85,0.79,0.75,0.75,0.72,0.68,0.64,0.61,0.58,0.57,0.57,0.54,0.53,0.52,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.47,0.46,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.3,0.3,0.3,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.54
07/12/2021,4.8,4.73,3.94,3.88,3.68,3.4,3.37,3.13,2.32,2.29,1.64,1.29,1.28,1.25,1.17,1.17,1.11,1.04,0.99,0.9,0.88,0.86,0.85,0.71,0.76,0.7,0.7,0.62,0.63,0.58,0.56,0.57,0.54,0.54,0.53,0.49,0.5,0.5,0.51,0.51,0.5,0.49,0.49,0.49,0.46,0.45,0.44,0.42,0.41,0.41,0.41,0.42,0.41,0.41,0.4,0.42,0.39,0.37,0.37,0.35,0.36,0.36,0.35,0.34,0.34,0.35,0.33,0.33,0.32,0.32,0.3,0.3,0.31,0.28,0.26,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.23,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.21,0.22,0.2,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.61
07/13/2021,4.8,4.73,3.94,3.88,3.68,3.4,3.37,3.13,2.32,2.29,1.64,1.29,1.28,1.25,1.17,1.17,1.11,1.04,0.99,0.9,0.88,0.86,0.85,0.71,0.76,0.7,0.7,0.62,0.63,0.58,0.56,0.57,0.54,0.54,0.53,0.49,0.5,0.5,0.51,0.51,0.5,0.49,0.49,0.49,0.46,0.45,0.44,0.42,0.41,0.41,0.41,0.42,0.41,0.41,0.4,0.42,0.39,0.37,0.37,0.35,0.36,0.36,0.35,0.34,0.34,0.35,0.33,0.33,0.32,0.32,0.3,0.3,0.31,0.28,0.26,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.23,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.21,0.22,0.2,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.61
07/14/2021,4.73,4.7,4.01,3.92,3.66,3.39,3.38,3.12,2.31,2.28,1.63,1.29,1.27,1.23,1.18,1.15,1.12,1.07,0.99,0.91,0.87,0.83,0.86,0.72,0.76,0.7,0.7,0.62,0.63,0.59,0.56,0.56,0.54,0.53,0.53,0.49,0.51,0.5,0.51,0.52,0.46,0.49,0.48,0.49,0.46,0.45,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.41,0.41,0.41,0.37,0.38,0.37,0.35,0.36,0.36,0.35,0.35,0.34,0.38,0.33,0.33,0.32,0.33,0.3,0.3,0.31,0.28,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.56
07/15/2021,4.81,4.66,4.16,3.94,3.63,3.4,3.39,3.11,2.31,2.29,1.61,1.3,1.26,1.22,1.17,1.14,1.11,1.07,1.0,0.91,0.87,0.83,0.85,0.71,0.76,0.7,0.7,0.62,0.62,0.59,0.56,0.56,0.55,0.53,0.51,0.5,0.5,0.5,0.51,0.53,0.46,0.49,0.49,0.49,0.46,0.46,0.42,0.42,0.42,0.4,0.41,0.4,0.4,0.4,0.42,0.42,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.34,0.37,0.33,0.33,0.31,0.33,0.31,0.29,0.3,0.29,0.27,0.28,0.27,0.26,0.25,0.26,0.26,0.26,0.22,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.22,0.21,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.18,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.57
07/16/2021,4.81,4.66,4.16,3.94,3.63,3.4,3.39,3.11,2.31,2.29,1.61,1.3,1.26,1.22,1.17,1.14,1.11,1.07,1.0,0.91,0.87,0.83,0.85,0.71,0.76,0.7,0.7,0.62,0.62,0.59,0.56,0.56,0.55,0.53,0.51,0.5,0.5,0.5,0.51,0.53,0.46,0.49,0.49,0.49,0.46,0.46,0.42,0.42,0.42,0.4,0.41,0.4,0.4,0.4,0.42,0.42,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.34,0.37,0.33,0.33,0.31,0.33,0.31,0.29,0.3,0.29,0.27,0.28,0.27,0.26,0.25,0.26,0.26,0.26,0.22,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.22,0.21,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.18,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.57
07/19/2021,4.49,4.78,3.99,3.9,3.83,3.57,3.46,3.13,2.35,2.32,1.64,1.29,1.29,1.2,1.19,1.15,1.14,1.07,0.99,0.91,0.87,0.83,0.85,0.71,0.76,0.69,0.71,0.6,0.63,0.59,0.55,0.56,0.55,0.52,0.51,0.5,0.5,0.49,0.52,0.53,0.47,0.5,0.5,0.49,0.46,0.46,0.4,0.42,0.43,0.38,0.41,0.41,0.4,0.4,0.41,0.42,0.38,0.37,0.37,0.34,0.37,0.36,0.33,0.35,0.34,0.35,0.32,0.34,0.33,0.33,0.3,0.29,0.3,0.29,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.26,0.22,0.24,0.24,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.19,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.17,0.19,0.19,0.17,0.16,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.0,0.11,0.0,0.12,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.66
07/20/2021,4.49,4.78,3.99,3.9,3.83,3.57,3.46,3.13,2.35,2.32,1.64,1.29,1.29,1.2,1.19,1.15,1.14,1.07,0.99,0.91,0.87,0.83,0.85,0.71,0.76,0.69,0.71,0.6,0.63,0.59,0.55,0.56,0.55,0.52,0.51,0.5,0.5,0.49,0.52,0.53,0.47,0.5,0.5,0.49,0.46,0.46,0.4,0.42,0.43,0.38,0.41,0.41,0.4,0.4,0.41,0.42,0.38,0.37,0.37,0.34,0.37,0.36,0.33,0.35,0.34,0.35,0.32,0.34,0.33,0.33,0.3,0.29,0.3,0.29,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.26,0.22,0.24,0.24,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.19,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.17,0.19,0.19,0.17,0.16,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.0,0.11,0.0,0.12,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.66
07/21/2021,4.33,4.8,3.98,3.9,3.85,3.56,3.48,3.13,2.38,2.33,1.66,1.28,1.29,1.21,1.2,1.16,1.14,1.05,0.98,0.91,0.87,0.83,0.87,0.71,0.76,0.67,0.72,0.6,0.63,0.59,0.55,0.57,0.55,0.53,0.52,0.48,0.5,0.48,0.53,0.54,0.47,0.5,0.5,0.5,0.46,0.44,0.41,0.43,0.42,0.38,0.41,0.41,0.4,0.41,0.41,0.42,0.37,0.38,0.37,0.34,0.37,0.37,0.34,0.35,0.35,0.35,0.32,0.35,0.33,0.33,0.3,0.29,0.3,0.29,0.25,0.27,0.26,0.27,0.26,0.25,0.27,0.26,0.21,0.23,0.25,0.26,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.24,0.22,0.2,0.22,0.19,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.19,0.21,0.2,0.19,0.2,0.18,0.2,0.17,0.19,0.19,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.18,0.16,0.18,0.16,0.18,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.11,0.12,0.13,0.13,0.12,0.11,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,94.7
07/22/2021,4.33,4.8,3.98,3.9,3.85,3.56,3.48,3.13,2.38,2.33,1.66,1.28,1.29,1.21,1.2,1.16,1.14,1.05,0.98,0.91,0.87,0.83,0.87,0.71,0.76,0.67,0.72,0.6,0.63,0.59,0.55,0.57,0.55,0.53,0.52,0.48,0.5,0.48,0.53,0.54,0.47,0.5,0.5,0.5,0.46,0.44,0.41,0.43,0.42,0.38,0.41,0.41,0.4,0.41,0.41,0.42,0.37,0.38,0.37,0.34,0.37,0.37,0.34,0.35,0.35,0.35,0.32,0.35,0.33,0.33,0.3,0.29,0.3,0.29,0.25,0.27,0.26,0.27,0.26,0.25,0.27,0.26,0.21,0.23,0.25,0.26,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.24,0.22,0.2,0.22,0.19,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.19,0.21,0.2,0.19,0.2,0.18,0.2,0.17,0.19,0.19,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.18,0.16,0.18,0.16,0.18,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.11,0.12,0.13,0.13,0.12,0.11,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,94.7
