,MPLX,EPD,ET,WES,PAA,MMP,PSXP,DCP,CQP,NS,SHLX,CEQP,ENLC,GEL,HEP,ENBL,Cash Equivalent,State Street Instl Trs Pls MMkt Premier,Cash,TPIXX,n/a,XLE,SUM
07/09/2021,10.3,10.17,10.04,9.92,9.51,9.5,6.66,6.33,4.23,4.19,4.17,4.02,3.73,2.86,2.4,1.89,0.08,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,10.34,10.19,10.02,9.89,9.6,9.45,6.59,6.31,4.26,4.1,4.22,3.97,3.86,2.84,2.38,1.9,0.08,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,10.34,10.19,10.02,9.89,9.6,9.45,6.59,6.31,4.26,4.1,4.22,3.97,3.86,2.84,2.38,1.9,0.08,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,10.34,10.19,10.02,9.89,9.6,9.45,6.59,6.31,4.26,4.1,4.22,3.97,3.86,2.84,2.38,1.9,0.08,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,10.34,10.36,9.99,9.89,9.36,9.46,6.58,6.27,4.29,4.14,4.29,3.92,3.93,2.85,2.39,1.88,0.06,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,10.26,10.44,10.02,9.83,9.48,9.49,6.59,6.18,4.29,4.11,4.31,3.92,3.91,2.84,2.39,1.88,0.06,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,10.29,10.61,9.84,9.75,9.36,9.64,6.75,6.14,4.28,4.19,4.31,3.93,3.75,2.85,2.37,1.86,0.08,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,10.22,10.73,9.85,9.71,9.31,9.79,6.78,6.08,4.37,4.21,4.27,3.93,3.64,2.82,2.37,1.86,0.06,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,10.22,10.73,9.85,9.71,9.31,9.79,6.78,6.08,4.37,4.21,4.27,3.93,3.64,2.82,2.37,1.86,0.06,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,10.2,10.88,9.9,9.56,9.28,9.92,6.77,5.99,4.44,4.25,4.3,3.89,3.59,2.71,2.4,1.86,0.06,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,10.28,10.66,9.94,9.74,9.1,9.8,6.83,6.16,4.4,4.23,4.34,3.93,3.56,2.68,2.42,1.87,0.06,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,10.35,10.56,10.12,9.82,9.53,9.73,6.66,6.05,4.24,4.2,4.15,4.01,3.63,2.67,2.33,1.9,0.05,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,10.43,10.58,10.19,9.85,9.56,9.75,6.58,6.02,4.22,4.07,3.99,4.07,3.67,2.72,2.34,1.91,0.05,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,10.43,10.58,10.19,9.85,9.56,9.75,6.58,6.02,4.22,4.07,3.99,4.07,3.67,2.72,2.34,1.91,0.0,0.06,-0.01,0.0,0.0,0.0,100.0
07/29/2021,10.33,10.51,9.96,10.09,9.49,9.81,6.6,6.17,4.11,4.08,3.99,4.06,3.75,2.76,2.38,1.87,0.04,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,10.37,10.61,9.91,9.82,9.38,9.98,6.75,6.15,4.16,4.03,4.07,4.03,3.79,2.69,2.36,1.87,0.03,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,10.46,10.02,9.91,9.93,9.08,9.77,6.62,6.12,4.17,4.13,4.11,4.16,3.69,2.72,2.37,1.85,0.89,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,10.29,9.6,11.2,9.59,10.36,10.35,6.99,5.5,4.08,4.4,4.32,3.57,3.09,2.46,2.35,1.83,0.0,0.0,0.0,0.04,0.0,0.0,100.02
