,FXD,FXR,FTXR,QTEC,FXL,US Dollar,First Trust Technology AlphaDEX® ETF,Us Dollars,First Trust Nasdaq Transportation ETF,n/a,SUM
07/09/2021,20.42,20.37,20.0,19.78,19.33,0.1,0.0,0.0,0.0,0.0,100.0
07/12/2021,20.51,20.62,19.84,19.64,19.32,0.07,0.0,0.0,0.0,0.0,100.0
07/13/2021,20.51,20.62,19.84,19.64,19.32,0.07,0.0,0.0,0.0,0.0,100.0
07/14/2021,20.5,20.61,19.84,19.64,0.0,0.0,19.31,0.1,0.0,0.0,100.0
07/15/2021,20.58,20.64,19.8,19.66,0.0,0.0,19.23,0.09,0.0,0.0,100.0
07/16/2021,20.47,20.63,19.73,19.82,0.0,0.0,19.26,0.1,0.0,0.0,100.01
07/19/2021,20.44,20.74,19.82,19.76,0.0,0.0,19.18,0.07,0.0,0.0,100.01
07/20/2021,20.44,20.79,19.67,19.77,0.0,0.0,19.26,0.07,0.0,0.0,100.0
07/21/2021,20.44,20.79,19.67,19.77,0.0,0.0,19.26,0.07,0.0,0.0,100.0
07/22/2021,20.4,20.62,19.6,19.91,19.39,0.07,0.0,0.0,0.0,0.0,99.99
07/23/2021,20.55,20.67,19.68,19.72,0.0,0.0,19.31,0.07,0.0,0.0,100.0
07/26/2021,20.52,20.49,19.63,19.91,0.0,0.0,19.38,0.07,0.0,0.0,100.0
07/27/2021,20.59,20.52,19.48,19.92,0.0,0.0,19.41,0.07,0.0,0.0,99.99
07/28/2021,20.59,20.52,19.48,19.92,0.0,0.0,19.41,0.07,0.0,0.0,99.99
07/29/2021,20.66,20.46,19.58,19.85,0.0,0.0,19.38,0.07,0.0,0.0,100.0
07/30/2021,20.69,20.59,19.48,19.77,0.0,0.0,19.4,0.07,0.0,0.0,100.0
08/02/2021,20.66,20.54,0.0,19.97,19.41,0.0,0.0,0.07,19.35,0.0,100.0
08/03/2021,20.54,20.55,19.32,20.15,19.36,0.07,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,20.54,20.55,19.32,20.15,19.36,0.07,0.0,0.0,0.0,0.0,99.98999999999998
08/05/2021,20.54,20.55,19.32,20.15,19.36,0.07,0.0,0.0,0.0,0.0,99.98999999999998
08/06/2021,20.56,20.59,0.0,20.14,19.39,0.0,0.0,0.07,19.25,0.0,100.0
08/26/2021,20.34,20.38,20.33,19.7,19.17,0.0,0.0,0.0,0.0,0.0,99.92
09/03/2021,20.43,20.79,18.83,20.41,19.49,0.0,0.0,0.0,0.0,0.04,99.99
09/07/2021,20.25,20.78,18.76,20.49,19.67,0.0,0.0,0.0,0.0,0.04,99.99
09/08/2021,20.25,20.78,18.76,20.49,19.67,0.0,0.0,0.0,0.0,0.04,99.99
09/09/2021,20.25,20.78,18.76,20.49,19.67,0.0,0.0,0.0,0.0,0.04,99.99
09/10/2021,20.22,20.64,18.83,20.59,19.68,0.0,0.0,0.0,0.0,0.04,100.0
09/13/2021,20.34,20.65,18.72,20.59,19.67,0.0,0.0,0.0,0.0,0.02,99.99
09/14/2021,20.33,20.65,18.69,20.68,19.64,0.0,0.0,0.0,0.0,0.02,100.01
09/15/2021,20.33,20.65,18.69,20.68,19.64,0.0,0.0,0.0,0.0,0.02,100.01
09/16/2021,20.36,20.65,18.76,20.64,19.59,0.0,0.0,0.0,0.0,0.02,100.02
09/17/2021,20.34,20.55,18.68,20.74,19.66,0.0,0.0,0.0,0.0,0.02,99.99
09/20/2021,20.46,20.41,18.65,20.76,19.7,0.0,0.0,0.0,0.0,0.02,100.0
09/21/2021,20.59,20.36,18.68,20.66,19.68,0.0,0.0,0.0,0.0,0.02,99.99
09/22/2021,20.59,20.36,18.68,20.66,19.68,0.0,0.0,0.0,0.0,0.02,99.99
09/23/2021,20.56,20.46,18.7,20.56,19.7,0.0,0.0,0.0,0.0,0.02,100.0
09/24/2021,20.54,20.37,18.73,20.63,19.71,0.0,0.0,0.0,0.0,0.02,100.0
09/27/2021,20.61,20.33,18.66,20.64,19.74,0.0,0.0,0.0,0.0,0.02,100.0
09/28/2021,20.49,20.31,18.82,20.58,19.78,0.0,0.0,0.0,0.0,0.02,100.0
09/29/2021,20.49,20.31,18.82,20.58,19.78,0.0,0.0,0.0,0.0,0.02,100.0
09/30/2021,20.49,20.31,18.82,20.58,19.78,0.0,0.0,0.0,0.0,0.02,100.0
10/01/2021,20.59,20.43,18.96,20.39,19.62,0.0,0.0,0.0,0.0,0.02,100.01
10/04/2021,20.49,20.5,19.05,20.22,19.62,0.0,0.0,0.0,0.0,0.12,100.0
10/05/2021,20.46,20.53,19.11,20.12,19.66,0.0,0.0,0.0,0.0,0.12,100.0
10/06/2021,20.46,20.53,19.11,20.12,19.66,0.0,0.0,0.0,0.0,0.12,100.0
10/07/2021,20.59,20.67,19.26,19.84,19.53,0.0,0.0,0.0,0.0,0.12,100.01000000000002
