,BAC,JPM,WFC,USB,C,FRC,COF,PNC,BK,SIVB,STT,FITB,NTRS,TFC,HBAN,KEY,CFG,RF,MTB,SBNY,CMA,FHN,ZION,PBCT,Cash/Receivables/Payables,AGPXX,95IE.L,Invesco Private Prime Fund,Invesco Private Government Fund,n/a,SUM
07/09/2021,8.24,8.14,8.11,8.03,7.55,4.31,4.22,4.21,4.14,4.11,4.1,3.86,3.84,3.84,3.33,3.14,3.07,3.04,2.94,2.25,1.56,1.48,1.37,1.16,-0.04,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,8.11,8.14,8.07,8.05,7.47,4.36,4.29,4.18,4.12,4.24,4.15,3.88,3.83,3.84,3.35,3.11,3.07,3.04,2.91,2.35,1.54,1.48,1.36,1.14,-0.04,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,8.11,8.14,8.07,8.05,7.47,4.36,4.29,4.18,4.12,4.24,4.15,3.88,3.83,3.84,3.35,3.11,3.07,3.04,2.91,2.35,1.54,1.48,1.36,1.14,-0.04,0.0,0.0,0.0,0.0,0.0,100.04
07/15/2021,8.13,8.16,8.02,8.04,7.48,4.36,4.35,4.18,4.1,4.32,4.11,3.86,3.81,3.82,3.35,3.12,3.07,3.03,2.9,2.34,1.53,1.47,1.35,1.12,-0.02,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,8.1,8.17,7.97,8.07,7.48,4.43,4.36,4.19,4.13,4.28,4.14,3.84,3.82,3.82,3.34,3.11,3.05,3.03,2.9,2.34,1.54,1.45,1.35,1.13,-0.02,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,7.86,8.12,8.27,8.31,7.46,4.48,4.28,4.18,4.01,4.27,4.05,3.85,3.77,3.88,3.35,3.11,3.04,3.02,2.89,2.29,1.53,1.45,1.35,1.13,0.0,0.06,0.0,0.0,0.0,0.0,100.01
07/20/2021,7.86,8.13,8.33,8.27,7.47,4.49,4.31,4.14,4.17,4.23,4.26,3.8,3.84,3.87,3.33,3.06,2.98,2.98,2.87,2.22,1.52,1.4,1.32,1.12,0.0,0.04,0.0,0.0,0.0,0.0,100.01
07/21/2021,7.86,8.13,8.33,8.27,7.47,4.49,4.31,4.14,4.17,4.23,4.26,3.8,3.84,3.87,3.33,3.06,2.98,2.98,2.87,2.22,1.52,1.4,1.32,1.12,0.0,0.04,0.0,0.0,0.0,0.0,100.01
07/22/2021,7.86,8.13,8.33,8.27,7.47,4.49,4.31,4.14,4.17,4.23,4.26,3.8,3.84,3.87,3.33,3.06,2.98,2.98,2.87,2.22,1.52,1.4,1.32,1.12,0.0,0.04,0.0,0.0,0.0,0.0,100.01
07/23/2021,7.89,8.08,8.51,8.19,7.47,4.48,4.35,4.13,4.2,4.28,4.22,3.79,3.82,3.88,3.33,3.04,2.98,2.98,2.85,2.23,1.5,1.4,1.35,1.11,-0.06,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,8.3,7.59,8.78,4.13,8.12,3.95,4.55,3.93,4.2,3.91,4.06,4.13,3.77,7.37,2.41,3.33,3.17,3.36,3.09,1.99,1.63,1.58,1.42,1.21,0.0,0.0,0.0,0.06,0.04,0.0,100.08
08/04/2021,8.3,7.59,8.78,4.13,8.12,3.95,4.55,3.93,4.2,3.91,4.06,4.13,3.77,7.37,2.41,3.33,3.17,3.36,3.09,1.99,1.63,1.58,1.42,1.21,0.0,0.0,0.0,0.06,0.04,0.0,100.08
08/05/2021,7.88,8.1,8.62,7.98,7.57,4.46,4.38,4.1,4.33,4.11,4.4,3.77,3.79,3.86,3.37,3.09,2.9,2.99,2.79,2.14,1.54,1.38,1.38,1.09,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/09/2021,7.92,8.02,8.65,7.9,7.62,4.48,4.36,4.12,4.27,4.21,4.32,3.78,3.72,3.87,3.39,3.07,2.92,2.99,2.75,2.2,1.56,1.38,1.39,1.08,0.0,0.03,0.0,0.0,0.0,0.0,100.0
