,NWS,NSC,ABBV,AMCR,YUM,IRM,ALLE,APH,GOOG,VZ,AME,GOOGL,IP,MCD,EMN,FAST,TMUS,IFF,DRE,WY,NDAQ,SEE,ROK,PCAR,SYY,Cash,FMC,SJM,JNPR,ILMN,ICE,IEX,STZ,TXN,DLTR,INCY,MDLZ,MAS,IPGP,AKAM,CTVA,BF.B,CHRW,CTAS,CI,MNST,TSCO,AJG,ATVI,AES,EA,DHR,HRL,PKI,INFO,FE,MKC,AON,SPGI,PAYC,MMC,PM,FLT,WLTW,NVR,ZBH,HPQ,PRGO,TTWO,CRM,DPZ,MSFT,WST,AMZN,FB,CAH,CNC,MSI,NLOK,MRK,BAX,WBA,AVGO,DVA,FOXA,NEM,PKG,POOL,IPG,SUM
07/09/2021,4.08,4.04,4.03,4.02,4.01,4.01,4.01,4.01,4.0,4.0,3.99,3.99,3.99,3.99,3.99,3.98,3.98,3.98,3.98,3.98,3.98,3.97,3.96,3.96,3.95,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,3.91,4.08,4.09,3.99,4.05,4.0,3.98,4.03,4.1,3.99,4.01,4.1,3.96,4.01,3.87,4.09,4.03,3.94,4.08,4.01,3.96,3.9,4.03,3.85,3.82,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,3.91,4.08,4.09,3.99,4.05,4.0,3.98,4.03,4.1,3.99,4.01,4.1,3.96,4.01,3.87,4.09,4.03,3.94,4.08,4.01,3.96,3.9,4.03,3.85,3.82,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.09,4.05,4.05,4.03,4.03,4.02,4.01,4.01,4.01,4.0,4.0,4.0,3.99,3.99,3.99,3.99,3.99,3.99,3.98,3.98,3.97,3.96,3.96,3.96,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4.12,4.03,4.0,4.09,4.02,4.01,3.98,4.04,3.98,3.95,3.99,4.0,4.04,3.91,4.02,3.94,3.97,4.02,3.98,4.01,3.96,3.97,3.97,3.98,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4.12,4.03,4.0,4.09,4.02,4.01,3.98,4.04,3.98,3.95,3.99,4.0,4.04,3.91,4.02,3.94,3.97,4.02,3.98,4.01,3.96,3.97,3.97,3.98,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,4.02,0.0,0.0,0.0,4.02,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,3.99,4.07,4.06,4.04,4.04,4.04,4.04,4.02,4.02,4.02,4.01,4.0,4.0,3.98,3.95,3.95,3.93,3.92,3.92,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,4.02,0.0,0.0,0.0,4.02,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,3.99,4.07,4.06,4.04,4.04,4.04,4.04,4.02,4.02,4.02,4.01,4.0,4.0,3.98,3.95,3.95,3.93,3.92,3.92,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,4.02,0.0,0.0,0.0,4.02,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,3.99,4.07,4.06,4.04,4.04,4.04,4.04,4.02,4.02,4.02,4.01,4.0,4.0,3.98,3.95,3.95,3.93,3.92,3.92,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,3.94,0.0,0.0,0.0,4.03,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,4.01,4.13,4.09,4.07,4.07,4.08,4.08,4.03,4.05,4.05,4.02,3.98,3.97,3.99,3.93,3.95,3.85,3.87,3.97,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
