,MSFT,NVDA,AVGO,VRTX,MA,ADBE,DHI,MU,LRCX,AMD,TROW,DISCA,INTU,MKC,KLAC,DHR,COST,MRNA,TGT,CHD,FOX,CABO,INCY,ANTM,NEM,PGR,PYPL,ANET,SCHW,CI,ACGL,CB,FTNT,CBRE,AZO,PLD,CCI,WEC,LULU,CTAS,TSCO,SPGI,SYNH,RE,EL,GRMN,HZNP,MPWR,PXD,CPRT,QDEL,CINF,n/a,EOG,TTD,WSM,PAYC,WST,PKI,TREX,SHW,WTRG,LH,RNR,VRSK,FDS,CLX,BRO,PINS,PHM,MKTX,WLTW,EXPD,POOL,WMS,QGEN,LEN,SUI,MDU,APH,FBHS,JBHT,ODFL,LKQ,TTC,GGG,TPR,ALGN,ZM,STLD,JLL,MKSI,CBOE,NBIX,EXEL,DCI,SNX,VMW,LDOS,UHAL,ESNT,ROL,THO,FND,OKE,DXCM,OLED,SWK,HES,TNET,SIVB,VEEV,EPAM,GNRC,DECK,APPS,YETI,ROKU,PCTY,ETSY,WTW,SUM
12/22/2021,6.29,2.43,2.09,2.01,2.01,1.83,1.71,1.71,1.65,1.56,1.56,1.53,1.53,1.49,1.42,1.39,1.35,1.21,1.14,1.13,1.13,1.11,1.1,1.1,1.08,1.08,1.07,1.07,1.05,1.05,1.02,1.0,0.99,0.99,0.99,0.85,0.83,0.82,0.82,0.79,0.78,0.77,0.76,0.75,0.74,0.72,0.72,0.72,0.71,0.71,0.69,0.69,0.68,0.68,0.67,0.64,0.6,0.59,0.59,0.57,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.37,0.36,0.0,99.92
12/23/2021,6.29,2.45,2.15,2.05,1.97,1.83,1.71,1.71,1.65,1.56,1.54,1.53,1.51,1.5,1.41,1.41,1.37,1.15,1.13,1.15,1.13,1.14,1.13,1.1,1.09,1.1,1.07,1.07,1.04,1.05,1.02,0.99,0.99,0.97,1.0,0.86,0.84,0.83,0.8,0.79,0.78,0.77,0.75,0.74,0.75,0.71,0.72,0.72,0.72,0.71,0.76,0.68,0.69,0.68,0.66,0.62,0.6,0.59,0.6,0.57,0.56,0.57,0.57,0.55,0.55,0.55,0.56,0.55,0.54,0.53,0.54,0.54,0.53,0.54,0.52,0.54,0.53,0.53,0.52,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.49,0.5,0.5,0.47,0.48,0.49,0.48,0.48,0.5,0.47,0.47,0.48,0.46,0.47,0.45,0.47,0.45,0.46,0.45,0.45,0.45,0.44,0.45,0.44,0.43,0.42,0.42,0.4,0.4,0.41,0.39,0.38,0.37,0.36,0.0,99.99
12/24/2021,6.31,2.52,2.11,2.04,2.01,1.82,1.71,1.85,1.68,1.63,1.53,1.54,1.52,1.46,1.47,1.39,1.34,1.1,1.12,1.13,1.12,1.13,1.11,1.1,1.06,1.08,1.08,1.08,1.05,1.04,1.01,0.98,1.0,1.0,0.98,0.84,0.81,0.81,0.81,0.79,0.77,0.77,0.75,0.74,0.75,0.72,0.73,0.71,0.73,0.7,0.71,0.67,0.62,0.69,0.69,0.63,0.61,0.58,0.59,0.57,0.55,0.56,0.54,0.54,0.54,0.54,0.53,0.54,0.54,0.54,0.54,0.54,0.52,0.53,0.53,0.52,0.53,0.53,0.52,0.52,0.5,0.51,0.5,0.51,0.51,0.5,0.5,0.51,0.49,0.48,0.5,0.51,0.47,0.47,0.5,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.47,0.45,0.46,0.46,0.44,0.46,0.44,0.44,0.43,0.42,0.4,0.4,0.43,0.39,0.38,0.38,0.37,0.0,100.0
12/27/2021,6.36,2.53,2.14,2.05,2.03,1.83,1.71,1.9,1.69,1.62,1.54,1.57,1.53,1.44,1.49,1.39,1.33,1.01,1.1,1.12,1.11,1.12,1.09,1.1,1.06,1.06,1.08,1.1,1.06,1.05,1.01,0.98,1.01,1.01,0.97,0.83,0.8,0.79,0.82,0.77,0.77,0.76,0.76,0.73,0.77,0.71,0.73,0.72,0.72,0.71,0.58,0.67,0.62,0.69,0.7,0.63,0.61,0.59,0.59,0.58,0.54,0.55,0.53,0.54,0.54,0.54,0.52,0.55,0.54,0.55,0.53,0.53,0.53,0.53,0.54,0.52,0.54,0.53,0.51,0.52,0.51,0.51,0.5,0.51,0.51,0.51,0.49,0.53,0.46,0.48,0.51,0.52,0.48,0.47,0.5,0.47,0.49,0.47,0.46,0.46,0.47,0.46,0.47,0.48,0.45,0.46,0.46,0.44,0.45,0.44,0.43,0.42,0.43,0.4,0.4,0.44,0.39,0.38,0.39,0.37,0.0,99.99
12/28/2021,6.36,2.53,2.14,2.05,2.03,1.83,1.71,1.9,1.69,1.62,1.54,1.57,1.53,1.44,1.49,1.39,1.33,1.01,1.1,1.12,1.11,1.12,1.09,1.1,1.06,1.06,1.08,1.1,1.06,1.05,1.01,0.98,1.01,1.01,0.97,0.83,0.8,0.79,0.82,0.77,0.77,0.76,0.76,0.73,0.77,0.71,0.73,0.72,0.72,0.71,0.58,0.67,0.62,0.69,0.7,0.63,0.61,0.59,0.59,0.58,0.54,0.55,0.53,0.54,0.54,0.54,0.52,0.55,0.54,0.55,0.53,0.53,0.53,0.53,0.54,0.52,0.54,0.53,0.51,0.52,0.51,0.51,0.5,0.51,0.51,0.51,0.49,0.53,0.46,0.48,0.51,0.52,0.48,0.47,0.5,0.47,0.49,0.47,0.46,0.46,0.47,0.46,0.47,0.48,0.45,0.46,0.46,0.44,0.45,0.44,0.43,0.42,0.43,0.4,0.4,0.44,0.39,0.38,0.39,0.37,0.0,99.99
12/29/2021,6.36,2.53,2.14,2.05,2.03,1.83,1.71,1.9,1.69,1.62,1.54,1.57,1.53,1.44,1.49,1.39,1.33,1.01,1.1,1.12,1.11,1.12,1.09,1.1,1.06,1.06,1.08,1.1,1.06,1.05,1.01,0.98,1.01,1.01,0.97,0.83,0.8,0.79,0.82,0.77,0.77,0.76,0.76,0.73,0.77,0.71,0.73,0.72,0.72,0.71,0.58,0.67,0.62,0.69,0.7,0.63,0.61,0.59,0.59,0.58,0.54,0.55,0.53,0.54,0.54,0.54,0.52,0.55,0.54,0.55,0.53,0.53,0.53,0.53,0.54,0.52,0.54,0.53,0.51,0.52,0.51,0.51,0.5,0.51,0.51,0.51,0.49,0.53,0.46,0.48,0.51,0.52,0.48,0.47,0.5,0.47,0.49,0.47,0.46,0.46,0.47,0.46,0.47,0.48,0.45,0.46,0.46,0.44,0.45,0.44,0.43,0.42,0.43,0.4,0.4,0.44,0.39,0.38,0.39,0.37,0.0,99.99
12/30/2021,6.36,2.53,2.14,2.05,2.03,1.83,1.71,1.9,1.69,1.62,1.54,1.57,1.53,1.44,1.49,1.39,1.33,1.01,1.1,1.12,1.11,1.12,1.09,1.1,1.06,1.06,1.08,1.1,1.06,1.05,1.01,0.98,1.01,1.01,0.97,0.83,0.8,0.79,0.82,0.77,0.77,0.76,0.76,0.73,0.77,0.71,0.73,0.72,0.72,0.71,0.58,0.67,0.62,0.69,0.7,0.63,0.61,0.59,0.59,0.58,0.54,0.55,0.53,0.54,0.54,0.54,0.52,0.55,0.54,0.55,0.53,0.53,0.53,0.53,0.54,0.52,0.54,0.53,0.51,0.52,0.51,0.51,0.5,0.51,0.51,0.51,0.49,0.53,0.46,0.48,0.51,0.52,0.48,0.47,0.5,0.47,0.49,0.47,0.46,0.46,0.47,0.46,0.47,0.48,0.45,0.46,0.46,0.44,0.45,0.44,0.43,0.42,0.43,0.4,0.4,0.44,0.39,0.38,0.39,0.37,0.0,99.99
12/31/2021,6.41,2.56,2.13,2.01,2.01,1.81,1.72,1.85,1.71,1.68,1.55,1.55,1.55,1.45,1.51,1.39,1.35,0.96,1.11,1.12,1.11,1.11,1.07,1.11,1.06,1.07,1.06,1.11,1.05,1.06,1.01,0.98,1.05,1.01,0.98,0.84,0.82,0.8,0.83,0.78,0.77,0.76,0.76,0.74,0.76,0.71,0.72,0.71,0.73,0.71,0.53,0.68,0.63,0.7,0.68,0.61,0.6,0.59,0.59,0.58,0.55,0.56,0.54,0.54,0.54,0.54,0.52,0.55,0.52,0.56,0.53,0.53,0.53,0.54,0.54,0.51,0.55,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.48,0.52,0.44,0.48,0.51,0.53,0.48,0.46,0.48,0.48,0.49,0.47,0.46,0.46,0.47,0.46,0.48,0.47,0.45,0.42,0.47,0.45,0.46,0.45,0.43,0.41,0.43,0.39,0.4,0.44,0.38,0.37,0.38,0.35,0.0,100.01
01/03/2022,6.36,2.49,2.11,2.01,2.01,1.81,1.72,1.86,1.71,1.59,1.54,1.55,1.53,1.46,1.49,1.41,1.34,1.0,1.14,1.13,1.1,1.13,1.08,1.11,1.09,1.06,1.07,1.09,1.03,1.06,1.01,0.98,1.03,1.02,0.99,0.85,0.83,0.8,0.82,0.77,0.79,0.75,0.77,0.74,0.76,0.72,0.72,0.7,0.72,0.72,0.55,0.67,0.66,0.69,0.67,0.62,0.6,0.6,0.6,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.55,0.54,0.56,0.52,0.53,0.53,0.53,0.53,0.51,0.55,0.53,0.53,0.53,0.52,0.52,0.51,0.52,0.51,0.51,0.48,0.53,0.45,0.47,0.52,0.53,0.47,0.46,0.48,0.48,0.49,0.47,0.47,0.46,0.47,0.46,0.48,0.47,0.45,0.43,0.47,0.44,0.45,0.44,0.43,0.41,0.43,0.39,0.41,0.44,0.38,0.38,0.38,0.35,0.0,99.96
01/03/2022,6.36,2.49,2.11,2.01,2.01,1.81,1.72,1.86,1.71,1.59,1.54,1.55,1.53,1.46,1.49,1.41,1.34,1.0,1.14,1.13,1.1,1.13,1.08,1.11,1.09,1.06,1.07,1.09,1.03,1.06,1.01,0.98,1.03,1.02,0.99,0.85,0.83,0.8,0.82,0.77,0.79,0.75,0.77,0.74,0.76,0.72,0.72,0.7,0.72,0.72,0.55,0.67,0.66,0.69,0.67,0.62,0.6,0.6,0.6,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.55,0.54,0.56,0.52,0.53,0.53,0.53,0.53,0.51,0.55,0.53,0.53,0.53,0.52,0.52,0.51,0.52,0.51,0.51,0.48,0.53,0.45,0.47,0.52,0.53,0.47,0.46,0.48,0.48,0.49,0.47,0.47,0.46,0.47,0.46,0.48,0.47,0.45,0.43,0.47,0.44,0.45,0.44,0.43,0.41,0.43,0.39,0.41,0.44,0.38,0.38,0.38,0.35,0.0,99.96
