,XOM,CVX,TTE.PA,BP.L,RDSA.AS,COP,RYDBF,RELIANCE.NS,EOG,CNQ.TO,MPC,LKOH.ME,SU.TO,PXD,ENI.MI,VLO,RIGDS.,OXY,NESTE.HE,PETR4.SA,HES,EQNR.OL,PETR3.SA,2222.SR,NVTK.L,REP.MC,DVN,WPL.AX,FANG,5020.T,096770.KS,CVE.TO,MRO,TATN.ME,STO.AX,857.HK,TPL,ROSN.ME,OMV.VI,TOU.TO,1605.T,OVV,APA,IMO.TO,CCO.TO,XEC,LUNE.ST,1088.HK,COG,OSH.AX,PKN.WA,EQT,ARX.TO,GALP.LS,BPCL.NS,PTTEP-R.BK,5019.T,HFC,PDCE,010950.KS,SNGSP,ONGC.NS,CHK,MTDR,RRC,AR,ECOPETROL.BC,DEN,SWN,MUR,SNGS.ME,MOL.BD,COALINDIA.NS,CNX,EXX.JO,WCP.TO,IOC.NS,SOL.AX,CLR,HINDPETRO.NS,SM,CPE,PSK.TO,UNTR.JK,PRIO3.SA,PXT.TO,CPG.TO,WLL,OAS,MGY,MEG.TO,TOP-R.BK,1171.HK,EUR,XTSLA,BANPU-R.BK,ERF.TO,BPT.AX,HKD,WHC.AX,2380.SR,KRW,DK,TUPRS.IS,KOS,LTS.WA,601088.SS,ADRO.JK,PBF,IRPC-R.BK,NXE.TO,VET.TO,TELL,PZOL.TA,BIR.TO,ENOG.L,RUB,CRC,5021.T,CDEV,DEC.L,HBR.L,601857.SS,DML.TO,PDN.AX,XOG,ARCH,BCP-R.BK,NOG,TLW.L,601225.SS,MOH.AT,BCEI,POU.TO,CNE.L,PEY.TO,VNOM,900948.SS,AAV.TO,DANA.,EFR.TO,FRU.TO,YPF.,MNRL,CRK,EQTL.TA,ITMG.JK,DNO.OL,CVI,CAD,PTBA.JK,SPRC-R.BK,1662.T,NHC.AX,PARR,OIL.NS,600188.SS,ORL.TA,000983.SZ,ESSO-R.BK,COE.AX,SCC.PM,ENAT3.SA,MEDC.JK,SQZ.L,HBCFT,CNE.TO,TALO,601699.SS,JPY,SRS.MI,MARI.,ELPE.AT,MCF,NOK,IDR,600256.SS,ILS,POL.,NFTA.TA,BWE.OL,000723.SZ,RRRP3.SA,PPL,KRW.1,AUD,JPY.1,IXPU1,SUGI.JK,INR,ZAR,HUF,MYR,PHP,EUR.1,SGD,NZD,PKR,BRL,CNH,GBP,SGN.,PLN,SEK,USD,TGA.JO,TRY,DLEKG.TA,SUM
07/09/2021,13.41,10.35,5.78,4.51,4.27,4.22,3.75,2.58,2.52,2.19,1.98,1.98,1.87,1.71,1.58,1.57,1.57,1.47,1.35,1.31,1.22,1.07,1.06,1.05,1.04,0.92,0.92,0.9,0.82,0.67,0.64,0.63,0.54,0.53,0.53,0.53,0.5,0.46,0.43,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.35,0.35,0.31,0.31,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.23,0.23,0.23,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2
07/12/2021,13.43,10.43,5.8,4.54,4.35,4.24,3.83,2.64,2.45,2.19,1.97,1.95,1.85,1.71,1.57,1.51,1.6,1.46,1.37,1.31,1.21,1.03,1.05,1.07,1.04,0.91,0.93,0.89,0.81,0.67,0.63,0.62,0.54,0.52,0.52,0.49,0.48,0.47,0.43,0.41,0.39,0.41,0.4,0.38,0.37,0.39,0.36,0.35,0.37,0.3,0.3,0.31,0.29,0.28,0.28,0.26,0.25,0.25,0.23,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.18,0.19,0.19,0.19,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.05,0.07,0.09,0.09,0.08,0.08,0.07,0.08,0.0,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/13/2021,13.43,10.43,5.8,4.54,4.35,4.24,3.83,2.64,2.45,2.19,1.97,1.95,1.85,1.71,1.57,1.51,1.6,1.46,1.37,1.31,1.21,1.03,1.05,1.07,1.04,0.91,0.93,0.89,0.81,0.67,0.63,0.62,0.54,0.52,0.52,0.49,0.48,0.47,0.43,0.41,0.39,0.41,0.4,0.38,0.37,0.39,0.36,0.35,0.37,0.3,0.3,0.31,0.29,0.28,0.28,0.26,0.25,0.25,0.23,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.18,0.19,0.19,0.19,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.05,0.07,0.09,0.09,0.08,0.08,0.07,0.08,0.0,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/29/2021,13.5,10.61,5.87,4.49,4.33,4.21,3.85,2.71,2.36,2.12,1.94,1.95,1.77,1.62,1.6,1.46,1.63,1.38,1.55,1.38,1.15,1.08,1.09,1.1,1.03,0.91,0.93,0.86,0.76,0.68,0.62,0.59,0.51,0.51,0.48,0.47,0.5,0.47,0.45,0.43,0.39,0.4,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.31,0.3,0.32,0.29,0.27,0.28,0.25,0.26,0.25,0.22,0.21,0.2,0.21,0.22,0.2,0.22,0.22,0.18,0.18,0.19,0.19,0.17,0.17,0.16,0.15,0.16,0.14,0.15,0.15,0.14,0.13,0.11,0.11,0.12,0.13,0.12,0.12,0.1,0.1,0.11,0.11,0.1,0.09,0.11,0.01,0.06,0.09,0.09,0.09,0.07,0.09,0.09,0.0,0.06,0.07,0.05,0.07,0.07,0.07,0.05,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.08,0.02,0.0,0.0,100.01
07/30/2021,13.48,10.68,5.94,4.54,4.39,4.21,3.91,2.71,2.34,2.11,1.95,1.97,1.71,1.62,1.61,1.48,1.62,1.35,1.44,1.38,1.13,1.07,1.1,1.11,1.04,0.92,0.91,0.88,0.75,0.69,0.63,0.58,0.49,0.51,0.5,0.47,0.49,0.47,0.45,0.42,0.4,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.31,0.3,0.31,0.28,0.28,0.29,0.25,0.27,0.25,0.22,0.22,0.2,0.21,0.22,0.19,0.2,0.21,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.13,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.0,0.13,0.09,0.08,0.09,0.07,0.08,0.09,0.0,0.06,0.07,0.05,0.07,0.07,0.07,0.05,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.05,0.04,0.05,0.04,0.06,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.01,0.02,0.0,0.0,99.99
08/02/2021,13.45,10.66,6.01,4.54,4.51,4.17,4.02,2.66,2.32,2.12,1.96,1.96,1.64,1.63,1.62,1.49,1.6,1.34,1.41,1.41,1.16,1.06,1.12,1.09,1.09,0.91,0.92,0.85,0.74,0.68,0.62,0.59,0.5,0.52,0.48,0.47,0.48,0.47,0.45,0.42,0.39,0.36,0.39,0.39,0.39,0.35,0.34,0.35,0.34,0.31,0.31,0.28,0.28,0.27,0.28,0.24,0.26,0.25,0.21,0.22,0.19,0.21,0.22,0.19,0.2,0.2,0.18,0.18,0.18,0.19,0.18,0.17,0.16,0.15,0.17,0.14,0.15,0.14,0.14,0.13,0.11,0.1,0.12,0.12,0.12,0.12,0.1,0.1,0.1,0.1,0.09,0.09,0.11,0.0,0.12,0.09,0.08,0.08,0.07,0.08,0.08,0.0,0.06,0.07,0.05,0.07,0.07,0.07,0.05,0.07,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.04,0.05,0.05,0.04,0.06,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.04,0.02,0.0,0.0,99.95
08/03/2021,13.35,10.75,5.96,4.49,4.51,4.17,4.01,2.67,2.33,2.13,1.97,1.96,1.64,1.64,1.64,1.5,1.62,1.33,1.42,1.36,1.16,1.05,1.09,1.11,1.1,0.89,0.9,0.85,0.73,0.69,0.61,0.6,0.5,0.52,0.48,0.47,0.5,0.47,0.44,0.42,0.39,0.36,0.39,0.38,0.39,0.36,0.34,0.36,0.35,0.3,0.31,0.28,0.28,0.27,0.28,0.24,0.27,0.25,0.22,0.22,0.2,0.21,0.22,0.2,0.21,0.2,0.18,0.18,0.17,0.18,0.18,0.18,0.16,0.15,0.17,0.14,0.15,0.14,0.14,0.13,0.11,0.1,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.08,0.11,0.0,0.15,0.09,0.09,0.08,0.07,0.08,0.08,0.0,0.06,0.07,0.05,0.07,0.07,0.07,0.05,0.07,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.07,0.06,0.05,0.05,0.05,0.04,0.06,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.01,0.02,0.0,0.0,99.93
08/04/2021,13.35,10.75,5.96,4.49,4.51,4.17,4.01,2.67,2.33,2.13,1.97,1.96,1.64,1.64,1.64,1.5,1.62,1.33,1.42,1.36,1.16,1.05,1.09,1.11,1.1,0.89,0.9,0.85,0.73,0.69,0.61,0.6,0.5,0.52,0.48,0.47,0.5,0.47,0.44,0.42,0.39,0.36,0.39,0.38,0.39,0.36,0.34,0.36,0.35,0.3,0.31,0.28,0.28,0.27,0.28,0.24,0.27,0.25,0.22,0.22,0.2,0.21,0.22,0.2,0.21,0.2,0.18,0.18,0.17,0.18,0.18,0.18,0.16,0.15,0.17,0.14,0.15,0.14,0.14,0.13,0.11,0.1,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.08,0.11,0.0,0.15,0.09,0.09,0.08,0.07,0.08,0.08,0.0,0.06,0.07,0.05,0.07,0.07,0.07,0.05,0.07,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.07,0.06,0.05,0.05,0.05,0.04,0.06,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.01,0.02,0.0,0.0,99.93
08/05/2021,13.35,10.75,5.96,4.49,4.51,4.17,4.01,2.67,2.33,2.13,1.97,1.96,1.64,1.64,1.64,1.5,1.62,1.33,1.42,1.36,1.16,1.05,1.09,1.11,1.1,0.89,0.9,0.85,0.73,0.69,0.61,0.6,0.5,0.52,0.48,0.47,0.5,0.47,0.44,0.42,0.39,0.36,0.39,0.38,0.39,0.36,0.34,0.36,0.35,0.3,0.31,0.28,0.28,0.27,0.28,0.24,0.27,0.25,0.22,0.22,0.2,0.21,0.22,0.2,0.21,0.2,0.18,0.18,0.17,0.18,0.18,0.18,0.16,0.15,0.17,0.14,0.15,0.14,0.14,0.13,0.11,0.1,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.08,0.11,0.0,0.15,0.09,0.09,0.08,0.07,0.08,0.08,0.0,0.06,0.07,0.05,0.07,0.07,0.07,0.05,0.07,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.07,0.06,0.05,0.05,0.05,0.04,0.06,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.01,0.02,0.0,0.0,99.93
08/06/2021,13.32,10.69,6.04,4.68,4.56,4.15,4.05,2.71,2.33,2.12,1.97,1.93,1.62,1.71,1.64,1.53,1.63,1.33,1.38,1.31,1.12,1.06,1.06,1.1,1.1,0.91,0.9,0.84,0.75,0.69,0.61,0.59,0.49,0.51,0.48,0.47,0.49,0.47,0.44,0.41,0.39,0.36,0.38,0.39,0.37,0.36,0.34,0.36,0.35,0.31,0.31,0.27,0.27,0.27,0.29,0.24,0.27,0.25,0.22,0.21,0.19,0.22,0.22,0.19,0.2,0.2,0.18,0.18,0.17,0.18,0.18,0.18,0.16,0.14,0.17,0.14,0.15,0.14,0.14,0.13,0.11,0.09,0.12,0.12,0.11,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.0,0.15,0.09,0.08,0.08,0.07,0.08,0.08,0.0,0.06,0.07,0.05,0.07,0.07,0.08,0.05,0.07,0.08,0.06,0.05,0.06,0.06,0.06,0.03,0.06,0.06,0.05,0.06,0.06,0.04,0.04,0.05,0.04,0.06,0.05,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.03,99.95
