,MSFT,AMZN,AAPL,TSLA,NVDA,PYPL,TMO,NFLX,QCOM,DHR,ABT,LLY,AVGO,NKE,ABBV,TGT,UPS,DE,TXN,AMD,AMAT,LOW,COST,NOW,CAT,TMUS,ATVI,IDXX,FCX,LRCX,ISRG,FDX,CARR,MU,EBAY,ILMN,REGN,GM,SNPS,CDNS,ALGN,CMG,ADSK,EQIX,KLAC,A,WST,TWTR,ETSY,ENPH,DG,DD,DXCM,MTD,NEM,TT,CMI,EA,MSCI,APTV,ZBRA,SIVB,KEYS,OTIS,ALB,SWKS,MNST,CTLT,TSCO,FAST,ODFL,KR,TER,TTWO,ABMD,MPWR,URI,PKI,ROK,CLX,QRVO,PCAR,POOL,TRMB,MKTX,BIO,HOLX,PWR,TYL,FFIV,DPZ,LB,NLOK,EMN,PKG,IPGP,DVA,NWSA,ROL,Cash/Receivables/Payables,Securities Lending - Bnym,Interest/Overdraft,BBWI WI,n/a,SUM
07/09/2021,9.43,9.38,9.24,7.7,7.23,4.7,2.43,2.05,1.89,1.83,1.81,1.66,1.61,1.56,1.55,1.53,1.5,1.41,1.35,1.14,1.1,1.05,1.05,1.0,0.89,0.89,0.77,0.72,0.71,0.71,0.71,0.67,0.63,0.63,0.58,0.56,0.53,0.51,0.51,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.41,0.4,0.39,0.39,0.36,0.33,0.33,0.33,0.33,0.31,0.3,0.29,0.29,0.27,0.27,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.15,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,-0.05,0.0,0.0,0.0,0.0,100.04999999999998
07/12/2021,9.4,9.46,9.41,7.65,6.98,4.81,2.42,2.02,1.89,1.81,1.81,1.65,1.62,1.57,1.56,1.55,1.51,1.41,1.33,1.09,1.08,1.05,1.08,1.01,0.91,0.88,0.75,0.73,0.72,0.7,0.71,0.67,0.63,0.61,0.58,0.56,0.53,0.52,0.51,0.47,0.48,0.46,0.44,0.44,0.43,0.43,0.43,0.4,0.39,0.38,0.39,0.37,0.33,0.33,0.33,0.34,0.31,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.19,0.17,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,-0.05,0.0,0.0,0.0,0.0,100.06
07/13/2021,9.4,9.46,9.41,7.65,6.98,4.81,2.42,2.02,1.89,1.81,1.81,1.65,1.62,1.57,1.56,1.55,1.51,1.41,1.33,1.09,1.08,1.05,1.08,1.01,0.91,0.88,0.75,0.73,0.72,0.7,0.71,0.67,0.63,0.61,0.58,0.56,0.53,0.52,0.51,0.47,0.48,0.46,0.44,0.44,0.43,0.43,0.43,0.4,0.39,0.38,0.39,0.37,0.33,0.33,0.33,0.34,0.31,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.19,0.17,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,-0.05,0.0,0.0,0.0,0.0,100.06
07/14/2021,9.4,9.45,9.41,7.65,6.98,4.81,2.42,2.02,1.89,1.81,1.81,1.65,1.62,1.57,1.55,1.55,1.51,1.41,1.33,1.09,1.08,1.05,1.08,1.01,0.91,0.88,0.75,0.73,0.72,0.7,0.71,0.67,0.63,0.61,0.58,0.56,0.53,0.52,0.51,0.47,0.48,0.46,0.44,0.44,0.43,0.43,0.43,0.4,0.39,0.38,0.39,0.37,0.33,0.33,0.33,0.33,0.31,0.29,0.3,0.28,0.28,0.28,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.19,0.17,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,0.0,0.0,-0.05,0.0,0.0,100.01
07/15/2021,9.32,9.39,9.3,7.92,7.09,4.82,2.39,2.01,1.89,1.8,1.79,1.65,1.63,1.56,1.56,1.56,1.49,1.41,1.34,1.08,1.09,1.04,1.06,0.99,0.91,0.88,0.75,0.71,0.71,0.71,0.71,0.68,0.64,0.61,0.57,0.56,0.52,0.52,0.5,0.46,0.49,0.46,0.43,0.44,0.43,0.43,0.43,0.4,0.39,0.38,0.39,0.37,0.33,0.33,0.32,0.34,0.31,0.29,0.3,0.29,0.27,0.29,0.26,0.26,0.26,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,-0.05,0.0,0.0,0.0,0.0,100.03
07/16/2021,9.48,9.32,9.42,7.76,7.03,4.81,2.4,2.03,1.88,1.8,1.79,1.65,1.63,1.57,1.57,1.56,1.49,1.41,1.34,1.08,1.09,1.04,1.06,0.99,0.9,0.89,0.76,0.72,0.7,0.71,0.71,0.68,0.64,0.6,0.57,0.56,0.53,0.52,0.51,0.47,0.49,0.46,0.44,0.44,0.43,0.43,0.43,0.4,0.38,0.38,0.39,0.37,0.34,0.33,0.32,0.34,0.31,0.3,0.3,0.29,0.27,0.28,0.26,0.26,0.26,0.23,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.16,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,-0.05,0.0,0.0,0.0,0.0,100.08999999999996
07/19/2021,9.58,9.3,9.7,7.63,6.65,4.78,2.43,2.06,1.9,1.85,1.78,1.64,1.63,1.58,1.58,1.59,1.51,1.4,1.33,1.05,1.08,1.06,1.09,1.0,0.89,0.9,0.74,0.72,0.68,0.7,0.71,0.68,0.65,0.6,0.57,0.55,0.54,0.51,0.51,0.47,0.48,0.46,0.44,0.45,0.42,0.43,0.43,0.4,0.37,0.34,0.4,0.38,0.34,0.33,0.33,0.34,0.31,0.3,0.3,0.28,0.27,0.29,0.26,0.27,0.26,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.19,0.18,0.16,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,-0.05,0.0,0.0,0.0,0.0,100.01999999999998
07/20/2021,9.67,9.25,9.66,7.63,6.43,4.8,2.48,2.03,1.9,1.89,1.81,1.66,1.61,1.58,1.6,1.59,1.51,1.4,1.33,1.05,1.05,1.07,1.1,1.01,0.88,0.92,0.76,0.74,0.66,0.68,0.72,0.68,0.65,0.59,0.58,0.55,0.54,0.5,0.51,0.47,0.48,0.46,0.44,0.45,0.41,0.44,0.44,0.39,0.38,0.34,0.4,0.37,0.34,0.34,0.32,0.34,0.31,0.3,0.31,0.28,0.27,0.28,0.26,0.27,0.26,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.16,0.15,0.15,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,0.0,0.0,-0.06,0.0,0.0,99.95999999999998
07/21/2021,9.67,9.25,9.66,7.63,6.43,4.8,2.48,2.03,1.9,1.89,1.81,1.66,1.61,1.58,1.6,1.59,1.51,1.4,1.33,1.05,1.05,1.07,1.1,1.01,0.88,0.92,0.76,0.74,0.66,0.68,0.72,0.68,0.65,0.59,0.58,0.55,0.54,0.5,0.51,0.47,0.48,0.46,0.44,0.45,0.41,0.44,0.44,0.39,0.38,0.34,0.4,0.37,0.34,0.34,0.32,0.34,0.31,0.3,0.31,0.28,0.27,0.28,0.26,0.27,0.26,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.16,0.15,0.15,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,0.0,0.0,-0.06,0.0,0.0,99.95999999999998
07/22/2021,9.67,9.25,9.66,7.63,6.43,4.8,2.48,2.03,1.9,1.89,1.81,1.66,1.61,1.58,1.6,1.59,1.51,1.4,1.33,1.05,1.05,1.07,1.1,1.01,0.88,0.92,0.76,0.74,0.66,0.68,0.72,0.68,0.65,0.59,0.58,0.55,0.54,0.5,0.51,0.47,0.48,0.46,0.44,0.45,0.41,0.44,0.44,0.39,0.38,0.34,0.4,0.37,0.34,0.34,0.32,0.34,0.31,0.3,0.31,0.28,0.27,0.28,0.26,0.27,0.26,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.16,0.15,0.15,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,0.0,0.0,-0.06,0.0,0.0,99.95999999999998
