,SPY,XLY,XLF,XLI,XLK,QQQ,XLV,XLC,Us Dollars,n/a,SUM
07/09/2021,29.97,11.82,10.5,10.09,10.06,9.88,9.58,8.02,0.08,0.0,100.0
07/12/2021,30.05,11.9,10.24,10.04,10.15,9.98,9.67,7.97,0.01,0.0,100.01
07/13/2021,30.05,11.9,10.24,10.04,10.15,9.98,9.67,7.97,0.01,0.0,100.01
07/14/2021,30.03,11.88,10.41,10.09,10.12,9.93,9.59,7.95,0.01,0.0,100.01
07/15/2021,30.0,11.91,10.47,10.06,10.09,9.92,9.57,7.97,0.01,0.0,100.0
07/16/2021,30.04,11.82,10.4,10.01,10.17,9.97,9.6,7.99,0.01,0.0,100.01
07/19/2021,30.07,11.77,10.42,10.05,10.2,9.94,9.59,7.95,0.01,0.0,100.0
07/20/2021,30.08,11.72,10.36,10.05,10.18,9.95,9.7,7.96,0.01,0.0,100.01
07/21/2021,30.08,11.72,10.36,10.05,10.18,9.95,9.7,7.96,0.01,0.0,100.01
07/22/2021,30.08,11.72,10.36,10.05,10.18,9.95,9.7,7.96,0.01,0.0,100.01
07/23/2021,30.03,11.79,10.31,10.1,10.18,9.97,9.7,7.92,0.01,0.0,100.01
07/26/2021,30.01,11.82,10.26,10.05,10.24,10.0,9.68,7.93,0.01,0.0,100.0
07/27/2021,30.02,11.81,10.18,9.99,10.24,10.02,9.7,8.05,0.01,0.0,100.02
07/28/2021,30.02,11.81,10.18,9.99,10.24,10.02,9.7,8.05,0.01,0.0,100.02
07/29/2021,30.03,11.87,10.22,9.97,10.21,10.01,9.62,8.07,0.01,0.0,100.01
07/30/2021,30.07,11.82,10.27,9.97,10.17,9.95,9.72,8.02,0.01,0.0,100.0
08/02/2021,30.04,11.86,10.32,9.98,10.16,9.96,9.73,7.96,-0.01,0.0,100.0
08/03/2021,30.04,11.86,10.32,9.98,10.16,9.96,9.73,7.96,-0.01,0.0,100.0
08/04/2021,30.04,11.86,10.32,9.98,10.16,9.96,9.73,7.96,-0.01,0.0,100.0
08/05/2021,30.04,11.86,10.32,9.98,10.16,9.96,9.73,7.96,-0.01,0.0,100.0
08/06/2021,30.01,11.71,10.34,10.0,10.16,9.95,9.87,7.86,0.09,0.0,99.99
08/09/2021,30.0,11.69,10.37,9.9,10.22,10.01,9.77,7.95,0.0,0.09,100.0
08/10/2021,30.02,11.6,10.57,9.93,10.2,9.96,9.75,7.94,0.0,0.02,99.99
08/11/2021,30.02,11.6,10.57,9.93,10.2,9.96,9.75,7.94,0.0,0.02,99.99
08/12/2021,30.01,11.59,10.6,9.9,10.18,9.98,9.79,7.93,0.0,0.02,100.0
08/13/2021,30.0,11.61,10.69,9.98,10.09,9.92,9.76,7.93,0.0,0.02,100.0
08/16/2021,30.0,11.59,10.78,10.04,10.09,9.88,9.68,7.92,0.0,0.02,100.0
08/17/2021,30.04,11.55,10.69,10.0,10.14,9.91,9.74,7.92,0.0,0.02,100.01
08/18/2021,30.04,11.55,10.69,10.0,10.14,9.91,9.74,7.92,0.0,0.02,100.01
08/19/2021,30.04,11.55,10.69,10.0,10.14,9.91,9.74,7.92,0.0,0.02,100.01
08/20/2021,30.09,11.29,10.65,9.98,10.16,9.88,10.02,7.91,0.0,0.02,100.0
08/23/2021,30.09,11.36,10.54,9.9,10.21,9.93,10.01,7.93,0.0,0.02,99.99
08/24/2021,30.09,11.38,10.52,9.85,10.26,9.95,9.99,7.93,0.0,0.02,99.99
08/25/2021,30.09,11.38,10.52,9.85,10.26,9.95,9.99,7.93,0.0,0.02,99.99
08/26/2021,30.07,11.42,10.51,9.83,10.3,10.01,9.9,7.95,0.0,0.02,100.01
08/27/2021,30.04,11.47,10.55,9.86,10.26,10.01,9.84,7.96,0.0,0.02,100.01
08/30/2021,30.02,11.45,10.65,9.91,10.22,9.99,9.8,7.92,0.0,0.02,99.98
08/31/2021,30.02,11.45,10.7,9.89,10.23,10.0,9.71,7.98,0.0,0.02,100.0
09/01/2021,30.02,11.45,10.7,9.89,10.23,10.0,9.71,7.98,0.0,0.02,100.0
09/02/2021,30.04,11.49,10.51,9.84,10.3,10.07,9.72,8.0,0.0,0.02,99.99
09/03/2021,30.04,11.49,10.51,9.84,10.3,10.07,9.72,8.0,0.0,0.02,99.99
09/06/2021,30.06,11.5,10.45,9.87,10.22,10.06,9.8,8.01,0.0,0.02,99.99
09/07/2021,30.07,11.5,10.39,9.81,10.27,10.1,9.82,8.01,0.0,0.02,99.99
09/08/2021,30.07,11.5,10.39,9.81,10.27,10.1,9.82,8.01,0.0,0.02,99.99
