,DLTR,QCOM,AMD,CF,HPQ,NVDA,STX,PLD,GWW,ABBV,UNP,JNPR,LOW,ACN,CSX,CVS,ANTM,UNH,TTWO,NSC,ADP,EIX,HD,SPG,FCX,GIS,ED,APD,IRM,CMA,BK,PPG,ORCL,HUM,MU,INTU,HPE,KEYS,AVB,ITW,DGX,VRSK,PFG,TEL,LRCX,ROK,TMO,WY,MSI,MKC,KR,RSG,PEP,FE,UPS,WHR,PG,ANSS,MCD,STT,APTV,CL,KEY,MOS,LIN,ABT,BAC,NTRS,INFO,MSFT,HLT,GM,ES,NEM,IR,RF,HSY,MDLZ,CI,CSCO,CBRE,MCO,WM,MRK,TT,AKAM,CB,AFL,FITB,TJX,KIM,NDAQ,DOV,MAR,SPGI,BXP,AMAT,YUM,NKE,JCI,ECL,AWK,MA,ROP,EW,NLSN,TPR,AMGN,ALB,K,TRV,HAS,GILD,CAT,FTV,HOLX,PEAK,NLOK,BAX,CPB,JPM,IPG,DE,BDX,SWK,WBA,SNA,VZ,ETSY,MET,AXP,URI,LNC,HIG,KHC,WELL,CRM,ADSK,HST,SBUX,LYB,MS,V,SRE,EA,BKNG,TXN,REGN,CAH,EMR,DOW,INTC,CMI,PNR,BSX,GE,BBY,DAL,TGT,COF,PVH,XYL,ALK,NWL,A,ALL,VTR,EBAY,RCL,T,DVA,IVZ,ILMN,HBI,CMCSA,C,DXC,ADBE,DIS,BIIB,MDT,ATVI,GPS,GOOGL,GOOG,AGPXX,TRL.,ALS.,AWC.,PEP.,DUT.,PG4.,TRVC.,GE.,n/a,SUM
12/22/2021,0.8,0.7,0.69,0.69,0.69,0.67,0.66,0.65,0.65,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.42,0.41,0.41,0.4,0.36,0.29,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/23/2021,0.55,0.54,0.52,0.6,0.55,0.49,0.56,0.57,0.54,0.6,0.55,0.57,0.54,0.58,0.53,0.6,0.6,0.57,0.59,0.55,0.55,0.56,0.53,0.52,0.54,0.59,0.58,0.56,0.6,0.54,0.56,0.55,0.58,0.57,0.53,0.5,0.53,0.54,0.55,0.55,0.6,0.54,0.52,0.54,0.52,0.54,0.57,0.54,0.57,0.59,0.59,0.55,0.57,0.57,0.55,0.54,0.58,0.53,0.57,0.54,0.5,0.59,0.53,0.55,0.56,0.57,0.55,0.54,0.55,0.53,0.54,0.5,0.57,0.58,0.54,0.51,0.57,0.6,0.58,0.59,0.54,0.55,0.55,0.58,0.53,0.57,0.55,0.55,0.52,0.55,0.53,0.54,0.55,0.53,0.55,0.53,0.52,0.56,0.52,0.53,0.54,0.58,0.55,0.55,0.56,0.54,0.51,0.58,0.46,0.58,0.56,0.53,0.58,0.54,0.52,0.57,0.57,0.59,0.57,0.58,0.54,0.55,0.52,0.57,0.52,0.56,0.53,0.59,0.5,0.54,0.52,0.5,0.52,0.54,0.6,0.53,0.52,0.56,0.51,0.52,0.54,0.53,0.56,0.57,0.58,0.55,0.53,0.52,0.57,0.54,0.55,0.54,0.53,0.52,0.53,0.51,0.5,0.52,0.51,0.52,0.51,0.51,0.54,0.5,0.54,0.58,0.53,0.53,0.54,0.58,0.57,0.52,0.55,0.0,0.55,0.52,0.54,0.47,0.53,0.56,0.5,0.58,0.54,0.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
12/24/2021,0.54,0.54,0.55,0.63,0.55,0.5,0.57,0.56,0.54,0.59,0.54,0.57,0.53,0.58,0.53,0.6,0.59,0.57,0.58,0.55,0.55,0.55,0.52,0.54,0.56,0.56,0.56,0.55,0.59,0.55,0.57,0.55,0.57,0.56,0.58,0.51,0.54,0.54,0.55,0.54,0.57,0.53,0.54,0.54,0.53,0.54,0.55,0.54,0.57,0.58,0.56,0.54,0.56,0.56,0.56,0.53,0.57,0.54,0.56,0.55,0.51,0.58,0.54,0.57,0.55,0.56,0.55,0.54,0.55,0.54,0.57,0.5,0.56,0.57,0.54,0.52,0.56,0.58,0.58,0.59,0.55,0.54,0.54,0.57,0.53,0.57,0.54,0.55,0.53,0.55,0.54,0.54,0.55,0.55,0.55,0.54,0.53,0.56,0.54,0.53,0.54,0.56,0.56,0.55,0.57,0.53,0.52,0.57,0.47,0.56,0.56,0.53,0.57,0.54,0.52,0.55,0.56,0.58,0.57,0.56,0.53,0.56,0.53,0.56,0.51,0.57,0.53,0.57,0.5,0.55,0.52,0.5,0.53,0.54,0.58,0.53,0.52,0.56,0.54,0.52,0.54,0.53,0.57,0.56,0.58,0.58,0.52,0.51,0.57,0.54,0.54,0.54,0.53,0.52,0.54,0.52,0.5,0.54,0.5,0.53,0.52,0.51,0.56,0.52,0.54,0.57,0.54,0.52,0.56,0.58,0.57,0.53,0.55,0.0,0.55,0.52,0.55,0.47,0.54,0.55,0.5,0.59,0.54,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
12/27/2021,0.54,0.54,0.55,0.65,0.56,0.5,0.57,0.55,0.54,0.59,0.54,0.57,0.53,0.59,0.54,0.59,0.6,0.57,0.57,0.55,0.56,0.55,0.52,0.54,0.58,0.56,0.56,0.55,0.58,0.55,0.56,0.55,0.55,0.57,0.59,0.51,0.55,0.54,0.54,0.54,0.57,0.53,0.0,0.54,0.54,0.53,0.55,0.53,0.56,0.57,0.54,0.54,0.0,0.56,0.56,0.54,0.57,0.54,0.56,0.54,0.52,0.58,0.53,0.59,0.55,0.57,0.55,0.54,0.54,0.54,0.58,0.51,0.55,0.57,0.54,0.52,0.56,0.58,0.59,0.59,0.56,0.0,0.54,0.56,0.53,0.56,0.55,0.55,0.53,0.54,0.54,0.54,0.55,0.57,0.54,0.53,0.54,0.56,0.53,0.53,0.53,0.0,0.57,0.55,0.58,0.55,0.51,0.57,0.47,0.55,0.55,0.53,0.56,0.55,0.53,0.54,0.55,0.57,0.57,0.54,0.53,0.55,0.52,0.55,0.51,0.56,0.53,0.57,0.5,0.55,0.53,0.5,0.54,0.54,0.58,0.52,0.52,0.55,0.55,0.52,0.54,0.53,0.56,0.56,0.57,0.58,0.52,0.52,0.57,0.54,0.54,0.54,0.53,0.52,0.56,0.0,0.5,0.55,0.5,0.53,0.52,0.51,0.56,0.51,0.55,0.0,0.53,0.52,0.57,0.58,0.0,0.54,0.55,0.0,0.55,0.0,0.56,0.47,0.54,0.54,0.5,0.6,0.54,0.3,0.24,0.0,0.58,0.57,0.56,0.55,0.55,0.54,0.52,0.52,0.0,100.13
12/28/2021,0.53,0.54,0.54,0.65,0.55,0.5,0.57,0.55,0.54,0.59,0.54,0.57,0.53,0.58,0.54,0.59,0.6,0.57,0.57,0.54,0.56,0.55,0.52,0.53,0.57,0.55,0.56,0.55,0.58,0.55,0.56,0.55,0.55,0.57,0.59,0.51,0.55,0.54,0.54,0.54,0.56,0.53,0.54,0.54,0.53,0.53,0.55,0.53,0.56,0.57,0.54,0.54,0.55,0.56,0.56,0.54,0.57,0.54,0.56,0.54,0.52,0.58,0.53,0.59,0.55,0.57,0.54,0.54,0.54,0.54,0.58,0.51,0.55,0.57,0.54,0.51,0.55,0.58,0.59,0.59,0.56,0.54,0.53,0.56,0.53,0.56,0.54,0.55,0.53,0.54,0.54,0.54,0.55,0.56,0.54,0.53,0.53,0.56,0.53,0.53,0.53,0.56,0.57,0.55,0.58,0.55,0.51,0.57,0.47,0.55,0.54,0.52,0.56,0.55,0.53,0.54,0.55,0.57,0.57,0.54,0.53,0.55,0.52,0.55,0.51,0.56,0.53,0.56,0.5,0.55,0.53,0.5,0.54,0.54,0.58,0.52,0.51,0.55,0.55,0.52,0.54,0.53,0.56,0.55,0.57,0.58,0.52,0.52,0.57,0.53,0.54,0.54,0.53,0.52,0.55,0.52,0.5,0.55,0.5,0.53,0.52,0.51,0.56,0.51,0.55,0.56,0.53,0.52,0.57,0.58,0.57,0.53,0.55,0.0,0.55,0.52,0.56,0.47,0.54,0.54,0.49,0.59,0.54,0.3,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
12/29/2021,0.53,0.54,0.54,0.65,0.55,0.5,0.57,0.55,0.54,0.59,0.54,0.57,0.53,0.58,0.54,0.59,0.6,0.57,0.57,0.54,0.56,0.55,0.52,0.53,0.57,0.55,0.56,0.55,0.58,0.55,0.56,0.55,0.55,0.57,0.59,0.51,0.55,0.54,0.54,0.54,0.56,0.53,0.54,0.54,0.53,0.53,0.55,0.53,0.56,0.57,0.54,0.54,0.55,0.56,0.56,0.54,0.57,0.54,0.56,0.54,0.52,0.58,0.53,0.59,0.55,0.57,0.54,0.54,0.54,0.54,0.58,0.51,0.55,0.57,0.54,0.51,0.55,0.58,0.59,0.59,0.56,0.54,0.53,0.56,0.53,0.56,0.54,0.55,0.53,0.54,0.54,0.54,0.55,0.56,0.54,0.53,0.53,0.56,0.53,0.53,0.53,0.56,0.57,0.55,0.58,0.55,0.51,0.57,0.47,0.55,0.54,0.52,0.56,0.55,0.53,0.54,0.55,0.57,0.57,0.54,0.53,0.55,0.52,0.55,0.51,0.56,0.53,0.56,0.5,0.55,0.53,0.5,0.54,0.54,0.58,0.52,0.51,0.55,0.55,0.52,0.54,0.53,0.56,0.55,0.57,0.58,0.52,0.52,0.57,0.53,0.54,0.54,0.53,0.52,0.55,0.52,0.5,0.55,0.5,0.53,0.52,0.51,0.56,0.51,0.55,0.56,0.53,0.52,0.57,0.58,0.57,0.53,0.55,0.0,0.55,0.52,0.56,0.47,0.54,0.54,0.49,0.59,0.54,0.3,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
12/30/2021,0.53,0.54,0.57,0.66,0.55,0.52,0.57,0.56,0.54,0.59,0.54,0.58,0.53,0.59,0.54,0.59,0.59,0.57,0.56,0.54,0.56,0.54,0.52,0.54,0.58,0.55,0.55,0.55,0.59,0.55,0.55,0.55,0.54,0.56,0.59,0.52,0.55,0.55,0.54,0.54,0.57,0.53,0.54,0.55,0.55,0.53,0.55,0.54,0.57,0.57,0.54,0.54,0.55,0.55,0.56,0.54,0.57,0.54,0.55,0.54,0.51,0.58,0.53,0.59,0.55,0.57,0.54,0.54,0.54,0.54,0.57,0.5,0.54,0.57,0.54,0.52,0.55,0.57,0.58,0.59,0.56,0.54,0.53,0.56,0.53,0.56,0.55,0.55,0.53,0.54,0.54,0.54,0.55,0.56,0.54,0.53,0.55,0.56,0.53,0.54,0.53,0.55,0.56,0.55,0.58,0.55,0.5,0.56,0.47,0.54,0.54,0.53,0.56,0.54,0.53,0.54,0.55,0.57,0.57,0.54,0.52,0.56,0.52,0.54,0.51,0.56,0.53,0.56,0.5,0.55,0.52,0.5,0.54,0.54,0.57,0.52,0.52,0.55,0.55,0.52,0.54,0.53,0.56,0.55,0.56,0.57,0.52,0.52,0.57,0.53,0.54,0.54,0.52,0.52,0.55,0.51,0.49,0.54,0.5,0.52,0.53,0.51,0.55,0.51,0.54,0.57,0.53,0.52,0.56,0.57,0.57,0.53,0.54,0.0,0.55,0.52,0.56,0.47,0.53,0.53,0.5,0.59,0.54,0.29,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
12/31/2021,0.54,0.54,0.56,0.66,0.55,0.51,0.57,0.56,0.55,0.59,0.54,0.58,0.53,0.59,0.54,0.59,0.6,0.57,0.56,0.55,0.56,0.54,0.52,0.54,0.58,0.55,0.55,0.55,0.59,0.55,0.55,0.55,0.53,0.56,0.58,0.52,0.55,0.55,0.54,0.55,0.56,0.53,0.54,0.54,0.54,0.53,0.55,0.54,0.57,0.57,0.55,0.55,0.55,0.55,0.56,0.54,0.57,0.54,0.55,0.54,0.51,0.58,0.53,0.59,0.55,0.56,0.54,0.54,0.54,0.54,0.57,0.5,0.55,0.57,0.54,0.51,0.55,0.58,0.59,0.59,0.56,0.54,0.54,0.56,0.53,0.56,0.54,0.55,0.53,0.54,0.54,0.54,0.56,0.56,0.54,0.52,0.54,0.56,0.52,0.54,0.54,0.56,0.56,0.56,0.58,0.55,0.5,0.56,0.47,0.55,0.55,0.52,0.56,0.54,0.53,0.53,0.55,0.57,0.57,0.55,0.53,0.56,0.51,0.54,0.52,0.57,0.54,0.56,0.48,0.55,0.52,0.5,0.54,0.54,0.58,0.53,0.51,0.54,0.54,0.53,0.55,0.53,0.56,0.55,0.56,0.57,0.52,0.52,0.57,0.54,0.55,0.53,0.53,0.52,0.55,0.52,0.5,0.54,0.5,0.52,0.53,0.51,0.55,0.51,0.54,0.57,0.53,0.52,0.55,0.57,0.57,0.53,0.54,0.0,0.55,0.52,0.56,0.46,0.54,0.53,0.5,0.6,0.54,0.29,0.23,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
01/03/2022,0.54,0.53,0.53,0.64,0.55,0.49,0.57,0.56,0.54,0.59,0.54,0.58,0.54,0.59,0.54,0.6,0.6,0.57,0.57,0.55,0.56,0.54,0.53,0.54,0.57,0.56,0.56,0.55,0.59,0.55,0.55,0.55,0.53,0.57,0.58,0.51,0.55,0.55,0.54,0.55,0.57,0.53,0.0,0.54,0.54,0.53,0.56,0.55,0.57,0.58,0.56,0.55,0.0,0.56,0.56,0.55,0.57,0.53,0.55,0.54,0.51,0.58,0.54,0.58,0.55,0.57,0.54,0.54,0.53,0.54,0.57,0.51,0.56,0.58,0.54,0.52,0.56,0.58,0.59,0.6,0.56,0.0,0.54,0.56,0.53,0.56,0.55,0.55,0.53,0.55,0.55,0.54,0.56,0.56,0.53,0.53,0.54,0.56,0.53,0.54,0.54,0.0,0.56,0.55,0.58,0.53,0.5,0.57,0.48,0.55,0.55,0.53,0.56,0.54,0.53,0.54,0.56,0.57,0.57,0.55,0.53,0.56,0.5,0.55,0.52,0.57,0.53,0.55,0.48,0.55,0.52,0.49,0.54,0.54,0.58,0.54,0.51,0.54,0.55,0.53,0.54,0.52,0.56,0.56,0.57,0.57,0.52,0.52,0.58,0.54,0.55,0.53,0.53,0.52,0.55,0.0,0.51,0.54,0.52,0.52,0.54,0.51,0.54,0.51,0.55,0.0,0.54,0.53,0.55,0.57,0.0,0.53,0.54,0.0,0.55,0.0,0.55,0.47,0.54,0.54,0.5,0.61,0.55,0.29,0.23,0.0,0.58,0.58,0.57,0.55,0.53,0.54,0.52,0.51,0.0,100.06
01/03/2022,0.54,0.53,0.53,0.63,0.55,0.49,0.57,0.57,0.55,0.59,0.55,0.59,0.54,0.59,0.54,0.59,0.6,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.58,0.56,0.56,0.55,0.58,0.55,0.55,0.56,0.52,0.56,0.58,0.51,0.54,0.55,0.55,0.55,0.58,0.53,0.0,0.54,0.54,0.53,0.56,0.56,0.57,0.58,0.56,0.55,0.0,0.56,0.56,0.55,0.57,0.53,0.55,0.53,0.52,0.59,0.54,0.58,0.56,0.57,0.54,0.54,0.54,0.54,0.58,0.52,0.56,0.59,0.55,0.51,0.56,0.58,0.59,0.59,0.56,0.0,0.54,0.56,0.53,0.56,0.55,0.55,0.53,0.55,0.56,0.54,0.56,0.56,0.54,0.52,0.54,0.56,0.52,0.55,0.54,0.0,0.56,0.56,0.58,0.53,0.5,0.56,0.47,0.55,0.54,0.54,0.56,0.54,0.53,0.54,0.56,0.57,0.57,0.55,0.53,0.55,0.5,0.55,0.53,0.57,0.54,0.55,0.47,0.55,0.52,0.5,0.54,0.54,0.58,0.54,0.51,0.54,0.54,0.54,0.54,0.52,0.56,0.56,0.56,0.57,0.51,0.52,0.57,0.54,0.55,0.53,0.53,0.52,0.54,0.0,0.51,0.54,0.52,0.52,0.55,0.52,0.54,0.51,0.55,0.0,0.54,0.53,0.55,0.57,0.0,0.52,0.54,0.0,0.55,0.0,0.55,0.46,0.54,0.54,0.49,0.6,0.54,0.29,0.23,0.0,0.58,0.58,0.57,0.56,0.53,0.54,0.52,0.51,0.0,100.11
