,2330.TW,700.HK,9988.HK,005930.KS,3690.HK,NPN.JO,939.HK,INFY.NS,LKOH.ME,HDFC.NS,2882.TW,NIO,2269.HK,2318.HK,005935.KQ,2010.SR,RELIANCE.NS,TCS.NS,000660.KS,2891.TW,035420.KS,2881.TW,JD,BIDU,NTES,FAB.,2887.TW,2454.TW,2892.TW,006400.KS,PDD,QNBK.QA,ICICIBANK.NS,2884.TW,SBER.ME,2603.TW,BBDC4.SA,M4B.,NVTK.L,DABUR.NS,B3SA3.SA,MOL.BD,1810.HK,HINDUNILVR.NS,055550.KS,035720.KS,VOD.JO,051910.KS,BBCA.JK,2382.HK,ASIANPAINT.NS,2912.TW,FEMSAUBD.MX,105560.KS,NESTLE.KL,BY6.,656.HK,005490.KS,GAZP.ME,GFNORTEO.MX,300750.SZ,LI,PBBANK.KL,RENT3.SA,175.HK,KFH.,2308.TW,1120.SR,OMU.JO,BBAS3.SA,YUMC,AXISBANK.NS,2002.TW,HCLTECH.NS,992.HK,PTT-R.BK,2317.TW,XPEV,NESTLEIND.NS,SANB11.SA,066570.KS,BTS-R.BK,NTCO3.SA,SCVUF,OPAP.AT,6098.HK,017670.KS,2303.TW,BDMS-R.BK,268.HK,968.HK,POLY.L,ENELAM.SN,PETDAG.KL,WALMEX.MX,2313.HK,BAJFINANCE.NS,KIO.JO,051900.KS,034220.KS,2331.HK,034730.KS,TITAN.NS,D7N.,1398.HK,2412.TW,WIPRO.NS,300274.SZ,NLMK.ME,PEL.NS,SBK.JO,CMIG4.SA,601318.SS,CCU.SN,MAHMG.,KOTAKBANK.NS,2353.TW,BAP,MAYBANK.KL,PKN.WA,SBIN.NS,ITUB4.SA,IMP.JO,PLZL.ME,KLBF.JK,2128.HK,096770.KS,002790.KS,4013.SR,097950.KS,2886.TW,867.HK,KOFUBL.MX,NRP.JO,2208.HK,000810.KS,UGPA3.SA,1585.HK,KGH.WA,EICHERMOT.NS,1180.SR,2327.TW,604.HK,300124.SZ,005380.KS,TCELL.IS,PHOR.L,BVT.JO,TATACONSUM.NS,RHBBANK.KL,1211.SR,601166.SS,CEMEXCPO.MX,BEKE,GRT.JO,WHL.JO,002594.SZ,NAUKRI.NS,HINDALCO.NS,2202.HK,1093.HK,CBQK.QA,001979.SZ,2333.HK,000100.SZ,2020.HK,6618.HK,YNDX,600015.SS,2885.TW,028260.KS,BGNE,2688.HK,090430.KS,CLS.JO,2280.SR,2018.HK,853.HK,COLPAL.NS,MAXIS.KL,TCS.L,GFI.JO,3908.HK,018260.KS,BILI,HMPRO-R.BK,2607.HK,009150.KS,6185.HK,FSR.JO,BHARTIARTL.NS,1530.HK,2301.TW,3037.TW,MARICO.NS,241.HK,TM.KL,780.HK,2050.SR,603799.SS,HKD,000938.SZ,ZLAB,LREN3.SA,1548.HK,2207.TW,VIPS,BIMBOA.MX,002460.SZ,CSAN3.SA,CPFE3.SA,XTSLA,127.HK,2222.SR,3711.TW,5871.TW,TWD,KRW,INR,600958.SS,BRL,601360.SS,ADCB.,1140.SR,600196.SS,257.HK,PEO.WA,GLOB,RIGDS.,ZAR,TCELL.E.IS,SCB-R.BK,CNH,021240.KS,ABG.JO,016360.KS,PTTGC-R.BK,ADNOCDIS.,SAR,VIVT3.SA,MINT-R.BK,DELTA-R.BK,SUM
07/09/2021,6.64,4.9,4.71,4.23,1.8,1.05,1.01,0.9,0.87,0.85,0.85,0.83,0.82,0.78,0.74,0.74,0.72,0.72,0.71,0.71,0.67,0.65,0.64,0.61,0.61,0.61,0.6,0.59,0.59,0.58,0.58,0.58,0.56,0.56,0.52,0.52,0.51,0.5,0.49,0.49,0.48,0.48,0.48,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.78
07/12/2021,6.7,4.73,4.53,4.2,1.7,1.05,0.94,0.91,0.86,0.87,0.86,0.77,0.85,0.76,0.73,0.74,0.73,0.73,0.7,0.73,0.7,0.67,0.64,0.58,0.6,0.61,0.62,0.6,0.59,0.57,0.57,0.59,0.57,0.57,0.53,0.49,0.51,0.49,0.49,0.5,0.49,0.48,0.48,0.47,0.44,0.45,0.45,0.43,0.43,0.42,0.43,0.42,0.4,0.39,0.4,0.39,0.38,0.38,0.37,0.35,0.39,0.34,0.34,0.36,0.34,0.34,0.34,0.31,0.32,0.32,0.32,0.33,0.31,0.32,0.32,0.3,0.31,0.29,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.29,0.27,0.27,0.28,0.27,0.26,0.26,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.27,0.24,0.24,0.24,0.26,0.23,0.22,0.23,0.22,0.22,0.22,0.2,0.23,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.19,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.17,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.18,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75
07/13/2021,6.7,4.73,4.53,4.2,1.7,1.05,0.94,0.91,0.86,0.87,0.86,0.77,0.85,0.76,0.73,0.74,0.73,0.73,0.7,0.73,0.7,0.67,0.64,0.58,0.6,0.61,0.62,0.6,0.59,0.57,0.57,0.59,0.57,0.57,0.53,0.49,0.51,0.49,0.49,0.5,0.49,0.48,0.48,0.47,0.44,0.45,0.45,0.43,0.43,0.42,0.43,0.42,0.4,0.39,0.4,0.39,0.38,0.38,0.37,0.35,0.39,0.34,0.34,0.36,0.34,0.34,0.34,0.31,0.32,0.32,0.32,0.33,0.31,0.32,0.32,0.3,0.31,0.29,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.29,0.27,0.27,0.28,0.27,0.26,0.26,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.27,0.24,0.24,0.24,0.26,0.23,0.22,0.23,0.22,0.22,0.22,0.2,0.23,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.19,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.17,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.18,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75
07/14/2021,6.63,4.81,4.48,4.15,1.77,1.05,0.93,0.91,0.86,0.86,0.85,0.77,0.89,0.76,0.72,0.74,0.72,0.72,0.68,0.72,0.69,0.66,0.67,0.6,0.62,0.61,0.62,0.6,0.6,0.57,0.58,0.59,0.56,0.57,0.53,0.44,0.51,0.49,0.49,0.5,0.49,0.49,0.5,0.47,0.43,0.44,0.45,0.41,0.43,0.43,0.43,0.42,0.4,0.37,0.4,0.38,0.38,0.38,0.38,0.36,0.38,0.34,0.34,0.36,0.33,0.34,0.33,0.31,0.32,0.32,0.32,0.32,0.3,0.32,0.32,0.29,0.31,0.29,0.32,0.31,0.29,0.29,0.3,0.3,0.29,0.27,0.28,0.28,0.29,0.28,0.27,0.28,0.28,0.26,0.26,0.24,0.25,0.26,0.25,0.24,0.27,0.25,0.24,0.29,0.24,0.24,0.23,0.26,0.23,0.22,0.24,0.22,0.22,0.23,0.2,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.15,0.15,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.14,0.15,0.0,0.14,0.0,0.15,0.0,0.16,0.18,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.68
07/15/2021,6.63,4.81,4.48,4.15,1.77,1.05,0.93,0.91,0.86,0.86,0.85,0.77,0.89,0.76,0.72,0.74,0.72,0.72,0.68,0.72,0.69,0.66,0.67,0.6,0.62,0.61,0.62,0.6,0.6,0.57,0.58,0.59,0.56,0.57,0.53,0.44,0.51,0.49,0.49,0.5,0.49,0.49,0.5,0.47,0.43,0.44,0.45,0.41,0.43,0.43,0.43,0.42,0.4,0.37,0.4,0.38,0.38,0.38,0.38,0.36,0.38,0.34,0.34,0.36,0.33,0.34,0.33,0.31,0.32,0.32,0.32,0.32,0.3,0.32,0.32,0.29,0.31,0.29,0.32,0.31,0.29,0.29,0.3,0.3,0.29,0.27,0.28,0.28,0.29,0.28,0.27,0.28,0.28,0.26,0.26,0.24,0.25,0.26,0.25,0.24,0.27,0.25,0.24,0.29,0.24,0.24,0.23,0.26,0.23,0.22,0.24,0.22,0.22,0.23,0.2,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.15,0.15,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.14,0.15,0.0,0.14,0.0,0.15,0.0,0.16,0.18,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.68
07/16/2021,6.81,4.89,4.64,4.12,1.84,1.04,0.92,0.89,0.85,0.87,0.88,0.75,0.86,0.75,0.72,0.73,0.72,0.71,0.7,0.72,0.72,0.67,0.68,0.6,0.63,0.6,0.62,0.59,0.59,0.58,0.58,0.58,0.58,0.56,0.53,0.38,0.53,0.49,0.48,0.49,0.52,0.48,0.5,0.46,0.44,0.44,0.44,0.41,0.43,0.41,0.42,0.41,0.4,0.38,0.39,0.41,0.39,0.38,0.37,0.35,0.39,0.34,0.34,0.36,0.35,0.33,0.34,0.3,0.31,0.33,0.31,0.33,0.28,0.31,0.31,0.29,0.31,0.28,0.32,0.33,0.3,0.29,0.3,0.3,0.28,0.27,0.28,0.28,0.27,0.28,0.28,0.28,0.27,0.26,0.25,0.24,0.25,0.26,0.25,0.24,0.26,0.26,0.24,0.27,0.23,0.24,0.23,0.26,0.24,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.21,0.2,0.22,0.22,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.17,0.19,0.17,0.2,0.18,0.16,0.19,0.17,0.18,0.17,0.18,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.0,0.0,0.15,0.16,0.15,0.16,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.15,0.14,0.17,0.19,0.16,0.14,0.14,0.15,0.14,0.14,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75999999999999
07/19/2021,6.87,4.94,4.72,4.14,1.8,1.08,0.92,0.9,0.82,0.86,0.91,0.72,0.89,0.76,0.72,0.74,0.71,0.7,0.7,0.72,0.73,0.7,0.68,0.6,0.64,0.59,0.62,0.61,0.59,0.57,0.57,0.57,0.58,0.56,0.52,0.38,0.52,0.5,0.46,0.48,0.52,0.47,0.49,0.45,0.43,0.44,0.44,0.4,0.43,0.41,0.41,0.41,0.4,0.38,0.39,0.37,0.38,0.38,0.35,0.35,0.39,0.32,0.33,0.38,0.34,0.34,0.35,0.3,0.31,0.33,0.31,0.33,0.29,0.33,0.29,0.29,0.32,0.27,0.31,0.32,0.29,0.29,0.3,0.29,0.27,0.28,0.28,0.29,0.27,0.28,0.27,0.28,0.27,0.25,0.26,0.23,0.24,0.26,0.24,0.24,0.27,0.25,0.23,0.27,0.23,0.24,0.25,0.28,0.24,0.21,0.21,0.23,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.2,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.22,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.22,0.21,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.19,0.17,0.21,0.18,0.16,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.17,0.18,0.16,0.17,0.15,0.15,0.17,0.16,0.0,0.0,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.0,0.0,0.14,0.0,0.14,0.15,0.14,0.0,0.0,0.15,0.14,0.16,0.19,0.15,0.14,0.0,0.15,0.14,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73
07/20/2021,6.87,4.94,4.72,4.14,1.8,1.08,0.92,0.9,0.82,0.86,0.91,0.72,0.89,0.76,0.72,0.74,0.71,0.7,0.7,0.72,0.73,0.7,0.68,0.6,0.64,0.59,0.62,0.61,0.59,0.57,0.57,0.57,0.58,0.56,0.52,0.38,0.52,0.5,0.46,0.48,0.52,0.47,0.49,0.45,0.43,0.44,0.44,0.4,0.43,0.41,0.41,0.41,0.4,0.38,0.39,0.37,0.38,0.38,0.35,0.35,0.39,0.32,0.33,0.38,0.34,0.34,0.35,0.3,0.31,0.33,0.31,0.33,0.29,0.33,0.29,0.29,0.32,0.27,0.31,0.32,0.29,0.29,0.3,0.29,0.27,0.28,0.28,0.29,0.27,0.28,0.27,0.28,0.27,0.25,0.26,0.23,0.24,0.26,0.24,0.24,0.27,0.25,0.23,0.27,0.23,0.24,0.25,0.28,0.24,0.21,0.21,0.23,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.2,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.22,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.22,0.21,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.19,0.17,0.21,0.18,0.16,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.17,0.18,0.16,0.17,0.15,0.15,0.17,0.16,0.0,0.0,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.0,0.0,0.14,0.0,0.14,0.15,0.14,0.0,0.0,0.15,0.14,0.16,0.19,0.15,0.14,0.0,0.15,0.14,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73
07/21/2021,6.6,4.96,4.73,4.13,1.81,1.1,0.92,0.89,0.82,0.87,0.93,0.71,0.91,0.77,0.72,0.74,0.72,0.71,0.69,0.73,0.73,0.73,0.67,0.58,0.63,0.59,0.63,0.61,0.6,0.58,0.55,0.57,0.57,0.57,0.51,0.41,0.52,0.51,0.46,0.48,0.52,0.48,0.52,0.45,0.44,0.43,0.45,0.41,0.43,0.41,0.42,0.41,0.41,0.38,0.39,0.37,0.39,0.38,0.35,0.35,0.36,0.32,0.34,0.38,0.34,0.34,0.35,0.3,0.31,0.33,0.31,0.33,0.28,0.32,0.28,0.29,0.32,0.28,0.32,0.32,0.29,0.3,0.3,0.29,0.26,0.28,0.28,0.28,0.27,0.28,0.26,0.27,0.27,0.26,0.26,0.22,0.25,0.26,0.24,0.24,0.26,0.25,0.23,0.27,0.23,0.24,0.25,0.27,0.24,0.22,0.21,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.22,0.21,0.2,0.2,0.2,0.19,0.2,0.21,0.22,0.21,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.19,0.17,0.2,0.18,0.16,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.18,0.16,0.17,0.15,0.15,0.16,0.17,0.14,0.14,0.15,0.16,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.14,0.15,0.0,0.16,0.0,0.16,0.0,0.14,0.15,0.0,0.0,0.0,0.15,0.14,0.15,0.24,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.67
07/22/2021,6.63,4.92,4.65,4.13,1.76,1.1,0.93,0.9,0.81,0.86,0.95,0.74,0.93,0.77,0.73,0.75,0.73,0.71,0.68,0.75,0.73,0.74,0.67,0.58,0.64,0.6,0.65,0.6,0.61,0.58,0.55,0.58,0.58,0.57,0.51,0.44,0.51,0.51,0.46,0.49,0.51,0.46,0.53,0.46,0.43,0.43,0.45,0.41,0.43,0.41,0.42,0.43,0.4,0.38,0.4,0.37,0.39,0.38,0.35,0.35,0.37,0.33,0.34,0.37,0.34,0.34,0.34,0.31,0.3,0.33,0.31,0.33,0.29,0.32,0.29,0.29,0.32,0.29,0.32,0.32,0.29,0.31,0.3,0.3,0.27,0.28,0.29,0.28,0.27,0.29,0.27,0.28,0.27,0.25,0.26,0.22,0.24,0.26,0.25,0.24,0.27,0.25,0.24,0.27,0.24,0.24,0.25,0.28,0.23,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.19,0.2,0.2,0.22,0.22,0.2,0.2,0.2,0.19,0.2,0.2,0.21,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.18,0.19,0.17,0.2,0.18,0.16,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.18,0.16,0.17,0.16,0.15,0.17,0.17,0.0,0.0,0.15,0.16,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.15,0.14,0.14,0.0,0.15,0.14,0.15,0.0,0.18,0.0,0.14,0.17,0.14,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8
